rating,reviews,company,province,parsed_date
5,"Located at the Padang Old City area, just around the corner from Siti Nurbaya Bridge across Batang Anai River. JNE is one of many delivery services in Indonesia. Giving good services, the business entity continues to grow.",JNE,Aceh,2024-04-24 08:34:05.298934
1,"Bad service given to customers, my own experience taking 1 day shipment service and had to pay quite big amount of money. I asked over and over to make sure my package arrived in 1 day as it contained food and JNE staffs answer so sure it …",JNE,Aceh,2021-01-20 08:34:05.299934
5,"Nice Place, they're working on rebuild their office, great people and services",JNE,Aceh,2022-01-20 08:34:05.299934
5,Good delivery service for customers in this country.,JNE,Aceh,2023-01-20 08:34:05.299934
5,Good service,JNE,Aceh,2022-01-20 08:34:05.299934
5,Very nice building and nice staff,JNE,Aceh,2023-01-20 08:34:05.299934
5,Good service and Fast complain responding,JNE,Aceh,2019-01-21 08:34:05.299934
1,Too slow,JNE,Aceh,2016-01-22 08:34:05.299934
4,Good..,JNE,Aceh,2021-01-20 08:34:05.299934
4,Goooood,JNE,Aceh,2019-01-21 08:34:05.299934
5,Ok,JNE,Aceh,2022-01-20 08:34:05.299934
5,Good,JNE,Aceh,2021-01-20 08:34:05.299934
4,Expedition,JNE,Aceh,2019-01-21 08:34:05.299934
5,Nice,JNE,Aceh,2020-01-21 08:34:05.299934
5,Beautiful,JNE,Aceh,2019-01-21 08:34:05.299934
5,24jam ready,JNE,Aceh,2020-01-21 08:34:05.299934
5,Perfect,JNE,Aceh,2019-01-21 08:34:05.299934
5,Great,JNE,Aceh,2019-01-21 08:34:05.299934
2,Slow service,JNE,Aceh,2022-01-20 08:34:05.299934
5,Jne is the best,JNE,Aceh,2019-01-21 08:34:05.299934
1,Bad service,JNE,Aceh,2019-01-21 08:34:05.299934
5,Ok,JNE,Aceh,2020-01-21 08:34:05.299934
5,Good,JNE,Aceh,2020-01-21 08:34:05.299934
4,Ok,JNE,Aceh,2020-01-21 08:34:05.299934
1,"The courier was too slow for many reasons even though it was already far from the estimate until 4 days had passed and the item was about to be used until it was too bad, m",JNE,Aceh,2025-01-05 08:34:05.299934
1,"The delivery was said to be 5 days, but now nothing has been received at all, instead the package has been received by the recipient, you know, I haven't been notified at all, even though I didn't code...🥲💔 …",JNE,Aceh,2025-01-12 08:34:05.299934
2,"Super long delivery, different from other express which is lightning fast 😬😬
If JNE works like this, it will definitely not sell, aka it will go bankrupt 😬
4 days still on standby in Padang, even though I paid directly... very disappointed with the service 🙂‍↔️🥴 …",JNE,Aceh,2024-12-20 08:34:05.299934
1,"2 times an order was sent via JNE, the first package arrived on time because it was COD
The second package is non-COD, the delivery is always delayed for 2 days, even …",JNE,Aceh,2024-11-20 08:34:05.299934
1,"Look at the tracking. My order was delivered on the 17th, but after that it said ""I am rescheduling delivery to the address"".. FYI, I never asked to delay delivery, why did it arrive unilaterally and delay delivery?? Meanwhile, now it's the 19th, there's still no clarity..",JNE,Aceh,2024-12-22 08:34:05.299934
2,"Several times it was a hassle, the position of the package was not clear where it was and the delivery was late",JNE,Aceh,2025-01-16 08:34:05.299934
1,"Taking too lightly a shipment of small value, the goods sent did not arrive at the destination address, disappointing",JNE,Aceh,2024-12-20 08:34:05.299934
1,"Worst JNe service ever, to this day my package hasn't arrived. Very disappointing",JNE,Aceh,2024-12-20 08:34:05.299934
2,"It's so bad now. Delivery service from Medan - Padang (YES plus insurance) has not arrived for 3 days. I've been asking back and forth, JNE Nipah and also JNE ARU / Lubeg. …",JNE,Aceh,2023-01-20 08:34:05.299934
