rating,reviews,company,province,parsed_date,processed_reviews,tokenized_reviews,topic
5,"Located at the Padang Old City area, just around the corner from Siti Nurbaya Bridge across Batang Anai River. JNE is one of many delivery services in Indonesia. Giving good services, the business entity continues to grow.",JNE,Aceh,2024-04-25,letak kawasan kota tua jembatan siti nurbaya seberang sungai batang ana salah kirim indonesia layan badan usaha kembang,"['letak', 'kawasan', 'kota', 'tua', 'jembatan', 'siti', 'nurbaya', 'seberang', 'sungai', 'batang', 'ana', 'salah', 'kirim', 'indonesia', 'layan', 'badan', 'usaha', 'kembang']",Pelayanan Bagus
5,"Nice Place, they're working on rebuild their office, great people and services",JNE,Aceh,2022-01-21,bagus upaya bangun kantor orang orang hebat layan,"['bagus', 'upaya', 'bangun', 'kantor', 'orang', 'orang', 'hebat', 'layan']",Pelayanan Bagus
5,Good delivery service for customers in this country.,JNE,Aceh,2023-01-21,kirim langgan negara,"['kirim', 'langgan', 'negara']",Pelayanan Bagus
5,Good service,JNE,Aceh,2022-01-21,layan bagus,"['layan', 'bagus']",Pelayanan Bagus
5,Very nice building and nice staff,JNE,Aceh,2023-01-21,bangun bagus staf,"['bangun', 'bagus', 'staf']",Pelayanan Bagus
5,Good service and Fast complain responding,JNE,Aceh,2019-01-22,layan bagus respon komplain cepat,"['layan', 'bagus', 'respon', 'komplain', 'cepat']",Pelayanan Bagus
4,Good..,JNE,Aceh,2021-01-21,bagus,['bagus'],Pelayanan Bagus
4,Goooood,JNE,Aceh,2019-01-22,bagus,['bagus'],Pelayanan Bagus
5,Ok,JNE,Aceh,2022-01-21,nan,['nan'],Pelayanan Bagus
5,Good,JNE,Aceh,2021-01-21,bagus,['bagus'],Pelayanan Bagus
4,Expedition,JNE,Aceh,2019-01-22,ekspedisi,['ekspedisi'],Pelayanan Bagus
5,Nice,JNE,Aceh,2020-01-22,bagus,['bagus'],Pelayanan Bagus
5,Beautiful,JNE,Aceh,2019-01-22,cantik,['cantik'],Pelayanan Bagus
5,24jam ready,JNE,Aceh,2020-01-22,nan,['nan'],Pelayanan Bagus
5,Perfect,JNE,Aceh,2019-01-22,sempurna,['sempurna'],Pelayanan Bagus
5,Great,JNE,Aceh,2019-01-22,nan,['nan'],Pelayanan Bagus
5,Jne is the best,JNE,Aceh,2019-01-22,baik,['baik'],Pelayanan Bagus
5,Ok,JNE,Aceh,2020-01-22,nan,['nan'],Pelayanan Bagus
5,Good,JNE,Aceh,2020-01-22,bagus,['bagus'],Pelayanan Bagus
4,Ok,JNE,Aceh,2020-01-22,nan,['nan'],Pelayanan Bagus
5,"You can also use JNE. There are a lot of CS but there are lots of empty staff too, maybe because it's a week, that could be the case. …",JNE,Aceh,2019-01-22,csnya kosong minggu,"['csnya', 'kosong', 'minggu']",Pelayanan Bagus
4,"JNE West Sumatra Branch is the control center for all JNE outlets in West Sumatra. In this place the branch leader will control all existing outlets. Good job, West Sumatra District Head. May you always be healthy and successful....",JNE,Aceh,2021-01-21,cabang sumatera barat pusat kendali outlet sumatera barat pimpin cabang kontrol outlet kerja bagus bupati sumbar moga sehat sukses,"['cabang', 'sumatera', 'barat', 'pusat', 'kendali', 'outlet', 'sumatera', 'barat', 'pimpin', 'cabang', 'kontrol', 'outlet', 'kerja', 'bagus', 'bupati', 'sumbar', 'moga', 'sehat', 'sukses']",Pelayanan Bagus
5,"The staff were friendly, especially when sending packages for pious children who had to be received the next day... …",JNE,Aceh,2024-01-21,pegawai ramah ramah kirim anak anak shaleh terima esok hari,"['pegawai', 'ramah', 'ramah', 'kirim', 'anak', 'anak', 'shaleh', 'terima', 'esok', 'hari']",Pelayanan Bagus
5,"Today I sent goods via JNE, and the service is quite good, hopefully it can be maintained, even improved.",JNE,Aceh,2017-01-22,layan moga tahan tingkat,"['layan', 'moga', 'tahan', 'tingkat']",Pelayanan Bagus
5,The waiting area is spacious and comfortable. Fast and friendly service,JNE,Aceh,2023-01-21,ruang tunggu luas nyaman layan cepat ramah,"['ruang', 'tunggu', 'luas', 'nyaman', 'layan', 'cepat', 'ramah']",Pelayanan Bagus
5,"Already subscribed to JNE..the goods we sent were safe and intact...delivery was right on schedule..all in all, JNE is good...never disappointed....",JNE,Aceh,2024-01-21,langgan kirim aman utuh kirim tepat jadwal overall bagus kecewa,"['langgan', 'kirim', 'aman', 'utuh', 'kirim', 'tepat', 'jadwal', 'overall', 'bagus', 'kecewa']",Pelayanan Bagus
5,Service is very friendly and good,JNE,Aceh,2024-12-21,layan ramah,"['layan', 'ramah']",Pelayanan Bagus
5,"Good service, thank you to JNE Padang, the customer service is really good, thank you to Mr Fahmi and Mr Doni, the call center officers 👍👍👍 providing concise and clear information, so that we as customers feel very helped to ensure our …",JNE,Aceh,2024-01-21,layan customer servicenya fahmi doni tugas call centernya informasi ringkas langgan bantu,"['layan', 'customer', 'servicenya', 'fahmi', 'doni', 'tugas', 'call', 'centernya', 'informasi', 'ringkas', 'langgan', 'bantu']",Pelayanan Bagus
5,Pelayanan nya baik pengiriman juga sesuai 😁 …,JNE,Aceh,2024-08-23,layan kirim sesuai,"['layan', 'kirim', 'sesuai']",Pelayanan Bagus
5,Ngambil paket harus kemari. Padahal dah ditunggu.. tempatnya luas dan banyak mobil jne disini...  semoga setiap barang yang masuk cepat diantar ke tempat penerimanya.. kinerjanya baik dan kedepannya harus ditinggalkan lagi.. …,JNE,Aceh,2024-01-21,ambil kemari tunggu tempat luas mobil moga masuk cepat antar terima kerja depan tinggal,"['ambil', 'kemari', 'tunggu', 'tempat', 'luas', 'mobil', 'moga', 'masuk', 'cepat', 'antar', 'terima', 'kerja', 'depan', 'tinggal']",Pelayanan Bagus
4,Kiriman untuk wilayah Aceh Besar harus ambil ke kantor. Padahal biaya kirimnya mahal. Barang COD telat seminggu diambil langsung di return,JNE,Aceh,2022-01-21,kirim wilayah kantor biaya kirim mahal cod lambat minggu ambil langsung return,"['kirim', 'wilayah', 'kantor', 'biaya', 'kirim', 'mahal', 'cod', 'lambat', 'minggu', 'ambil', 'langsung', 'return']",Pelayanan Bagus
4,Prosedur pelayanan dalam pengambilan ke loket perlu ditingkatkan lagi. Selama ini proses ngantri dan nunggu barang diambil ke gudang cukup lma menyita waktu.,JNE,Aceh,2019-01-22,prosedur layan ambil loket tingkat proses antri ambil lma sita waktu,"['prosedur', 'layan', 'ambil', 'loket', 'tingkat', 'proses', 'antri', 'ambil', 'lma', 'sita', 'waktu']",Pelayanan Bagus
