Rating,Reviews,Company,Province
1,"Paket gk bergerak di sini, gk bagus pelayanannya. Tuh karyawan tidur semuanya??? Makan gaji buta. Ternyata bukan gw aja yang ngalami, pas gw baca banyak juga yang ngalami hal yang sama. Gw pikir udah berubah ternyata dari gw jualan online thn 2012 sampai sekarang jne gk ada perbaikin. Dah tutup aja kalau gk bisa berubah.",JNE,Bali
1,"PAKET GA DIPICK UP SUDAH 4 HARI, GILE GA ADA KURIR APA YA JNE",JNE,Bali
1,Barang 2x24 jam gaada perubahan status pengiriman hadeh,JNE,Bali
1,Paket saya ga bergerak dari sini bagaimana ini pelayanannya kok lambat padahal ga ke luar Bali masih di daerah Bali pengirimannya kyk ke luar negeri aja lama,JNE,Bali
1,Ini pihak jne nya kurang dalam handle barang apa bagaimana sebenarnya? Paket saya estimasi sampai tgl 6 mei sampai sekarang masih stuck di gudang ini. Biasanya kalau pakek jasa cargo ekspedisi lain estimasi kurleb seminggu sampai kalau pesan dari luar bali ini malah seminggu lebih kaga sampai pelayanan cargo jne sampah👎🏻 …,JNE,Bali
1,"diapain barang gw ? kirim paket jam 10.30 malam , sama kurir mau di taroh depan gang . gila lu ya ? udh beli damage protection juga ga ke protect apa apa kalo kerja lu begini",JNE,Bali
1,"Paket dr tgl 7 April 2024 sampe tgl 10 April 2024 GK bergerak,Ongkir mahal tp kinerja kalah dgn Cargo2... Trutama gudang Kanda,Klu GK mampu tutup aja ato ganti yg urus gudang ny ....",JNE,Bali
2,Dari Hari minggu sampe selasa Gak gerak Gerak,JNE,Bali
3,"Paket dari Depok tgl 18 estimasi 2 hari sampe, tgl 20 udah masuk warehouse Denpasar, sampai tanggal 22 hari ini belum sampai alamat tujuan. Estimasi berapa hari jadinya? Tolonglah JNE",JNE,Bali
1,"Buruk bgt barang saya d tunda trus dg alasan gudang luas kurir gaada,, biasanya barangny 2-3 hari sudah sampe dan ini lebih dri seminggu barangnya g d kirim juga,,",JNE,Bali
1,Sampai skrg barang saya tidak bergerak,JNE,Bali
1,"Barang saya gk smpe2
Ga jelas
Di hub semua jne d bali …",JNE,Bali
1,Paket ga bergerak digudang ini tolonglah perbaikan pelayanan nya JNE,JNE,Bali
1,Paket saya sdh dlm perjalanan menuju hub tujuan sejak tgl 9 dinihari dan tgl 11 brubah menjadi menuju lokasi gudang logistik kota tujuan sampai hari ini. Sebetulnya brp harikah dr jakarta ke Denpasar? Sampai skr status tetap menuju gudang logistik....capedeh!!!  Tambah ga jelas statusnya sdh dmana,JNE,Bali
1,"Kecewa banget sama JNE, bayar layanan REG tp sampai gak sesuai estimasi, kapok deh pakai JNE",JNE,Bali
1,Pengiriman ke lokasi lamaaa bgt ... 🥹🥹 Estimasi 18 mei.. sampai skarang 23 mei 2023 blum juga dikirim .. GK akan pakek lagii.kapok..!! 🥹 …,JNE,Bali
1,"Pengalaman buruk pake jasa JNE ,barang ku 1 koli hilang sampe sekarang belom ada kepastian ,sampe sy cari ke gudang nya kt nya barang nya tidak ada 😡,mohon pertangggung jawaban nya dari pihak JNE kalo memang hilang sy minta ganti rugi …",JNE,Bali
1,"Lama kirim barang, gk bagus",JNE,Bali
4,Jadi jauh dr panjer kalau perlu packing kayu.,JNE,Bali
5,gudangnya besar dan tempatnya stategis daerah denpasar kota untuk menggambil barang,JNE,Bali
3,Semoga semakin ditingkatkan pelayananya,JNE,Bali
5,"Gudang besar dan perlakuan terhadap barang kiriman,  baik!",JNE,Bali
5,Jam mepet.. terlalu memaksa driver vendor,JNE,Bali
5,Pelayanannya bagus..cepat...ramah jujur..,JNE,Bali
5,Sudah 2X paket saya dititipkan disini.,JNE,Bali
5,mantap pelayanan'a jg ramah 🤙 …,JNE,Bali
5,Pusat transit barang,JNE,Bali
