Rating,Reviews,Company,Province
1,"Kapok kirim ke JNE sini!! Hanya beda 100  gram tapi update di aplikasi 3,7 kg. Suruh cek harga selisih timbangannya malah langsung di scan. Bikin seller merugi.",JNE,Bangka Belitung
1,"CS nya tidak menginfokan jenis pengiriman, saya maunya paket yes tapi malah dikasih paket reguler, resikonya makanan yang saya kirim bisa basi. CS dikomplain tidak minta maaf sama sekali padahal bagian pelayanan sangat penting .",JNE,Bangka Belitung
1,"Dari sabtu pagi status di Antar Kurir,
Ditunggu sampe Malam, malah statusnya Pemilik rumah gak ada.
KoCak anda.itu Udah di bayar,bukan COD. …",JNE,Bangka Belitung
1,PELAYANAN BURUK ! PENJELASAN TERHADAP KETENTUAN NYA TIDAK JELAS DAN TIDAK RAMAH SEJAK DATANG,JNE,Bangka Belitung
3,"Salah satu jasa pengiriman barang dan dokumen dikota ini. Kantor cabang pangkalpinang,  terletak di pusat kota sehingga mudah diakses.  Parkir cukup luas untuk roda dua,  roda empat parkir di sisi jalan. Pelayanan cukup cepat kecuali di hari raya ,antriannya panjang.",JNE,Bangka Belitung
1,"Sangat bobrok sekali kwalitas pelayanan
Bener kata temen jne kwalitas dan pelayanan menurun",JNE,Bangka Belitung
5,"Pelayanannya sgt memuaskan...karyawan2 dan security JNE nya sgt ramah,sopan,baik dan sabar.👍👍😊😊 …",JNE,Bangka Belitung
4,"JNE Pangkalpinang berlokasi di ruas jalan raya dan mudah dijangkau, tempat parkirnya ada, Kami biasa menggunakan jasa JNE untuk pengiriman barang ke luar kota dan selalu lancar meski terkadang pas ramai harus mengantri disini. Pelayanannya baik, ramah dan cepat. Kurirnya juga ramah dan sabar. pokoknya recomended deh...",JNE,Bangka Belitung
5,"Untuk pelayanan kiriman paket gak diragukan lagi lah.. Nama JNE sudah melayani hingga pelosok, dengan harga kompetitif..namun kalau mendekati high season belum ada pelayanan buka loket ekstra agar tidak terjadi penumpukan dan keterlambatan …",JNE,Bangka Belitung
1,"Kecewa sekali dengan pelayanan jne. Mbak yg melayani tidak ramah, cetus menyudutkan pengirim. Padahal saya bayar. Apa di jne tidak ada sop yg baik saat melayani user.",JNE,Bangka Belitung
1,Biasanya pelayanan sangat ramah. Tapi hari ini pegawai yg ini sangat songong .. menganggap remeh pelanggan.. mending cari pegawai lain saja untuk JNE jgn sampai orang males karena oknum ini.. 18 February 2024 jam 15.30.. ciri ciri pegawai …,JNE,Bangka Belitung
5,Ramah walaupun hari lebaran idul adha. Tetap semangat. Pagi JM 8 sdh di layani dgn. Baik. Trmksh JNE,JNE,Bangka Belitung
