Rating,Reviews,Company,Province
1,"Kgk jelas ini kurir. Barang udh sampe lewat dri estimasi. Masi aja gk di kirm"". Kurir nya ada,tpi pada muales"" ngirm.malah ngarep custumer nyamperin ke gudang. Kn 0 otk nya.",JNE,Banten
1,"Jasa ekspedisi ga profesional, ga lagi lagi pake jne, paket saya 3 hari berada di gudang ga di kirim kirim padahal weekdays hari kerja tapi tidak ada kejelasan dari pihak jne kenapa paket saya stuck di dalam gudang, chat customer service …",JNE,Banten
1,"Paket udah 2hari disitunya sedang diantar ke alamat tujuan tapi ga sampe2, alasannya alamat tidak lengkap, bsk nya penerima tdk ada d tempat, aneh banget padahal ekspedisi yg lain gapernah bermasalah sampe segininya",JNE,Banten
1,SUMPAH GW GAK MAU PAKE INI EKSPEDISI LAGI.. BIKIN KECEWA.. SERVICE YES APAAN YAKIN ESOK SAMPAI.. YG ADA TAR SOK TAR SOK KG NYAMPE NYAMPE.. BAYAR ONGKIR MAHAL KAGA ADA GUNANYA.. KG AD TANGGUNG JAWABNYA.. MASA PAKET MUTER2 SERANG KG NYAMPE2.. GA AD KONFIRMASI JUGA KE NOMER PENERIMA.. GA BECUS !!!!!,JNE,Banten
1,Pengiriman paket terburuk sedunia.. gimana bisa bersaing dengan yg lain.. jika pelayanan sangat2 buruk..,JNE,Banten
1,"Sangat Sangat Sangaaaaat mengecewakan pemgiriman lambat, pada saat hari pertama menuju alamat rumah alasan tidak ada orang padahal gua ada di rumah sampai 2hari begini, setelah itu hari ke 3 dinyatakan alamat tidak di temukan. Heeeyyy …",JNE,Banten
2,"Barang sudah di kurir dari pagi jam 8.30-an, sampai malam jam 21.30, ga dianter anter ke rumah.
Kelamaan di kurir",JNE,Banten
1,"CO di toped kurir recomendasi sangat buruk burik via id express lalu ganti ke JNE, DARI HARI SENIN SAMPAI SEKARANG HARI JUMAT 5 HARI PAKET BELUM SAMPAI PADAHAL PENJUAL NYA DARI TANGERANG KIRIM KE SERANG,SANGAT BEDA J51. H DENGAN SOPI …",JNE,Banten
5,"Sangat sangat mengecewakan paket udh di kurir dari pagi sampe sore tapi blm dikirim kalah sama shope expres dr pagi sampe sore udh 2 kali nganter paket, sangat sangat merugikan usaha org !!!!",JNE,Banten
1,"Jasa Kirim Yg Paling Bikin gedeg yaitu JNE, Pihak Aplikasi maupun kurirnya Sama Aja Sama Sama Lola, Saran Buat Temen² mending Jangan Pakai Jasa JNE kalau gak mau barang anda mengendap atau dinyatakan hilang.",JNE,Banten
4,"Kantor JNE Cabang Utama Cilegon dan Serang, tempat mengirim paket dan mengambil paket ditempat utk wilayah serang, klo dr cilegon ambil kesini kejauhan, daripada nunggu couriernya keliling seharian sblm ngantar paket kerumah anda, lebih …",JNE,Banten
4,"Kamar nyaman.
Tempat bersih
Parkir luas …",JNE,Banten
1,JNE EXPEDISI TERBUSUKK. LAMBATTT. PAKET GUA MASIH NYANGKUT DI CILEGON BELUM NYAMPE2 KE SERANG. UDAH 2HARI DI TUNGGUIN.,JNE,Banten
1,"Sudah kesekian kalinya, paket gw ngekost disini terus, nyesel gak klik jasa pengiriman dulu pas order 🤦🏻 …",JNE,Banten
1,"Mana nih Pake YES kok berasa pake reguler, Jkt - Serang loh woy..
Call ke CS malah sistem gangguan.",JNE,Banten
1,kurir JNE gak ada yg ramah! ternyata bukan saya sendiri yang di beginikan. liat ulasan kayak gitu semua. amit2 dah mau pake jasa JNE!!! paket gak nyampe! kurir nya kyk gak niat kerja!,JNE,Banten
1,"10 DESEMBER 2023
PAKET NYANGKUT SEMUA DARI JKT KE CILEGON DARI TANGGAL 7 DI SERANG SAMPAI SEKARANG BELUM ADA PERUBAHAN!!!! PADAHAL PAKAI JNE REG!!! …",JNE,Banten
1,"Jangan pake JNE, udah 3 hari paket diem disini, udah banyak korban jeleknya JNE ini",JNE,Banten
1,"Dilihat dari ulasan ternyata saya enggak sendiri.
Kurir rekomendasi dari tokopedia ini emang enggak sekali, tapi sering berulah. Tapi ini yg paling parah. …",JNE,Banten
1,"Sangat sangat Buruk nya Expedisi, selalu mengecewakan
kurir tidak mencantumkan nomor tlfon,pengiriman lambat
bahkan sering kali harus report baru di proses dan di kirim ke alamat tujuan, expedisi seperti ini lebih baik di hapus sangat,sangat luar biasa terburuk",JNE,Banten
1,"Paket sudah sampai KSB tapi tidak di proses2, tbtb status pengiriman gagal aja. Di hubungi juga susah 😭 …",JNE,Banten
1,Pengiriman paling lama ekspedisi yg paling tidak d rekomendasikan. Bikin emosi,JNE,Banten
5,"JNE Pusat Kota Serang, berada di Kawasan Kota Serang Baru Highland Park. Gudang dan Tempat pengiriman serta pengambilan Paket.
Lokasinya strategis, tempatnya nyaman dan bersih, pelayananya ramah.",JNE,Banten
1,"Ini kurir serang kota
Ga ada yg becus kerja nya
Paket ga di kirim2",JNE,Banten
1,"Jne ga amanah, pengiriman lama, pas sampe barang rusak/ patah.",JNE,Banten
2,Paket udah  keterangan akan dikirim. Tp gagal. Sampai sekarang belum diterima.,JNE,Banten
1,Kalo ganiat buka jasa kirim mending tutup aja. Ngerugiin banyak orang tai,JNE,Banten
1,"Tgl 29 Maret 2024, nunggu kiriman paket ( Tas Kucing Astronout )  kurir nya ga datang. Statusnya gagal kirim dan akan dikirim ulang. Tgl 30 Maret 2024 ditunggu, masih ga ada juga kurir yang datang mengirimkan paket. Status nya penerima …",JNE,Banten
1,"Pengiriman lama ekspedisi tidak konsisten harus banyak² di perbaiki paket saya dari tgl 16 sampai sekarang belum di kirim²,JNE sangat buruk pengiriman lambat dan lelet",JNE,Banten
1,PADAHAL DARI PAGI NUNGGUIN KURIR ITU PAKET TDK COD KENAPA.KETERANGAN PENERIMA TDK DI TEMPAT PENGIRIMAN GAGAL MULU JNE BURUK SEKALI .KALO TDK KONSISTEN LEBIH BAIK TUTUP DARI PADA NGRUGIIN ORANG,JNE,Banten
1,"Jangan mau make JNE sekali lagi jangan mau, kalau ngeyel ya kalian harus nunggu lebih dari estimasi sekali lagi lebih dari estimasi. Paket overload karena mereka sendiri. Semoga aja nih expedisi diblokir di semua e-commerce.",JNE,Banten
1,"Paket saya gk nyampe"" dri kemaren Mentok di cilegon coba di percepat lagi ka gimn sih ini",JNE,Banten
1,"Ngirim paket lama, paket sampe rusak, gembel,mnding tutup aja",JNE,Banten
1,"Monyetttt emg udah kirim lama, ngambil di KSB juga ngantri.. ngehe bener",JNE,Banten
1,"berasa kirim ke luar pulau, jakarta serang tembus 8 hari, besok gw samper langsung ke kantornya, pengen tau tuh kurir lagi pada ngapain. kalo ga wa maki-maki ga diladenin, tolol emang.",JNE,Banten
1,Jne ini mending bubar aja dah sumpah. Dari bdg ke serang seminnggu baru nyampe. Kalah jauh sama shopee dari surabaya ke serang 2x24 jam udah nyampe alamat tujuan. Expedisi sampah.,JNE,Banten
1,Paket drop ke Cilegon terakhir tgl 17 hari Minggu. Sampai sekarang tgl 21 paket gak ada pergerakan. Ini ada 4 hari dan itu semuanya hari kerja loh. Masa gak ada pergerakan sama sekali. Ada nomer yg bisa di wa tpi slow respon bnget cuma …,JNE,Banten
1,"Paket dari serang ke cilegon tertahan lebih dari 3 hari.....
JNE serang-cilegon perlu di audit, perlu di laporkan ke pak Soeprapto pelayanan nya ini.. …",JNE,Banten
1,"gemes banget pake JNE ,nyangkut terus bukan sekali 2 kali tpnya berulang2, sampe kesel di ambil ke gudangnya susah bener keluarnya itu paket saya... heran . eh hari ini dibikin kecewa lagi....",JNE,Banten
1,"Jangan pernah pake ekspedisi ini,pengiriman sangat lama,pelayanan nya lambat,komplain pelayanan nya slow respon.barang dari jakarta ke serang aja satu minggu blm sampe sampe. …",JNE,Banten
1,"Pelayanan ga sesuai sama SLG yang di tetapkan sendiri. Paket 1 kg lebih dikirim pake YES, Tapi Rasa OKE. Complaint Handling juga jelek. Jauh quality nya di bandingkan sama kompetitor nta. Kalo ga Deket rumah ga bakal pake ni servis.",JNE,Banten
1,Pegawainya pada budek ketutupan curek. Sdm rendah dihire ya bgini,JNE,Banten
1,Kecewa banget pake jasa jne udh lebih seminggu paket ngga jalan ² tolong lebih di maksimalkan lagi kak supaya customer ngga kapok pake jne,JNE,Banten
1,Coba kurir suka batalkan kiriman d keluarin aja lah pusing dah nunggu lama pas dh mau nyampe malah d batalin ga jelas,JNE,Banten
1,"Paket saya nyasar ke rumah orang lain, kirim paket ke rumah orang lain jam 23.30, sdh malam nyasar pula,",JNE,Banten
1,Paket saya kebakar sama kurir pas pengantaran tapi tidak ada tanggung jawab dari sana. Padahal jelas itu kesalahan dari kurir sampe rusak gosong,JNE,Banten
1,"JNE ini dah paling jelek
, pengiriman jauh banget Pelayanannya dari JNT dan jasa pengiriman paket lainnya, paket gue udah mandek di sini aja gak di kirim-kirim sampe seminggu, udah …",JNE,Banten
1,"Jasa ekspedisi nya kaya tai, klo gak di jemput pasti berhari2 dan bisa hilang tuh kaya seperti ulasan yg lain, anjir nyusahin pokoknya, kurirnya minta sharelok dari pagi sampe malem d tungguin gak bales sampe 2 hari gak jelas, malah di tumpukin d gudang barangnya",JNE,Banten
1,"Paket saya ga nyampe nyampe, tau tau udah di balikin lagi ke penjual
Udahmah nunggu lama banget hadeuh ga lagi lagi pake jasa jne",JNE,Banten
1,"Paket saya udah seminggu belom nyampe gmn sih,,  saya ini bayar biar langsung nyampe ke rumah, alasannya rumah kosong kalau di cek resi nya padahal warung buka 24 jam",JNE,Banten
2,Mohon ditingkatkan lagi kualitas kinerja pengiriman nya. Kalo udh smpe digudang langsung dikirim lokasi. Sudah sering terjadi,JNE,Banten
