Rating,Reviews,Company,Province
1,"Kalo bsa gak d kash bintang sekalian, kalian itu  expedisi loh. Paham kan SOP expedisi itu bagaimana. Gada ngabarin apa2 tetiba status di shopee yg bersangkutan tidak dirmah dan paket diulang besok. Pas sore harinya di wa kurir suruh jemput …",JNE,Bengkulu
1,"kurir gada menghubungi, wa kek atau telpon pas ditanya k kantor paketnya udh direturn, mana cuek bgt lg karyawannya kek ga mood ngelayani, aneh ni expedisi klo gini trs kalah lu mau bersaing sama expedisi lain",JNE,Bengkulu
1,"Capekkk, ngirim paket 2 biji itu pun alamat ketuker2 terus padahal udah dikasih tau tapi masalah ini terus menerus diulangi. Dahlah cape mending beralih ke ekspedisi lain. Bye",JNE,Bengkulu
1,Kurir jne tidak mau antar paket ke alamat. Padahal jelas paket harus antar alamat. Setelah paket dijemputpun ke betungan kurirpun bertele2. Dan terakhir saya yang punya paket disuruh ambil ke gudang tais.  Kurir dengan no hp yg tertera di ft ini gak layak jadi kurir,JNE,Bengkulu
1,Paketnya dtang lama.biasanya 2 hri sdh dtang tapi sekrg sdh 5 hri.idk dtang juga enggak bakalan krim brang lewat jne lg,JNE,Bengkulu
1,Pengalaman pake JNE kapok lama pengiriman udah seminggu sampai saat ini blum jga sampai parah,JNE,Bengkulu
1,"Paket saya datang dalam keadaan rusak sudah di tambal isolasi lagi oleh kurirnya, saya cek barang hilang 1, mereka mengakui bahwa yg mengisolasi paket saya yersebut kurir yg antar. Setelah di komplain bolak balik tidak ada solusi, bahkan …",JNE,Bengkulu
4,"Lokasi pinggir jalan. Intinya ke arah Toko Rabbani dari simpang skip kota Bengkulu.
Oh iya hati2 kalo dari arah berlawanan karena pas mau nyebrang kondisi lalu lintasnya biasanya cukup ramai.",JNE,Bengkulu
1,Jne pengiriman nya lama. Saya pernah coba bandingkan dengan jasa pengiriman yang lain dengan jarak yg sama dan ternyata jne sampai nya 5 hari sedangkan jasa pengiriman lain hanya butuh waktu 3 hari. Sangat tidak rekomendasi menggunakan jasa kirim ini !!,JNE,Bengkulu
1,"Paketnya memang sudah tiba dan dibawa kurir.
Harusnya sore semalam sudah di terima. …",JNE,Bengkulu
