Rating,Reviews,Company,Province
5,"JNE Gambiran merupakan kantor JNE pusat untuk wilayah Yogyakarta, bagi kalian yang ingin barang nya segera setelah mengecek resi paketan nya udah di Jogja, saranku sih langsung ke kantor JNE ini dengan membawa KTP/SIM dan mengisi form …",JNE,DIY Yogyakarta
1,"Ini mau pengiriman besok itu sampai kapan? Gw liat dah di lokasi sortir dr tgl 7 jam 12 malem, sampe hari ini bahkan blm ada update. Terhitung sudah 36 jam. App nya jg masuk ke the worst UX I ever have. Ini ntah emg si kurir aja yang males, …",JNE,DIY Yogyakarta
1,"Untuk pertama kalinya saya beri ulasan di maps, Paket saya harusnya sudah tiba tgl 03/01 tapi gagal kirim dengan alasan alamat tidak lengkap dan sampe skrng tgl 04/01 masih stuck blm ada percobaan kirim lagi. …",JNE,DIY Yogyakarta
1,"Tertulis Pengiriman Buka Mulai jam 8.00
KATANYA
tapi sampe 8.30 petugasnya belum dateng, tanya ke satpam dijawab 'gak tau mbak'
ANEH PELAYANANNYA.",JNE,DIY Yogyakarta
1,"Pelayanannya buruk banget, paket saya gak dianter sampai saat ini udah 3hari, dengan alasan NO BODY AT HOME, I will tell you Courier, I always at home 24hours. Gajelas banget pelayanannya. Mohon evaluasi min",JNE,DIY Yogyakarta
1,"pengiriman lama dan tidak ada konfirmasi apapun dr pihak jne, paket sudah sampai di jogja dari senin tp gadikirim2 sampai hari kamis sore baru sampe, memberikan status pengiriman di shopee penerima menjadwalkan ulang padahal gaada …",JNE,DIY Yogyakarta
1,"Mohon diperbaiki kinerja kurirnya, dijadwal tanggal 12 Januari 2025 barang akan dikirimkan tetapi tiba tiba direschedule ulang tanpa ada konfirmasi ke pembeli, setelah itu tanggal 13 Januari 2025 pukul 12.36 tiba tiba status barang sudah di …",JNE,DIY Yogyakarta
1,"KALAU NGIRIM BARANG KESINI HINDARI YANG PAKAI KACAMATA (PETUGAS)

Atitude …",JNE,DIY Yogyakarta
1,"Paket dari tgl 4 sampai sekarang engga di kirim kirim, ada aja alesannya, JNE MAKIN KESINI MAKIN JELEK PELAYANAN DAN KUALITAS, UDAH COBA CHAT TTP AJA DIANTAR BESOK TERUS JAWABANNYA, DI UPDATE JUGA GAMUTU MANA PEMBELI TIDAK DI RUMAH. MANA LAGI KECELAKAAN.",JNE,DIY Yogyakarta
1,"mantapp, berkali kali status ""nobody at home"", Padahal ada orang di rumah. Kurir ga menghubungi via nomer telepon tertera. Ditunggu sampe 5 hari dari status paket dibawa ke alamat sama kurir, tiba tiba paketnya malah dikembalikan ke pengirim. padahal paket penting.",JNE,DIY Yogyakarta
1,"Pesan barang sudah satu minggu blm sampai rmh padahal alamat lengkap maps juga ada,sudah sampai dekat rumah malah kembali ke pusat,dapat info dari produsen nilangnya cs menolak padahal barang sampai rumah aja belum maksudnya gmn ya apa …",JNE,DIY Yogyakarta
1,"Tolong paket saya diantar. Udah 3 hari ga diantar² maksudnya gimana? Tinggal taruh di teras kan bisa, malah alasan penerima tidak di tempat. Ngapain anjrit, itu paket bukan COD. Tolong dongg, sabun muka saya abis dari kemarin nih. Masa cuci …",JNE,DIY Yogyakarta
1,"Paket saya tidak cod tapi keterangan kurir saya tidak di rumah, padahal orang di rumah ada semua untuk pihak JNE tolong di benahi kurirnya, kalah sama pengiriman tiki, paxel, j&t, shopee express, giliran di jalan mobil logo JNE kek orang …",JNE,DIY Yogyakarta
1,"Ngambil Paket Sendiri, Jam 17.00 Malah Istirahat Perusahaan Mana yang Sore2 Istirahat Hadeh. Agak Laen Emang. Ini juga Rating Tempat udah 3/5 begini belum mau Evaluasi Juga Nunggu Rating 1/5 atau gmn?",JNE,DIY Yogyakarta
1,"Laporan ke cs pusat hari kamis siang untuk jne jogja, tidak ada follow up nya. Hari jumat siang sudah laporan ke admin jogja sudah langsung di follow up. Sabtu siang dikirimkan, jam 7 malam hari ini 14 desember 2024 alasan tidak ada orang, …",JNE,DIY Yogyakarta
1,kacau nih kurir alamat udah lengkap nomor sudah di lampirkan tapi entah kemana anternya kalo paket murah ya ta terlalu pusing kalo udah berjuta juta itu ya harus hati2 dong masa sampe nyasar nganternya sampe sekarang kantornya di hubungi ga ada respon gimana nih tutup aja lah,JNE,DIY Yogyakarta
1,kurirnya gokil kl mau kirim paket ke alamat wa tau tau dpt notif status pembeli tidak ada di alamat tujuan,JNE,DIY Yogyakarta
1,"buat pak kurir kalau gak niat kerja mending gausah kerja, ngrugiin perusahaan aja, pantes bintang 1 semua dengan alasan yg sama, hari pertama gak ada dirumah dan hari kedua alamat tidak lengkap. padahal hari pertama dan kedua saya ada …",JNE,DIY Yogyakarta
1,Paket HARUSNYA udah diterima dari sebelum tanggal 5. Sampai saat ini udah telat 2 hari. Paket barang penting padahal. …,JNE,DIY Yogyakarta
5,"Mantap pelayanannya, garcep, parkir luas, tempat strategis gampang di temuin. Terus keamanannya terjamin, soalnya ambil paket pake KTP beda sama jasa kirim sebelah, masak ambil paket gak pake tanda bukti apa"" selain resi.",JNE,DIY Yogyakarta
1,"halo ini dari tgl 7 paket saya sudah sampe jogja tapi info di lacak resi nya ""nobody at home"" sampe skrg. padahal saya standby trs di tempat. apa susahnya telfon ke nmor yang di berikan? jangan asal memberikan notifikasi bahwa penerima tidak berada di tempat.",JNE,DIY Yogyakarta
1,"Tukang paket terlalu ngejar setoran harian!!! Bukan nya sabar 10-15 menit, sok sibuk!!! Makanya klo ambil order semampunya, jgn ambil kebanyakan trs ngorbanin waktu konsumen. Emang harus 24jam standby di rmh!!!",JNE,DIY Yogyakarta
