Rating,Reviews,Company,Province
1,"Kapok bener pakai YES, sudah 4 hari belum dikirim, entah hari ini dikirim apa ga hanya Allah yg tau.
Telfon kantor juga tdk bisa ditelfon. …",JNE,DKI Jakarta
1,"Pelayanan jelek, barang tidak sampai sejak 15 November alasan “YBS Tidak bisa dihubungi atau Rumak Kosong”. Padahal namanya kos-kos an kalau mau kirim barang bisa hubungi ybs dulu, kan tidak mungkin stay di gerbang. Pembohongan juga tidak …",JNE,DKI Jakarta
1,"Udh 2 hari Nunggu paket gak jalan-jalan, ini Kalian ngapain aja sih??? masa sortir hampir 2 hari mana belum nyampe. Barang penting loh itu mau dibawa keluar, kalo ketahan mulu kapan nyampenya. TOLONG SERVICENYA DI PERBAIKI. AKU TAU KALIAN CAPE TP ADA BARANG BARANG PENTING ORG YG MAU DIBAWA",JNE,DKI Jakarta
5,"alhamdulillah untuk pengiriman 1 hari termasuk cepet , ngirim dari kemarin jam 11 siang hari ini jam 1 sudah sampai ke alamat penerima , walupun udah deg deg an karna rating nya jelek tapi tidak seburuk itu",JNE,DKI Jakarta
1,sangat tidak membantu sekali pihak kurir menyuruh via ojek dengan menunjukkan ktp dan resi tapi ketika driver ojol sudah tiba malah disuruh pakai surat kuasa padahal ini sudah emergency tapi kantor mempersulitnya,JNE,DKI Jakarta
1,"Pengiriman payah. Dari pagi status paket diantar ke alamat tujuan, tapi sampai sore ditungguin gak diantar-antar. Padahal pake pengiriman next day, dan estimasi pengiririman paling lambat tgl 1 nov. Di telepon ke kantornya gak …",JNE,DKI Jakarta
2,"Lebih amanah lagi donk ..
Saya kirim paket packing udh double bublewarb.. pas di terima customer kardus robek masih bisa toleran.. kirim makanan 5 bgkus.. dtgl tinggal 3 itupun yg 1 tinggal separoh..  yg 2 ilang entah kmna..",JNE,DKI Jakarta
1,"Sangat mengecewakan jelas"" ada paket yg tidak sesuai dengan apa yg di beli tapi tidak bisa ngasih solusi ke penerima barang agar bisa dapat pengembalian dana , penipu bebas merdeka ngirim"" paket pake JNE",JNE,DKI Jakarta
1,Pelayanan kurir ya jelek dan tidak ada tanggung jawab ini barang saya udah hilang 1 minggu sama kurir ya cuma di bilang sabar² aja dan tidak ada kelanjutan ya sedangkan kita cast loh butuh kepastian barang ya gini jangan lari dari tanggung jawab,JNE,DKI Jakarta
1,"Pelayananya cacat , masa ada orang di rumah kurirnya info ga ada orang , kalau males kerja mending ga ush kerja sekalian , ga profesional amat",JNE,DKI Jakarta
1,"Payah bgt,, sdh 2 hri paket gk di anterin,,  pdahal status nya sdh di Jne Garuda,, dan hari ini status nya sdh pengiriman,, Tp tdk diantar2 smpai skrg,..",JNE,DKI Jakarta
1,"Pengiriman lambat .
Mohon JNE jangan ikut kurir rekomendasi ( Sayang langganan tokopedia plus buat dapat lelet begini) Lambatt pengirimanya sesama jakarta loh...
Masa kalah sama si anteraja / Sicepat.",JNE,DKI Jakarta
1,Paket dikirim 31 juli 2024. Lalu tgl 1 agustus paket tidak diantar dengan alasan rumah kosong. Lalu tgl 2 agustus paket diantar tapi ngakunya dititipin ke anggota keluarga padahal ga diterima. Jelek banget. Padahal paket mau dipake tgl 3 agustus tapi sampe tgl 3 agustus belum sampe juga.,JNE,DKI Jakarta
1,"Barang mahal menurut saya, beli dari ibox langsung tgl 29 Juni 24, sampai sore ini barang blm nyampe juga, padahal: …",JNE,DKI Jakarta
1,"Ini minggu tutup kah ? padahal jne YES harusnya sabtu minggu harus ada pengiriman , fak bgt mau gua samperin tutup",JNE,DKI Jakarta
1,Pengambilan secara langsung sangat buruk.. Pengambilan secara langsung dilempar tugaskan ke pihak security. Sudah 1 jam 42 menit sampai sy posting ini belum diambilkan.. Sangat Lambat dan Bad Attitude 👎 …,JNE,DKI Jakarta
2,"Proses sortir barang di tiap sortir center seperti disini bisa 12 jam bahkan lebih terutama utk yg pake gratis ongkir 😂, itu yg bikin paket lama sampenya ke pelanggan …",JNE,DKI Jakarta
1,"Kurirnya pada males ngsntar, sering bilang gada org di rumah, dan slalu laporannya jam 22.00-23.00, pdhal justru lgi lengkap anggota keluarga. Dan 5 x kirim via JNE, 5x hrs jadwal kirim ulang. Ntah kurir yg malas atau kekuranfan kurir atau admin yg ga jelas..",JNE,DKI Jakarta
4,"JNE pusat di Garuda, parkir motor/mobil luas, paket yg nyangkut atau ambil sendiri bisa disini, tapi sayang tidak terima kirim paket padahal kalau alurnya dari agen sortirnya ke sini juga. Akhirnya balik ke agen jne terdekat",JNE,DKI Jakarta
1,"g0bl09 banget cok sengaja kirim dokumen  pake YES biar cepet sampe tapi 6 jam ga ada progres di hub trakir sini lolot lolot emang pada males2 apa ya, next time JANGAN PERNAH LAGI KIRIM BARANG PAKE JNE",JNE,DKI Jakarta
2,Paket saya kaga sampai sampai melebihi estimasi parah,JNE,DKI Jakarta
1,"Perkiraan sampai barang di aplikasi hari sabtu, saya sudah nungguin dari pagi sampai mlm tdk ada kurir menghubungi antar paket, tibatiba status di aplikasi gagal diantar karna tdk ada org dirumah, dan sampai sekarang hari senin paket belum juga diantar. Segini paket masih sama sama jakarta, gimana kalau pesen dari luar kota!",JNE,DKI Jakarta
1,Ini JNE paling buruk. Katanya udah di telpon tapi ga ada yang masuk. Ini kurang orang kah kurirnya atau kurirnya yang malas. Tolong kurir2 ini ditindak. Merusak citra JNE. Paket 1 minggu belum tiba.,JNE,DKI Jakarta
1,WOY PAKET GUA KIRIM LAH GBLK UDAH 8 JAM KAGA ADA PROGRES GW PAKE YES BIAR CEPET SAMPE ITU DOKUMEN PENTING BLOKK. LU PADA KERJA GA SI? SORTIR DOANG SAMPE 8 JAM PERCUMA PAKE YES GADA PRIORITAS,JNE,DKI Jakarta
1,lambat banget ga kaya ekspedisi lainya,JNE,DKI Jakarta
1,"Sudah melewati batas waktu terima tapi Blum juga diantar ,di keterangan rumah kosong padahal Blum ada kurir yg menghubungi .Tangerang Jakarta 7 hari Blum sampe ,parah !",JNE,DKI Jakarta
5,Kangen kabeh personile area tanah abang 2024,JNE,DKI Jakarta
1,"ini JNE yang garuda kemayoran mending tutup aja deh, gak guna ada gudang, sortir barang aja bisa seharian, rugi saya pake jne yes sampenya bisa 3 hari, rugi diongkir, rugi dibarang mana pesanan orang. Giliran ditlp cs suruh tunggu tunggu …",JNE,DKI Jakarta
1,"Ampun deh, status pengiriman dari pagi loh “paket sedang diantar oleh kurir”.. tapi sampe jam segini belum sampe juga!!! Saya pakai JNE YES!!!! Kenapa selama ini???????",JNE,DKI Jakarta
1,"T*i banget kirim paket pake yes , tapi belum sampe padahal brang udh nyampe jakrta dari subu. Gua saranin jangn pake ni jasa pengiriman klw gak mau nyesel barang lu lama nyampenya,",JNE,DKI Jakarta
1,"Pakai YES dengan harapan paket penting cepat sampai, tapi setelah 2 hari paket belum juga sampai. Dan Paket jelas2 ditujukan ke alamat kantor tapi di antar jam 8 malam yang jelas2 sudah jauh diluar jam kantor sehingga tidak ada yang bisa …",JNE,DKI Jakarta
5,Tempatnya lumayan bagus parkirannya jg besar,JNE,DKI Jakarta
