Rating,Reviews,Company,Province
1,Bisa bisa nya salah sortir sampai ke Limboto mana barang mahal lagi padahal alamat sudah tertera jelas,JNE,Gorontalo
1,"KECEWA.
pakai JNE YES 1hari,dan di cek hari berikutnya masi di GTLO.
Padahal paket JNE YES yg 1hari Rp.165.000 1hari sampai.kenyataan tidak seperti …",JNE,Gorontalo
1,Jne kocak paket saya dr tgl 12 sampe sekarang blum ada kjlasan mna barang mahal,JNE,Gorontalo
5,Pelayanan Cepat. Barang Kecil bisa Packaging di tempat dengan biaya tambahan yang terjangkau.,JNE,Gorontalo
1,Saya kecewa sama JNE gorontalo. Saya transaksi pembelian barang dari gorontalo. Nomer rensi sudah keluar saya cek ke input. Berapa menit saya cek lagi keterangan nomer resi tidak di temukan. Klo pembatalan pengiriman seharusnya petugas ngabarin ke penerima barang. Bukan langsung di batalin. Saya rugi 5.750.000,JNE,Gorontalo
1,"2022 sy kecewa dgn pelayanan dari JNE yg sangat lambat dalam mengantar paket, padahal barang sudah sampai di Gorontalo. Sy pikir 2024 ini sistem pelayanan dari JNE telah berubah ternyata masih sama. Barang tiba di Gorintalo 12 Februari. Sy …",JNE,Gorontalo
1,"Sangat buruk dan sangat lambat untuk kantor cabang ini, pesanan sudah sampai dari kemarin tapi masih di tahan di kantor cabang yang ini, pake yang reguler berasa pake paket yang hemat, emang paket reguler pengiriman seminggu lebih ? mending beralih ke si cepat atau j&t economy yang udah jelas sampe kapan",JNE,Gorontalo
3,Janji hanya 4 hwri tiba di Gorontalo... Dari tracking hari kamis SDH sampai... Tp TDK d antarkan Sampai hari ini... Pas di periksa TDK melihat alamtlat lgkp di lempar ke JNE cabang yg jauh ... Akhirnya tambah ongkir LGI Krn harus ambil …,JNE,Gorontalo
5,"Lokasinya pas disamping citymall, kantornya bersih, pelayanannya excellent",JNE,Gorontalo
1,"NOMOR CS GORONTALO GABISA DI TELFON, padahal dihubungi di jam bukanya, malah ga diangkat👎👎 …",JNE,Gorontalo
4,"Playanan ramah dan cepat, trus pertahankan 👍🏻🙏🏻
Tapi untuk kurir pengiriman tolong lebih di percepat lagi, status barang sudah di gorontalo kadang delay sampe 2 hari terima kasih …",JNE,Gorontalo
2,"Ini JNE lama skali b up status pengiriman,, nda kayak yg sbelah,, masa barang sudah dua hari blum ada kejelasan masih dikemas blum dijemput,, pdhal dari toko Blang barang sdah dijemput,, baru skarang so 5 hari, maso blum smpe jga di Gorontalo,, kalau jasa sbelah 3-4 hari barang sdi tangan,,",JNE,Gorontalo
4,ada nmor kurir bagian tamalate? soalny nmor yg di paket so nda aktf,JNE,Gorontalo
1,"Kea skali jasa pengiriman JNE ini, kita pe paket smo 3 hari dorang tahan tahan. Torang ba pesan itu berarti perlu, bukan cumn ngoni seenaknya tdk mo ba antar",JNE,Gorontalo
1,"Telepon ga pernah diangkat. Kirim dr bandung ke manado.. Koq nyasar sampe Gorontalo.. 7hari ga sampe"" pdhl paket Reguler........",JNE,Gorontalo
1,"Sudah 3 hari paket saya masih d gudang, belum ada kurir yg ngantar ke saya, padahal itu paket dekorasi ultah anak saya yg ke 1thn, mana sudah memperpanjang masa garansi shopee pula, hmm",JNE,Gorontalo
5,"Sangat Nyaman, bersih dan Rapi",JNE,Gorontalo
1,"Pelayanan'nya sangat tidak memuaskan, paket sdh hampir 1 bln blm ada kabarnya, paket saya beratnya hanya1kg dan ongkos kirimnya 500.000 tp pelayanan lambat seperti keong, kecewa saya dgn perusahaan JNE gorontalo ini",JNE,Gorontalo
1,"So bole mo tutup ni jne jo,pe lama skali barang so digorontalo dorang tida mo kirim"" so perlu skali padahal,riki so chat minta lokasi ada tanya kasana jam brapa mo antar bo dorang ja read kasana",JNE,Gorontalo
1,"Buruk,,, kurir Tdk mau antar paket. Maunya jemput d kantor.. kapok pakai JNE",JNE,Gorontalo
1,JNE cabang gorontalo punya niat kerja ngak sih paket sdah 4 Hari di gudang gorontalo kenapa tidak di antar ke alamat tujuan sudah di bayar parah JNE TAI,JNE,Gorontalo
1,"Parah ekspedisi ini,,lelet bgt kerjanya,,sudah sampai gudang mulai kemarin jam 10 pagi bukannya langsung dianter tapi dipendem dulu digudang..",JNE,Gorontalo
1,"Tolong utk manajemen Jnt cabang pusat Gorontalo, tlong perhatikan dan tegur Jnt lakeya, untuk kinerja di tingkatkan. Kurir tidak pernah mngantar paket ke lokasi saya, sdah 4 paket saya jemput sndiri. Padahal brang sdah sampai bahkan sdah 4 …",JNE,Gorontalo
1,"Jne cabang popayato mengecewakan banget, kebanyakan semua paket disuruh ambil sendiri, padahal udah bayar buat pengirimin versi dianter langsung, bukan ambil sendiri, saya juga udah bayar , baru 15 menitan ga direspon chatnya udah langsung …",JNE,Gorontalo
1,"Kayaknya ada kurir yg bermain,, sdh melewati istimasi belum jg barangnya di terima . Dh ada pemberitahuan lagi menuju tempat tujuan tapi di tunggu2 ngk datang2.",JNE,Gorontalo
1,Sangat mengecewakan!!!!.. Kemarin dan sampai saat ini  saya sudah berapa kali WhatsAppS tetapi tidak ada balasan sama sekali dari pihak jne tersebut. Padahal di profil WhatsApp tercantum HANYA MELAYANI DENGAN CHAT!!.... Dimana saya …,JNE,Gorontalo
