Rating,Reviews,Company,Province
1,"JNE ap ga capek nerima komplinan trus hrusnya perbaiki donk cara krja org"" dlapangan itu, biar costmer ga marah"" mulu biar brg cpt smpai, bukannya ditunda pengantarannya. 👎👎🤬 …",JNE,Jambi
1,"Ekpedisi cacat, masak paket 2 hari proses ke alamat mulu,  mana keterangan nya pembeli tidak ada di lokasi, jelas"" rumah ga pernah ksong. malu"" in, ekpedisi besar tapi kurir nya cacat semua, kalau ada masalah dengan alamat, ya hubungi nmor tertera dong, jgn gaptek jadi kurir",JNE,Jambi
1,"Kurirnya ga banget, songong nian. Ga mau anteri paket sampe tujuan malah nyuru ambil sendiri terus malah dibilang jangan pakek jne lagi karna ini. Buat pak gabal kalau ga mau anterin paket jangan jadi kurir pak, GWSlah pak",JNE,Jambi
1,"Nyesal pakai jasa ini lama kali sortir barang nya lebih seminggu GK diantar, org butuh cepat gua jadi rugi ini",JNE,Jambi
1,"Gakjelass, paket dah seminggu lewat dr estimasi, malah status pngiriman brubah udah diantar, pdahal gk nerima barang apapun. Tai",JNE,Jambi
1,"Untuk temen temen yang beli di toko orange khususnya cuman tersedia ekspedisi BUSUK ini, mending dipikir pikir lagi daripada paket kalian gak sampai. Paket saya sudah 6 hari berada di Gudang JNE Jambi, 5 hari yang lalu saya ke JNE pasir …",JNE,Jambi
1,"Sumpah saya sangat kecewa dengan pelayanan kalian. Saya terpaksa pake jasa kalian karna tidak ada pilihan lain di shopee selain kalian. Kalian benar2 keterlaluan. Barang stuck di gudang berhari2 hampir seminggu, saya mau ambil sendiri jg …",JNE,Jambi
1,"Hampir seluruh pelayan JNE sangat buruk , paket berhari hari ngendap digudang tidak dikirim , sudah pernah komplain langsung dikantor cabang dekat rumah tapi direspon buruk , katanya "" langsung komplain ke pusat bae""😤 …",JNE,Jambi
1,"JNE sebaiknya tutup saja , sudah terlalu banyak komplain tapi pelayanan tidak diperbaiki. Barang sudah 8 hari mengendap di gudang tapi sampai sekarang tidak dikirim , semoga seluruh aplikasi jual beli tidak ada lagi yg pake JNE amiiiiiiiin",JNE,Jambi
1,"Gw kapok pake jne Jambi ! Ini kmren gak ada pilihan lain dr si oren hanya ada karjo jne. Tolong kalo udh byk komplen brg brg gak d anter cepat tolong armada ditambah. Bilang ama boss lu, org gak bakalan mau lagi pake expedisi macam lu ! Jangan pelit kalo gak mau bangkrut",JNE,Jambi
1,"Parah ini, pengiriman 1 kota jambi ke jambi dr tnggl 25 April smpe tnggl 2 may ga nyampe2, kalo emang g bisa di kirim, kirim balik aja ke pengirim.
Update sampe tnggal 21 May ngak dateng2 paketnya. Ampun lah JNE Jambi nih",JNE,Jambi
1,"PARAH BANGET paket sudah 4 sampai tapi belum diantar juga, dari awal sudah memang was2 tapi di toko hijau tidak bisa pilih expedisi, JNE  TUTUP AJA",JNE,Jambi
1,Ekspedisi paling buruk dalam estimasi pelayanan nya. Barang sudah 5 hari ngendap di gudang tidak kunjung diantar. Barang besar. Malah disuruh jemput sendiri. Percuma aja bayar mahal mahal tapi jemput sndiri. Semoga JNE tutup dalam waktu dekat,JNE,Jambi
1,"Parahhhhh katanya Kantor Pusat JNE tpi di tanya soal barang dimana?, jawabnya ""ngk tau udh sama kurir"" dan mereka tidak tau kurirnya siapa dan berapa nomernya"" berarti barang nya nyampe disana main lempar-lempar aja ke tukang ojek mungkin....",JNE,Jambi
1,"Pelayanan terburuk, pengiriman antar pulau cuma makan waktu 3 hari tapi barang stuck di gudang 5 hari. Kalo ga di protes 3 hari berturut-turut ke CS barang gabakalan diproses. Kendala juga, punya 3 nomor resi dan saya cuma request 1 resi …",JNE,Jambi
1,"Paket Pelanggan tokopedia Gue ga kunjung di anter juga sudah sampai seminggu, masih mendap di gudang sortir. padahal itu paket masih 1 kota,hanya saja itu dikirim ke sabak sana, JNE jambi Buruk banget,semoga cepat tutup",JNE,Jambi
1,"Jne jambi kalo ga sanggup tutup aja ga usah beroperasi!
Paket udah berhari hari ngendap di gudang ga dianter anter, status pemesanan ga berganti, melebihi batas maksimal estimasi pengiriman, sudah dikasih opsi kalau …",JNE,Jambi
1,"EKSPEDISI PALING AMPAS DI JAMBI, PAKET BARU SAMPAI JAM 8 PAGI,TIDAK DIANTAR MAUPUN DIHUB PENERIMANYA, DISAMPERIN KE GUDANG TAU-TAU UDAH RETURN SEPIHAK, PADAHAL INI EKSPEDISI PUNYA NAMA BESAR TAPI KHUSUS DIDAERAH JAMBI SANGAT AMPAS SEMOGA SEGERA DITUTUP AJA MENYUSAHKAN CUSTOMER E-COMMERCE YG TERPAKSA OTOMATIS PAKE INI EKSPEDISI 😡 …",JNE,Jambi
1,Emg parah ni expedisi tiba2 pesanan saya dibatalkan di shoppe padahal barang udah di gudang jambi.. kalo emg ga bisa antar bilang aja biar saya ambil sendiri…,JNE,Jambi
1,"Saya lagi ada masalah nih,paket dari bandung ke jambi,ternyata ke konsumen kurang paketnya range harga barang 30jtan
Dipinta keterangan/cctv pihak jne jambi gamau kasih,kan kocak!!!!
Jne lempar shope,shope lempar jne kocakkk",JNE,Jambi
