Rating,Reviews,Company,Province
1,"Pengiriman tidak pernah tepat
Sudah beberapa x pake pengiriman ini selalu lama
Atau gak sampe k rumah jam 11 malam . …",JNE,Jawa Barat
1,"Telat kasih ulasan untuk JNE Galuh Mas

JNE YES (Yakin Esok Sampai) …",JNE,Jawa Barat
1,"Paket gasampe sampe udah lebih 3hari dari estimasi, tiba tiba gagal pengiriman dan catatannyaa pelanggan menolak untuk membayar. Woy anda datang kerumah saya saja tidak yaa! …",JNE,Jawa Barat
1,"Hari ketiga, aket dibawa kurir tapi gak sampe sampe padahal alamat udah lengkap, nomer telepon aktif, tapi keterangan alamt tidak lengkap. Gak akan lagi pilih ekspedisi JNE biarpun free ongkir. Bad",JNE,Jawa Barat
1,jne pengiriman terburuk sih..3x paket d antar ke tujuan..gagal terus..dengan alasan alamat tidak sesuai..padahal kurir lain tidak pernah tuh nyasar..alamat masih sama padahal..tolong pelayanan nya d perbaiki lagi..,JNE,Jawa Barat
1,woyy anterin paket gw weyy. setiap paket gw di lewat kirim ke JNE pasti lama.. padahal udh sampe di gudang nya tapi lama trus sampe 2/3 hari di gudang nya ajah.. pada becus kerja ngga sih lu,JNE,Jawa Barat
2,"Pakenya lama sampe, udah 2 hari diantar ke alamt tujuan. Pas hari pertama infonya tidak ada orang dirumah, jdi dikirim besok, padahap seharian ada dirumah, udah 48 jam ga sampe2 😑 …",JNE,Jawa Barat
1,Kenapa status pengirimanya gagal kan disitu ada no telponya kenapa ga telpon ajan malah gagal saya udah tungguin paketnya sampai jam 10 malam dari jama 1 siang...parah mendingan tutup aja jne ketimbang merugikan orang,JNE,Jawa Barat
1,"Maaf sebelum nya,saya sangat kecewa sekali dengan pelayanan pengiriman paket pas pengiriman ke rumah, estimasi 2 hari sedangkan paket sudah telat 3 hari belum sampai juga ke rumah, padahal saya sudah me respon titik lokasi rumah saya,toh …",JNE,Jawa Barat
1,"Baru kali ini sih pengalaman yang sangat menyebalkan .
Kan di ekspedisi nya 2 - 3 hari sampai. Lah kemaren di gudang JNE galuhmas aja 2 hari gak gerak. Terus giliran status udah diantar udh ditungguin sampai malem …",JNE,Jawa Barat
1,"Paket saya tidak di kirim2, pdhl waktu sampai harusnya tgl 4, smpe skrg pun tak kunjung datang, keterangnya alamat tidak lengkap, pdhl ada nomor tlpon saya tinggal WA aja. Gak profesional,",JNE,Jawa Barat
5,"Beberapa kali kirim paket dari sini. Biasanya saya kirim kamera Gopro menggunakan layanan Yakin Esok Sampai (YES) dengan packing kayu dan asuransi. Pelayanannya sangat baik, pegawainya mampu mengemas barang sesuai dengan permintaan saya …",JNE,Jawa Barat
1,"Paket dari tgl 7 sampe tgl 14 januari 2025 belum  nyampe2, pelayanan jne dari dulu sampe sekarang gk ada perubahan. Jelek, titup aja jne gk guna",JNE,Jawa Barat
1,"Ga pernah Ontime selalu lewat batas estimasi + sikap kurir tidak Ramah Berkata² buruk Tidak sopan, Kurir tidak Berpengalaman tentang alamat,",JNE,Jawa Barat
1,"Pelayanan buruk sekali. Banyak paket yang tertunda disini. Saya pernah coba ambil paket disini, ternyata banyak orang yang mengalami hal serupa. Antrian banyak dan membludak. Pelayanan sangat lama. Ruangan pengambilan paket sangat sempit …",JNE,Jawa Barat
1,"Riwayat barang kalo udh sampe sini, dipastikan sampe ke penerima bakal lama lagi. Ga becus kalo kerja. Ini management nya atau karyawan nya yg harus diganti. Kasian JNE jd tercoreng. Padahal alamat lengkap nomor telepon juga ada. Apa susahnya WA ke nomor penerima. Goblok banget yg kirim paket",JNE,Jawa Barat
1,"Kayanya pelayanannya emg busuk ni JNE sini. Kirim dri tgl 13, pgi ini cek statusnya malah alamat tidak lengkap/tidak dikenal padahal udh nulis alamat lengkap bgt dan cantumin nomor hp penerima. Baca2 review yg lain jga banyak yg …",JNE,Jawa Barat
1,"JNE paling payah, kacau.. jangan pake ekspedisi ini.. paket dr tgl 12 sampe tgl 18 belum nyampe. Harusnya Nyampe tgl 15. Yg alamat tdk ditemukan. Yg alamatnya salah lah. Kurir dtelp ga direspon. Kapok ngga lagi pakai ekspedisi ini. Sangat tidak profesional..",JNE,Jawa Barat
3,Kenapa jne kualitas semakin buruk dalam pengiriman paket selalu terlambat padahal saya pesan paket tanpa gratis ongkir.,JNE,Jawa Barat
1,"Paket udah di warehouse 2hari, di ambil sendiri gak bisa,katanya lagi di sortir. Katanya mau dikirim, eh ditungguin gak dateng2 ... Tutup aja udah kalah ama yg lain pelayananya. Kalo bisa milih jasa ekspedisi gak bakal pilih jne. Bayar pun gpp .......",JNE,Jawa Barat
1,"Judul pengiriman YES, namun barang datang sama saja seperti Reguler. Mohon diperbaiki, apakah traffic terlalu padat atau kendala di system??",JNE,Jawa Barat
1,"Paket dari toko sesuai pengemasan 4 barang
Pas sampe cuma 3 barang
Tolonglah jne jngan ambil yg bukan haknya …",JNE,Jawa Barat
1,"Jne kurang propesional. Paket orang tidak di sampein , malah di kirim lago ketokonya",JNE,Jawa Barat
1,"Gajelas, paket 3 hari statusnya alamat tidak ditemukan. Ada kurir yang WA, dari pagi ga sampe² ini paket.!! CS dihubungi gada di angkat, mending hapus layanan CS aja deh",JNE,Jawa Barat
1,Paket sudah di kurir 2 hri gk sampe2. Pdhl alamat jelas dan ada no. Hp kan kl gk tau lokasinya bisa wa/tlfn mlh di noted alamat tidak lengkap pdhl udh lengkap bgt  LAWAK GAK TUUUH???!!!,JNE,Jawa Barat
1,"Emng ini sengaja apa gimana sih kurirnya, paket udh nyampe di gudangnya, dan tulisan kurir sedang mengantar, tapi sampe 2 hari blm nyampe² , alasan alamat tidak valid matane",JNE,Jawa Barat
1,"Parah. Paket sudah dibawa kurir, tapi entah kenapa gagal dikirim. Trus diantepin di gudang.. eh baru 2 hari kemudian dikirim.
Dahlah pindah ke JnT aja.",JNE,Jawa Barat
1,"Lamaaa, pelayanannya kurang all out, gamau ngusahain nyari barang yang mau diambil. Very bad 👎
Edit: emang tolol asli kurirnya, gapaham lagi dah 🤦 …",JNE,Jawa Barat
1,"Sangat buruk .
Sangat tidak layak untuk jasa pengiriman barang.
Setatus Barang tidak diketemukan alamat. …",JNE,Jawa Barat
1,"Gajelas banget JNE galuh mas ini. Haha hihi doang. Gak recomended banget pokonya buat warga karawang mending pakai ekspedisi lain aja. Paket gk jadi d antar dg alasan alamat tidak ditemukan/tidak lemgkap. Tai lah, sebelumnya gw ada paket …",JNE,Jawa Barat
1,Paket hilang didatengin ke gudang ternyata diambil oleh leadernya udah 2x kejadian kaya gini. Jne bukan belajar malah makin jelek banyak pencuri,JNE,Jawa Barat
1,"dr dl selalu telat nyampe customer..pdhl paket yes yg sehari hrsnya nyampe..ini udah hari ketiga dan sudah sore jg, tp paket blum sampe2.itu sengaja pake yes Krn Frozen food.klo emang ga bs mengestimasi kpn sampai k customer tepat waktu. ga …",JNE,Jawa Barat
1,"Jne kagak jelas pengiriman dari Bekasi ke Karawang mau seminggu belum sampe2 . Alamat sudah d tulis lengkap, malah di keterangan alamat tidak ditemukan, g ada wa g ada telpon gda info apa2 padahal nomer sudah tercantum",JNE,Jawa Barat
1,"Paket gua oy , pengantaran dari pagi
Sampe jam 21:28 kaga nyampe juga .
Padahal gua kirim pake kargo itu , sebanyak apa sih isi mobil , hetdah .",JNE,Jawa Barat
1,"Coba besok lagi kalo rekrut karyawan dicek matanya dulu, kurirnya pada buta ga. Paket alamatnya jelas bisa salah kirim. Eh ga tau juga beneran salah kirim apa ditilep kurirnya",JNE,Jawa Barat
1,"Paket ngga dianter2 alasannya penerima tidk ada ditempat,,
Padahl 24jam stay dirumah emang dasar belum dianter ajah bikin alesannya mengada2 …",JNE,Jawa Barat
1,Kurir nunda pket seenaknya pengiriman jam 2 tau2 gajdi ngirim dengan alasan penerima ga ditempat padahal ga ngehubungi sma skli.... Truss udh ngirim dri pagi... Ngubungin jam 12 smpee sore blm di kirim2 juga parahhh bangett sihhh ini mah,JNE,Jawa Barat
1,"Kurir gk jelas, lama, udah di kirim alamat full sama foto masih gk tau, paket sampe 2 hari batal di kirim trus",JNE,Jawa Barat
1,minusss 100000 buat jne parah jelek banget pengirimnya lambat. dikirim barang ngasal disimpennya udah sejam nyari2 paket tapi ga nemu dimana disimpennya. padahal alamat detail udh jelas disimpen di rumah orang mulu. fungsinya alamat buat ditaruh didepan rumah labgsung bukan dititip2. PARAH JELEK BANGET,JNE,Jawa Barat
1,"Aturan paket sampe tgl 14 kemaren ,tp ada keterangan alamat tidak lengkap!! Pdhl dr ekspedisi lain nyampe semua ! DAN d tunggu sampe mlm ini tgl 15 belum sampe juga! WOYYYYYY barang mau d pake nihhh !!! Pdhl ana nmr tlpn tp ga d hubungi sma skli !!!!!!",JNE,Jawa Barat
1,"3x jne cargo ini jelek banget, paket ditunda dengan alasan penerima tidak ada ditempatlah, alamat tidak lengkaplah. Padahal dipaketnya udah ada kontak biar bisa dihubungi, kenapa ga hubungi si penerima paket si? Padahal alamat lengkap seperti biasa kalo kirim paket",JNE,Jawa Barat
1,"I said sorry,, JNE Galuh Mas ini JEEELLEEEKK BANGETTT BANGETTT BANGETTT, saya pikir hanya saya saja yang merasakan tapi ternyata pengguna lain seteluk jambe dan sekitarnya, pelayanannya buruk bangeett, ternyata banyak paket yang tidak …",JNE,Jawa Barat
1,"JNE taii kurir goblog udah 2 hari pesanan gua ketunda, alasan penerima tidak ada dirumah atau alasan alamat tidak lengkap. Najisssss banget padahal gua dirumah terus. Ekspedisi JNE BURUKK ! 👎 …",JNE,Jawa Barat
1,"Busuk, paketnya lamaaa, dah nyampe gudang aja mau diambil masih suruh nunggu lagi, mana lama lagi, gamau nyariin 😑 …",JNE,Jawa Barat
1,"JNE karawang buruk, JNE dikota orang mah mulus mulus aja. ini sumpah buruk bangettt. pengiriman lelet, gaada rating yang paling rendah gitu?",JNE,Jawa Barat
1,"Jelek banget jne galuhmas, padahal keterangan alamat sudah lengkap dan sering ada paket masuk. Tapi alasannya kurir tidak dapat menemukan alamat.",JNE,Jawa Barat
1,JNE ada apa yaa  .?? Paket saya sudah 2 hari pengiriman gagal terus?? Kalo tidak tahu alamat kenapa gak hubungi nomor yang tertera??,JNE,Jawa Barat
1,"Lagi dan lagi barang selalu lelet dikirim nya dulu beli sepeda anak nyangkut berhari² di jne galuh berujung ngambil sendiri ke gudangnya, dan disana juga pelayanan nya lama bgt antri berjam jam....sekarang juga masih sama aja ga ada satset nya dr kemarin status nya sortir trs kaga ada kemajuan parah bgt sih ini",JNE,Jawa Barat
1,Setiap beli online jasa kirim nya JNE karawang pasti ngaret nyampe satu minggu parah gada tanggung jawab nya emang,JNE,Jawa Barat
1,"Alasan alamat tidak lengkap,, udah 3 hari paket diproses pengiriman ulang terus, nelfon ke gudangnya minta nomer kurirnya biar saya bisa hubungi langsung ehh bilangnya ga boleh memberi nomer kurir ke customer,, terus harus gimana,,paket …",JNE,Jawa Barat
1,"Pake JNE YES karena butuh banget paket nyampe besoknya, eh sampe malem ga ada. Saya malah tidur sampe jam 12 malam, di sistem jam 10 katanya penerima tidak ada di alamat. …",JNE,Jawa Barat
2,"Keterangan nya jam 12:21 di kirim ke rumah tapi udah jam 17:28 masih belum sampe juga paket nya, masyallah ngga tau kemna tuh paket nya",JNE,Jawa Barat
1,Paket saya kemana ya udah tiga hari ketahan belum juga datang bilang nya alamat tidak ditemukan kan tinggal whats up itu no nya ada di paket gimana nih jne,JNE,Jawa Barat
1,"bkin customer rugi
Pengiriman lamaaaaa bgt, pelayana kureeng. Ekspedisi bikin kapoooooookk!!!!!!!!!!!!!! …",JNE,Jawa Barat
1,"Kirim paket makanan 7kg ongkir sampe 128rb tapi paket kagak dikirim malah suruh ambil di gudang. Katanya udah ke lokasi tapi kagak ada yg kenal, yang bener aje, tapi oke masih sabar dan toleransi walaupun dah gedek bgt. Pas ditlpn ke kurir …",JNE,Jawa Barat
1,"Status paket di terima yg bersangkutan,trs bukti poto rumah org lain,kocak ini kurir ngirim ke rumah sapa woi.tolonglah di seleksi kurir nya",JNE,Jawa Barat
1,"Ambil paket sendiri 2 kali di tolak alesan pertama : Sudah tutup
Alasan kedua:  Sedang istirahat
Alasan ketiga (pakai gojek) : gak ada alasan (gak bisa di ambil) …",JNE,Jawa Barat
1,jelek amayy pengirimannya kagak di kirim ampe di balikin lagi ke seller pantes ra payu wkwkwk,JNE,Jawa Barat
1,Tlg seller lebih peduli customer. Jgn pake jne buat ngirim barang gede. Ga nyampe brgnya pdhl udh bayar full,JNE,Jawa Barat
