Rating,Reviews,Company,Province
1,"JNE kurang Profesional... 2 hari barang muter2 disemarang, kalau memang alamat kurang jelas kan bisa ditelpon nomer yang tertera dipaket... kita ngalahin ke gudang JNE pun barang gak bisa diambil... padahal barang itu urgent mau dipakai besuk pagi....",JNE,Jawa Tengah
1,"Saya ada barang kiriman dari tokopedia sudah diterima di madukore dari tanggal lima september, sampe tanggal 11 ga dikirim, terus tanggal 12 menurut tokopedia sudah terkirim. Dirunah saya ada CCTV depan rumah, tidak ada kurir JNE yang …",JNE,Jawa Tengah
5,"Terimakasih JNE
Paket saya sampai dengan aman & selamat, karena ada layanan asuransi serta paking kayu yang di sediakan, sangat membantu dari saya sebagai seorang seller penjual barang.. sukses terus untuk kedepannya 👍 …",JNE,Jawa Tengah
5,"Trimakasih JNE Expres paket saya sudah dikirim dengan tepat waktu dan amanah kurir nya sangat ramah dan baik👍
( JNE IS THE BEST ) …",JNE,Jawa Tengah
2,"Order via S****e oleh seller (pekalongan) udah diserahkan tgl 16 des'24, biasanya ekspedisi lainnya sehari setelahnya/lusa barang udah datang, lha ini sampai skrg tgl 19 des'24 (3 hari) belum on hand padahal urgent mau dipakai, sebenarnya …",JNE,Jawa Tengah
5,"Recommended expedision 👍🏼 cs di wa fast respon, dikasih info update tracking dan jadwal transit kurir juga 👍🏼 barang sampai dengan selamat dan tepat waktu …",JNE,Jawa Tengah
1,"Masa EKPEDISI butamaps sih. Managementnya sih, masa iya paket bisa salah gudang
dari gudang madukoro ke jatisari abis itu ternyata harusnya paketnya ga ke jatisari. trus balik lagi ke madukoro …",JNE,Jawa Tengah
2,"Ternyata keluhannya semua sama, nobody at home wkwk padahal dirumah ada orang terus, padahal juga seharusnya kalau di paket tertera nomer telfon ya kok tidak ada inisiatif untuk telfon? Atau WA? Padahal ekspedisi lainnya konfirmasi setiap …",JNE,Jawa Tengah
1,Tidak ada konfirmasi apapun tidak ada wa yg masuk. Saya memberi titik kordinasi di kontrakan kenapa malah di antar ke rumah orang tua saya? Dan isi barang sudah di bobol+pihak gudang seperti menutupi kurir tersebut,JNE,Jawa Tengah
1,barang belum diterima tapi keterangan sudah diterima oleh yang bersangkutan. dan heran nya kenapa ya kurir JNE tidak ada inisiatif buat menghubungi customer kalo memang ada kesulitan alamat atau lainnya.,JNE,Jawa Tengah
1,"berhari2 status alamat salah,padahal alamat sudah jelas, kurirnya aja yang kurang cerdas kan ada no wa mbok y dihubungi,hari sabtu malam jam 22.15 status dikirim rumah kosong, padahal dirumah banyak orang, sebenarnya niat gak sih...tolong dong SDM diperbaiki...terimakasih",JNE,Jawa Tengah
1,"Blacklist JNE! Kerjaan lu tu kirim paket isi nya barang org… dan barang di dalem paket itu penting! Bisa” nya di banting kyak gtu, itu magicom smpek rusak, pelayanan jlek bnget… ga ngotak, tolol!!!",JNE,Jawa Tengah
1,"Barang sudah sampai di gudang madukoro (status tracking), tapi barang gak diproses2 padahal saya kirim paket kilat mandek lama di gudang gak segera diantar. Telpon CS sampai 4x gak guna, liat review google ternyata gudang madukoro ini …",JNE,Jawa Tengah
5,"Selama ini saya menggunakan JNE tidak pernah ada masalah, JNE selalu amanah dan mengirim tepat waktu, pengiriman paket diterima selalu baik dan kurir juga ramah, thanks JNE semoga jaya selalu dan terus memberi pelayanan terbaik untuk konsumen.",JNE,Jawa Tengah
1,"Kasih bintang berapa deh kalo paket ga dikirim2, alasannya NOBODY AT HOME, sementara antarnya ke resto yg tiap hari buka (?) Fungsi no HP dicantumkan di paket ya spy penerima bisa dihubungi. JNE itu paling mahal loh klo dibanding ekspedisi …",JNE,Jawa Tengah
1,"Pesan barang lewat Tokopedia pakai JNE dg rute madukoro:

Pesanan 1. Barang rusak. Jebol kemasan. …",JNE,Jawa Tengah
1,"Paket saya yang ke malang mana
Gak dikirim2
Resiko gratis ongkir dr tokped ( kurir JNE ) …",JNE,Jawa Tengah
1,"padahal pesan paket udah 3 hari ini disini tapi ga di kirim kirim ke rumah dengan alasan alamat tidak lengkap, pdahal udah dikasih alamat lg lewat wa, cuman dijanjiin mulu, ga lagi lagi buat pake jasa ini. ngerugiin orang! kalo ga niat kerja mending selesai tutup aja kelar.",JNE,Jawa Tengah
5,"Alhamdulillah paket saya sampe dengan cepat
Makasih JNE
Lhas lhes sat set …",JNE,Jawa Tengah
3,Kurirnya gak prnah mau chat kalau ada kondisi tidak ada penerima. Harusnya chat nomer yang tertera. Bukan malah barang dibawa lagi,JNE,Jawa Tengah
5,"Alhamdulillah paket yang saya pesan lewat ekspedisi JNE cepat sekali sampai rumah , kurirnya juga ramah dan JNE selalu jaya terus di udara . ""JANGAN PERNAH BERHENTI BERUSAHA , SEBELUM SEMUANYA BERAKHIR .",JNE,Jawa Tengah
1,"Sangat2 buruk pelayanannya. Barang sudah sampai tp tidak segera dikirim ke customer. Dan diketerangan resi selalu alasan template, ""rumah kosong/tidak dpt dihubungi"" …",JNE,Jawa Tengah
1,Mohon JNE yang di madukoro. Kalau ada paketan yang TUJUAN KENDAL. HARUSNYA DI KIRIM KE JNE  LOKASI KENDAL. BUKAN KE JNE JATISARI SEMARANG.. KAN MALAH BERHENTI DI JNE JATI SARI..SAMPAI BERHARI 2  BARU KE KENDAL KAN PERCUMA KE JATI SARI,JNE,Jawa Tengah
5,Sangat cepat waktu . Matursuwun JNE .JNE juga ada dirumah sakit sultanagung Semarang,JNE,Jawa Tengah
