Rating,Reviews,Company,Province
5,"Yg review jelek, fix buzzer.
Ini jne semua staff nya ramah, sama security2nya juga baik bgt, klo hujan dipayungin, ada playgrounf buat bocil, ruang tunggu oke!",JNE,Jawa Timur
5,"Pelayanan memuaskan,cuman sekarang blm buka 24 jam lagi sejak pendemi🙈 …",JNE,Jawa Timur
1,"Service YES namun barang belum sampai, telpon call  center pengiriman tanggal 3 jika YES katanya tanggal 5.. good …",JNE,Jawa Timur
1,"Kalo ada yang bintang 0 pasti sudah saya pilih, beli online pake ekspedisi JNE... 5 hari barang tertahan di JNE, sampai hari ke 10 ternyata barang tidak terlacak(maksudnya gmn ya? apakah hilang barangnya?)harus refund dan membutuhkan waktu yang lama.... sungguh mengecewakan....",JNE,Jawa Timur
5,"Pelayanan Sangat bagus dri depan udah di sambut dgn satpam yg ramah dan di arahkan , jdi kita ga bingung mau pengambilan barang, pokok nya pelayanan nya joss mulai dari depan sampai di dalam",JNE,Jawa Timur
5,"Sering kirim barang di sini, staff oke dan sat set. Pengiriman barang selalu lancar dan aman. Promo sekalian barangkali ada yang cari diecast brand apapun bisa cek IG diecast_erdi tersedia juga di Shopee🤩 …",JNE,Jawa Timur
1,"pelayanan kurang memuaskan!!! saya pakek jasa YES Medan-surabaya.. yg dijadwalkan 1Days jadi 2Days. saya pikir dengan membayar 91K saya dapat playanan estimasi yg bagus. tapi nyata nya gak ada.. CS dihubungin dikomplain malah jawab sabar dan sabar..
hadehhhh!!!!",JNE,Jawa Timur
1,"Sangat sangat tidak memuaskan, paket tidak sesuai ketika di lacak resi tidak sesuai dengan aslinya… keterangan dikirim ternyata tidak, admin juga tidak ramah . Slow respond. Di kirim dari tgl 3 januari sampai tgl 9 paket belum di terima.",JNE,Jawa Timur
5,"Pelayanan nya memuaskan,bgtu masuk d sambut dgn keramahan mbak satpam yg cantik dan murah senyum,Tempatnya bersih ac nya menggigil.sukses selalu kedepan nya",JNE,Jawa Timur
1,"4x Ambil Paket ada aja alasannya dan kecelek.
pertama ambil jam 5an ternyata untuk ambil paket jam operasional sampai jam 5 (untuk senin dan jumat) …",JNE,Jawa Timur
