Rating,Reviews,Company,Province
1,"disaat semua serba simple dan praktis, tapi JNE cabang pusat ini sangat ribet!! jauh jauh dari tanray2, buat kirim paket shopee (sudah saya lampirkan resi) malah di tolak mentah-mentah, padahal saya udah minta tolong karna hp saya lowbet, …",JNE,Kalimantan Barat
1,"JNE INI MEMANG PARAH!!!! PERCUMA KITA MILIH PAKET YES 1 hari nyampai kenyataan nya nyampainya terlambat juga, nyampainya bukan 1hari malah 3-4 hari sama dengan paket reguler, MEMANG JNE TARIFNYA NIPU!  himbauan saya buat para pemakai jasa pengiriman, TINGGALKAN JNE! pindah ke jasa lain aja, banyak kok.",JNE,Kalimantan Barat
1,"Saya kehilangan DUA barang dalam paket saya. Info dari pengirim Petugas disini bilang mereka wajib membongkar paketnya, padahal saya seringkali jual beli helm dan baru kali ini petugas JNE bilang wajib dibongkar. Dan Benar saja ketika paket …",JNE,Kalimantan Barat
1,"Saya udah nunggu 2 hari pengirimannya, sampai sekarang masih belum ada kabar apa apa, padahal ada nomor telepon saya  tapi kurirnya tidak menghubungi sama sekali, padahal alamat yang saya tujukan sudah benar🙄🙄 …",JNE,Kalimantan Barat
1,"tadi pergi ke kantor pusat pelanyanan ramah tapi pengiriman lamaaaaa penyelesai lama kurir nya lama mending jnt daripada jne aneh proses lama bintang 1,udah komplain lewat email proses penyelesai lama udah 2 hari paket pun ga datang kurir tidak ada menghubugi",JNE,Kalimantan Barat
5,"barang sy yg besar boleh dititipkan dlm waktu lama dan aman, satpamnya jg ramah sperti bank BCA, utk customer servicenya mantap",JNE,Kalimantan Barat
1,"Paket saya nyangkut di JNE ponti udah tiga hari padahal itu barang penting, ini petugas gak kerja apa gimana sih anjggg",JNE,Kalimantan Barat
5,"Puas dengan pelayanan JNE. Menurut pengalaman saya, ini expedisi terbaik, pelayanan cepat dan ramah.",JNE,Kalimantan Barat
1,"Disarankan pake expedisi lain saja, dgn harga yg sama lebih cepat 💥💥💥 …",JNE,Kalimantan Barat
1,"Kurir antarnya lamaaaaaa, di tunggu seharian ngga datang-datang, email customer service juga ngga di balas",JNE,Kalimantan Barat
1,"Ekspedisi parah. Status kiriman selalu delivery problem, kurir tanpa konfirmasi ke penerima padahal ada no hp penerima di paket itu.Ini terakhir kali saya pakai JNE.",JNE,Kalimantan Barat
1,Ekspedisi JNE INI kurang memuaskan pelayanan nya selalu bermasalah asli kurang puas pokoknya,JNE,Kalimantan Barat
1,"Bosnya santai makan duit haram, karyawannya sibuk macam anjing menjilat tuannya. Barang dihilangkan bkn diganti malah ngegas, 6 kali bolak balik slma berbulan bulan. bru  dikasih tahu kalau gak mau tanggung jawab skrg, org sdh rugi ongkos dan waktu. Bkn diganti malah makin dibikin rugi, emg gk bs dipercaya  klu maling.",JNE,Kalimantan Barat
2,"Sayangnya JNE dirusak citranya oleh kurirnya yg selalu tidak amanah mengantar kiriman bahkan berbohong dan cari aman dengan melaporkan rumah kita kosong,  bahkan sms atau nelpon tidak ada sama sekali. MENGECEWAKAN. …",JNE,Kalimantan Barat
1,"Kurir ga becus.. ga mau ngantar dgn alasan pengirim tidak bs dihubungi.. pdhal sy nunggu seharian, ga ad kurirnya nganter.. nyuruh kita yg ngambil sendiri.. Untung COD, bodo amat.. ga diantar y udah..",JNE,Kalimantan Barat
1,masa iya minta biaya asuransi lebih besar dari harga barangnya sendiri,JNE,Kalimantan Barat
1,"emg GK boleh saya ngambil paketan sendiri di JNE pontianak.kata karyawannya GK boleh numpang alamat,padahal aku nulis alamat JNE Pontianak terus alamat tujuan dn no.hp saya,katanya GK boleh nulis JNE Pontianak,apa aku yg salah apa karyawan …",JNE,Kalimantan Barat
1,Kenapa paket Saya belum sampai? Nomor resi TLJR3DEH2MY19EFK,JNE,Kalimantan Barat
1,"Pelayanan ketika sedang overload sangat-sangat buruk. Saya belum di kontak mengenai paket saya, tapi langsung dikembalikan ke penjual tanpa konfirmasi ke pembeli.",JNE,Kalimantan Barat
1,"Barang udah di tempat tujuan eh malah dibawa lagi ke kota lain tanpa adanya konfirmasi,mana udah dibayar lagi tu barang",JNE,Kalimantan Barat
4,Melayani pelanggan yang mebitipkan barang untuk dikirim ke dalam maupun luar kota. …,JNE,Kalimantan Barat
1,"Kurir JNE memang pemalas. Paket sudah tiba dikota yg sama belum juga di antar. Bila benda mati sih gpp santai, ini tanaman!!! Barang siapa menahan dan dgn sengaja memperlambat shg merugikan orang lain niscaya petugas disana dan kurir bakal mengalami kerugian yang berkali kali lipat dibandingkan orang yang dirugikan!",JNE,Kalimantan Barat
