Rating,Reviews,Company,Province
5,rekomended buat pengiriman paket dokumen ataupun barang. untuk pengiriman yang cepat sampai bisa pakai YES. ada asuransi juga yang ditawarkan untuk barang barang tertentu.,JNE,Kalimantan Selatan
1,"pengiriman lambat
saya beli makanan dishopee padahal tokonya cuma dibanjarmasin, seller pun udah ngirim tepat waktu.. malah pesanan saya masih dlm sortir berhari hari, gimana …",JNE,Kalimantan Selatan
4,"Sudah lama nggak kesini karena kemarin jual barang dimarketplace dan buyer pakai pengiriman disini.
agak kaget Tempat pengiriman barang sekarang jadi berubah begini kayak …",JNE,Kalimantan Selatan
1,"Tolong pelayanan dan update posisi barang saat dikirim.
Terutama regional Kalsel (masa pengiriman nyebrang 1 kabupaten 3 hari Masih di tempat sama statusnya) tiap jam cek posisi barang ngak ada pergerakan",JNE,Kalimantan Selatan
1,"Makin hari makin busuk ini ekspedisi, YES 3 hari , vangkeeee njiirrrr.. Status sdh sampai di jne gatsu, di ambil ke tkp blg nya blm sampai, malah di blg pakai reguler, pe'a, jls2 pakai YES ....!!!!
Lebih recommend J&T jauh..",JNE,Kalimantan Selatan
1,"Kenapa lama banget pengiriman dari bjm ke asam2 aja sdh 3 hari blum sampai....
Bnyak keluhan ya harusnya diperbaiki dong",JNE,Kalimantan Selatan
1,Mohon maaf kali ini saya harus memberikan bintang terendah utk JNE banjarmasin. Sejujurnya saya sudah lama tdk pernah menggunakan ekspedisi ini dan baru kemarin menggunakan krn beli lewat marketplace tokped. Disana ada pilihan paket YES …,JNE,Kalimantan Selatan
1,"Paket saya dilihat dari status dimarketplace sdh sampai pada hari sabtu kemarin tanggal 23 November 2025,, dan sampai hari ini tanggal 25 paket nya dalam keterangan alasan gagal kirim,, padahal saya pakai alamat kantor yg pasti gak susah …",JNE,Kalimantan Selatan
1,"woi JNE, sampai sekarang paket saya belum sampe. dari tadi nunggu karena dalam pengantaran statusnya cuman belum sampe sampe. kemana aja sih ngantarnya?? udh lewat dari hari yang seharusnya juga, parah banget.",JNE,Kalimantan Selatan
1,"Banyak bohong nya, distatus shopee dibilangnya Pembeli mengatur ulang pengiriman … konfirmasi via telpon atau WA aja gak ada, status 2 hari setelahnya alamat gak lengkap kayak q bru sekali order via shopee … layanan tolol",JNE,Kalimantan Selatan
1,"raja lambat wayah ini...
dr pagi nunggu
smpai sore kd sing datangan …",JNE,Kalimantan Selatan
1,"Knp ya pngiriman pakai expedisi ini lama bgtt , gak seperti expedisi yg lain tolong ya diantar paket sesuai jabwal yg tertera jgn ditunda2 lamaa bgt.",JNE,Kalimantan Selatan
1,"Paket saya sdh seminggu blum nyampe jg, sdh 3 hari diantar tp gagal terus karna kantor tutup jam 5, harusnya kurir menghubungi, ini ngk ada sama sekali menghubungi, sekarang status paket saya malah mau dikembalikan ke penjual👎 pelayanan yg sangat buruk👎 …",JNE,Kalimantan Selatan
1,"JNE Banjarmasin Sangat sangat sangat sangt buruk, pelayanan buruk, kurir ny kasian terlalu overload pengiriman barang, jam istirahat untuk pengambilan barang tidak di atur ketika istirahat tidak ada yg menggantikan karyawannya. Jadi harus …",JNE,Kalimantan Selatan
1,"Ekspedisi paling buruk sepanjang sejarah. Paket org kd diantar2, kurirnya meulu2 pengiriman gagal trus alasannya kd jelas. Pntas ai org beralih ke ekpsedisi lain.",JNE,Kalimantan Selatan
1,"pengiriman gagal terus, padahal paket saya yang lain udah sampai. alamat juga lengkap, ditambah paketnya saya udah bayar. saya merasa dirugikan pakai ekspedisi ini",JNE,Kalimantan Selatan
1,"Kurirnya sangat pintar, paket saya alamat no.20 dikasih ke no.40, yang punya rumah no.40 lebih pintar, ambil paket orang sudah tau beda nama dan alamat. Terimakasih kurir JNE",JNE,Kalimantan Selatan
1,Sayang  jasa expedisi JNE Banjarmasin sakalinyaan liawar buruknya masa barang sudah sampai d kota tujuan pengiriman kada sampai sampai lewat 3 hari ja pulang padahal satangah jam kada sampai matan expedisi ka alamat …,JNE,Kalimantan Selatan
