Rating,Reviews,Company,Province
1,"Barusan dapat pesan dari JNE pangkalan bun, paket saya sudah sampe disuruh ambil sendiri kesana, lah kirain diantar sampe rumah, saya pesan paket sudah plus bayar ongkir, kalo deket si gamasalah, ini saya posisi di kotawaringin lama, kan geblek tuh JNE",JNE,Kalimantan Tengah
1,Gak berkompenten..saya lihat di tracking 3hr nyampe seminggu GK ada kabar dan  status tracking terakhir alamat tidak lengkap setelah dilabrak di kantor pada ngeles GK mau tahu.. katanya barang msh di gudang..lantas siapa yg eksekusi dn …,JNE,Kalimantan Tengah
1,Ngirim paket dari tanggal 29 september sampai 8 oktober tidak dikirim kirim. Bayar mahal mahal ongkir buat apa? CS JNE Pusat di chat jawaban sama semua. mending kemarin pakai jasa sebelah,JNE,Kalimantan Tengah
1,"Duuhh gak lagi lagi deh makek JNE
Paketnya lambat mulu pdhl udah sampe d kota tujuan, pake JnE di jawa cpet2 aja sih cm disini aja yg lemot …",JNE,Kalimantan Tengah
2,Saya bisa toleransi kalo paketan gak di antar ke rumah dan harus ambil sendiri ke kantornya. Tapi yang bikin kecewa pas ke kantor cuma ambil barang 2 menit disuruh bayar parkir 2rb. Saya kurang setuju dgn parkir berbayar disini.,JNE,Kalimantan Tengah
1,"Keterangan tracking paket dah nyampe, tapi gk bisa diambil, ciri² pegawai malas cari barang.",JNE,Kalimantan Tengah
2,"barang gak diantar, suruh ambil sendiri, bayar PARKIR pulak..",JNE,Kalimantan Tengah
3,Sangat membantu dalam pengiriman barang. Pelayanan di tingkat kn lagi.,JNE,Kalimantan Tengah
1,"Agak lain ni kurir, termasuk org kantornya",JNE,Kalimantan Tengah
1,Bisa lah minta pengembalian dana soal x barang x dikirim gk sesuai pesan kipas datang x kain serbet,JNE,Kalimantan Tengah
1,"Me apa paket ku hari ini dah sampe di gudang tpi kda di antar, aku di Jawa waktu itu barang sampe gudang sore atau siang jam 12 dah di antar am ini kda.. Masih di tahan di gudang, jan sampe lah aku datang ke kantor buhan kam be mamai aku …",JNE,Kalimantan Tengah
1,"Jne ini terburuk, paket belum di terima ,status di e commerce nya sdh di terima an. Saya sendiri pula. Aneh sekali pokoknya sistem nya, di telp ke telp kantor ndak pernah di angkat, paket kalau ga di datangi ke kantornya, lama nyampai nya ke tangan penerima paket.",JNE,Kalimantan Tengah
3,"Pelayanan oke, cuma sangat disayangkan untuk masalah pengantaran barang dan/atau parkir sangat tidak direkomendasikan",JNE,Kalimantan Tengah
1,"Paketan sudah 2minggu lebih , sudah smpai gerai gak diantar² ,, udah bayar mahal² tapi pelayanan mengecewakan. Mna tidak ada nomer tlfon yg bisa di hubungi  . Baru kali ini pake JNE tapi gak jelas  .",JNE,Kalimantan Tengah
1,"""INCOMPLETE CONSIGNEE ADDRESS""
Sudah di gerai , tapi belun diantar dgn alasan alamat gak lengkap.
Status ini udah 3 hari , kalau ekspedisi lain pasti sudah di follow up ( entah …",JNE,Kalimantan Tengah
1,"Tidak ramah, pelayanan buruk, kotor, gak ada senyum2nya 🥴 …",JNE,Kalimantan Tengah
1,Kurir nya ga becus ga di antar antar nanya alamat sama sharelock saaat sudah di kasih tapi tidak di antar antar kecewa engga mau lagi pake JNE,JNE,Kalimantan Tengah
1,"Alamat di paket sdh lengkap dr nama jalan, gang, RT, Kelurahan ada semua. pas sp pbun trackingnya alamat tidak lengkap, BIKIN PUSING. Eeee besoknya diantar ke rmh sm kurir. tau dr mana kurirnya terkait alamat tujuan paket sedangkan sehari sbelumnya di tracking keterangan alamat tidak lengkap. Dan tdk menghubungi lwt telp ato chat",JNE,Kalimantan Tengah
1,"Pdahal sudah pake yang YES, pengiriman yang lain 3 hari sampai, pake JNE 1 minggu paket gak sampai-sampai,,,proses pengiriman lambat,,kurirnya di chat tidak membalas, ditelpon tidak diangkat,,
Mending tutup aja daripada tidak bisa kerja,,,",JNE,Kalimantan Tengah
1,kurir kan tinggal di di kota yang sama kan ya.masa iya g tau jam operasional kantor. kalau jam pulang mana ada oarang di kantor.paket bisa pending 3 hari,JNE,Kalimantan Tengah
1,"Setiap dapat paket dari JNE, tidak pernah ada pengantaran. Selalu harus ambil sendiri.
Tidak ada konfirmasi juga paket kita sudah sampai atau belum. …",JNE,Kalimantan Tengah
1,"Brengsek bgt kurir disini, ga niat kerja gausah kerja deh dari pada nyusahin orang, tutup aja ni gerai, udah bayar ongkir mahal barang ga dikirim selama seminggu, kirim ke papua sama Sulawesi  aja 5 hari sampai padahal pakai jne sama. Emng …",JNE,Kalimantan Tengah
1,"Kalau ga karena ngasih kata kata mutiara, lebih baik saya ga ngasih bintang sama sekali. Sorry to say lebih baik Jne trucking atau cargo gausah di pake lagi ya, saya bayar 700k buat ngambil sendiri barang saya buat apa ? Ga semua org punya …",JNE,Kalimantan Tengah
1,Paketku berhenti terus sudah beberapa hari sampai sekarang terpaksa pakai JNE sebetulnya,JNE,Kalimantan Tengah
2,"Ini ekspedisi yang memang lemot
Atau karyawannya yang lengo?
Paket udah sampe dari kemarin, tapi sampe sekarang belum ada kurir datang ke …",JNE,Kalimantan Tengah
1,"Woy kenapa paket gak dkirim anjingg, itu isi hp, gimana kalau rusak mau kau tanggung jawab!",JNE,Kalimantan Tengah
1,"Barang dah sampe 4 hari yang lalu eee.. sampe sekarang blom sampe. Memang kemana ... ? Diambil sendiri barangnya gak ada.. mending tutup z JNE p.bun, service jauh tidak memuaskan",JNE,Kalimantan Tengah
1,"Buruk pelayanannya, tdk standar sama sekali. Pelayanan, bahasa dan regulasinya dibawah standar. Tdk layak ini karyawan2nya kayaknya g cocok jd karyawan. Ketus semua… jgn deh pake JNE ini.",JNE,Kalimantan Tengah
1,"awalnya gua kira cuman gua aja yg paket nya ga di antar ke rumah (karna emg rumah gua jauh dan semua kurir selain jne pun juga kayak gini) , agak gak ngeh kok yg ambil ke kantor jne banyak yah, sampai ada karcis antri nya, eh ternyata emg …",JNE,Kalimantan Tengah
1,"Dua kali pengiriman selalu lambat padahal barang sudah sampe di gerai p.bun sudah dari 3-4har.
Di bela"" in datang dan ambil sendiri di gerai alasanya selalu ini itu.",JNE,Kalimantan Tengah
1,Katanya bisa ambil barang minggu eh pas datang mau ambil barang ga bisa katanya bukan jobdesc nya. Sedih pelayanannya tak memuaskan,JNE,Kalimantan Tengah
1,"Sangat buruk.
Barang sudah sampai di Pangkalan Bun tanggal 11 Juli. Di aplikasi akan dikirim tanggal 15, artinya nginep 4 hari. …",JNE,Kalimantan Tengah
1,"Bisa2nya bilang alamat tidak ditemukan. Uda 4 hari estimasi lewat, uda nyampe pangkalan bun, tp kurir ga ada menghubungi. Padahal alamat dan no hp JELAS. Benar2 ekpedisi GAK BERES ini.",JNE,Kalimantan Tengah
1,"Bintang 1 deh, buruk pelayanannya. Paket udah datang ga dikabarin dan ga diantar. Setelah berhari-hari baru dihubungin nanyain alamat, padahal dipaket alamatnya udah jelas banget, tapi tetep ga diantar. Padahal ekspedisi sebelah aja diantar sampe rumah.",JNE,Kalimantan Tengah
1,"Kecewa sama pelayanan nya.. Paket 2 hr nyampai,smpai 5hr tp gk ada dihubungi sama sekali, alasan alamat tidak diketemukan.. Baru sekali pakai jasa ini, kecewa bgt..",JNE,Kalimantan Tengah
1,"Sudah 2 kali ini status di toko oren pengiriman gagal, sengaja ditulis seperti itu supaya di ambil sendiri ke kantor JNE, kalo barangnya ringan gak masalah, barang 30kg disuruh ambil sendiri, saya gak punya mobil, saya bawa nya pake motor !!! tolonglah diperbaiki kinerjanya.. namanya aja JASA KIRIM, ya HARUSNYA DIKIRIM SAMPAI RUMAH !",JNE,Kalimantan Tengah
1,"Paket dikirim dari tgl 14 Juli dari Jakarta. ETA yang 5 hari sampai namun tgl 20 blm sampai juga. Inisiatif saya buat laporan dari tgl 20, 22, 25, 30. Sampai 1 Agustus blm sampai juga saya buat laporan kembali dan masuk proses investigasi & …",JNE,Kalimantan Tengah
1,"Tempat pengambilan barang orangnya sedang libur sampe minggu, tapi tetep dibuka dikasih tulisan sedang istirahat buka kembali jam 13.00
Kalo emang tutup pengambilan ya tutup aja engga usah di kasih tulisan sedang istirahat nanti buka lagi.. 🤣🤣🤣 …",JNE,Kalimantan Tengah
1,"Sistem nya Ga tertata sama sekali. Dari atasan sampe bawahan, pemalas !! Paket ga mau di antar ke tempay tujuan, dg dalih alamat tidak di temukan !!! Pelayanan sangat buruk + buruk + buruk dg orang2 nya !!!",JNE,Kalimantan Tengah
1,"Pelayanan yang sangat2 kurang baik, keterangan barang di antar ke lokasi dari kemaren di tungguin belum juga di antar, di hubungin juga enggak sama kurirnya, di datengin ke kantor yang ngantar udah pulang, di mintai no kurirnya gak di kasih, di kasih no resi yang ada katanya no resi yang dari cina, banyak banget alasan",JNE,Kalimantan Tengah
1,Pelayanan buruk. Beda dengan jasa logistik lain yg ktika barang sampai. Paling lambat besok sudah diantar kerumah. Ini harus mengambil kekantor dan itu menunggunya lama banget,JNE,Kalimantan Tengah
1,"Ada si cepat ngapain pilih JNE lola (loading lama)barang lama datang,gak bisa dilacak, kantor bukanya jam 10 jam 11 siang sudah istrahat buka lagi jam 2 siang, kurirnya bodoh kada tau alamat, masa dari palangka ke pangkalan bun 1minggu baru …",JNE,Kalimantan Tengah
1,"Pelayanan kurang baik, barang blm diterima lho di aplikasi sdh di klik terkirim. SMS kek telpon kek wa kek, padahal sdh jelas alamat kantor terkirim jam 6 sore, whaaatt? Siapa yg Nerima?? Sungguh tak bertanggung jawab, menyalahkan toko …",JNE,Kalimantan Tengah
1,"Beberapa kali pengiriman terkatung katung tiada kejelasan...
Cek di sistem kl ndak di warehouse ya no body at home... …",JNE,Kalimantan Tengah
1,Tolong kiriman atas Kurniawan sudah di terima tgl 25 sampai sekarang belum di sukses pengirimannya. Padahal barang Sdh d terima. Keterangan sebelumnya alamat tidak lengkap. Sudah di konfirmasi dari JNE Purwodadi Jawa tengah masih blm ada …,JNE,Kalimantan Tengah
1,"Sangat buruk.. terutama pelayanan sangat buruk sekali. Semua no cs nya saya hubungi gak ada respon sama sekali.
Pdhl paket saya udah 2hari sampai di jne.. Alamat pun sangat lengkap.
Ujung2 nya paket di retur.",JNE,Kalimantan Tengah
1,"JNE adalah ekspedisi pengiriman paling buruk di Kotawaringin barat yang pernah saya cobain. Udah datang paketnya lama , status pengiriman gak pernah di update, nipu pula status pengiriman nya. Pas di cek di resi tidak ada orang di rumah, …",JNE,Kalimantan Tengah
1,"Up date tidak akurat
Alasan data tlp penerima tdk ada
Padahal jelas di tulis di paket …",JNE,Kalimantan Tengah
1,"saya sangat kecewa,, alamt tertera jelas tpi kurir cman ngntar smpai depan gang itupun gk ad konfirmsi sm kami,, cmn blang gk bsa antr k rmh krna banjir,, nnti mau d antr nunggu surut ahirnya bsoknnya mau sy ambil sndri k kntor,, tnpa …",JNE,Kalimantan Tengah
1,Bayar ongkirnya diantar sampai tempat tujuan. Endingnya barang menginap lama tak diantar. Alhasil ambil sendiri ke kantornya,JNE,Kalimantan Tengah
1,"Kurir tidak mengantarkan paket ke lokasi tujuan. Padahal jarak kantor jne pbun dgn lokasi terbilang dekat. Ibu² yg baru sdh melahirkan gak mungkin ambil paket ke kantor, suaminya lagi gak di rumah jg. Padahal paket itu adalah barang kebutuhan bayi . Kecewa dgn jne pbun ini hufft..",JNE,Kalimantan Tengah
1,"Ini jne bener"" gak AMANAH...Saya ngirim paket Dari Bandung yg order lewat LAZADA....saya chat ke pembelinya Paket sudah di terima di Hari kamis,Malahan Si pembeli Harus ngambil ke Grey ini JNE... …",JNE,Kalimantan Tengah
1,Bolak balik berhari hari barang tertahan terus. Sebelumnya dikota lain gak pernah ketemu jne yang sejelek dipangkalanbun,JNE,Kalimantan Tengah
1,"ternyata memang jne ini busuk tak ada 1 pun komentar baik ,saya sendri pun sama pengiriman tgl 15 sudah di kurir sampe sekarang malah ga jalan padahl kiriman 1 juta itu loh merugikan banget ,,no admin tidak ada respon gilaa",JNE,Kalimantan Tengah
1,"Barang belum ada di antar tapi status tracking rumah kosong, padahal dirumah seharian.
Ada beberapa kritik dari saya : …",JNE,Kalimantan Tengah
1,dah kapok ama jne gabakalan lagi mau pake. barang stuck di kantor udah 3 hari ga ada konfirmasi chat kek telpon kek sms ga ada sama sekali di tracking pun shipment problem mulu. se engganya kalo ga mau nganter ya konfirmasi dulu lah disitu kan udah ada no telp yg punya barang. tingkatin lagi pelayananya kalo gamau kalah ama tetangga👎👎 …,JNE,Kalimantan Tengah
5,pelayanan nya cepat rapih dan ramah,JNE,Kalimantan Tengah
1,"Membuka toko yang bergerak di bidang jasa yang Astagfirullah aladzim beberapa kali punya paket dengan jasa JNE selalu mendapat perilaku yang tidak mengenakkan, mulai dari paketnya yang tidak di sortir dengan baik, di simpan hingga …",JNE,Kalimantan Tengah
5,"Tempat nyaman, sco ramah dan pelayanan prima",JNE,Kalimantan Tengah
1,"Gila sih ya .... Udah bayar mahal2, udah salah route, terus ngga nyampe2 paket ny, pas di tracking eeh udah not found.. jangan seenaknya aja ngilangin paket, kaoo salah pengiriman kan bisa di konfirmasi,, ada nomor telfon ny di sana.. ini …",JNE,Kalimantan Tengah
1,"paket udah 5 hari sampe pbun gak diantar antar.  alasan paket gede. kurir dichat berkali
kali cuma diread. kalo ada bisa bintang 0 juga bakalan aku kasi bintang 0. buruk bgt jne",JNE,Kalimantan Tengah
3,"Saya dapat wa dari JNE bahwa paket gagal dikirim karna alamat tidak lengkap,pdahal saya sudah lengkapi selengkap mungkin tapi ketika saya kirim ulang alamat lengkap ga ada balasan sama sekali sama pihak JNe ,menurut saya pelayanannya harus dimaksimalkan",JNE,Kalimantan Tengah
1,"Hai, bintang 1 aja ya. Soalnya barang trucking selalu diminta ambil di kantor. Harusnya pelayanan pengantaran dilaksanakan sampai ke rumah ya. Soalnya kan sudah termasuk di ketentuan dan tarif.",JNE,Kalimantan Tengah
1,"Saya mau lapor ni,, smpi hari ini barang saya blm sampai kerumah,,  di aplikasi shopie sdh diterima padahal barang belum di tangan. Sudah lebih dr 5 hari di tanya ke kurirnya barangnya balik ke kantor p. Bun tpi di minta2 barangnya ga jg datang2. Smpi 3 kali lebih saya ke JNE di kecamatan.",JNE,Kalimantan Tengah
1,"Satu kata jne paling buruk , sudah lambat pengirimannya 20 hari lebih , bayangkan di cek barang udah ada di palangkaraya , tapi untuk menuju pangkalanbun 5 hari pun tak sampai ,.bangke .",JNE,Kalimantan Tengah
1,"Kurang jelas status paketnya,di track di situs resmi jne pun gk ada keterangan jelasnya,dah 4 hari masih on proses,mau datangin ngambil sendiri males kalau harus bayar parkir,cuma ngambil barang bentar aja bayar 2k,payah...",JNE,Kalimantan Tengah
1,Barang belum sampe d lacak sdh deliv. Di datengin malah barang sama kurir. Udah hampir 10 hari barang masih sama kurir. Aneh kurirnya udah ad no hp gk d telpon. Gk punya pulsa mungkin. Kasian banget dah. Ingat barang saya harganya gak murah mas. Tolong pelayanan d tingkatkan klo barang orang ilang mang mau ganti. Noob,JNE,Kalimantan Tengah
1,"setiap lewat jne pasti gak pernah di antar alasannya alamat tidak di temukan , lewat ekspedisi lain selain di antar wong malas malas aja gak usah ditulis alamat tidak di temukan",JNE,Kalimantan Tengah
1,"Paket udah nyampe di pbun ga dikirim2 kurir, pas disamperin petugasnya PEMALAS mbuka karung aja gamau, kerja gabener, gatau malu, siap2 aja kalah sama jasa kirim lain",JNE,Kalimantan Tengah
1,"tidak rekomndasi buat dplosok kurir pada malas , sudah dfollow up ke CS pusat tetep aj kurir gk mw nganter untung sya beli via blibli jdi langsung refund saja . saran mending pke j&t atau pos yg pasti kurir ngantar smpe rmh setidaknya cod .",JNE,Kalimantan Tengah
1,"Mohon maaf, JNE.. kalau barang belum dikirim ke yang bersangkutan, jangan diinput ke sistem kalau barang sudah diterima yang bersangkutan.. sampai sekarang saja saya sudah 5 kali kasus seperti itu, mentang-mentang saya sering terima paket …",JNE,Kalimantan Tengah
