Rating,Reviews,Company,Province
1,"Tolong JNE dalam pengantaran jaga paketnya dengan hati2, paket saya basah kuyup, paket buku rusak 98%! Mohon yg lain, yang mau pake service JNE semua paket di lapis WAJIB PLASTIK karena JNE ga bertanggung jawab dalam menjaga kondisi paket …",JNE,Kalimantan Timur
1,"Kurirnya bodoh semua kurasa sampe komunikasi sama istri saya aja pake nada tinggi, trus paket gak diantar” sampe detik ini",JNE,Kalimantan Timur
5,"bisnis jasa seperti ini memang berat Pak, Bu..
salah di satu pengantara langsung bintang satu, padahal ada 100 pengantaran lain yg lancar dan berjalan baik.. …",JNE,Kalimantan Timur
1,Pakat udah berhari hari gak diantar. Tapi udah dipegang kurir. alasannya banyak. Tolong ditingaktin .. sampai sekarang barang saya gak diantar. Nomor kurir gak punya . Masa perusahaan gak punya nomor kurirnya. Lain kali gak bakal pakek JNE lagi. Buruk. Kalo ada minus yya minus banget ini,JNE,Kalimantan Timur
1,Kiriman dri Samarinda ke Kubar(barong tongkok) malah terus ke melak. Jelas jelas alamat nya barong tongkok kok malah terus ke melak. Setelah itu malah GK di antar ke Barong. Kan aneh. Masa kita yg pergi ambil ke sana??,JNE,Kalimantan Timur
1,"Paket sya sdh 5 hari belum diantar kurir, dilacak rumah kosong, shipment problem 2x, pdhl kurir sm skali tdk ada mnghubungi nomor kontak sya, kalau mmg alamat tdk ketemu kan hrusnya kurir mnghubungi nomor kontak pelanggan, tp tdk sm skali, …",JNE,Kalimantan Timur
1,"Sudah berkali kali disuruh ambil paket sendiri, seenaknya langsung nyuruh ambil sendiri, tidak ramah drivernya bintang satu ⭐, kirain aku doang yang mengalami kejadian yang serupa ternyata ada yang juga pernah. Hadehhh nyesel bangett ini terakhir kalinya, Semoga ga ketemu lagi sama drivernya 😤😜 …",JNE,Kalimantan Timur
1,"paket malah ditahan sepihak tanpa ada nomor kurir dan gabisa complain atau cari tau sendiri, kapok pake ini",JNE,Kalimantan Timur
1,"Paket dtg disrh hold dlu sbntr malah di retur cpt2an. Ditnya ktnya bs diambil, udh dipsnin gojek malah smpe sana disrh nunggu lama gojeknya marah2 ke saya. Paket retur ktnya g bs lg diambil, udh nunggu paket seminggu, seenaknya balik2in. Kalo bs milih ekspedisi ga ini lg deh",JNE,Kalimantan Timur
1,"Kurir nya d chat tlfn gak mau respon..
JNE pelayanan nya gak bagus makan lbih baik pakai JNT",JNE,Kalimantan Timur
1,"Estimasi paket saya itu 3 hari dari jakarta karena ongkos kirimnya 69.000 rb, tapi malah 1 minggu baru dikirim. Pas dikirim kurirnya tidak ada tanggung jawabnya, Paket saya dititip di warung sama kurirnya tanpa ada konfirmasi dulu ke saya …",JNE,Kalimantan Timur
1,"kalau bisa saya kasi bintang 0, saya kasi 0 saja.
Pelayanan busuk, nunggu paket bisa sampai 3 minggu gak datang datang.
Padahal jarak dari JNE ke tempat pengantaran hanya 5 menit, tapi besok besok …",JNE,Kalimantan Timur
1,"Barang tidak di antar alasannya alamat tidak di temukan, tapi kurir nggak ada ngehubungi. Parah banget, itu barang sudah saya bayar dan pihak JNE tidak mengantarkan dengan amanah.",JNE,Kalimantan Timur
1,Kecewa bgt sama pelayanannya. Tolong SDM di perbaiki lagi. Saya ini pelanggan yg minta barang saya sendiri ya bukan barang kalian..!!!,JNE,Kalimantan Timur
5,"Pengerjaan sangat cepat dan rapi, ini rekomendasi banget. Untuk perubahan d perorangan... Joss,, sangat profesional dan berpengalaman...",JNE,Kalimantan Timur
1,Pengiriman barang via J&T yg notabene nya di kirim lebih lambat 5 hari dr Jakarta sudah nyampe dulu di banding jne .. ndak ada kejelasan kapan barang di kirim setelah barang di terima di samarinda. Sudah di telp di Jakarta info barang 3 ato 4 hari di kirim .. sudah 5 haripun ndak ada info,JNE,Kalimantan Timur
1,"gausah pake jne guys payah bgt, ongkir mahal selangittttt tapi pelayanan nol banget ya ampun. ngirim masih satu samarinda aja nyaris seminggu padahal bayar ongkir nyaris 100rb buat barang ringan BANGET yang diitung 3kg sama jne haduhhhh pusing bgt noob",JNE,Kalimantan Timur
1,Sakit kepala nunggu paket JNE ini.. Info cs sdh dari 5 hari lalu sudah sampai di gudang samarinda.. Tapi sampe sekarang ga di kirim juga ke alamat penerima padahal barang sudah sampe di gudang samarinda dari 5 hari yang lalu.. WA cs nunggu …,JNE,Kalimantan Timur
1,"Jasa pengiriman yg banyk tingkah, banyk alasan, bnyk drama...barang di tahan² sampai 3 hari..staf gak ada yg profesional pintar buat alasan.",JNE,Kalimantan Timur
1,Ekspedisi paling lelet se indonesia. barang sudah hampir 2 minggu engga ada sampai. tertahan di kantor sortir samarinda. di chat cs juga ga guna,JNE,Kalimantan Timur
1,"Paket dari tanggal 8 statusnya dalam pengiriman terus sampai sekarang.
Tolong dong lebih tepat waktu dalam pengantaran.
Tingkatkan kinerjanya, jangan ongkirnya aja yang mahal.",JNE,Kalimantan Timur
1,Ini tolong dong pihak JNE paket saya ini sudah lewat tanggal estimasi udah mau 3 minggu belum ada pergerakan sama sekali ini tolonggg dong pihak JNE paket sayaa cpat diproses saya udh uang tf mahal pula tolong yaaa pihak JNE cpat diproses barang sayaaa atau pun barang merekaa yg terlambat masihhhhh,JNE,Kalimantan Timur
1,"Baru x ini beli paket di shopee malah di suruh ambil sendiri ke cabang aws, kenapa? Tenaga kurir pengantaranya gak ada ya? Aneh... kenapa saya pasan paket harus susah2 ambil sendiri? Mending beli ke toko sekalian gak ribet. Gajelas JNE. Mending pakai JNT",JNE,Kalimantan Timur
1,"Pelayanan buruk tidak akan kesini lagi, masih banyal ekspedisi yg lain",JNE,Kalimantan Timur
1,Lambat banget udah di datangi ke kantor malah bilang barang nya di loa kulu Pas udah di loa kulu malah bilangnya barang di tenggarong giama sih pelayanan nya,JNE,Kalimantan Timur
1,"Ini gmn sih, pake lewat estimasinya, kli kecil ajj tuh barang udh q ambil k kantor nya lngsung, lah ini barang gede loh, d angkut pake motor ya gempor aq",JNE,Kalimantan Timur
1,"Pelayanan sangat mengecewakan... estimasi paket datang tanggal 19 sampai tanggal 21 g datang datang.paket saya itu berkas penting, ditanyakan ke kantor malah jawabannya judes.saya bisa kantor waktu setelah pulangan kerja.gimana sih?",JNE,Kalimantan Timur
1,Asli ini pengirim dari tgl 30 sampai sekarang g ada ke jelaskan dan malahan keterangan nya sy cek resi malah almt tdk lengkap pdhl itu dokumen penting.,JNE,Kalimantan Timur
1,"paket udah 5 hari gak dikirim kirim, masih tetap aja disortir. Niat jadi penyedia jasa kirim gasih!!",JNE,Kalimantan Timur
4,Kalau mau ambil barang letak gedungnya yang di belakang,JNE,Kalimantan Timur
1,Pelayanan buruk sering ngantar trucking terlambat dan lewat estimasi nya payah,JNE,Kalimantan Timur
1,"Paket stuck disana sampai 6 harian, tiap hari rajin update sedang di proses disana 🤔 …",JNE,Kalimantan Timur
1,Gimana sih kurir ni barang belm diterima dblg sdh Terima di status lacak aneh gknjelas mang kau,JNE,Kalimantan Timur
4,"Hallo JNE,  paket saya sudah 2 hari di lokasi sortir. kenapa ya gk dikirim kirim apakah ada kendala atau harus ambil sendiri gitu",JNE,Kalimantan Timur
4,"Bagus, ramah, cuma gga bisa cod barang..kalo cod ongkir bisa nya",JNE,Kalimantan Timur
5,"Tempat nya bersih, pelayanan nya baik dan ramah2 …. Boleh2 tanya2 lagi dan gak di jutein walaupun gak beli.
The best pokoknya",JNE,Kalimantan Timur
1,"pelayanan cs gak ramah, asik scroll tiktok saja",JNE,Kalimantan Timur
2,"paket yang saya kirim kenapa diem aja di pusat sortir dari tgl 13, jam 01:15 TPI smpe detik ini GK ada jalan jalan SMA Skali itu paket, ada apakah gerangan kurirnya males nganter kah atau gmna masa harus nunggu brhari hari ini GK ada perubahan SMA Skali",JNE,Kalimantan Timur
1,Padahal paket udh seminggu lebih stuck digudang ga ada gerak asli kapok bangettt 💔 …,JNE,Kalimantan Timur
1,pengiriman sangat lambat barang sudah stuck di gudang tapi gak diantar sudah 2 hari sangat kecewa!,JNE,Kalimantan Timur
2,Beberapa kali gunakan jasa JNE pengiriman satu kota yang sama biasa satu hari sampai. Tapi ternyata bisa juga lebih dari satu hari. Cukup mengecewakan..,JNE,Kalimantan Timur
1,Sangat kecewa Pelayanan JNE pickup sangat disayangkan tidak bisa menanggapi customer melalui via whatsapp ..,JNE,Kalimantan Timur
1,"Ini gimana sih, paket saya udh 3hari di sana gak di kirim2, clickbait bet estimasi tgl 19 Sampek rumah aslinya gak di kirim2, alasannya kecelakaan. Karma apa gimana?. Liat ulasan orang2 di suruh ke JNE nya pas Sampek sana gak di urus. Gaji kalian dari paket kita juga.",JNE,Kalimantan Timur
5,"Diantara ekspedisi lainnya, JNE yang terbaik. selama 5 tahun belakangan ini pake JNE tidak ada kendala. malah menggunakan ekspedisi lain ada aja masalah nya. pernah beli barang di toped dari surabaya menggunakan JNE Reguler, ga sampe 24 jam datang sampe rumah wkwkwk. pertahankan ya!",JNE,Kalimantan Timur
4,Pelayanan lumayan. Kalo lambat mungkin overload. Langsung telpon aja ke nomornya kalo mau ambil paket ke lokasi,JNE,Kalimantan Timur
1,jasa kirim super lambat! jarak antaran cuma 1 jam stengah. tapi sudah sampai seminggu belum juga di antar!!  kami bayar loh kok pelayanannya kyk gratisan,JNE,Kalimantan Timur
1,"PENGIRIMAN LAMBAT SEKALI SUDAH 2 MINGGU BARANG BLM SAMPAI, STATUS DI TOLAK PEMBELI, PADAHAL TIDAK ADA PENGANTARAN KE ALAMAT DAN TIDAK ADA DI HUBUNGI SAMA SEKALI OLEH KURIR BAGAIMANA MAU MENOLAK???????????????????????? GAIB MEMANG EXPEDISI SATU INI",JNE,Kalimantan Timur
1,"BIKIN RUGI, NGIRIM IKAN CHANNA HIDUP HARI JUMAT DARI SAMARINDA KE BANJARMASIN DI SARANKAN PIHAK JNE PAKAI REG, PDHL SPUPU SAYA UDAH BILANG YG PALING CEPAT KENAPA DISARANKAN REGULER, SEPUPU SAYA KIRA REGULER ITU CEPAT TERNYATA LAMA HARI INI …",JNE,Kalimantan Timur
1,"Ongkir kok bisa kena ongkir tambahan setelah dikirim padahal barang nya ga sampai 500g dan tidak melebihi 1kg, jadi yang semestinya 29000 jadi 69000
Harap evaluasi lagi untuk pihak JNE apakah ada kesalahan sistem atau sistem yang disalah-salahkan",JNE,Kalimantan Timur
4,Sedikit koreksi..pengambilan barang harus k gudang belakang trus naik tangga lagi...,JNE,Kalimantan Timur
1,jelek banget expedisi kinerja kurang cepat gak sesuai estimasi karyawan makan gaji buta,JNE,Kalimantan Timur
4,"Alamat mudah ditemukan dan mudah dikenali dengan ciri khas merah biru, lokasi cukup strategis di jalan yang cukup padat pula jadi harap berhati-hati ketika menyebrang dari arah berlawanan, area parkir cukup luas, pelayanan baik dan cepat, staff front office cukup ramah dan komunikatif. Pertahankan",JNE,Kalimantan Timur
5,"Cs ramah, pelayanan cepat, kirim dokumen express sampai tepat waktu 👍👍 …",JNE,Kalimantan Timur
1,"jelas jelas ada nomor telepon tertera pengantaran sudah 2 hari di kirim ke alamat penerima tapi ga dtg dtg mana paket mahal isinya dibilang gagal diantar esok giliran didatangi ke kantornya dibilang waktu pengambilan tutup
jelek banget sumpah",JNE,Kalimantan Timur
5,Ramah dan super cepat serta sabar petugas pelayanannya disertai dengan penjelasannya,JNE,Kalimantan Timur
