Rating,Reviews,Company,Province
1,Sedih amat kirim tv sampe kaya gini padahal udh minta packing yg aman galagi2 deh 😭😭 …,JNE,Kalimantan Utara
1,"Kinerja buruk, paket ditahan melebihi estimasi waktu",JNE,Kalimantan Utara
1,Barang sudah satu Minggu posisi massih di kantor sini ga ada pergerakan,JNE,Kalimantan Utara
1,"CS dengan pelayanan terburuk.. Uda ada Sticker Fragile, dan barang datang dengan kondisi basah, di komplain malah si cs bilang, ""ini karena gak di packing kayu"".. Dan ending nya stelah 2bulan nunggu kepastian, barang nya malah dikembalikan dengan kondisi lebih parah dari sebelum nya.. Luar biasaaaa.. 😅 …",JNE,Kalimantan Utara
1,Jne cabang terakan emang stres menyesal aku di buat nya paket aku di terakan nginap lama lama nya di sana masih juga belum sampai di Malinau JNE kalo nggak bisa kirim barang jangan dh cari aja kerja yg layak aja yg nggak bikin orang orang …,JNE,Kalimantan Utara
5,"Layanan Jne memang terbaik dan cepat, dan pegawainya ramah ramah.....ngga nyesel pake jasa pengiriman JNE...",JNE,Kalimantan Utara
1,"Penanganan paket sangat jelek.
Dan pihak JNE tidak ada itikad baik untuk bertanggung jawab. Malah menyalahkan pengirim dgn berbagai alasannya. Sudah pelayanan dan penanganan paketnya sangat jelek, kok ceonya dapat penghargaan... Mungkin ini hoax.",JNE,Kalimantan Utara
4,"Lokasi strategis di pinggir jalan utama, stafnya juga ramah-tamah. Pelayanan makin ditingkatkan ya...",JNE,Kalimantan Utara
1,"Kalau bisa bintang 0 untuk JNE tarakan. Ga masuk akal barang processed at sorting center selama seminggu. sortir seperti apa yang memakan waktu 1 minggu? barang yang seharusnya sudah sampe bontang, malah masih diem di tarakan. mohon kejelasannya dari pihak jne atau kalau tidak sanggup kirim mohon dipindahkan ke ekspedisi lain",JNE,Kalimantan Utara
1,Barang saya ada yg Hilang. Entah bagaimana bisa. Tapi barang ke 2 deluan sampai dari pada barang pertama. Pihak terkait tidak ada membantu,JNE,Kalimantan Utara
1,"Barang dah sampai tarakan menuju ke nunukan, msh nginap di tatakan padahal dah 5 hari..  JNE sangat tidak rekomended",JNE,Kalimantan Utara
1,JNE cabang kota tarakan karyawan nya ngpa in aja sih.d tlvon2 gak gak d angkat.padahal masih jam kerja.kalau bisa d cancel barang saya.cancel aja.gk perlu d balik in ongkir nya.gpp.mau ganti jasa expedisi,JNE,Kalimantan Utara
1,"Barang udah ada di Tarakan, padahal tujuan ke sekatak doang Masihh ajaa nginap di Tarakan beberapa harii adaa apaa sihh",JNE,Kalimantan Utara
1,"Jasa pengiriman sangat lama, barang sudh 1 bulan tidak sampai sampai, setiap sampai di tempat transit selalu di tahan berhari hari",JNE,Kalimantan Utara
