Rating,Reviews,Company,Province
1,Woiiii paket saya kapan diantar ntar ujung ujung nya direturr itu  yg kurir nama nya rusman ahmadi antar la paket ku wak udah 2 hari ngk sampai sampai niat ngantar apa ngk,JNE,Kepulauan Riau
2,"Pelayanan yg buruk, udah nganter ke alamat telat, tidak ada konfirmasi pengiriman, paket main di lempar ke pintu aja, pokoknya selama pakai JNE baru kali ini pelayanan nya kurang bagus",JNE,Kepulauan Riau
4,"Harus datang pagi sebelum jam 07:30 jika ingin Pick Up paket sendiri, bawa KTP dan bukti order marketplace",JNE,Kepulauan Riau
1,"Barang saya tujuan Karimun malah nyasar ke Natuna, udah 14 hari sejak sampai ke Batam (JNE Tiban). Kacau",JNE,Kepulauan Riau
1,Tolong di perbaiki kinerja staff JNE Tiban yang sangat merugikan kami sebagai cutomer. Hampir 1 bulan barang hanya di tarok di gudang pdhl kami sdh infokan utk di retur. Ini bukan 1x sdh 2x saya di rugikan oleh kinerja pegawai JNE Tiban.,JNE,Kepulauan Riau
1,Paket sudah berapa hari di batam tapi gk diantar ke alamat padahal sengaja buat bayar yang lebih biar cepet nyampe krn perlu banget nyatanya lambat x jauh di luar dari prediksi. Mana no telepon wa nya gk ada biar tau masih di JNE pusat/tidak.gk lagi pake JNE.,JNE,Kepulauan Riau
1,"Expedisi ampas padahal senior,, pelayanan ampas, barang deket aja bisa sampai be minggu2 ,, keterangan rumah kosong ,, padahal kami 24jam org di rumah, kalo gak niat mending tutup aja bro gulung tikar gih sono,, dari dulu masalah sama tidak ada perbaikan ekspedisi paling buruk di indonesia wajar aja kalah saing sama sebelah",JNE,Kepulauan Riau
1,"Permisi saya mau buat laporan tentang hp saya yg dibawa kabur sama kurir JNE sampe sekarang blm ada pertanggung jawabannya terhadap pesanan saya
Uang saya habis dibawa kabur, kontak saya diblokir,
Tolong admin JNE harus bertangungjawab atas karyawan nya",JNE,Kepulauan Riau
5,Jasa pengiriman paket paling senior. Pelayanan disni oke. Lokasi mudah di jangkau. Semoga kedepan JNE makin maju karena jasa pengiriman senior 👌🏻 …,JNE,Kepulauan Riau
1,"Paket stuck sudah 2 hari gak gerak gak diantar, padahal urgent dibela-belain biarpun ongkosnya mahal pake layanan yes yang katanya yakin esok sampai, tapi faktanya beuh.... …",JNE,Kepulauan Riau
1,maaf bnget ni jne pelayanannya bad bnget mas brg saya smpai pda tgl 17 tp smpe skrg ga diantr pdhal ini udh tgl 24 klo ga dijmpt mau smpe kpan itu brg disimpen disana. …,JNE,Kepulauan Riau
1,Pelayanan buruk kurir malas antar smpe rumah nitip ke lapak orang terus emng dikiranya kita GK segan apa,JNE,Kepulauan Riau
1,Kiriman kartu debit dri mandiri udh berapa kali percobaan statusnya wih delivery courier tpi udh berapa hari tiba2 nobody at home.. Pdhl saya 24 jam dirumah aja.. Kalau pun saya gak dirumah telpon lah.. Ini gaada dihubungin apa2 tiba2 nobody at home!!.. Parah sih ekspedisi satu ini luar biasa,JNE,Kepulauan Riau
1,"Barang saya dari tgl 2 yg seharusnya uda sampai sampe skrg ga sampai"", mana kmrn tgl 2 blg mau antar lngsng antar aja tp ga diantar alasannya tidak jumpa rumahnya tp smpe skrg tdk ada menghubungi lagi buat antar paket, dikira kita beli …",JNE,Kepulauan Riau
1,Paket saya dari tanggal 20 sampai saat ini belum di kirim*lagi masih di jne tiban bagaimana ni.harus ya barang tu di tumpuk dulu baru di kirim.klo emg ngk bisa ngk usah bukak cabang lagi jne.buat malu nama jne aja,JNE,Kepulauan Riau
1,"Ini barang gak dikirim kirim udah lama banget ngestuck tuh paket gua, mohon pihak JNE nya ada tindakan",JNE,Kepulauan Riau
1,"Ini jne terburuk, saya pake jasa next day malah nge stuck di kantor jne tiban 2 hari. Alhasil saya datang jemput sendiri. Dan tidak ada itikad baik minta maaf",JNE,Kepulauan Riau
1,"Ga jelas ini mah, respon nya jelek semua, mana  barang yg di pesan ga di kirim2 lagi.  olshop nya jg ga bertanggung jawab malah kabur gitu aja ngembat uang org,. Aku niat baik mau order malah jd ketipu. Tolong dong kalo mau cari uang itu yg …",JNE,Kepulauan Riau
3,"Paket saya blm sampai kerumah min
Status tgl 22/8/24 (With Delivery Courier)
Skarang 29/8/24 seharusnya dalam 24 jam uda sampe rumah",JNE,Kepulauan Riau
1,Penipuan 625 ribu uang saya hangus paket tidak datang hanya minta biaya nambah trus,JNE,Kepulauan Riau
1,Kurir nya gk pernah punya pulsa atau kuota padah ada nomor hp nya gk pernah nelpon katnya paket dah sampai ke rumah,JNE,Kepulauan Riau
1,"Menyesal ngirim paket pake JNE,barang sudah datang seminggu di Batam tapi ngak dikirim2. Bolak balik telp juga ngak ditanggapi kayak taiiiik",JNE,Kepulauan Riau
1,"Udah sampai JNE TIBAN malah gak dikirim2 udah 2 hari, tolong kerjasamanya dong kenapa bisa begitu, padahal JNE lain langsung dikirim",JNE,Kepulauan Riau
1,"mau ambil paket sendiri ribetttt

hrs ke cs …",JNE,Kepulauan Riau
1,"Tadi tanya digudang katanya udh diantar kurir, ditungguin ga datang², malah besok jadinya",JNE,Kepulauan Riau
5,"Kiriman aman cepat dan mas mbaknya murah senyum, sukses selalu ya, pilihan servicenya jg banyak banget, recommended banget expedisi satu ini. …",JNE,Kepulauan Riau
1,"Pelayanan serta handling paket sebaiknya segera diperbaiki. Paket yang seharusnya 1 hari , malah lewat 1 hari.",JNE,Kepulauan Riau
5,"Alhamdulillah,, terus berdiri JNE semua cabang. Berkat anda kami terbantu. sukses untuk JNE. 🤲🤲🤲🤲 …",JNE,Kepulauan Riau
1,"Buruk sekali pelayanannya, paket pun di tahan2 buat di kirim, bilangnya regulasi 7 hari, tapi sampai sekarang pun paket saya belum dikirim², asli jne paling parah dan buruk yang sy pakai ini lah dia",JNE,Kepulauan Riau
1,"Paket saya kok belum sampai min, padahal udh di kurir kenapa belum di antar ke lokasi saya",JNE,Kepulauan Riau
5,"jne terbaik, pengiriman sangat cepat, complain pun jelas kemana arahnya.",JNE,Kepulauan Riau
1,Dari tanggal7 sampai sekarang gak sampai dengan alasan ada takziah..padahal jalanya gak tutup total masih bisa lewat kurir juga gak ada wa,JNE,Kepulauan Riau
1,Pengiriman sangat lambat padahal barang udah nyampe batam 3 hari,JNE,Kepulauan Riau
1,"Sangat jelek sesuai rateing semua org tp tidak ada kemajuan dalam pengelolaan bisnis ini, barang saya di kirim via JNE batam ini tp di buat hilang, dengan alasan pecah lah di telusuri ternyata bkn barang saya, di suruh claim saja tp tidak …",JNE,Kepulauan Riau
1,"Sangat tidak bertanggung jawab....sy belanja di online shop dgn alamat ini...tp sudah 6 hari, sy minta no resi tdk diberikan..... online shop yg sungguh tidak bertanggung jawab...atau mungkin ini hanya modus utk menipu pembeli sj...nama …",JNE,Kepulauan Riau
1,Paket tak kunjung datang alasan rumah kosong alamat tidak lengakp padahal no wa ada kenapa tidak di telvn,JNE,Kepulauan Riau
5,"Jika ingin ambil paket langsung harus hubungi call center dulu. Booking kapan ngambilnya.
Kalau kirim paket lama karna data pengirim sering dibuat2 atau bohong, apalagi harga dimainin, biar pajak nya murah. Sering jd ketahan pengirimannya.",JNE,Kepulauan Riau
1,"JNE terburuk! Paket Saya gapernah COD, dan jelas-jelas Saya lagi cuci motor gasadar difoto, paket tidak terkirim dgn alasan *penerima tidak berada dirumah* padahal Saya dirumah juga nunggu-nunggu paket urgent ini, Kurir kalian ini bagaimana? No.Telp Saya juga gapernah dihubungi, tolonglah diperbaiki cabang Tiban ini",JNE,Kepulauan Riau
1,"harusnya Liat ulasan dulu emang sebelum pake jasa kirim. Penilaian online ajah sampe 2.4 rata² bintang 1.
Ini JNE terburuk dari seluruh kota indo kayaknya, pesen barang shoppe gamau …",JNE,Kepulauan Riau
5,"JNE Batam ternyata kooperatif, kontak melalui akun Instagram mereka, lumayan cepat respon. Yang buat ribet ternyata aturan pemerintah yang mengharuskan tiap paket untuk di scan dan diperiksa data dan harganya, jika tidak sesuai maka akan …",JNE,Kepulauan Riau
1,"bintang 1 aja rasanya ketinggian buat pelayanan kalian, harusnya gaada bintangnya. kapok pakai JNE gak lagi-lagi deh, 3 kali pakai JNE 3 kali juga pelayanannya tidak bagus masa paket sudah datang berhari-hari di batam tapi belum dikirim …",JNE,Kepulauan Riau
1,"Lama lama klo sistem nya kaya gni bisa bangkrut sih JNE....
Bayar mahal2 pake yg YES... Malah gak smpe2... Pantes pada beralih ke expedisi lain.....",JNE,Kepulauan Riau
1,"Saya mau ajukan pertanyaan & keluhan tolong beri saya jawaban & solusi, saya order di Shopee tgl 2-2-2019 dikirim ke JNE Batam tgl 3-3-2019 sampai sekarang barang masih di Pusat Penyortingan Batam tgl 3 terus sama sekali tidak ada …",JNE,Kepulauan Riau
5,"bagus banget, baru sampai paket dari jogja langsung diterima paket di hari yang sama padahal pakai pengiriman biasa. #bukanbuzzer",JNE,Kepulauan Riau
1,Malas ngirim barang pake JNE urusannya terlalu ribet dan pelayanan kurir atau pun karyawannya terlalu buruk tidak ramah..krn saya punya 2 x pengalaman yg menjengkelkan diJNE,JNE,Kepulauan Riau
4,Saya mau tanya apakah paket saya sudah di kirim kan,JNE,Kepulauan Riau
5,Alhamdulillah paketan saya selama ini pakai JNE Manteppp,JNE,Kepulauan Riau
1,"Emang jelek bgt jne dimana² tempat,paket gk jga di antar2 udh 4 hari padahal sama² di batam,banyak loh karyawannya tpi kok lamat ya,keseringan costumer yg ambil ke jne langsung mknya jne sering bangkrut  dan dimna2 tutup,org pengirimannya …",JNE,Kepulauan Riau
