Rating,Reviews,Company,Province
1,"Share pengalaman menggunakan jasa JNE, saya dikirim paket oleh rekan dari tanggal 30 November, tgl 2 desember sudah sampai di bandar lampung, tgl 2 kurir wa kalau tidak bisa mengantarkan, oke saya balas tapi dia tidak respon, kemudian tiba …",JNE,Lampung
1,"Woy jebug paket gua mana muter² terus gak jelas, barang gak sampek keterangan sudah di terima
Lu kalo males nganter barang resign aja boss
Estimasi 3 hari udah mau seminggu gak sampek²",JNE,Lampung
1,Paket nya ga dianter kerumah alesan diluar jangkauan dan diluar kota jiiir rumah gw masih kota di bandar Lampung heloooow se umur umur beli online baru ini di suruh ambil digudang,JNE,Lampung
1,Setelah baca ulasan lain kasusnya sama dengan sy.. nama besar JNE tp palayanan bgini … paket sruh ambil sndri dgudang dengan alasan ga masuk jangkauan pengiriman…semoga cpt bangkrut,JNE,Lampung
1,Kurirnya gak respect ama pengantaran... Padahl bisa hubungi dlu utk pengiriman barng utk penerima.. skrng brang kita tidak smapai malah susah buat ngelacaknya... Butuh 3-4 hari...padahl yaa dlu jne ada yg terbaik dalam pengiriman skrng …,JNE,Lampung
1,Pake JNE yess sehari sampe KATANYA doang... pesan tgl 10 siang harusnya tgl 11 sampai tapi sampai tgl 13 lom sampe juga... ga ada nomor kurir jadi cuma bisa tracking resi... akhirnya tgl 13 pagi ke jne sudirman di bilangin paketnya di jne …,JNE,Lampung
1,"Maaf bukan nya gimna, tapi pengiriman JNE buruk bngt. Kerja susah gara"" barang yg di kirim gak smpe"". Cuma karna nunggu paket dri JNE doang.",JNE,Lampung
1,Sumpah ini parah amat. Tugas lu kurir ya anterin lah. Bukan penadah barang. Suruh konsumen ambil. Udah gila apa  tutup aja. Kasih kantor yg mencakup,JNE,Lampung
1,kaga jelas anjir masa disuru ngambil ke gudang ??? baru ini beli online mala disuru ngambil sendiri. Blokkkk,JNE,Lampung
2,"Aneh banget ini JNE ya!
Awalnya pesanan dalam pengiriman,tbtb dijadwalkan ulang
Eh besoknya dpt notif suruh ambl barang digudang dgn alasan diluar kota. …",JNE,Lampung
1,"Klo memang gak menjangkau semua alamat gak usah buka jasa pengiriman, buka warung makan aja. Pake pake acara ketahan karna luar area, konfirmasi dnk kurirnya jgan diemin aja oaket sampe beberapa hari gak ada konfirmasi mandek di Gudang, kan …",JNE,Lampung
1,"Baru kali ini pesen shopee disuruh ngambil sendiri di gudang, kalo ada di bawah bintang satu gw kasih di bawah bintang satu tengs bgt jne",JNE,Lampung
1,"ekspedisi goblok! gua nungguin di rumah paket gua g di anter2 padahal ada orang di rumah tapi keterangannya di shope pembeli tdk ada di lokasi jls jls gua nungguin, kalo g sanggup nganter gausa nerima paket banyak ajg! tutup aja kalo g …",JNE,Lampung
1,Paket gua belum sampe padahal kirim pake JNE yes ga sesuai. keterangan penerima gada orang rumah?? hellooo gue standby nih smpe jam 11 malem belum ada yg ketok gerbang anter paket. Abis baca ulasan ternyata emang bermasalah. gua tunggu …,JNE,Lampung
1,Paket yes dianter ga sesuai deskripsi sumpah jne ngaco mending tutup,JNE,Lampung
1,Gila banget kurirnya barang di bilang alamat penerima ga sesuai ga lengkap padahal lengkap. Cs di telpon bilang disiapin dulu barangnya awas aja kesana barangnya ga ada saya tuntut ekspedisinya,JNE,Lampung
1,"Berengsek emang jne ini,ngirim paket obat yes dari jakarta mahal2 supaya bisa segera di minum obatnya,tdk terkirim dan ga tau barangnya ada di mana sampai skrg...setaan bener org2 yg kerja di yes ini..jgn minta ongkir mahal dong kalau tidak …",JNE,Lampung
1,Ngirim dari tgl 10 pas di cek sudah sampai di lampung tgl 11. Sampai tanggal 17 tidak ada tindakan pengiriman akhirnya diambil sendiri.. Ntah apa masalahnya MALAS nganter atau apa ini kok lemot,JNE,Lampung
1,"GILA APA YAA, paket gua stuck 3 hari disini cokkk
Ga di kirim kirim anjirr …",JNE,Lampung
1,Jne ini sangat buruk lama masa pesan di bandar Lampung dr hari Minggu smpai skr masih blm di antar ke alamat uga ...bnr2 GK ad bgusnya ini JNE smpai di bandar Lampung di sortir di bandar Lampung sampai di pusat b Lampung di sortir di …,JNE,Lampung
1,"Tanggal 19 sampai di werehouse, tanggal 25 baru di antar ke lokasi. Box kardus di sobek dengan sengaja dan di masukin barang yg bukan milik saya. Ga lagi lagi pake ekspedisi ini. Kalo ga kepepet ga bakal kemarin pake ekspedisi ini.",JNE,Lampung
1,"pake yess lama masa 4 hari dari sebrang parah kualitas nya lelet, terurama drivernya kerja nya suka bohong bilang dah d titip d pos gk tau nya blm",JNE,Lampung
1,"Kurir ga amanah, kasian penjual klo kyk gini, ga konfirmasi tiba² bilang klo pembeli menolak bayar😌😌
Nelpon juga ga👎👎👎👎 …",JNE,Lampung
5,"Gudang JNE Lampung khusus barang masuk. Anda bisa mengambil sendiri paket JNE anda yang sudah berstatus ""Received in warehouse"" di sini. Cukup menyebutkan nomor resi dan KTP/SIM asli. Berada di Jl. Alimudin Umar daerah Campang Raya, …",JNE,Lampung
1,"Pengiriman gak guna, baru ini ada ekspedisi yang gk amanah untuk kirim barang, padahal barang itu dibutuhin, cs dihubungin juga kagak respon!!!! Bikin kecewa gak gak lagi pake jasa pengiriman ini!!!! Bikin laporan juga gk digubris oleh pihak cs!!! GAK GUNA PUNYA EKSPEDISI GEDE KALAU GK AMANAH!!!!",JNE,Lampung
1,"Paket tidak di antarkan ke lokasi dg alasan tidak masuk wilayah kota dan berparokan hanya gapura, tidak dilihat lokasi.",JNE,Lampung
1,"Jasa kirim paling SAMPAH, paket gk gerak gerak udah 4 hari",JNE,Lampung
1,emg tolol amat dah paket gw belom nyampe malah tulisannya udh sampe ko mau maling kreatif dikit napa tolol amat malingnya paket tutup aj tolol cabang yang ini nyusahin doang,JNE,Lampung
1,"Tolong anterin paket saya,klo ngak niat jadi ekspedisi tutup aja mending ,ngak bertanggung jawab.",JNE,Lampung
1,"paket ketahan disini 3 hari , akhirnya ambil sendiri kesana , customer servis nge read doang keren banget",JNE,Lampung
1,LEMOT DITUNGGUIN SEHARIAN DEPAN RUMAH SMPE BOSEN GK DTENG DTENG PDHL NOTIF CEK RESI UDAH SAMA KURIR. GAJELAS INI EKSPEDISI. LAMA DOANG BUKANNA IMPROVE BUAT BERSAING SAMA EKSPEDISI LAIN MALAH MAKIN JELEK,JNE,Lampung
2,"""Tak ada Ditempat, Telepon tak direspon""
Emang betul saya gak ada dirumah. tapi gak ada tuh yang nelpon saya ,yg bener aja courier kocaklah🤣 …",JNE,Lampung
1,"Salah lokasi ambil barang yg udh 1 mggu ga jelas,,,rupanya dsini buat yg express. Gudang kargonya ga jauh dr perempatan lampu merah by pass. Pelayanan jne lg buruk bner akhir2 ini..kapok",JNE,Lampung
5,Bagus ga lambat kaya di komen kurir ramah semangat trus JNE 🙏🙏 …,JNE,Lampung
2,paket udh tau salah alamat bukan nya konfirmasi saka pembeli malah maen return aja,JNE,Lampung
1,"paket ditunda tunda, di hubungin juga respon nya lamban.
udah request barang di ambil aja biar cepet, malah dibilang bakalan di anter, tapi masih juga ga di anter2. perfect",JNE,Lampung
1,Katanya gak masuk rute dia jadi tuh paket gak dikirim² kalo mau kaya gtu mah menghambat orang jadi nya,JNE,Lampung
1,"percuma bayar paket YES sehari sampai, pembelian tanggal 3 janji paling lama sampai tanggal 5, ini sudah tanggal 5 barang tidak sampai sampai, saya tunggu dari pagi sampai malam ini tidak sampai sampai mana ini profesionalitas nya",JNE,Lampung
1,pake YES udah 3 hari lebih belum juga sampeee!! gimana ini ? tolong bantuannya bos,JNE,Lampung
