Rating,Reviews,Company,Province
1,"Pelayanan Terparah. Wktu d jkt pakai JNE ok lah, tpi d sni bnyak ngelus dada. Dari paket yg lama d krim padahal sdh d tte, paket yg terbuka, banyak dah. D jabodetabek paket bisa krim 2-3 hari, lah ini paket sdh smp d ternate, dari ternate ke penerima bisa 3-5 hari. Berarti luas wilayah ternate lebih luas dari pada jabodetabek.",JNE,Maluku Utara
1,"Kurir chat mau antar barang dri hari jumat. Sampai hari senin barang ga di antar-antar. Barangpun sudah di bayar, bukan cod. Kalo emg gabisa antar, gausah kerja",JNE,Maluku Utara
1,"sangat mengecewakan ekspedisi ini, barang setatusnya masih di kurir dari 8 hari yang lalu sampai saat ini tidak di kirimkan. saat ini jika pelayanan jasa tidak memiliki komitmen terhadap pelanggan pasti akan ditinggalkan dengan sudah banyaknya pesaing di bisnis ekspedisi. Mohon perbaiki kualitas pelayanan perusahaan anda.",JNE,Maluku Utara
1,"Expedisi terparah sepanjang masa, jangan pernah ngirim di expedisi ini. Kurirnya parah, semua semua parah. Buat kalian jangan terlalu gegabah sama jne ternate, jangan kawan.",JNE,Maluku Utara
1,"Permisi kan paket saya sudah 4 baru kok blum ada konfirmasi dari kurirnya ya,,mohon infonya dong biar saya datang ambil aja di tempat",JNE,Maluku Utara
1,Paket Reg estimasi 5 hari komplin laporan estimasi 3 hari baru tindak lanjut eeeh paket nyampai 1 bulan dilayani dengan Cargo lawak emang JNE,JNE,Maluku Utara
1,Tidak ada kepastin pengirim barang rute pengiriman 7 hari kerja tetapi masih terlambat ongkos kirim nya sudah mahal berharap barang cepat datang malah terlambat,JNE,Maluku Utara
1,"Tlp ke tempat sini tidak pernah diangkat, padahal saya mau tanya untuk barang saya. Mau ambil barang yang saya asuransikan harus menggunakan foto kopi ktp. Yang saya bingung tidak ada info seperti itu ketika saya mengirim barang dan yang parahnya jne tidak menyediakan mesin fotokopi.",JNE,Maluku Utara
1,"Min saya ada paket sudah seminggu tapi belum dapat info dari kurirnya, tapi saya lacak  sudah pengantaran beberapa kali",JNE,Maluku Utara
1,"Paling parah paket so 3 hari tra antar""",JNE,Maluku Utara
3,"Minta tlong Paket kalau sudah ada, di informasikan Pak(i) ..",JNE,Maluku Utara
3,"Kak bisa bantu cari paket saya sudah 10 hari belum ada info, tolong dicek kak biar saya ambil kesitu saja.",JNE,Maluku Utara
1,"Pelayanan JNE sangat2 mengecewakan,di system estimasi pengiriman 3 hari,di Chat ke Admin Jne kantor pusat kog berubah estimasi nya jadi 8 hari sejak tgl pengiriman??? JNT,ninja express,Sap tidak pernah terima barang selama ini??? Paling …",JNE,Maluku Utara
1,"KURIR TIDAK AMANAH , TIDAK DI ANTAR BILANGNYA PEMBELI TIDAK DI LOKASI , MANA JAM ANTAR JAM RAWAN LAGI DI JAM TIDUR MALAM",JNE,Maluku Utara
1,Barang telat dikirim sampe 15 hari,JNE,Maluku Utara
1,Kursi pelayanan ada 4..yang hadir cuman seorang..truss barangnya sudah sampai 4 hari yang lalu..tapi tdak kunjung ditelpn..atau diantar.,JNE,Maluku Utara
1,"JNE ternate pelayanan sangat mnegecewakan, paketku sdh tiba 2 hari yg lalu tp tdk ada konfirmasi dari kurirnya tiba"" di sttsnya pembeli tdk ada di tempat tujuan, kita sdh menunggu di rumah dari pagi sampe malam, mohon di perhatikan lgi kerjanya, terima kasih",JNE,Maluku Utara
1,"Telpon gak pernah di angkat dokumen saya gak tau keberadaan dimna udh seminggu lebih nunggu dari estimasi kirim katanya cman 3-4 hari,",JNE,Maluku Utara
5,"Aku suka. Baik pelayanannya....
tetapi kadang gemes juga mau transaksi pembayaran saldo kosong terus 😁😁😁😁 …",JNE,Maluku Utara
1,"Paket dari tgl 21 mei baru tiba 22 juni itupun harus di ambil ke Loket. Keterangan alamat tidak ditemukan, padahal alamat jelas (pake expedisi lain sllu sampai tepat waktu) dan parahnya kurir tidak pernah konfirmasi via telpon padahal nomer HP tercantum jelas. Pelayanan yg sangat buruk",JNE,Maluku Utara
4,Tempatnya sangat strategis... Tapi jam pengambilan Barang tidak efektif... Kecewa ama aturan baru  pengambilan barang... *Terlalu,JNE,Maluku Utara
1,"Nomor CS JNE Ternate cuma read saja, tidak pernah dibalas sekalipun sampai kapanpun. Lebih baik kalian kembali ke jaman dulu saja, kalau tidak bisa mengikuti perkembangan teknologi komunikasi yg sudah canggih ini.",JNE,Maluku Utara
2,"Menurut saya JNE khususnya di Ternate harus mulai evaluasi dlm proses estimasi pengirimannya.. Bgmn tdk, ketika barang sdh  melalui 3/4 hari proses pengiriman dan sdh sampai di gudang JNE barang tdk bisa langsung diambil dgn alasan masih …",JNE,Maluku Utara
1,"Jne gajelas ngirim paket sebulan ga sampai2  , buat keterangan palsu, kantor 24 jam ada yg jaga kantor saya,tulisnya di keterangan sudah diantar, tapi ga ada orang,  padahal belum di antar sama kurir,buat keterangan palsu, giliran setelah …",JNE,Maluku Utara
1,"Parah , terburuk se-Indonesia Raya. Kurir makan gaji buta apa gimana hnya melayani dan antr area dalam kota saja itupun kurirnya cm main klakson2 motor penerima suruh ambil dimotor, gak sopan sekali. Dan sekarang aku udah pindah di area …",JNE,Maluku Utara
1,"Sudah 2 kali kirim paket via JNE Ternate mengunakan express sehari sampe sama dua hari sampe, tapi kenyataan paket malah di tahan hampir seminggu dan ga pernah di kirim lalu saya telpon call center pusat katanya udah hilang paket saya. …",JNE,Maluku Utara
1,pengiriman hanya tertahan di kantor dan gak ada tindakan pengiriman. kirim barang dari jawa ke tobelo dari jawa ke ternate 2 hari. dari ternate ke tobelo satu minggu lebih gak ada niat di kirim ke cabang tobelo. mantappp,JNE,Maluku Utara
1,"Paket dari tanggal 1 dan sdh sampai tanggal 22,tapi kurir tidak telpon malah alasan tidak ada orang dirumah.tolong antar paket orang yang jelas,ada nomor telpon,itu kan bisa telpon bukan pura2 lapor ke kantor tidak ada orang..saya tidak …",JNE,Maluku Utara
1,"Barang saya sampai di ternate tgl 23 november, saya sendiri dtng ke kantor jne dengan maksud mengambil barang saya langsung tetapi kata petugasnya sudah dalam pengantaran kurir ke alamat saya yang mana alamat saya cuma berada di sekitaran …",JNE,Maluku Utara
2,"Lama sekali paket saya ini sdh hri rabu blm ada juga, CM41827539870, kiriman dri expedisi lain sdh ada dri hari senin pdhl kirim dihari yg sama,",JNE,Maluku Utara
1,"Hati2 mengirim, anda harus belajar sendiri SOPnya, kesalahan sedikit JNE tidak akan bertanggung jawab. Seperti saya yg sudah rugi barang jutaan rupiah rusak karena pengiriman.",JNE,Maluku Utara
