Rating,Reviews,Company,Province
4,"Seharusnya apabila tidak bisa mengantar dengan kurir,ya harus d konfirmasikan
Agar yg punya paket bisa mengambil sendiri atau dengan ojek kan",JNE,Maluku
1,"Pilihlah SELAIN JNE, kalau tdk ada pilihan lain, mending cari toko online lainnya yg ada bbrp pilihan pengantaran. …",JNE,Maluku
1,Lelet paket sudah melebihi estimasi belum di kirim menuju alamat juga,JNE,Maluku
1,"Maaf kali ini sangat kecewa dengn pelayanan jne Ambon, paket tiba Ambon tgl 6 April 2024 sampe tgl 17 April paket blm diantar ke tujuan dengn alasan bertepatan lebaran. Cuti bersama Nasional saja dr tgl 8 April sampai 15 april, JNE Ambon cuti bersamanya sampai kapan?",JNE,Maluku
1,Barang uda nyampe tgl 11..estimasi dapat paketnya tgl 19...jarak jne ke rumah 280meter..wow...semakin lama di gudang takutnya tikus gerogotin paketnya ...8 hari coy ...parah eee,JNE,Maluku
1,Kak paket Uda 2 Minggu lebih ini bloem di antarkan,JNE,Maluku
5,Hari minggu buka sampai jam 3 sore saia.,JNE,Maluku
1,"su tunggu paket sabulan lebih, baru tiba2 paket di nyatakan hilang dari jasa kirim..
niat karja k sg ???",JNE,Maluku
1,"Manusia” pemalas yang kerja disini dan tidak bisa diatur, paket udah sampai ambon dari 26 dec jam 12 siang, 2 hari setelahnya masih tetap di status yang sama dan tidak dikirim ke end point customer. …",JNE,Maluku
5,"Lancar, jika ada promo, langsung di beritahu, tidak menyulitkan pelanggan",JNE,Maluku
1,"Hari ini harusnya paket sudah diterima, tapi hanya gara2 kurir tlp2 tapi yg punya paket lagi sibuk, tidak tau ada tlp masuk, si kurir batal antar dan minta besok saja antarnya padahal baru jam 12.30, sedangkan kantor tutup jam 19.00.. sy …",JNE,Maluku
1,pelayanan buruk.. paket tidak sampai sampai...,JNE,Maluku
1,"Pelayanan paling jelek skali, ktg paket sampai sekarang ini belum ada konfirmasi sudah sampai di gudang Ambon atau mau dikirim ke alamat tujuan begitu sama sekali sg ada kejelasan, tolong bt pung barang besok segera di kirim karena ini …",JNE,Maluku
1,"Pelayanan Lambat. Terhitung sampai hari ini, 4 Mei 2022, 2 Minggu berlalu, barang belum sampai di alamat. Bagi teman-teman yang kebetulan ingin melakukan transaksi kirim mengirim barang sebaiknya gunakan ekspedisi lain. Masukan Bagi HRD …",JNE,Maluku
