Rating,Reviews,Company,Province
1,"Pelayanan JNE sekarang Amburadul!! Nol besar!!
Sudah jelas dipaket tertera tulisan JANGAN BANTING JANGAN TINDIH. Tetep aja main lempar sana sini. Walhasil barang jadi RUSAK!!!!! …",JNE,NTB
1,JNE selalu barang orang di tunda. Padahal di statusnya pelet sedang di antar ke alamat tujuan. Dari jm 10 pagi-malem gak dateng2. Dan kurirnya males bertanya selalu andalkan nomor tlpn yang ada di paket. Nama sudah ada dan rt. Rw sudah ada,JNE,NTB
1,"Tolong kalo gak niat tutup saja jasa kirimnya, paket saya telat diantar 2 hari, alasannya alamat tidak lengkap wkwk lu pikir gua baru pertama kali co shoppe pake alamat itu lol, ternyata liat ulasan orang² banyak juga yg mengalami hal serupa. Saran jangan pilih jasa kirim ini lagi dah buat semuanya yg baca 👎🏻 …",JNE,NTB
1,"Barangku udah satu Minggu mandek di Mataram...nggak dikirim"" ke Lotim,, jengkel banget... dihubungi nggak menyelesaikan Masalah...cukup sekali ini aja pakai JNE,, …",JNE,NTB
1,Menghubungi customer sevice JNE mataram sama sekali tidak membantu. Untuk barang yang sudah lewat waktu pengantaran saja tidak ada gregetnya untuk membantu memastikan barang diantar. Mau ambil sendiri juga dipersulit dengan berbagai alasan. …,JNE,NTB
1,Katanya barang fisik nya ada...mau di urus ke pusat untuk di lakukan pengantaran ulang...tau nya barang hilang di transit mataram karna status terakhir di transit mataram...masalah nya harga yang di ganti tidak sesuai dengan harga barang nya,JNE,NTB
1,"Sampai ulasan ini ditulis (5 Jan 2025),  paket saya dari Mataram ke Lombok Timur belum sampai. Padahal berangkat dari tanggal 28 Des 2024.",JNE,NTB
1,"gmn ni pelayanan JNE kok makin parah ya. sy tnggu kurir 2hari brang gk tiba2, sy ke JNE tanyain paket katnya dkurir lahhh brrti paket sy 2hari drumahnya kurir gt punya usaha pakai JNE hilang pelanggan. masak kalah sama J&T.",JNE,NTB
1,Makin kesini makin parah dan ga jelas.. Paket ga diantar2. Biasanya pengiriman 4 hari paling lama sdh sampai. Ini seminggu lebih ga ada kejelasan. Kapok pakai JNE.. Pelayanan paling memuakkan bukan memuaskan..,JNE,NTB
2,"kurirnya kok gg ada menghubungi sya ya, sy tracking resi sudh d antr tp brg blum smpe skrg lg d kurir tp dr awal kurirny gk ada menghubungi, tlong jne di evaluasi lagi ya",JNE,NTB
5,Mantap buka tiap hari jadi membantu masyarakat yang ingin mengirim berkas pada hari2 libur kalau bisa cantumkan no wa yang bisa di hubungi,JNE,NTB
1,Sudah 3 hari statusnya barang di transit mataram... Saya tidak tahu apakah barang saya hilang atau memang tertunda pengirimannya,JNE,NTB
5,"Setelah lama banget gak ke kantor JNE di Jalan Amir Hamzah (lebih sering ke Jln Bung Karno), akhirnya akhir Maret ke sini lagi. Wow..udah banyak yang berubah. Mulai dari lokasi ruangan untuk kirim-kirim barang (seingat saya, ruangan yang …",JNE,NTB
1,Sumpah ya JNE paket dari tanggal 14 udh smpe Mataram bahkan sedang dibawa kurir tapi smpe tanggal 20 tidak sampai sampai ke alamat. Kurirnya di tanya cuma jawab iya iya doang di tunggu dari pagi smpe malam gak  dteng dteng. 😡😡😡😡 …,JNE,NTB
1,"Mana ini, kenapa paket saya ditahan. Tolongg segera diantar karena ini sudah sangat lamaaaaaaa",JNE,NTB
1,"kirim ke kota malang, biaya Mahal, lama  sampenya dan paketpun rusak, ntah digigit tikus atau dicomot pegawai mereka, tau aja isinya makanan",JNE,NTB
3,"Kantor pusat utama JNE di lombok, ada antrian saat akan masuk menggunakan print nomor antrian, sayang untuk pelayanan nya kurang terutama di tempat untuk tanya status paket yg masih belum datang lama diluar estimasi. Tidak bisa menjelaskan alasan nya knp paket terlambat lama padahal sudah melewati batas estimasi Terima customer",JNE,NTB
1,"Paket hilang!!!
Ditanya nama dan foto penerimanya gak dikasih, kurir yg nganter gk ada tapi katanya pesanan udah diterima …",JNE,NTB
1,"Jne YES
Lombok-Jatim
4 hari belum sampai …",JNE,NTB
1,"Paket saya tiba tiba dikembalikan ke penjula tanpa adanya konfirmasi, padahal sudah saya bayar.",JNE,NTB
5,"Good service...
Staffnya ramah dan helpful...
Tempatnya nyaman, bersih dan tertata rapi. …",JNE,NTB
1,"Bner² pelayaan yang buruk,tidak ada gesit²nya sama sekali sudah berhari hari paket kita disana tidak dijalankan,nmr tlpn tidak jelas tidak bisa dihubungin,pokoknya ini terakhir kali saya memakai jne",JNE,NTB
1,"Paketan ku udh 2 hari yg lalu sedang diantar ke alamat tujuan, sampe kapann woiii",JNE,NTB
5,"bagus, pelayanan Bagus, ruangan sejuk, bersih dan pelayanan buka 24 jam",JNE,NTB
