Rating,Reviews,Company,Province
4,"Salah satu Kantor yang Menyediakan Jasa pengiriman Barang, dokumen di Kota Ruteng - Manggarai",JNE,NTT
1,Kirim paket rtg-sbya lamaa skalii… d cek online msh d bajooo… gilakkk,JNE,NTT
4,"Sore-sore antri antar kiriman, ada ibu2 ambil paket marah2 karena paket lama sekali sampai dan tidak ada kabar. Kaka petugas yang memberikan paket ke ibu tersebut hanya bisa minta maaf dan beralasan lupa. …",JNE,NTT
1,"Pelayanan buruk, mending gx usah di pajang no tlp,kalau gx selalu di angkat,
Jne cabang ruteng ini sangat buruk
Orang menanyakan kiriman sudah tiba …",JNE,NTT
1,"Barang saya dipacking kayu karena katanya barang elektronik, setelah dipacking kayu malah tidak lolos X-RAY, kalau sudah bgni siapa yang mau tanggung jawab. Sudah keluar biaya bnyk buat pengiriman juga....",JNE,NTT
5,"Pelayanan JNE Ruteng sangat bagus dan sangat membantu customer utk packing barang, pokoknya mantap",JNE,NTT
4,Apa barang saya suda sape berupa aplop.yg atas nama gregorius  t tlg di tlp kalo nyampe.trimakasih,JNE,NTT
5,Layanan ramah...keren,JNE,NTT
5,Aplikasi sngat bagus,JNE,NTT
1,"Kontak yg bisa di tlfn ada??
Barangnya katanya sdah kirim, padahal belum",JNE,NTT
1,cepat dan ramah,JNE,NTT
5,Tempatnya luas enak juga ngantrinya parkirnya juga luas pelayanan lumayan bagus,JNE,NTT
5,Tempat pengiriman barang terpercaya,JNE,NTT
5,Klo ada paket kurir gercep..,JNE,NTT
5,Barang ori,JNE,NTT
5,"Alamat mudah di akses,pelayanan cepat👍👍👍 …",JNE,NTT
4,pelayanan cepat dan bagus,JNE,NTT
1,"Kak.
Ingin tanya kiriman",JNE,NTT
4,Mudah di akses dari jalan utama,JNE,NTT
1,Kurir kasar,JNE,NTT
5,Good bnget,JNE,NTT
1,Bagus,JNE,NTT
5,No review found,JNE,NTT
5,No review found,JNE,NTT
5,No review found,JNE,NTT
5,No review found,JNE,NTT
5,No review found,JNE,NTT
5,No review found,JNE,NTT
5,No review found,JNE,NTT
5,No review found,JNE,NTT
5,No review found,JNE,NTT
1,No review found,JNE,NTT
1,No review found,JNE,NTT
5,No review found,JNE,NTT
