Rating,Reviews,Company,Province
1,"Ini Sistim kerjanya gmna yaa, barang udah lama dtang tpi tdak di antar2, ini bayarnya Cash loh bulan COD",JNE,Papua 
5,"Pelayanannya sekarang OK banget, disaat tanggal merah masih tetap kirim barang ke costumer, saya sering belanja di aplikasi orens, jadi bisa bandingkan kualitas dari masing-masing jasa pengiriman. Kalau diperingkit ya, JNE dan L parsel no …",JNE,Papua 
1,Tidak jelas kurir pemalas tidak mau antar,JNE,Papua 
1,"Tolong di didik lagi kurir area tanah hitam yg namanya Juniel, sudah salah antar barang ke alamat lain malah marah*,tidak sopan,main blokir dan bicara kasar ke cust😡 jangan jadi kurir kalau tidak tau sopan
Bukti VN  dan WA dia bicara kasar masih sy simpan ! …",JNE,Papua 
1,"alasan barang kembali ke gudang karena tidak ada orang dirmh, itu gunanya NOMOR HP buat apa ????",JNE,Papua 
1,Paketan saya belum datang2. Masak kurir sudah sampai ke alamat sy tapi malah pergi lg. Semisal kalo sudah sampai alamat kan bisa hubungi nomer telfon yg tertera di barang ? Kok main pergi lg. Bayar mahal2 kok gini pelayanannya,JNE,Papua 
1,"Di cek ke jne,Bilangnya dalam pengantaran.di tnggu smpai malam malah tidak datang2,di kabarin pun tidak, malah di hold.klw gak bsa antr bilang jngn bilang nganter taunya gak dtg.gunanya nomor hp yg diminta buat apa?parah amat kualitas pengantarannya👎 …",JNE,Papua 
2,Sebenernya yg paling bikin kecewa adalah tdk ada permintaan maaf dari CS saat melayani. Mungkin memang pengiriman bukan tnggung jawab CS. Namun CS adalah wajah terdepan dari JNE. Sangat disayangkan.. Bayar mahal untuk ongkir paketan terlambat dan tdk ada permintaan maaf. Moga kedepannya Pelayanan JNE lbh baik lagi,JNE,Papua 
1,"Males banget, sy cek resi sy kok tiba² udh diterima pake nama tetangga sy, pdhl kan sy dirumah trus, kalau gk tau detail rumah sy kan bisa telpon dipaketnya kan tertera nomor telpon",JNE,Papua 
1,"kerja tra becus, barang sdh 1 bulan sampe, tpi blum di antar jg, kalau ongkos kirimnya kurang,bilang saja to,biar kita tambah.. knp harus mau tahan tahan barang pesanan orang??",JNE,Papua 
1,"Barang sdh tiba tiba dari brp hari lalu tp gak di hubungi sama skali, paraaaahhh buruk skli pelayanannya !!",JNE,Papua 
1,"fix hari ini 3 minggu barang belum sampai2, padahal menurut aplikasi pengiriman barangnya sampai, saat di cek ga ada... , hasil tidak sesuai ekspektasi",JNE,Papua 
1,Stts cek resi rumah/kantor kosong( tidak ada orang di rumah) kyknya sy nunggu seharian gak ada yang datang ke rmh kok langsung di vonis dgn stts seperti itu.. biasakan kerja jujur oiii,JNE,Papua 
1,Barang tidak di antar dengan alasan tidak ada orang dirumah. Pelayanan yg sangat buruk. Dan berulang setiap ad pngriman.,JNE,Papua 
1,"hasil tracking telah tiba tanggal 1, sampai tanggal 4 belum ada pengantaran hingga tempat tujuan. mohon ditingkatkan lagi pelayanannya.. thanks",JNE,Papua 
1,"Berang sya kok blom datang"" juga seharusnya dari kemaren udah d antar daerah sentani pasar baru tpi smpe skrng kok blom di antarin lelet baget kerja'a dari pihak jne",JNE,Papua 
5,"1 kg paket ke Nabire tarifnya Rp70.000,-. Dilayani dengan baik. Letaknya sebelum SPBU Pertamina Padang Bulan kalau dr arah Abepura.",JNE,Papua 
1,Tolong paketan atas nama Salwa imam gowen d Antari sudah batas emilasi..knp JNE sekarang lambat,JNE,Papua 
1,Pketan sya pesan dari tgl 27 smpe skrng blum datang datang . Tolong infonya kurir,JNE,Papua 
2,"Pelayanannya kurang memuaskan.. kurirnya sih ramah"".. sistemnya juga kurang baik..",JNE,Papua 
1,"Gak sah tatuh nomor kalau gak akyif...

Katany pengantatan hari ini dah dtang ksana …",JNE,Papua 
1,Lelet kerja macam babi taek kapok pake jne mndig pke j&t lg lbih respon,JNE,Papua 
1,"Barang sy yg harusnya datang hari ini, blum juga di antar",JNE,Papua 
1,Kok paket saya belum datang datang pantasan udh melewati standar pengiriman,JNE,Papua 
1,"Pelayanannya SANGAT SANGAT BURUK!!!

Pusat blm tau ini, klo tau bs dirombak org2 malas di situ",JNE,Papua 
2,Kurir nya tidak ber pengalaman... Jam kerja tidak profesional,JNE,Papua 
1,"Pengantaran paket yang selalu terlambat, tdk tepat waktu.",JNE,Papua 
1,Kurang memuaskan dan pelayanannya tdk sopan kepada costumer,JNE,Papua 
5,Pertahankan layanan telp sebelum barang di kirim,JNE,Papua 
1,Bang kok paket z blm diantar,JNE,Papua 
1,"Susah di hubungi, barang blm sampai2",JNE,Papua 
1,blm pernh,JNE,Papua 
5,Ekspedisi yabg sangat recomended,JNE,Papua 
5,Tanjakan ale ale,JNE,Papua 
4,Tidak,JNE,Papua 
5,Cepat dan lugas.,JNE,Papua 
1,Tidak recomended dan kurang profesional,JNE,Papua 
1,Jasa pengiriman anjing,JNE,Papua 
1,Mengecewakan,JNE,Papua 
4,Lumayan,JNE,Papua 
4,Tempat stategis,JNE,Papua 
5,No review found,JNE,Papua 
1,No review found,JNE,Papua 
5,No review found,JNE,Papua 
5,No review found,JNE,Papua 
5,No review found,JNE,Papua 
4,No review found,JNE,Papua 
5,No review found,JNE,Papua 
3,No review found,JNE,Papua 
1,No review found,JNE,Papua 
5,No review found,JNE,Papua 
5,No review found,JNE,Papua 
5,No review found,JNE,Papua 
5,No review found,JNE,Papua 
4,No review found,JNE,Papua 
2,No review found,JNE,Papua 
3,No review found,JNE,Papua 
5,No review found,JNE,Papua 
4,No review found,JNE,Papua 
5,No review found,JNE,Papua 
5,No review found,JNE,Papua 
1,No review found,JNE,Papua 
2,No review found,JNE,Papua 
1,No review found,JNE,Papua 
1,No review found,JNE,Papua 
1,No review found,JNE,Papua 
2,No review found,JNE,Papua 
1,No review found,JNE,Papua 
3,No review found,JNE,Papua 
5,No review found,JNE,Papua 
4,No review found,JNE,Papua 
5,No review found,JNE,Papua 
1,No review found,JNE,Papua 
2,No review found,JNE,Papua 
5,No review found,JNE,Papua 
5,No review found,JNE,Papua 
