Rating,Reviews,Company,Province
1,Pelayanan jasa pengiriman paling terburuk.. 2 minggu menunggu dan sudah cek barang diterima di sorong kenapa tdk di antar atau hubungi penerima malah alasan alamat tdk ditemukan.. sdh begitu kurir tdk sertakan kontak di sistem bagaimana mau dihubungi penerima !,JNE,Papua Barat
1,"tolong lah jne paket sya kemana ini , masa udah 2 minggu lebih blm sampai . padahal estimasi paling lama sampe tggl 20 november",JNE,Papua Barat
1,"JNE KOTA SORONG PELAYANAN PALING BURUK, BARANG TIDAK DI ANTAR SECEPATNYA. SELALU TUNDA PENGIRIMAN",JNE,Papua Barat
4,"bagus, pelayanannya. ca lebih bagus kalo waktu tunggunya dipersingkat.",JNE,Papua Barat
1,"Kalo bisa bintang 0 sa bikin  k , sebusuk itu yaa jne cabang sorong ,  paket ini e dari sorong ke kaimana saja bukan ke abudabi ya , sampai saat ini belum sampai hallo jamgan membodohin orang yaaa ,nyesell bangett pakekk jasanya ,",JNE,Papua Barat
1,"Sangat buruk pelayanan. Paket dari tgl 3 estimasi hanya 7 hari, sudah hampir 2 minggu dan paket masih belum dikirim. CS dihubungi tidak tersambung, mau yang kantor pusat atau cabang. Kalau pelayanan buruk, tidak usah sok2an buka cabang untuk melayani pengiriman paket. Alasan tertunda karena hari raya. Tgl 3 itu sebelum hari raya.",JNE,Papua Barat
1,"makan nih bintang satu, ni kantor cabang males banget setiap ngirim pasti stuck berminggu minggu disini pakai kapal muluu gk kayak expedisi lain pakai pesawat. Nunggu barang numpuk ya?biar gak bolak balik? terus elu digaji buat apa pasti …",JNE,Papua Barat
5,Layanan sangat baik responsiv ..sopan dan cepat.. saya datang ke kantor JNE cabang Sorong..cari informasi paket dari Surabaya..yg memang terjadwal akan sampai dalam dua Minggu..mbak petugas minta foto resi pengiriman..dan segera  men cek …,JNE,Papua Barat
1,Kiriman saya kok belum sampai. Pengirim Eko Suroso dari Papua untuk Bak Febri di FKIP UM Purwokerto. Saya kirim tangal 8 September tetapi sampai sekarang 20 September belum juga diterima. Padahal janjinya paling lambat 5 hari.,JNE,Papua Barat
1,"barang saya dr sby ke sorong masa sampai 15 hari ga dateng""tulisan dalam pengantaran …",JNE,Papua Barat
1,Mohon dijawab paket saya belum sampai sdah 1 1 bulan belum ada pergerakan barang yg satu terkendala di pengiriman katanya keterlambatan armada pengiriman yg satu sedang menuju lokasi penerima tapi sampai sekarang belum ada tanda² padahal …,JNE,Papua Barat
1,"Pengiriman parahhh. . Pelayanan buruk.
Saya tracking no resi melalui web namun terdelivery atasnama Hendri yg mana saya tdk kenal orang trsebut, setelah saya crosscek ke kantor trnyata nama kurirnya, …",JNE,Papua Barat
2,Status sedang dikirim ke alamat tujuan tp belum sampai2,JNE,Papua Barat
1,"Paraahhh...barang saya blm di antar smpai sekarang, sudah dari tangal 25 oktober sudah ada diJNE, tpi cek dalam proses terus..karyawan nya kerja atau ngapain?? Kita butuh barangnya tapi JNE yang buat lama sampai ke tujuan..tolong dong sudah …",JNE,Papua Barat
1,"Pesan cod 5 paket gak nyampe"" , malahan bisa batalin sendiri, kok bisa itu, barang nyampe jam 04 paginya uda return origin barang dikembalikan kok bisa itu barang baru sampai di pulangkan lagi ke seller kan aneh ya, tanpa konfirmasi dulu sama penerima,",JNE,Papua Barat
1,"Barang beliii kapan sampai kapan ajg sudh mo
Paling lama skalii kon  tol kam ee",JNE,Papua Barat
1,"Selamat siang,
Sy pelanggan yg cukup lama menggunakan jasa pengiriman lewat JNE,
Tapi hari ini sy cukup dibuat kesal oleh kurir pengantaran barang JNE bagian …",JNE,Papua Barat
1,"Belum dihubungi, belum ke alamat tujuan paket tp udah ditulis rumah/kantor kosong. Pas tanya customer service nya katanya udah di kurir, masa pengiriman dalam kota 2 hari gak sampe sampe. Kecewa",JNE,Papua Barat
1,Pelayanan sangat buruk. Tidak recommended. Banyak mencari alasan sehingga paket saya tidak dikirim dan malah saya harus direpotkan bolak-balik 3 kali ke kantornya. Percuma bayar mahal-mahal.,JNE,Papua Barat
1,Parah sih JNE. Mesti ditingkatkan lagi untuk kualitas pelayanannya. Paket sudah 2 minggu tidak di kirim kirim. Di telepon nomor pihak jne nya ga ada yang ngangkat. Kasih bintang 1 kalau bisa kurang dari 1. Kecewa sama pelayanannya,JNE,Papua Barat
4,"Pelayanan admin cukup baik,tapi saya sarankan untuk admin ketika pelanggan banyak yang antrian mengirim paket baiknya jangan hanya 1 admin,alangkah baiknya 2 atau 3 admin yang stay biar pelanggan yang antri jangan menunggu terlalu lama 👍 …",JNE,Papua Barat
1,JNE sangat mengecewakan pengiriman dari tanggal 5/3/19 blm sampai juga sampai tanggal 12/3/19 dgn rute sorong-medan …,JNE,Papua Barat
2,"Paket sy dr bekasi menuju manimeri terhenti disini nomer resi 070920009488820,minta tolong dikirim ke andi siswanto,082397797458 sp 3 jalur 5 kec manimeri, kab teluk bintuni,karena itu penting isinya selang bak,buat sodara saya yg sedang kesusahan melawan penyakitnya.dari kikihestia bekasi 081585906900,terima kasih",JNE,Papua Barat
1,Parah dan sangat parah sistem harganya ga jelas seperrinya kariaqannya nyari2 untung.. plin plan. Barang udah di confirm udah bayar. Tiba 2 pas di rumah di wa bla bla bla... Harus tambah bayar apaaaann... Dasar ga jelas,JNE,Papua Barat
1,"Paket sy nyasar blm sampai ke sy,, no hp & alamat sy jelas ,,dari expedisi lain gk ad yg nyasar kirim ke alamat yg sama,, at mungkin kurir ny yg gk teliti,,, tolong lebih d perhatikan lg,, smp skarng masi dlm proses jd sy harus menunggu lg .paket reg jd paket sabar",JNE,Papua Barat
1,"Paket dari Ambon yg harusnya 3-4 hari , aj belum sampai"" percuma byr mahal- mahal, pdhl pake kk aku dari Ambon -Bandung 3 hari sudah sampai, gak masuk akal Ambon Jawa lebih cepat dari pada Ambon -sorong.",JNE,Papua Barat
3,"Pak, sy mau nanya apakah JNE jg ikut lockdown???
sy ada paket pengiriman dari luar kota.
katanya gak bisa masuk krn lockdown. …",JNE,Papua Barat
1,"Pelayanan buruk sekali !!! Paket gak diantar sampai seminggu dengan alasan alamat tidak jelas, padahal alamat jelas sampai RT/RW nya ada. Sehingga konsumen harus mengambil sendiri dikantor JNE. Sangat tidak disarankan menggunakan jasa pengiriman ini 👎👎 …",JNE,Papua Barat
5,"Barang sy sdh sampai di sorong tapi blum di antar"" ya ?",JNE,Papua Barat
5,"Pengirima dari Sorong ke tempat saya di Remu Selatan sangat cepat, barang baru sampai pagi dari Pekanbaru udah langsung di antar ke rumah. Thx JNE Sorong …",JNE,Papua Barat
5,Aman mantap apa lagi nama rukmi nilai 10 pelayananya,JNE,Papua Barat
1,"Petugas cs tidak ramah, pengiriman lama. Kalo ada bintang nol, itu lebih pas rasanya.
Tapi utk kurir saya kasih bintang 4 ⭐⭐⭐⭐",JNE,Papua Barat
5,"Pelayanan yang sangat baik. Kirim dan penjemputan paket sangatlah mudah. Jika ada kendala paket pengiriman,jangan sungkan untuk menanyakannya disini.
Pelayanan yang ramah dan.penanganan yang profesional. Kantornya di dekat SAGA mall.",JNE,Papua Barat
4,"Pengiriman nya rapi, pelayanan bagus. Cmn karena sedikitnya cabang Jne disorong, jadi kadang tidak sesuai dengan jadwal paket. Cukup wajar karena sedikitnya cabang JNE Yg berdampak pada Estimasi pengiriman... bersabar",JNE,Papua Barat
1,"Pelayanan nya buruk sekali, barang uda nyampe 5 hari di sorong tapi gak di antar2, kita uda reques 3 kali tapi sama aja. Alasan masih di cari",JNE,Papua Barat
1,Paket sdah smpai dri tnggal 4 februari..smpe akrg belum diantar2...apa harus sy yg ke kantor ambil paketx..makasih...,JNE,Papua Barat
2,"Barang di sistem pelacakan dah nyampe dari tgl 1 disorong. Dikirim tidak, dihubungi juga tidak. Jelek sekali kinerjanya.
Pelayanannya bikin kapok gak mau lagi pake jne kalo kirim ke sorong.",JNE,Papua Barat
1,"Terlalu lama, barang sdh sampeh hari minggu bukannya hari senin diantar. Kita dtg mau ambil, diisuruh jam 4 bru bisa ambil, yha buat apa juga mau ambil jam 4. …",JNE,Papua Barat
1,Sangat kecewa barang dari jakarta sudah sampe di sorong 3 hari tapi tdk menghubungi no yg tertera pd paket pelanggan...,JNE,Papua Barat
1,Admin saya udah kirim barang dari jakarta tgl 23 maret sampai hari ini paket masih di sorong tujuan nya ke kaimana. Tolong di proses ini resi nya 8819912064566045,JNE,Papua Barat
4,"Setelah ada komplain mulai ada perbaikan, barang datang hari ini diantar besok, jadi untuk saat ini bintang empat saja dulu, kalau barang tiba hari ini langsung diantar hari ini maka layak mendapat bintang lima. Terimakasih...",JNE,Papua Barat
1,"Sistem perlu di perbaiki barang udh di kota tujuan belum di update*, bilangnya hari sabtu nti hari senin di krim. Eh sdh hari senin tetap tidak di krim juga 👎 …",JNE,Papua Barat
3,"Pelayananny kurang bagus, sy kirim barang ke Toraja, trus sya bayar asuransi +packing kayu, karna takutny brg yg sy kirim retak.Tpi ternyata brg yg sya kirim tdk di packing kayu.",JNE,Papua Barat
3,"Maaf, saya mau tnya kenapa paket saya terhenti di JNE sorong yah..padahal kota tujuan Manokwari baru pas saya cek cuma masih tertahan di Sorong saja yah..mohon kirim paket atas Nama Jepri Frans Rumbruren ke JNE Manokwari",JNE,Papua Barat
1,"Dulu waktu masih tinggal di jogja, brg smpe kita bisa ambil di gudang dengan datang langsung k gudang (padahal gudang dgn kantor terpisah). Tp d jne sorong, brg msh di gudang kita tidak bs ambil.",JNE,Papua Barat
1,Paket say sdh 2 Minggu transit disorong sampai hari ini belum dikirim kekaimana..pegawainya kerja apa tdr,JNE,Papua Barat
1,"Payah jne Sorong, lacak barang yach nyangkutnya di jne Sorong. Bahkan sampai 10 hari. Untung aja barang gak terlalu penting, klu yg ditunggu obat2an udah mati dulu yg sakit.",JNE,Papua Barat
1,Pelayanan buruk,JNE,Papua Barat
1,Bahaya kurirnya. Saya olshop tapi kemarin barangnya dikasih ke orang lain. Ditelpon pun kagak. Ujung2nya saya harus ke sana buat minta ganti rugi.,JNE,Papua Barat
1,"Paket saya sudah d sorong seminggu yg lalu tapi belum juga d diteruskan ke kaimana,,, tolong dong,,, ada kendala apa sampai belum diteruskan??",JNE,Papua Barat
1,Kenapa barang saya lambat di kirim . Dengan nama m.agus .Syafi'i .alamat klomono .tolong secepatnya di kirim pak,JNE,Papua Barat
5,Barang di kirim tgl 28 juli 2022 sampai 18 agustus 2022 tdk ada pergerakan..tracking tdk jalan²,JNE,Papua Barat
1,Barang saya sejak tgl 12 sampai tgl 28 belum sampai ini bagaimana,JNE,Papua Barat
5,Dekat jalan besar.. strategis tempatnya. Buka setiap hari dr jam 8 pagi smpe jam 8 malam. Hari Sabtu & Minggu tidak tutup. 😄 …,JNE,Papua Barat
2,"jne nikin kesal apalgi disorong ini,,,paketan sudah smpai tgl 29 knp blum diantr juga,,,ditlp g ada yg angkat pada molorr kali kerjanya",JNE,Papua Barat
1,"KURIR SANGAT TIDAK RAMAH !!!
Belum ketemu rumah, sudah marah2, sampai diblokir😑🤦 …",JNE,Papua Barat
