Rating,Reviews,Company,Province
3,"Baik untuk Pihak JNE, namun tidak antar paket sampai tempat tujuan",JNE,Papua Pegunungan
1,"Pesan tgl 22 januari estimasi tgl 31 sampai tgl 17 gak ad konfirmasi dr pihak jne klo brg sdh ad
Klo gak bisa layani tutup sj solx masih banyak expedisi yg bertanggung jawab",JNE,Papua Pegunungan
1,"Ongkir mahal kerja tidak maximal. Belagu bertele tele.
Tidak mencerminkan slogan perusahaan tempat kalian kerja.
Ingin diistimewakan ?!?!?
RAIMU..!!!",JNE,Papua Pegunungan
1,"Tolong adakan antar ke alamat tujuan langsung karena ada beberapa org yg g sempat ke jne karna kerja pagi sampe malam. Kayak JNT, SiCepat sama Lion Parcel itu dong, Lion parcel 3 hari paketnya sdh tiba harga setara jne OKE, diantar langsung …",JNE,Papua Pegunungan
1,"Paket customer saya dari tnggal 31 smpe tnggal 11 belom juga sampe. Gimana mau langganan kalo Pengiriman seperti ini. Lebih baik cantumkan
nomr hp kurir biar kita bisa menghubungi",JNE,Papua Pegunungan
4,BLCAFFEE-BALIEM BLUE CACE POTIKELEK PASAR KAYU 60 WAMENA,JNE,Papua Pegunungan
1,"Kurirnya tidak mau antarkan sesuai alamat..
Andai kita COD masih bisa dimaklumi...
Ini sudah bayar tapi barang sampai skrg tidak diantarkan...",JNE,Papua Pegunungan
1,"Pelayanannya perlu diperbaiki, lama pengiriman harus ontime spy sama2 senang",JNE,Papua Pegunungan
3,Kantornya kecil harus antri berdiri buat cek atau ambil barang. Kurang nyaman,JNE,Papua Pegunungan
1,Tolong pengirimannya di percepat paket belum juga tiba di tempat tujuan,JNE,Papua Pegunungan
5,🙏🙏🙏 …,JNE,Papua Pegunungan
5,"Tempat yang  pas untuk memgirim, waktu pengiriman cepat dan aman",JNE,Papua Pegunungan
5,"Lumayan, kalau bisa ajukan pengantaran ke Rumah",JNE,Papua Pegunungan
5,Paket saya selalu terlambat...,JNE,Papua Pegunungan
3,lancar cuma masih ambil sendiri di kantorya,JNE,Papua Pegunungan
2,Ongkir  jakarta wamena berapa ya2,JNE,Papua Pegunungan
5,"Makasih atas pelayananya,.",JNE,Papua Pegunungan
3,petugasnya ramah,JNE,Papua Pegunungan
2,Mantap banget,JNE,Papua Pegunungan
2,Sangat membantu,JNE,Papua Pegunungan
5,Cepat dan aman,JNE,Papua Pegunungan
5,Ekspedisi JNE di Wamena Jayawijaya Papua,JNE,Papua Pegunungan
5,Mantap,JNE,Papua Pegunungan
5,Oke,JNE,Papua Pegunungan
5,No review found,JNE,Papua Pegunungan
4,Layanan cepat dan bermanfaat!,JNE,Papua Pegunungan
5,Rama2,JNE,Papua Pegunungan
5,Bagus,JNE,Papua Pegunungan
5,No review found,JNE,Papua Pegunungan
5,No review found,JNE,Papua Pegunungan
5,No review found,JNE,Papua Pegunungan
1,No review found,JNE,Papua Pegunungan
5,No review found,JNE,Papua Pegunungan
4,No review found,JNE,Papua Pegunungan
3,No review found,JNE,Papua Pegunungan
4,No review found,JNE,Papua Pegunungan
5,No review found,JNE,Papua Pegunungan
1,No review found,JNE,Papua Pegunungan
5,No review found,JNE,Papua Pegunungan
5,No review found,JNE,Papua Pegunungan
5,No review found,JNE,Papua Pegunungan
3,No review found,JNE,Papua Pegunungan
5,No review found,JNE,Papua Pegunungan
1,No review found,JNE,Papua Pegunungan
4,No review found,JNE,Papua Pegunungan
5,No review found,JNE,Papua Pegunungan
5,No review found,JNE,Papua Pegunungan
5,No review found,JNE,Papua Pegunungan
5,No review found,JNE,Papua Pegunungan
4,No review found,JNE,Papua Pegunungan
5,No review found,JNE,Papua Pegunungan
1,No review found,JNE,Papua Pegunungan
