Rating,Reviews,Company,Province
3,Selalu Gak Sesuai estimasi.telat nya BKN 1/2 hari bisa sampe seminggu,JNE,Papua Selatan
5,Terima JNE sudah mempermudah kami buat chek out,JNE,Papua Selatan
5,"Pket cepat tiba, dan selalu d hubungi,",JNE,Papua Selatan
1,pelayanan tdk ramah.,JNE,Papua Selatan
1,"Barang saya dari tanggl 11 manyampe merauke sampe sekarang belum nyampe2 ke agats. Dari jakarta sehari nyampe merauke, diliran merauke agats gk nyampe2 sampe sekrang",JNE,Papua Selatan
1,"Pelayanan buruk di WA bilang lain di status pengiriman lain, kalau mau kerja yang jujur saja kita sama2 saling membutuhkan pakai jasa kalian tidak gratis dan tidak murah baru tau jasa pengiriman yg barang dan ongkir di terima dulu  resinya …",JNE,Papua Selatan
2,"Lebih diperhatikan lagi admin dan pelayanan nya dalam bersikap dan bertutur kata, senyum, sapa & salam itu perlu. Kecepatan & pelayanan nya harus disesuaikan dengan kebutuhan customer",JNE,Papua Selatan
1,Burukk sekali expedisi meuroke ini padahal jne/jnt udah ada nama tolong pelayanan nyah di tingkatkan masa paket expres nonn COD harus ambill sendiri.,JNE,Papua Selatan
2,"Waktu itu saya datang buat ambil barang, masih siang tapi saya lupa jam berapa.. setelah saya ambil dan mau pulang, tiba2 salah satu pekerja nutup pintu kantornya (yang besi, bukan yg kaca), padahal jelas2 saya berdiri disitu mau keluar, …",JNE,Papua Selatan
4,"Sebagai tukang ojek, kadang ada juga customer yang minta diambilkan barang di JNE.
Pelayanan nya menurut saya standart saja, karena yang cari barang hanya satu …",JNE,Papua Selatan
1,Sangat kecewa dgn agen JNE pengiriman sangat lambat dan tidak jelas informasinya,JNE,Papua Selatan
2,"Admin.
Saya ada paket dr Solo Jawa Tengah dgn Tujuan Kimaam.
Tracking terakhir tgl 8 Juni sudah sampai agen Merauke. Sampai sekarang kenapa …",JNE,Papua Selatan
1,Buruk sekali karna org menggunakan jaza pengiriman JNE karna pengen cepat sampai ini paket saya Uda dari tanggal 24/11/2022 sampai Uda tanggal 28 masih di Merauke terus,JNE,Papua Selatan
1,Saya Baru lihat Kantor dengan Pelayanan paling Lambat dan tdk ramah i5u JNE Kab.MERAUKE. Kalian lbh baik Pecat karyawan2 seperti ini dr pd costumer tdk ada yg mau kirjm lwt JNE lg. Segera lakukan perubahan yg baik. Thx,JNE,Papua Selatan
1,"Mohon maaf.... mau tanya, saya kirim paket ke agats, asmat pd tgl. 4 mei dari jakarta timur, nomor resi 014160006594221. Saya tracking di situs JNE posisi di kurir merauke sejak tgl. 15 mei, posisi tracking tdk bergerak sampai hari ini? Mohon informasinya....",JNE,Papua Selatan
1,"Layanan kayak tai, barang sering keselip dan pasti lambat dalam penanganan",JNE,Papua Selatan
2,Pelayanan sangat mengecewakan barang yg hrusnya trima d rumh kdang tdk d info klu sdh dtang kitanya hrus cek2 trus bhkan sdh ad bilangya blm ad...  Alasan sdh d bw kurir pdhl tidak cm mereka mallass mncari.,JNE,Papua Selatan
1,Karyawannya ga berpendidikan jadi tutur kata dan perilakunya ga ada moral. JNE paling lambat diantara Semua jasa pengiriman di Merauke. Pos aja yang punya pemerintah 2 hari sampai dari jakarta. JNE butuh waktu 1 minggu paling cepat. Harga pun mahal,JNE,Papua Selatan
1,"JNE Merauke kerjanya lamban,  tidak ramah,  barang pesanan sudah 1 minggu tiba belom diantar juga. Pas mau pergi ambil barang  secara langsung katanya barangnya belom di bongkar,  pas datang untuk kedua kalinya ambil barang katanya kurirnya …",JNE,Papua Selatan
1,"Parah banget pokoknya dehhh , pelayanan super Basic , ga patut nyandang nama JNE ini Outlet yang di Merauke, lebih baik JNE segera perbaiki sistem dan  Sdm personil JNE disini, daripada merusak nama JNE , maaf baru kali ini kasih comment begini",JNE,Papua Selatan
1,"Pake ku dr tgl 11 statusnya msih ada d gudang JNE merauke, belum dkrim jg sampai sekarang ke Alamat Tujuan yaitu OBA KAB. MAPPI.
Mohon bantuannya untuk dkrim secepatnya",JNE,Papua Selatan
3,"agak ribet sih kalo mau cek pengiriman di sini
krn t4nya sempit dan tidak memadai …",JNE,Papua Selatan
1,"Parah abis pelayanan, kurang menyenangkan, petugasnya, dia pikir ambil barang kita sendiri, ambil jatah makanan sembako apa!! Kamu usaha jasa yg kita sudah bayar dimuka....!!",JNE,Papua Selatan
1,"BISA GAK YA KASIH ULASAN GAK PAKE BINTANG ! Terlalu BAGUS KALAU SAYA KASIH BNTANG 1 SEBENRNYA.
KRENA BRANG SAYA CEK VIA TRACKING ONLINE JNE RESMI YG HARUSNYA 4 HARI SAMPAI INI …",JNE,Papua Selatan
1,"Jne merauke harus meningkatkan layanan sampai di tingkat Distrik,kampung, jangan hanya di kota saja, antar paket sampai tujuan, kerjasama dengan pihak jasa angkutan",JNE,Papua Selatan
4,JNE merupakan salah satu agen kirim dan terima barang..letaknya yg mudah dijangkau Krn terletak dipinggir jalan raya. Utk pelayanan standar..,JNE,Papua Selatan
1,"Pelayanan standar minimal, barangnya ambil sendiri... Karena alasan alamat kurang jelas, jasa pengiriman barang berubah jadi jasa panggilan ambil barang..",JNE,Papua Selatan
1,Barang sudah brp hari d status gagal terkirim tp d samperin katanya belum bongkr gmn c Dstatus tutup 18.00 tp 17.30 saya ksna karyawannya marah2 katanya uda tutup gmn mksdnya,JNE,Papua Selatan
3,Tolong kurirnya ditambah jam kerja masa setiap paket dtg cuma disms dsuruh ambil.,JNE,Papua Selatan
2,"Sayangnya, pelayanan kirim paket pada alamat tujuan tidak sepenuhnya dilakukan. Akan tetapi, memberikan jasa panggilan penerima. Suka menunda distribusi paket",JNE,Papua Selatan
1,"Pengiriman lambat, harus ambil sendiri, layanan buruk, sangat tidak profesional, bukan pilihan tepat untuk kita.",JNE,Papua Selatan
1,Masa barang sdh sampai pas diambil siang katanya masih bongkarr dri tdi bikin apaaa? Sdh 1 bulan tunggu ASTAGAAAA,JNE,Papua Selatan
1,"pelayanan buruk, sangat tidak profesional, keterlambatam sampai 1 minggu, dari estimasi paling lambat.",JNE,Papua Selatan
2,"Kalo bisa kurir/pegawainya di tambah lagi biar bisa antar"" barang.. masa antar barang ke tanah miring saja tidak bisa, katanya tidak melayani antar barang sampai tanah miring.",JNE,Papua Selatan
1,"Layanan nya ga bagus, chat ga d respon, dan mau ga mau kita harus ke kantor",JNE,Papua Selatan
1,Harusnya kalau memang Ada Overload beri tau customer supaya bisa ganti ekspedisi lain....,JNE,Papua Selatan
4,Kurir JNE ramah dan baik...sebelum barang diantr biasanya saya ditelpon terlebih dahulu,JNE,Papua Selatan
1,"JNE Merauke kebanyakan kerja, alasan, tidak ramah
sampai-sampai pesanan masih di dalam Gudang... “Katanya”
JNE Merauke paling Sibuk Se-Indonesia.",JNE,Papua Selatan
1,"JNE Merauke pelayanan tidak bagus, lamban, barang saya dikirim dari Magelang tanggal 17 Desember 2018 dan sampai tanggal 6 Januari 2019 belum sampai????? Gimana tuh!!!!",JNE,Papua Selatan
1,"Barang tidak di antar sampai ke alamat, customer di minta untuk datang ambil sendri paketnya",JNE,Papua Selatan
2,Barang yg sudah sampai bisa di antarkan kah sama kurirnya? Area kota?,JNE,Papua Selatan
1,Kurir tuh mna saya tnggu barang saya kok blum ada.... Bgaimna nhiii,JNE,Papua Selatan
