Rating,Reviews,Company,Province
2,"Tolong kurir ada diberi SOP pengantaran barang yg baik ya..

Knp setiap pengantaran, selalu bilang ""Sayang kurang tau alamat"" …",JNE,Papua Tengah
1,Pelayanan buruk. Petugasnya TIDAK RAMAH. Pensortiran barang di gudang sangat lama. Pengantaran paket tidak dilakukan. Sy tidak tau apa sengaja tdk diantar agar customer ambil barang sendiri yg otomatis keluar bensin/ongkos lg padahal ongkir …,JNE,Papua Tengah
5,sangat membantu dalam pengiriman barang,JNE,Papua Tengah
1,"dari pagi sampe sekarang kok tidak di hubungi lagi ? katanya mau di infokan sampe tanya nmr aktif sgala macam tapi tdk ada info sama sekali, di telfon juga tdk ada yg menjawab, maksudnya apa ? klo tau bgini mending saya sendiri yg ambil di …",JNE,Papua Tengah
1,"Setiap pesanan tiba TDK ada pemberitahuan dan selalu kita yang harus pergi ambil,mana antrian panjang.Buat apa kita bayar ongkos kirim terus kita yang harus bolak balik ke j&t nya",JNE,Papua Tengah
1,"Nomor CS beberapa x ditelp tidak diangkat.
Mau ambil ke kantor JNE tapi pagi hari status sudh dikirim kurir tp ditunggu tidak datang. …",JNE,Papua Tengah
4,"Paket kirim dr jakarta 4 hari. Lama nya waktu ambil barang di kantor, 1 jam capek berdiri. Client banyak tetapi petugasnya cuma sedikit. Dimasa korona seperti saai ini cukup berbahaya jika terjadi penumpukan seperti tadi.",JNE,Papua Tengah
1,"sebenarnya niat kerja atau tidak, masa paket sudah lama di timika tidak di kirim malah di kirim ulang kembali ke Jakarta kalian maunya apa, mau saya lapor kalian langsung ke kantor jnt?",JNE,Papua Tengah
4,Tempat ini khusus untuk mengambil paket. Tidak bisa untuk mengirim paket di sini.,JNE,Papua Tengah
1,"Paket harus dijemput, sudah 2 kali menggunakan jasa pengiriman JNE, 2 kalinya dijemput,, banyak buang waktu lagi",JNE,Papua Tengah
5,Pengiriman cepat,JNE,Papua Tengah
1,Jelek sekli barang su sampe 1 minggu tapi blm di antr2 ke rmh.,JNE,Papua Tengah
1,Barang gue diantar lama banget kerumah gue lebih dari 1 minggu sy tunggu setiap beli ditokopedia dikirm pake jne selalu dapet pesan maaf paket anda telambat diantar ngak profesional banget. Nyesel banget kirim lewat jne👿👿👿 …,JNE,Papua Tengah
