Rating,Reviews,Company,Province
2,Pelayanan nya kurang ramah yang di ruang untuk pengambilan dan cek resi barang gak tau siapa nama tu wanita muka jutek jawab judes kalau gak suka kerja disana mending berhenti saja cari kerja yang memang anda sukai... …,JNE,Riau
1,"JNE udah mulai ada oknum NAKAL yaaa.
Bisa-bisanya paket dibolongin kayak gini.
Ntah oknum di bagian gudang, ntah dibagian mana, ga tau lah. …",JNE,Riau
2,"ni aku bener” udah ga ngerti lg knp pelayanannya selelet ini.paket dikirim dr tangerang tgl 3 lalu sampe pekanbaru rawa indah tgl 4 abis itu sampe tgl 5 ga ada pergerakan sm sekali stuck di rawa indah, baru ada update di tgl 6 jam 09.54 …",JNE,Riau
1,"Pelayanan terburuk yang pernah ada! Super lambat, baik kurir maupun adminnya. Nunggu 2 jam cuman utk jemput paket, sblmnya dah 3 hari paket tidak diantar2. The worst.",JNE,Riau
1,"Paket saya sudah 2 harian nginep di sini, terpaksa ambil langsung karena sudah lewat estimasi 2 hari ga diantar-antar ke alamat.",JNE,Riau
2,"Tolong ya kurir JNE kalo MALAS antar barang jangan pake alasan penerima tidak ada di tempat. Saya itu 24jam di rumah terus, bahkan di depan rumah sudah sy tempel pemberitahuan kalo paket taruh di teras sj. Kurir2 lain itu kalo antar paket …",JNE,Riau
5,Pelayanan nya bagus N ramah paket saya juga cepat banget datang nya perkiraan nya 5 hari ini baru 3 hari paket saya sudah datang abang kurir nya baik aku gak tau siapa namanya tapi di minta wa nya abng@sall,JNE,Riau
1,"CUKUP INI PERTAMA DAN TERAKHIR  SAYA PAKAI JNE, SANGAT MENGECEWAKAN SEKALI. BARANG SAYA DITAHAN DISINI SDH 4 HARI G DI KIRIM2, PAS JEMPUT DISINI ALASANNYA BARANG TIDAK ADA, NGACO KALIAN SEMUA",JNE,Riau
1,Di paket kan ada no hp seharusnya kurir bisa nelpon kasih tau akan mengirim ke rumah. Dan lagi kenapa sering salah jalannya kan bisa pakai google map,JNE,Riau
1,"Pelayanannya lemot parah kayak nggak niat kerja, mending barang di return daripada di titip disini",JNE,Riau
1,"Ambil pengiriman ekspress biar paket datang cepat,taunya paket lewat dr kedatangan 2 hari,d konfirmasi ke JNE Rawa Indah ternyata paketnya masih d gudang. Sementara keterangan lacak paket sudah dgn kurir. Pelayanan yg buruk padahal kita sudah bayar mahal",JNE,Riau
1,"Jdi gini gw datang buat ambil barang karena lama pengiriman nya, udah 1 jam nungguin baru bilang kurirnya GK masuk malah suruh nunggu dirumah kurang bangsat apa coba nih JNE , jadi kapok pake JNE",JNE,Riau
1,"Ada bintang setengah gak? Bintang 1 kayaknya ketinggian, jkt-pku udah 8 hari gk nyampe2.
udah 3 hari paket menuju alamat tujuan.ditunggu2 3 hari gak nyampe2. Kemudian …",JNE,Riau
1,Sengaja pake JNE YES buat kirim makanan basah karena biasanya besokannya udah sampe. Ini udah bayar mahal mahal taunya ga dateng dateng udah 2 hari lebih. Udah jelas basi itu makanan. Jawaban cust service cuma di maksimalkan dan di proses secepatnya. Rugi. Ngapain bayar mahal mahal pake YES kalo nyampenya 2 hari lebih juga ZZZZZ !!,JNE,Riau
1,"JNE ini expedisi paling lambat lelet & Pelayanan paling buruk yg ada di Indonesia.
Paket saya sudah 3 hari gak diantar antar, Padahal jarak toko tempat saya order barang masih dalam satu kota satu kecamatan cuma beda kelurahan doang.",JNE,Riau
