Rating,Reviews,Company,Province
2,"Paket yang sudah sampai gak diantar sama courir sampai 3 hari cuman di kantor jne, padahal rumah saya hanya skitar kurang lebih 800 materi saja, terpaksa harus dijemput ke kantornya.. …",JNE,Sulawesi Barat
1,Barang udah 3 hari sampai tidak diantar sama kurirnya,JNE,Sulawesi Barat
1,"Knp blom antar2 paketx pdhl sadh sampai 5 hr yv lalu ,, astagfirullah",JNE,Sulawesi Barat
1,"Paket sudah sampai, ngga di antar antar. Akhirnya di jemput",JNE,Sulawesi Barat
1,Pelayanan sangat buruk paket idah nyampe 2 hari yg lalu tapi gak diantar antar juga,JNE,Sulawesi Barat
2,Barang sdh dari tanggal 7 ternyata tdik diantar antar😏 …,JNE,Sulawesi Barat
1,Kurirnya gak jelas,JNE,Sulawesi Barat
1,"JNE mamuju pelayanannya paling jelek
barang sudah sampai berhari2 tp tidak diantar
malah Di suruh ngambil sendiri ke rumah kurirnya. apalagi pengiriman wilayah …",JNE,Sulawesi Barat
1,"Kecewa skali dgn JNE Mamuju, Kurir kurang respon padahal bkn skali dua kali dgn kurir kalian ini sy jumpa, di telpon kurirnya malah slow respon jawabnya alhasil paket sy yg sdh saya tunggu karna penting malahan diretur pula nanti",JNE,Sulawesi Barat
1,"Paket tidak diantar. Paket sudah 3 hari sampainya tapi belum di antar juga. Dan kejadian ini sering saya alami. Sebenarnya paketnya cepat sampai ke mamuju cuma tidak diantar oleh kurirnya.
Untuk JNE MAMUJU Tolong pelayannya diperbaiki.",JNE,Sulawesi Barat
1,"Malas antar paket, barang sdh di gudang sejak sabtu jam 10 pagi... malah harus jemput sendiri minggu sore jam 3",JNE,Sulawesi Barat
1,"KALAU ADA JASA KIRIM PELAYANAN TIDAK BAGUS, INI SUDAH JNE MAMUJU..
BARANG SAYA SUDAH 3 HARI TIDAK DIANTAR,.
TIDAK PUNYA KURIR KAH, ATAU TIDAK MAMPU BAYAR KURIR.. …",JNE,Sulawesi Barat
1,"pihak yang bertanggung jawab disini sepertinya suka rebahan, paketnya di diemin aja",JNE,Sulawesi Barat
1,paket nda di antar antar pelayanan buruk,JNE,Sulawesi Barat
1,pelayanan buruk.....,JNE,Sulawesi Barat
5,Asik,JNE,Sulawesi Barat
1,"satu kata ""bobrok""",JNE,Sulawesi Barat
5,Manrap,JNE,Sulawesi Barat
3,No review found,JNE,Sulawesi Barat
5,No review found,JNE,Sulawesi Barat
1,No review found,JNE,Sulawesi Barat
1,No review found,JNE,Sulawesi Barat
