Rating,Reviews,Company,Province
1,"Tidak sesuai jadwal yang tertera, katanya buka jam 9 di hari Minggu, pas sampai sini ternyata bukanya jam 10. Barang saya sudah berapa hari belum datang-datang, makanya saya sudah berapa kali bolak balik kesini untuk cari barang saya.",JNE,Sulawesi Selatan
1,Jasa pengiriman terburuk👎 barang 4 hari tdk dikirim2.. Mesti d ambil d tempat.. Alasannya ada penumpukan barang.. Bagaimna nda menumpuk kalo nda d kirim... …,JNE,Sulawesi Selatan
1,"Sangat tidak bisa direkomendasikan,  pelayanannya buruk sekali. Paket saya sudah seminggu statusnya dalam pengantaran kurir, tapi paket tidak sampai, sudah 4 kali melakukan konfirmasi ulang data pengirim tapi masih dianggap alamat tidak ditemukan",JNE,Sulawesi Selatan
1,"saya sudah bayar jasa ongkir 300ribu lebih itu lebih mahal dari pada harga barang yang di pesan di janjikan tgl 7 estimasi tapi berubah terus, Jelek banget sistem JNE sangat tidak rekomendit tidak jelas, nyesel saya pilih jasa kirim JNE",JNE,Sulawesi Selatan
5,"Bagi yg komplen barang tidak sampai2, saya kira samaji dgn ekspedisi lain, jgn mengeluh krn ekspedisi skarang rata2 kekurangan kurir termasuk shopee dll, saya sbg mntan kurir tau kadang kita capek bukan krn mengantar tapi karena menghadapi …",JNE,Sulawesi Selatan
1,Kurir JNE ini paling pemalas dibanding J&T dll. 2 hari lalu barang tidak sampai dirumah padahal sudah dekat dari rumah karena alasan banjir (foto). Padahal banjir yg di foto itu mengarah ke minasa upa sedangkan rumah saya di syekh yusuf. …,JNE,Sulawesi Selatan
1,"Mengecewakan. Ada yang gak beres dengan kurir dan pelayanannya. Paket saya sudah 3 hari statusnya dalam pengantaran kurir, tapi paket gak sampai-sampai. Lalu saya hubungi service centre, tapi katanya nama dan kontak kurir gak terbaca di …",JNE,Sulawesi Selatan
1,"Pelayanan sangat buruk, pagi sudah datang cek paket menunggu hampir se jam terus disuruh pulang krn masih proses sortir barang dan mereka tdk tau berapa lama selesai, jadi saya konfirmasi ke petugasnya kalau paket ku jangan dikasi kurir krn …",JNE,Sulawesi Selatan
1,"Paket saya kok lama sekali sampainya ya, padahal saya pengiriman d dalam kota makassar ji jga, ini sudah 4 hari tidak sampai2 ada apa ini oihak jne???",JNE,Sulawesi Selatan
1,"Ini katanya paketnya sudah di bajeng dari 3 hari yg lalu tapi belum sampai dirumah, cari kantor terdekat sudah tutup katanya, tutupmi saja ini ambil paketnya kalo mengecewakan begini pelayanannya, orang itu belanja online karena tidak maumi pergi2 ini ujung2 nya capek jaki cari kantornya dimana hubungi kurir nya bagaimana👎🏻 …",JNE,Sulawesi Selatan
1,"Pelayanan apa ini abal2, pket dalm proses pengantaran trus giliran mau diambil di ekspedisi nya sdh diantar, antar terus baru tidak sampai, itu yg antar kurir atau apa, estimasi lwat bgtu lmax,, tidak ada tanggung jawabnya seenaknya sja, …",JNE,Sulawesi Selatan
1,Paket berhari2 gk dtng trys kurirnya hanya kirim gambar blur seolah2 di antarkan dan klw d balas dia cumn read gk ada tanggungjawabnya,JNE,Sulawesi Selatan
1,"Min klo tidak ada kurir bs mengantar hubungi no yg punya paket karena kt juga butuh  paketku sudah tiba di makassar dri 4 hri yg lalu tp proses kirim ke gowa tdk sampai² , bgaimna mi klo smpai lgi di jne gowa apkah bgitu lagi? menunggu lm pdhl paket dipesan dari tanggal 10 desember sengaja pke regular supaya cpt sampainya.",JNE,Sulawesi Selatan
