Rating,Reviews,Company,Province
1,"Kirim paket isinya makanan (brownis oven) yg notabene gak tahan begitu lama. Kirim dari Semarang ke Palu katanya estimasi maksimal 4 hari sampai, okelah kalau 4 hari sampai ga masalah makanannya. Sampai di Palu tanggal 18 desember tapi …",JNE,Sulawesi Tengah
1,"Ekspedisi terburuk.. terkacau.. terlelettt.. Masa pengiriman paket dari makassar ke palu aja sampai seminggu lebih padahal saya pake yang reguler, seharusnya paling lambatnya 3-4 hari udah diantar ke alamat tujuan, ini paketnya udah 1 …",JNE,Sulawesi Tengah
1,"Barang kondisi di kantor jln. Juanda, pas kita ke kantor bilangnya di gudang jln. Dewi sartika. …",JNE,Sulawesi Tengah
1,"sangat3 mengecewakan., paket reguler di ekspedisi lain biasanya cuma 4 hari, tapi di JNE sudah 15 hari tapi lum sampai2 paketnya, padahal paketnya dari tanggal 21 Desember sudah di Palu, dicek di kantornya tapi diarahkan ke gudangnya di …",JNE,Sulawesi Tengah
1,Parah JNE ini. Barang dikirim dr Manado 24 -12-2024 Pake JNE Reg. Skrg udah tanggal 3-1-2025 blm sampe juga di rumah. Sdh 10 hari bos. Katanya Max 4 hari sampe Tujuan di Palu. Dilapor udah 3 kali ke kantor juanda Palu. Katanya petugasnya …,JNE,Sulawesi Tengah
1,"Pengiriman sangat lambat, estimasi paket dari tgl 2-3 januari 2025, tapi sampai sekarang belum sampai. Kurirnya juga sangat tidak ramah, kalau tidak niat jadi kurir mending tidak usah, masa paketnya mau diturunkan disembarang tempat, paket belum diambil sudah mau diretur. Aneh",JNE,Sulawesi Tengah
1,"Jasa pengiriman kok makai express, kalo express harusnya cepat dong sampainya. Padahal dikirim melalui reguler loh 4/5 hari paket sudah sampai. Terus juga status pesanan (menuju ke alamatmu) pas didatangi ke kantor JNE untuk ambil paketnya, eee malah masih digudang paketnya. Aneh-aneh",JNE,Sulawesi Tengah
1,"Kasus Yang sama, pengiriman Lama. Kalau tdk niat kerja mending sekalian tutup Jne. Status dari tgl 8 januari sudah di palu, sekarang tgl 13 tdk di antar-antar.",JNE,Sulawesi Tengah
1,"makin lama kualitas pelayanan makin lawak aja ni ekspedisi. paket sampe harus ambil sendiri ke kantor cabang di juanda. udah gitu dibikin muter-muter dari gudang dewi sartika, katanya paket ada di agen sis aljufri. pas didatangi kantornya …",JNE,Sulawesi Tengah
1,"Tolong performanya ditingkatin lagi JNE, sangat sangat tidak memuaskan. 3 paket, sudah hampir 2 minggu statusnya masih ""at warehouse"".",JNE,Sulawesi Tengah
1,Sumpahhh kuranggajar sekali kurir atas nama YAYAN KURNIAWAN ANJOYYYY paket ga dia anter malah di balikin ke toko nya kalo ga niat kerja berhenti aja woyy nunggu PO baju nya lama anjirrrrtttt dan pihak jne nya juga ga ada tegas² nya sama karyawan nya beda banget sama J&E paket cepat datang dan kurir nya bagus²,JNE,Sulawesi Tengah
1,"Ekspedisi paling lambat, jelek sekali penanganannya. Selalu lambat kirim paket. Sengaja pilih pengiriman reguler 5 harian ini sdh mau hampir 10 hari paket tidak sy terima. Sdh sekitar 5 hari status paket di palu tapi tdk diantar antar",JNE,Sulawesi Tengah
1,"Paket so lama skali digudang te diantar2, terus dpe kurir blg mo antar tapi pas dihubungi nda diangkat dan nda dibalas. Diubah sendiri statusnya dari sudah di palu, tiba2 balik lg paketnya masih dlm perjalanan ke palu. Tidak amanah. Semoga cpt tutup.",JNE,Sulawesi Tengah
1,"padahal kita ba telpon mo tanya barang yg pengiriman padahal 4 hari tapi so 1 minggu ini te ada datang-datang, pas datang ke kantornya malam jam set 7 katanya sudah tutup sudah nda ada lagi pegawainya padahal didalam masih ada dan juga …",JNE,Sulawesi Tengah
1,"Kalo ada bintang setengah sy kasi bintang setengah, paket sy sdh tiba di palu sejak Rabu, estimasi sampai maks tgl 7, ini sdh tgl 8 barang belum di antar, berarti tnggu senin lagi baru di antar, waktu estimasi di tokped jg di rubah, trus di …",JNE,Sulawesi Tengah
1,Terpaksa pilih JnE dari luar kota kirim kargo ke Palu. Karena terdekat dari hotel dan rating JnE sana 4.7. …,JNE,Sulawesi Tengah
1,"Ekspedisi apa ini padahal pilih regular loh, yang mana harusnya datang paket 3/4 hari malah 10-15 hari datangnya. JNE-JNE",JNE,Sulawesi Tengah
1,"barang sudah 4 hari blm d antar ke alamat penerima.
bertahun tahu tdk ad dterima kritikan masyarakat
pelayanannya sangat buruk",JNE,Sulawesi Tengah
1,"pelayanan kurang bagus dokumen sdh sampai, 1 minggu kemudian baru diantar. kerja dipelayanan kok bgtu? siapa tau ad barang2 penting yg harus disampaikan kepada yg bersangkutan, tolong dibenahi karyawan dan strukturalnya. buruk sekali",JNE,Sulawesi Tengah
1,"Kacau betul JNE ini, woii paket ku tolong di antarkan, soalnya saya butuh paket itu ya Allah, bbrpa cabang JNE saya datangi dak ada yg buka 🤦🏻‍♀️
Gak ada tanggung jawabnya ni JNE, apa gak takut di laknat Allah …",JNE,Sulawesi Tengah
1,"Pket sblum thun baru smpe lewat tahun baru blum juga smpe"",, gtu katanya 4 hri smpe
Sangat mengecewakan",JNE,Sulawesi Tengah
1,"tutup saja jne ini, lambat terus pengiriman paket. sudah muak nunggu terus tidak ada diantarkan kealamat. jasa pengiriman paling tidak jelas, lelet, sangat buruk!!!",JNE,Sulawesi Tengah
1,"Paket saya belum pernah sampai woii, apasih JNE Juanda ini, kurir nya kemana semua woii, memang kerja tidak becus, padahal tinggal di antar apas susahnya itu barang penting juga mau segera dipakai, memang JNE pusat tidak becus taiii",JNE,Sulawesi Tengah
1,"barang sudah 4 hari sampe belum di antar2
di suruh ke kntor komplain
apa harus komplain dlu baru brg di antar? …",JNE,Sulawesi Tengah
1,"Paket sudah berapa hari sampai tidak ada di antar dengan kurir,pelayanan JNE Juanda memang tidak becus…sdh berapa kali ke kantor tanya paket hanya di pimpong kesana kemari…",JNE,Sulawesi Tengah
