Rating,Reviews,Company,Province
1,"Ekspedisi terburuk.
Packing dirusak, barang diambil.
Pengiriman tidak langsung ke penerima cuma dititipkan.
Tidak ada no kurir yg bisa dihubungi.",JNE,Sulawesi Tenggara
1,tidak worth it dengan harga ongkir yang jauh lebih mahal dari expedisi lain🙏🏻. 3 paket 1 resi katanya cuman 1 …,JNE,Sulawesi Tenggara
1,Apa ini. JNE lelet sekali  sya bayar ongkir 117 RB. Hanya untuk brang yg TDK sampai 1 kg. Katanya. 5 hari paling lama sampainya. Ini SDH mau 1 Minggu lebih blm sampai busuk mi itu barang ku. Mending TDK usah terima  paket kalau tolol ji juga pelayanan kayak anjing bikin emosi saja babi,JNE,Sulawesi Tenggara
1,Kurirnya yang nama nasrul pelayanan buruk antar paket titip sama anak” sy konfirmasi ke dia malah dianya permasalahan kecil diperbesar jls lah sy permasalahin artinya km ngak amanah,JNE,Sulawesi Tenggara
2,"Lelet sekali ini adminnya, 1 org dia layani butuh waktu lebih 30 menit",JNE,Sulawesi Tenggara
1,Ekpedisi pencuri. Banyak barang yg hilang dan barang robek!,JNE,Sulawesi Tenggara
3,Paket ke sodara saya penerima seftya zio kenapa belum keterima sedangkan d resi udah ada bacaan keterima gimana itu,JNE,Sulawesi Tenggara
1,"Pelayanan lama,, barang sdh lama smpe tp tdk dikirim2",JNE,Sulawesi Tenggara
2,Paket sy sudah 2 hari sampai tapi belum di antarkan juga,JNE,Sulawesi Tenggara
1,Paket udh berhari-hari sampai di gudang tp gak d anter2...,JNE,Sulawesi Tenggara
5,"Pelayanan baik, ruang tunggu nyaman",JNE,Sulawesi Tenggara
1,"Pelayanan tidak ada nomor antrian orang terakhir datang di dahulukan,,, counter lelet",JNE,Sulawesi Tenggara
1,"PELAYANAN BURUK
SDM TIDAK BEKUALITAS
PETUGAS TIDAK SOPAN …",JNE,Sulawesi Tenggara
1,"Parah sih, barang yg sudah nyampe main return” padahal barang  tdk pernah di antarkan ke alamat tujuan,, tdk recomen sih pake jasa kirim ini, smga aplikasi belanja online lebih diperhatikan lagi untuk kerja sma dgn pengiriman ini!!!",JNE,Sulawesi Tenggara
1,"Paket lama diantar padahal barang sudah ada di gudang, sampai 5 hari gak diantar juga akhirnya saya ambil sendiri. Perbaiki layanannya banyak orang mengeluh karna lambat pengantarannya",JNE,Sulawesi Tenggara
5,"Pelayanan diloket perlu ditingkatkan khususnya pd bulan2 saat terjadi overload, kurirnya oke sangat komunikatif",JNE,Sulawesi Tenggara
1,"Sekedar saran tdk usah pake ekspedisi ini, pelayanan sangat sangat buruk kurir tdk niat mengantar paket,
di kasih menunggu berhari2",JNE,Sulawesi Tenggara
1,"Pelayananya ko buruk ya, paket sudah sampai gudang pd tgl 16 agustus, hingga sekarang 20 agustus belum juga dikirim ke alamat tujuan..
Apa gabisa diperbaiki servisnya?",JNE,Sulawesi Tenggara
