Rating,Reviews,Company,Province
1,"Paket d terima rusak ,SDH proses klaim tapi TDK ad tnggung jawab dri pihak JNE ,,semoga Jo yg bgni nd terjadi p ngoni yah.
Expedisi nd ad dpe tanggung jawab kerja asal""an",JNE,Sulawesi Utara
1,"Status pesanan di e-commerce ""Sudah diterima"", tapi sampai sekarang barang belum ada, nda tau paketnya dikasih ke siapa. Sudah terpampang jelas nomor saya di paket kenapa tidak di wa? Terus buat apa nomornya dipajang gitu kalo gada …",JNE,Sulawesi Utara
1,"3 hari berturut2 kurir gagal kirim, pas mau ambil di kantor bilangnya paket udah sama kurir, ok ditunggu.
besoknya kurir gagal kirim lagi, tlpn sama cs nya diminta dtg aja ke kntornya …",JNE,Sulawesi Utara
1,"Mohon di antar neh ini paket yg keterangan so pengantaran kurir , jangan sampe brg so ada kong nd antar2 dengan alasan alamat tidak jelas lah apa lah jelas2 disitu ad tertera no hp ,, krna stiap dikirim brg pake expedisi ini sllu lama bermasalah nd tepat wktu sama dg JNt jd mohon jgn tahan2 lama orang pe barang",JNE,Sulawesi Utara
1,"Tolong hentikan kebiasaan memberikan keterangan ""paket sudah diterima oleh yang bersangkutan"" padahal paket tidak diantarkan.
Jika paket memang tidak akan diantar, tolong contact penerima barang untuk …",JNE,Sulawesi Utara
3,"Bulan desember 2x kiriman cashless Shopee & 1x toped dibulan januari semua alamat penerima di manado 2 paket hilang 1 paket tdk terkirim. kalau kiriman luar manado semuanya cukup bagus.
Tolonglah lebih aware lagi.",JNE,Sulawesi Utara
1,"Ongkir paling mahal dibanding ekspedisi lain,tpi paling lama sampe barangnya..pdahal jnt gratis ongkirnya paling lama 4 hri smpe..jne dr tgl 1 beli barang smpe skrg nda smpe2..parah👎🏻brasa kirim barang pake kargo🤦🏼‍♀️ …",JNE,Sulawesi Utara
1,"Pesanan belum sampai di rumah, tapi kurir sudah notif diterima customer, terpaksa harus dijemput di kantor JNE. Pelayanan sangat tidak memuaskan. Semoga JNE dapat memperbaiki pelayanan ke depan, karena kami customer bayar biaya kirim, bukan gratis.",JNE,Sulawesi Utara
1,"So nda ada kurir sto JNE ini kang? Tiap pake ekspedisi ini tetap musti mo pi ambe sndiri tu barang, kalo cuma m tggu d rumah sampe 1 bulan pun barang nda akan sampe trus apa guna torang bayar ongkir dang?😒 hele mo pi ambe langsung ba antri …",JNE,Sulawesi Utara
1,"status kiriman baru 1x antar kong nda ada sama skli konfirmasi di wa, tiba"" di retur. sop kurir antaran bgtu? cstmer service juga nda solusi wkwk 😂😆 …",JNE,Sulawesi Utara
2,"Kirim sambal roa kena biaya karantina 🤭
Di expedisi lain tidak ada biaya karantina cuma d JNE kena biaya karantina 10rb/paket …",JNE,Sulawesi Utara
1,"Paket sebelumnya tiba dengan selamat sampai tujuan, giliran yang sekarang alasannya alamat tidak jelas dan pembeli tidak dihubungi untuk konfirmasi pengiriman barang, tiba2 statusnya berubah menjadi dikembalikan ke penjual tanpa konfirmasi …",JNE,Sulawesi Utara
