Rating,Reviews,Company,Province
1,Kurirnya terlalu lambat mana banyak alasan padahal sudah jauh dari estimasi sampai lewat 4 hari mana barangnya mau dipakai sampai kelewat parah banget m,JNE,Sumatera Barat
1,"pengirimannya katanya 5 hari, tp skrg gaada diterima sama sekali, malah tiba² paket sudah diterima penerima, loh saya gaada dikabari sama sekali, pdhl saya ga cod loh..🥲💔 …",JNE,Sumatera Barat
2,"Pengiriman super lama , berbeda di express sebelah cepat kilat 😬😬
Kalo kayak gini kerjanya JNE pasti gak laku alias bangkrut deh 😬
4hri masih stanby dipadang , padahal bayar langsung ,,, sangat kecewa pelayanannya 🙂‍↔️🥴 …",JNE,Sumatera Barat
1,"2 kali ada orderan dikirim melalui JNE , paket pertama datang tepat waktu karena cod
Paket kedua non cod , slalu di tunda² pengiriman sampe 2 hari bahkan hari ini pun belum dikirim alasan alamat rumah gak lengkap .. tolong diperbaiki lagi cara kerja kurir nyaa",JNE,Sumatera Barat
1,"Lihat di tracking Pesanan saya di antar tgl 17, namun setelah itu di tulis "" saya menjadwalkan ulang pengiriman ke alamat"".. utk di ketahui,sy tdk pernah meminta utk menunda pengiriman, knp2 tiba secara sepihak jne menunda pengiriman?? Sementara skrg sudah tgl 19 msh blm ada kejelasan..",JNE,Sumatera Barat
2,Beberpa kali repot posisi paket nya gak jelas dimana dan terlambat ngantar,JNE,Sumatera Barat
1,"Terlalu menganggap enteng kiriman yg nilai nya kecil, barang yg dikirim tidak sampai ke alamat tujuan, mengecewakan",JNE,Sumatera Barat
1,"Layanan JNe terparah yg pernah ada, sampai hari ini paket saya belum datang. Sangat mengecewakan",JNE,Sumatera Barat
2,"Sdh payah skrg. Layanan kiriman dari Medan - Padang ( YES plus asuransi) sdh 3 hari blm nyampe juga. Sdh bolak-balik nanya, JNE Nipah dan jg ke JNE ARU / Lubeg. …",JNE,Sumatera Barat
2,"Kami sengaja datang ke kantor (H+2) untuk memastikan posisi paket yg terpantau tidak kunjung bergerak d aplikasi, padahal sudah bayar paket Pengiriman sehari sampai. …",JNE,Sumatera Barat
1,"JNE jelek, paket saya blom jga nyampe sekarang, padahal katanya cuma 1 hari doang  tpi ini udh 5 gak nyampe padahal udh di bayar pula itu, sangat mengecewakan",JNE,Sumatera Barat
5,Boleh juga nih JNE nipah. CS nya banyak tpi banyak kosong juga petugasnya mungkin karna minggu ya bisa jadi. …,JNE,Sumatera Barat
4,JNE Cabang Sumatera Barat merupakan pusat kendali atas seluruh outlet JNE yang ada di Sumatera Barat. Di tempat ini pimpinan cabang akan mengendalikan seluruh outlet yang telah ada. Selamat bertugas pak Kacab Sumatera Barat. Semoga sehat dan sukses selalu ....,JNE,Sumatera Barat
1,"sangat jelek jne!!! masak pengiriman jne yes yg harus ny sampai 1 hari,jadi 1 minggu tidak ada pula kompensasi ny👎👎 …",JNE,Sumatera Barat
1,"Kapok sy pakai jasa JNE,kelamaan..petugas nya bilang 4 hr plg lama,malah sp 5 hari,alamat di paket tdk ditulis pula lagi,kebingungan kurir ngantar paket,alhasil makanan sdh basi,trus kerugian atas paket sy gimana..tutup aja tuh expedisi nya,merugikan..😡 …",JNE,Sumatera Barat
1,"G bertanggung jawab dengan baik,ngerespon pun tidak,paket ditahan trs udah 4 hari ditahan,padahal dari Jakarta cepet aj dtgnya,malah di pdg ditahanin",JNE,Sumatera Barat
1,PELAYANAN PARAH.. PILIH PENGIRIMAN 1 HARI TAPI SUDAH 3 HARI BELUM SAMPAI. CS DITELPON 2X KOMPLAIN 2X DIPUTUS GITU AJA SAAT DITANYAIN KEJELASAN. BINTANG 1 PUN NDAK LAYAK UNTUK LAYANANNYA !!!,JNE,Sumatera Barat
1,"KALAU ADA BINTANG 0 GW KASIH BINTANG 0 ini,Paket tiba di gudang tgl 10 pukul 20.32. Pukul 21 dihubungi bahwa kita yg akan jemput paketnya karena butuh utk acara tgl 11 pukul 10.00. Tapi ternyata kita mau jemput tgl 11 itu paket sudah dibawa …",JNE,Sumatera Barat
1,Parah banget pengiriman nya paketan saya estimasi 2 hari sekarang sudah 1 seminggu blm dtg2...gimana ini pelayanan nya kalo kayak gini apa bedanya expres oke regular...bayar mahal2 ongkirnya lama,JNE,Sumatera Barat
1,"Biasanya JNE cepat dan tepat waktu kenapa skrg molor, itu makanan ndak nyampai, takutnya ndak enak lagi pada bayarnya udah mahal, kecewa banget",JNE,Sumatera Barat
5,Petugasnya ramah apalagi waktu ngirimin paket utk anak sholeh yg harus diterima ke esokan harinya.. …,JNE,Sumatera Barat
1,"Ini JNE kerja apa engga sih? Kiriman gua makanan loh, udah nge stuck dari tanggal 2 di sini. Kalian mikir gasih, itu makanan bisa basi kelamaan di kardus. Gua pake ekspress loh, minimal udah jalan lah. Ini dari tanggal 2 ga dikirim kirim juga. Kalian kerja apa tidur?",JNE,Sumatera Barat
5,"Hari ini saya mengirim barang melalui JNE, dan pelayanannya cukup baik, semoga bisa dipertahankan, bahkan ditingkatkan.",JNE,Sumatera Barat
1,"Ini ekspedisi kok tidak siap ya.pengiriman super leled lama sekali,hari libur malah libur pengiriman disamperin ke outlet utk ambil sendiri malah ditolak.lucu memang.tidak seperti ekspedisi sebelah mengutamkan pelayanan dan kepuasan customer,pengiriman selalu tepat waktu.",JNE,Sumatera Barat
1,Ekspedisi terlelet menurut gue.. sesama sumbar aja bisa sampen4 hari baru sampe.. biasa nya pake jnt 1 hari sampai.. entah kerja apa nggak nih org JNE..,JNE,Sumatera Barat
1,Woi paket gw kirimin lah ngapain kah pick up gk kau antar ngelawak aja kau biawak,JNE,Sumatera Barat
5,Tempat tunggu luas dan nyaman. Pelayanan cepat dan ramah,JNE,Sumatera Barat
1,"kapok pake jasa kirim JNE, lemot banget. paket gua udh 5 hari masi di padang, padahal tujuannya cuman kota pariaman",JNE,Sumatera Barat
1,Paket saya gak sampi2 sudah telat.. estimet tgl 12 sampai sekarsng gak sampi.. sangat kecewa pakai jne...👎 …,JNE,Sumatera Barat
1,"Ekspedisi terburuk. Pengirimannya lama bangat, mana ongkirnya mahal bangat lagi",JNE,Sumatera Barat
1,"kecewa sama jne , lama sekali sampenya, untuk kedepannya bakal pake jasa dari ekspedisi sebelah aja",JNE,Sumatera Barat
