Rating,Reviews,Company,Province
5,"Salah satu ekpedisi terbaik, cepat dan amanah. Buka 24 jam, jd bisa melakukan pengiriman kapanpun. Pelayanannya jg cepat dan ramah.",JNE,Sumatera Selatan
1,"Entah kena tipu atau gimana gak ngerti. Bayar pake tarif Super Speed Udara, berat cuma 1kg bayar hampir 300rb, set 8 pagi drop paket.
HARUSNYA super speed itu sore sudah sampai, si cs disini bilang MAKSIMAL BESOK …",JNE,Sumatera Selatan
1,"CS dengan nama Faisal buruk sekali cara kerjanya. padahal saya nanya perihal kendala dengan baik2, tapi malah dijawab dengan nada songong. orang kayak gini ga cocok ditarok di posisi CS. masih banyak orang dengan tutur bahasa yg jauh lebih bagus yang mau kerja sebagai CS.",JNE,Sumatera Selatan
1,"mesen paket sudah 2 kali selalu lambat. pertama kurir ngirim tp ngga sampe"" smpe saya tungguin jam 8 malem. Terus saya coba hub admin mala, oke paket dibalikin dgn alasan akan dikirim ulang dan smpai 4 hari berikutnya baru coba dikirim …",JNE,Sumatera Selatan
2,"Tolonglah kalo delay pengiriman karena hal hal tertentu, prioritaskan yang belum dikirim hari itu, jangan dibuat nunggu lama banget, udah nunggu sampe jam 11 malem gak nyampe2 juga, ""pesanan diantar ke alamat anda"" apaan ini artinya kalo …",JNE,Sumatera Selatan
1,"Tolong kenapa Dokumen saya ngga sampai sampai itu dikomen penting,katanya 2hari sampai tapi udh 4hari belum sampai sampai,Itu dokumen penting sekali dokumen persyaratan untuk perusahaan kerja diluar negri,Klo dokumen itu belum Kekirim juga …",JNE,Sumatera Selatan
5,"Posisi dalam kota.
Teratur, rapi, pelayanan memuaskan.
Sarana parkir aja agak kurang kalau bawa mobil. …",JNE,Sumatera Selatan
1,"Respons Layanan telepon yang katanya Senin - Jum'at pukul 06 - 01, Sabtu 06 - 00 dan Minggu 07 - 23...
Pagi ini Senin, 9 Desember 2024, Saat dihubungi pukul 07:35 MASIH TERHUBUNG …",JNE,Sumatera Selatan
5,Halo JNE cabang Palembang... ini barang kiriman untuk saya kok lama sekali padahal barang tersebut mau digunakan segera yaitu insulin suntik..... mohon segera di utama kan pengiriman nya... atas bantuannya di ucapkan terimakasih.... alamat tujuan  Rokhmat desa Petrans jaya kecamatan Muara kelingi Kabupaten Musi Rawas....,JNE,Sumatera Selatan
1,Pengiriman dalam kota 10hari tidak sampai. Kurir tidak ada konfirmasi sm sekali lalu melakukan pengembalian barang ke toko. Alasan saya tidak ada ditempat kata nya. Pdhal tidak ada sama sekali kurir yg hubungi saya dan diruma selalu ada orang. Kapok pake JNE. Beda jauh sm sicepat dan jnt.,JNE,Sumatera Selatan
1,"TIDAK USAH KIRIM PAKET CABANG INI, SANGAT BURUK, PARKIR MAKSA MOTOR DITUNGGU DIBANTU TIDAK, JNE YANG HARUSNYA PICKUP KERUMAH TAPI TIDAK DI PICKUP !!!! PARKIR SANGAT KASAR.",JNE,Sumatera Selatan
1,"Perdana menggunakan jasa pengiriman ini, medan - musi rawas
katanya estimasi sampai 7 hari,
Nyatanya paket tidak ada diantar,
Barang urgent pula",JNE,Sumatera Selatan
1,"Gimna sih ini kurir nya tolong ya kalo udah masuk resi online yg harus di ambil kurir ke toko secepat nya di ambil ini udah 4 hari ga di ambil"" Ga sesuai bngt sama apa yg tertera",JNE,Sumatera Selatan
1,"jne tolong dong jangan di biasakan kalo ngirim paket lama banget. apa lagi untuk yg cargo, customer bayar mahal untuk dapet pelayanan yg baik. bukan malah pengiriman yg ga jelas sampe nya kapan dan di luar estimasi waktu",JNE,Sumatera Selatan
1,PESEN BARANG DISHOPEE DALAM KOTA. STATUS PENERIMA TIDAK ADA DITEMPAT. PADAHAL GA ADA KURIR NGIRIM PAKET. PAS CHAT DISHARELOCK NGILANG. EMANG PALING BENER PAKE JNT DAN SPX AJA!,JNE,Sumatera Selatan
1,"udah antri panjang”, malah diserobot dan sangat disambut baik oleh konternya.. harusnya dicegat dong kalo ada yang nyerobot gitu, kita antri juga lama dan tertib malah main serobot aja",JNE,Sumatera Selatan
1,"Kurir yang bernama reki aprianto mengambil barang yg dikirim, dan kemaren hampir mengambil barang punya saya lg, tp koq aneh masih d,pekerjakan orang yg kayak gitu",JNE,Sumatera Selatan
1,"Kurir JNE Bayung tidak koperatif, tidak mau ngantar barang, padahal dekat aja alamat tujuan",JNE,Sumatera Selatan
5,"Menurut saya oke semua sih, mulai dari staff sampai dengan pelayannya oke. Ruang tunggu ckp nyaman. Di sediakan plug buat charge Hp. Kita kirim paket pempek ke Bali sampe 3 hari(harus vacuum dengan benar ya) tarifnya kena di 198k. Tapi lupa brp Kg 🤭 …",JNE,Sumatera Selatan
5,"Tertib,bersih, parkiran motor mobil ada,ruangan AC,",JNE,Sumatera Selatan
1,"Lama banget pelayanannya, bnyk ngobrol dan malah ngerjain apa kryawannya sdh tau org yg nunggu ada dan banyak.",JNE,Sumatera Selatan
1,Udah berapa kali status pengiriman selesai delivered tp ga ada yg sampe. Padahal kan ada nomor telpon utk dihubungi. Pas nelpon cs disutuh nggu 1-2 hari.,JNE,Sumatera Selatan
1,"Paket belum sampe, tapi Sdh diselesaikan oleh kurir, ga jelas alur pengiriman nya, tidak photo bukti terkirim nya",JNE,Sumatera Selatan
1,"Mohon kepada jne palembang,, agar di percepat lagi pengirimannya ke kota tujuan,, barang saya 2 hari di palembang di proses,,, lama kali di palembang  di prosesnya",JNE,Sumatera Selatan
1,"TUKANG PARKIR GA SOPAN, GA ADA WAKTU DATANG ADA WAKTU KELUAR MINTA PARKIR BIAYA PARKIR DIKIT TERIAK TERIAK, OGAH DEH KESINI LAGI",JNE,Sumatera Selatan
1,Ini kurir nya mles ape gimana ya? 3hri dit4 pesortiran terus paket aku. Gak gerak gerak. Udah 8hari lo. Itu brg mw dijual bkn di pake sendiri,JNE,Sumatera Selatan
1,"Pelayanan kantor & kuririnya kurang , komunikasi tidak jelas !!! Tidak ada etika terhadap konsument",JNE,Sumatera Selatan
1,"Diharuskan printing , sedangkan saya penjual online dengan banyak reseller , tulisan tangan tidak diterima , sangat buruk , Uda antrean lama nunggu, parkir bebayar, kurirnya lambat dalam melayani, semoga di perbaiki SEMUA pelayanan , …",JNE,Sumatera Selatan
5,Lumayan lengkap untuk pengirimannya baru nyoba hari ni. Semoga transaksi saya cepet terkirim,JNE,Sumatera Selatan
5,"Pusat JNE yang buka 24 jam, layanan cepat sesuai dengan nomer antrian.",JNE,Sumatera Selatan
5,"Tempatnya bersih, dingin, pakai nomor antri jadi jelas kita menunggunya, pelayanan di petugas cepat asal alamat lengkap. Bagus",JNE,Sumatera Selatan
1,Jne bener2 loh yeh kirim paket dr tgl 14 juni 2024 udh dipickup pusat eh sampe pusat malah hilang paket itu padahal berat loh 10kg lebih paket berat bisa hilang anehhh gak jelas sampe skrg tu paket tgl 27juni gak ketemuu lalai bangett yg kerja di JNE ini sumpah kalo paket ku gak ketemu dan ilang gak bakal aku iklasin sampe mati ‼️,JNE,Sumatera Selatan
4,"Nyaman. Ruangan ber AC. Nomor antrian muncul di display, sehingga bisa mengantri sambil duduk. Kursi tunggu antrian menghadap ke tempat charger dan tv. Serta terdapat dispenser, di bagian atas dispenser sepertinya tempat gelas. Tapi lagi …",JNE,Sumatera Selatan
5,Woii kenapa paket saya tidak sampai sampai udah pake JNE reguler(pulau Jawa),JNE,Sumatera Selatan
1,"Kirim paket shopee cm 1 paket print no resi aja ga dicetak label pengiriman yg ad alamat dll, dibilang ga bisa, hrs diprint label resinya, dr shopee yg neken kami hrs print resi katanya …",JNE,Sumatera Selatan
5,"Pelayanan bagus, cepat, ruang tunggu juga enak dan adem, protokol kesehatan dijaga banget. Dari satpam sampai pegawainya ramah. Tempat parkir dijaga oleh kang parkir dan ngga terlalu rame untuk keluar maupun masuk.",JNE,Sumatera Selatan
5,"Nyaman dan ada nomor antrian, kasir ramah dan memberikan beberapa alternatif pengiriman",JNE,Sumatera Selatan
2,"antrian lebih dari 10 orang tapi yang jaga cuma 1, padahal jne pusat :)",JNE,Sumatera Selatan
