Rating,Reviews,Company,Province
1,"Pengunjung Banyak Yang Kerja Cuman 1 Orang ???
Sangat Tidak Efesien Dan Membuang Waktu",JNE,Sumatera Utara
5,"kalau mau kirim paket via ekspedisi yang 1 hari selalu di JNE cabang katamso. pelayanannya ramah, satpamnya ramah, staffnya ramah & gercep. Mau kirim barang selalu dibantu packing dan dicarikan kardus.👍🏻 …",JNE,Sumatera Utara
5,"JNE Cabang Brigjen Katamso Medan letaknya dekat dengan simpang pelangi Katamso.
JNE yang buka 24 jam. Sangat sangat membantu sekali jika ingin kirim paket malam malam yang urgent. …",JNE,Sumatera Utara
1,Di bilang 24 jam tapi petugas malam nya gamau kerja ngirimin handphone dengan alibi alasan yg banyak 2 jam disuruh tunggu tetap ga dkirimin disuruh balik pagi lucu jadi guna nya 24 jam apa?,JNE,Sumatera Utara
5,"Saya selalu menggunakan Jasa JNE untuk Kiriman Cepat, dan Biasanya saya lebih suka Kekantor Cabang Di Brigjend Katamso karena buka pelayanannya 24 Jam sehingga kapanpun kita bisa mengirimkan surat ataupun Paket kemanapun,.",JNE,Sumatera Utara
4,"Tiba di counter jam 6 pagi, diinformasikan baru operasional jam 7 pagi.. tdk 24 jam seperti yg diiklankan",JNE,Sumatera Utara
5,"Masuk orderan dari toped malam, minta langsung kirim malam itu juga. Alhasil disarankan pakai JNE, karena buka 24 jam. Sampai di loket pas sepi, jadi cepat pelayanan tidak pakai antri. Bagus servicenya karena buka 24 jam !! Semoga paket cepat sampai tujuan dengan selamat, biar cepat cair bossque 🤣🤣🤣 …",JNE,Sumatera Utara
5,Tertib.. Aman dan terpercaya.. Layanan sangat baik.. Terutama penjaga parkir baik dan sopan. Puasa g pernah tinggal..,JNE,Sumatera Utara
5,Buka 24 jam jadi leluasa kirim kecombrang ke Solo kali ini. Toiletnya bersih dan pelayanannya ramah banget. Betah deh,JNE,Sumatera Utara
5,"Yang disini satu satunya jne buka 24jam, cocok yang urgent hari H kirim, terakhir bulan lalu saya jauh jauh drop in ke sini malam malam ternyata memang 24jam, mantap... jne , sudah sangat lama gak kesini (  ± 10tahun ) dulu / jadul masih berantakan / masih gudangan paket"" jne, sekarang sudah banyak renov jadi rapi dan ber ac.",JNE,Sumatera Utara
4,"Salah satu Layanan expedisi terpecaya sampai saat ini. Skrg sabtu senin buka 24 jam, minggu libur buka sd jam 22.00",JNE,Sumatera Utara
5,JNE Medan jalan Juanda / Simpang Pelangi tempat jasa Pengiriman dalam negeri dan luar negeri.  Sudah lama jasa jne di Indonesia. Tempat ini sudah di renovasi.,JNE,Sumatera Utara
5,"Pelayanan ramah, 2hari kirim langsung sampe.",JNE,Sumatera Utara
1,"saya pingi  berbagi pengalaman sedikit, kebetulan semalam teman saya dari palembang mengirimkan barang ke medan polonia, dia mengantarkan ke jne terdekat dirumahnya sekitaran jam 9 pagi, dan baru disorting sekitaran jam setengah 12, nah …",JNE,Sumatera Utara
5,Pelayanan tanpa batas,JNE,Sumatera Utara
4,"Pros:
-Bersih, rapi
-Antri ambil nomor …",JNE,Sumatera Utara
5,Yg buat ga nyaman cuma tukang parkir sih,JNE,Sumatera Utara
3,"pelayanan ramah, memuaskan dan kantornya bersih",JNE,Sumatera Utara
5,"Pelayanan bagus, tapi sayang tidak didukung oleh tukang parkir yang baik dan sopan..padahal parkir di dalam area JNE... Jadi jika hendak ke sana,..harus siap bawa uang lebih, kalau tidak mobil bisa digedor-gedor...",JNE,Sumatera Utara
5,Pelayanan bagus. Kita bertanya dijelaskan dgn baik,JNE,Sumatera Utara
3,"Kang parkirnya diusir aja lah, naik motor pun diminta, parkirnya padahal bukan di pinggir jalan, udah di halaman JNE, yg enggak2 aja, ditanya ada parkir bang? Iyalah bang nanti klo gk ilang kereta katanya, makjang yg betol aja 😂😂 …",JNE,Sumatera Utara
1,"Ironis, spanduk PARKIR GRATIS tapi ada tukang parkir nya pungut uang. Parkir juga di dalam area JNE",JNE,Sumatera Utara
3,"Parkiran sempit dan di bahu jalan, buka 24 jam 7 hari kerja, pelayanan lumayan.",JNE,Sumatera Utara
5,Alhamdulillah... Pelayanan maksimal. Semoga JNE semakin jaya dan berkah. Aamiin,JNE,Sumatera Utara
1,Saya mau tanya ni paket saya sudah tiba ditransit jne medan simpang pelangi selama 2 hari..  Mhon segera dikirim ke aceh kota langsa dong..  Saya butuh paketnya.,JNE,Sumatera Utara
5,"Pelayanan ramah, bisa menggunakan qris sebagai metode pembayaran. ga perlu bawa uang tunai... pengiriman cepat sesuai prediksi tanggal",JNE,Sumatera Utara
5,"Staff JNE terbaik di Medan. Sangat professional dalam menangani pengiriman paket. Jual bubble wrap, sterofoam, packing kayu, semua lengkap. Kadang saya hanya bawa barang saja, mereka yang packing. Udah gitu gak ada liburnya, 24 jam. Top deh pokoknya.",JNE,Sumatera Utara
5,"Pelayanan baik, Maksimal sekali. Buka 24 jam sesuai dengan yg tertera. Terima kasih",JNE,Sumatera Utara
5,Mohon diperbanyak cs pelayanan domestik. Agar tidak lama mengantri terutama saat jam sibuk,JNE,Sumatera Utara
2,"Ampun, lemot banget pelayanannya. Sejam loh cuma buat ngirim paket doang, itupun bukan barang yang besar atau sulit.",JNE,Sumatera Utara
3,"Adakah no telp yg bs dihubungi.
Sy kirim paket tgl 13 mlm, paket yes.. Ktnya plg lama 2 hari sampai. …",JNE,Sumatera Utara
5,"Jmn duku sebelum bnyak ekspedisi bertebaran sprti skr,ini mmng pilihan expedisi klo kirim brg kmna aja.
Klo skr,tarif nya terlalu mahal..
Krn yg laen tarif nya msh bs di dengar kuping",JNE,Sumatera Utara
1,Jangan menjanjikan pengiriman subuh thd pengiriman super speed kalau faktanya pengiriman terjadi di siang hari.,JNE,Sumatera Utara
1,"Barang saya (dokumen) nggak jelas sampe sekarang udah sampe apa blm,ketika saya di telpon saya meminta di konfirmasi pihak JNE bilang,iya pak nanti saya konfirmasi tapi,sampe sekarang tidak di konfirmasi.",JNE,Sumatera Utara
5,Tempat sangat strategis pelayanan raman,JNE,Sumatera Utara
4,Dsini pelayanan ramah..dan menerima pelayanan antar makanan ekspress k antar kota,JNE,Sumatera Utara
1,"Paket saya dr Medan ke Takengon belom Sampek kata nya pling lama 4 hari ini UD semingu dr tgl 19.12.2021 Sampek 26.12.2021 gk ada kabar , mana berkas perlu
Di telepon gak ada respon …",JNE,Sumatera Utara
5,Staf cukup ramah dan pelayanan pengiriman paket tidak lebih dari 15 menit. Estimasi terlama pengiriman jg diinfokan dgn jelas,JNE,Sumatera Utara
5,"Pelayanan cepat,informasinya yg diberikan oleh para staff juga lengkap",JNE,Sumatera Utara
5,pelayanan sangat memuaskan...,JNE,Sumatera Utara
5,"Kirim dengan layanan YES ke Jakarta, bayar 52.000,-, Customer service memastikan diantar keesokkan harinya, namun tidak dijamin jamnya. Ternyata diantarnya H+2. Kecewa banget.",JNE,Sumatera Utara
1,Sengaja pagi2 saya kejar kan menggunakan jasa kurir grab ke jne katamso cabang sumut medan biar cepat sampai agar paket saya langsung ikutan pengiriman pagi pengiriman angkutn pertama tapi apa yg saya dapat...saya rugi total …,JNE,Sumatera Utara
1,Sy gunakan YES supaya segera sampai. Gara gara operator yg salah membuat alamat tujuan 2 hari paket juga gak sampai.. percuma pakai YES pelayanan reguler..,JNE,Sumatera Utara
4,"Nyaman sih, tapi ruang tunggunya kurang. Trus kurang komunikatif, gak lgsung disarankan ambil antrian. Kalau lg pada sibuk ya sibuk aja, gk merhatiin yang lain. …",JNE,Sumatera Utara
4,"Pelayanannya bagus, ruangannya nyaman dan paket yg dikirim lebih cepat sampai dari prediksi.",JNE,Sumatera Utara
1,Aneh td kesana seakan sdh dipersiapkan ntk antri yg biasanya tdk pernah.. trs staffnya sholat bareng semua ntk membuat menunggu diangka antrian.. what happens ya? Hp sy disadaps byk orgkah? Who am i?,JNE,Sumatera Utara
5,CS nya Ramah. Ruangan nya sejuk banget. Yg paling saya suka adalah semua paket seblm dikirim dipacking kedlm plastik berlogo JNE jd bersih saat paket diterima ybs.,JNE,Sumatera Utara
4,"Service Oke...Informasi lengkap.tapi saya kasih  🌟 🌟🌟🌟 aja ya, soalnya customer ga pake masker tetap dibolehin masuk...kita yang udah duluan  didalem...kan ga mungkin keluar..serem lagi wabah gini. …",JNE,Sumatera Utara
1,"Gak profesional. Omongan kurir dengan peraturan gak sama. Harusnya kalo memang ada barang2 tertentu yg gak bisa dikirim melalui udara, bilang dari awal biar customer gak bayar lebih supaya bisa cepat sampek! Kurirnya bilang powerbank bisa …",JNE,Sumatera Utara
5,"Pelayanan yg memuaskan! Staf yg ramah walau berkutat dgn brg kiriman dan klien yg dtg terus menerus tanpa henti, Tetap melayani dgn Senyum yg ikhlas membantu, Lokasiyg mudah dijangkau dari mana saja, dekat dgn simpang atau pertigaan...Selalu YESS! Biar cpt nyampe yaa paketnya..!!",JNE,Sumatera Utara
5,"Pegawainya ramah dan sabar dalam menjelaskan
Juga mereka menyediakan kayu untuk kiriman laptop
Untuk letak, agak susah karena berada di jalan besar yang terkadang macet …",JNE,Sumatera Utara
1,"Mau ralat ulasan sebelumnya, kalau ada minus bintang 3000 pun ku bikin si jne cabang utama medan ini.
Kesan pertama ok lah, eh..ternyata betul kata orang pas ada masalah baru …",JNE,Sumatera Utara
4,"Bagus ni gedungnya.

Pelayanan ramah …",JNE,Sumatera Utara
5,"Pegawainya ramah. Bisa bayar cash, ovo atau gopay jadinya memudahkan pelanggan. Cepat sampai sesuai jenis pengirimannya apa, seperti saya kirim ke banda aceh pakai reguler 2-3 hari jam kerja tapi sampainya cuma 2 hari aja ketujuan, gak lebih.",JNE,Sumatera Utara
3,"Pelayanan ramah tapi lambat shg antri cukup panjang.
Akan lbh memudahkan jika pelayanan mengemas paket dilakukan di tempat terpisah dr tempat pelayanan pengiriman barang. …",JNE,Sumatera Utara
1,tak sesuai dengan yg tertera dispanduk ternyata masih ada jukirnya...,JNE,Sumatera Utara
1,"Barang sudah 5 hari di gudang Medan. Masih tdk dikirimkan ke alamat. Nelpon ke call centre hanya disuruh nunggu doang.
Tanggapan pelaporan butuh 4 hari. Gila aja …",JNE,Sumatera Utara
1,"Sampai skrg paket saya blm sampai2 dari tanggal 14..tolong Jne jg PHP saya, sudah 3 x laporan tdk kunjung sampai2..info slalu di gudang tapi blm dianter2..TOLONG DENGAN SANGAT SYA USAHA BUTUH BANGET",JNE,Sumatera Utara
