Rating,Reviews,Company,Province
1,"Pelayanan sanggat sangat buruk , kurir lambat sudah 4 hari alasan alasan libur ,
Sangat sangat tolol🤣🤣🤣 …",JNT,Aceh
1,"Kurir untuk wilayah kuta baro Aceh besar seenaknya saja return barang tanpa pemberitahuan apapun, kecewa kali sama jnt",JNT,Aceh
1,Sdh 5 Hari masuk .dp Jantho  Aceh.tapi blom diantar juga ke Kuta baro..😭😭😭.Jera Belanja di TikTok nggak bisa pilih jasa.mending di toko orange ajah ...spx lumayan kencang …,JNT,Aceh
2,"asal pesan barang di tikt*k pasti nyampek ke gudang ini Paket ku, Kurir nya Sumpah Jutek x, Paket dlm pengiriman sama kurir, pas ditanya gak ada? kan gak mungkin resi di update hantu! dah ku blg aku ambil di area pengantaran dia, malah jutek x aku disuruh ambil sendiri ke gudang jdi buat apa kelen kerja???",JNT,Aceh
1,Kurirnya minta di ganti. Paket dah tiba gak mau diantar gegara gak bisa nelpon ke kami cz hp mati begitu hidup di chat si kurir kagak bales balesnya besoknya lagi itupun dah jam 5 sore paket kagak dianter juga bilangnya besok sampe hari ini …,JNT,Aceh
1,"Buruk sangat buruk sekali. Brng saya dibiarkan di gudang dri tgl 25 Nov sampai 11 Desember 2021 ( 16 hari gak diantar2 ) akir nya saya jmput sendri kegudang. Parah, parah sekali",JNT,Aceh
1,"Paket saya udah tgl 3 Maret kemarin sampai ke gudang j&t Banda Aceh, tapi belum diantar2 jg. Tolong lah kurir nya, antar terus paket saya. Saya butuh x.",JNT,Aceh
3,"Baru sampai ngirim barang dari Tangerang tujuan Banda Aceh...
Monggo langsung di kirim barang² nya yaa ke tujuan nya masing² boss quhh, kasian dah pada nungguiin",JNT,Aceh
1,"paket aku dijebol, ga ada kejelasan udah dikirim apa belum. tertahan berhari-hari disana. padahal udah aku suruh kirim ga usah di retur, tapi status nya masih on-hold. udah makin ga percaya lagi sama layanan jnt",JNT,Aceh
1,Selalu terlambat dan selalu harus di komplain dulu baru diantar,JNT,Aceh
1,"Sepertinya perlu di evaluasi pelayanannya, kemarin saya ngirim rendang untuk adik saya, 10 harian lebih gak ada kabar, di cek resinya udah sampe di Aceh, dua hari ditunggu gak juga dianter kurirnya, setelah tau ternyata barang kami rusak …",JNT,Aceh
