Rating,Reviews,Company,Province
1,"Barang hancur padahal saya minta agar barang di packing kayu. Ternyata packing kayu gk sesuai standard. Kaki gajah pun masuk. Claim asuransi sulit, tidak ada yg mau response. Customer bayar asuransi buat apa rupanya kalau tidak bisa di claim?",JNT,Bali
1,J&T Denpasar adalah cabang paling anjeng. Setiap ngirim barang selalu kasus. Semoga lo semua kelaparan dan kesusahan. Dasar gak amanaj.,JNT,Bali
1,"Tolong kurir yg namanya Irawan paket saya kenapa setiap kali di antar anda gagal terus ...sampe batal alasan karena di tolak , padahal gak ada yang nolak klo gak tau di mana tempatnya kan ada no tlpon di paket itu , coba telpon dimana tempatnya",JNT,Bali
1,"Ngaco bgt sortir barang. beli barang kirim lwt jnt krn paling cpt ekspedisi nya malah udh di Denpasar dikirim ke Manado, satunya ke Mataram. Ga rekomen bgt jnt bali. Ga jelasss sortiran nya. Aneh. Skrg mau acara segala barang blm dateng.",JNT,Bali
1,"we mas emang ini jnt sialan ya. saya mesen tws merek baseus kenapa malahan datengnya hijab? sampai saya komplain sama pihak baseusnya, tapi memang mereka sudah ngirimin sesuai sama pesanan saya. tapi kenapa tim expedisinya sampai bisa …",JNT,Bali
1,"Malas2 Sekali KURIR JAMAN SKRG ini Luar biasa!!! tdk ad saya memnberitahukan masalah utk mengganti ambil barang sendiri!! brg saya ssh sampai di Bali tgl 13 sept ‘24 smp skrg tgl 22 sept ‘24 blm jg saya trm , setelah saya selidiki ternyata …",JNT,Bali
1,"Paket saya dri jakarta ke kendal Jawa Tengah, knp transit nya jauh bnget ke denpasar 😭
Udh 4 hari resi nya gk berubah, ternyata udh smpe denpasar 😭 …",JNT,Bali
1,"Lama banget, padahal misalkan hari ini sudah sampai di pusat penyortiran paket di Denpasar, baru di kirimnya besok. Kalo seperti hewan contohnya kan kasian dluan mati",JNT,Bali
1,"Paket saya di anter dengan nama kurir riko wilhanda, agak laen emang ni kurir yg nganter ke renon mesen paket COD masa saya di suru ke gudang buat ngambil sendiri, paket yg harusnya di antar hari ini (paket kedua) itu juga di suru ambil …",JNT,Bali
1,"heran kok bisa barang sy nyasar sampe ke denpasar,malah sekarang belum ada perubahan kalau barang udh dikirim atau belum!tolong bantuannya ya,paket saya nyasar dsn seharusnya barang sudah ditangan.",JNT,Bali
1,"Bisa bisanya alamat penerima di denpasar kok nyampek di Mataram Ini Gimana cerita,Kalau Gak niat Gk usah jadi jasa pengiriman bodoh kali dibaca di resinya jangan asal kirim",JNT,Bali
1,"Sangat kecewa dg pengiriman paket saya, paket saya turun ditabanan malah kebali ke gudang Denpasar , hingga tidak ada kabarnya dan saya bolak2 ke j&t tabanan, dan sampai sekarang blm sampai juga barangnya , kalau mau kirim barang jadi …",JNT,Bali
1,halo tolong dong kejelasannya paket saya udh hampir 3 minggu lebih udah di sini kok ga ada kejwlasan mau diantar ya ...udh di hubungin pihak jntnya tetep ga ada konfirmasi kapan akan dikirim ke alamatku gimana nih tolong dong kerjaaasamanya krna aku punn bayar,JNT,Bali
