Rating,Reviews,Company,Province
1,Kurirnya sangat tidak ramah spesifik atas nama aris subarja ditanya baik2 jawabanya nyolot sangat tidak sopan n kasar malah ngajar brantem penerimaan sdm low preman dsuruh jadi anter paket,JNT,Bangka Belitung
1,"Sombong banget kurir JNT sampai ngomong terserah nek ksih nilai jelek atau bagus gaji a dk berpengaruh kek nilai, owh gini ya pelayanan JNT",JNT,Bangka Belitung
1,"Paket saya gak di antar"" dgn alasan di luar jam kerja.ini gmn coba.
Kecewa dgn jnt",JNT,Bangka Belitung
5,"Tempatnya strategis dan selalu ramai.pelayanannya sgt memuaskan...karyawan2nya baik,ramah dan kerjanya cepat dan rapi.",JNT,Bangka Belitung
1,Pket saya uda 4 hri gak sampek J&T tlol la perbaikin lgi kenerja ya,JNT,Bangka Belitung
5,Kantor Pusat J&T Logistic di Pangkalpinang memberikan pelayanan yang cepat dan efisien dalam pengiriman paket. Stafnya ramah dan profesional dalam menangani setiap kebutuhan pelanggan. Lokasinya mudah diakses dan fasilitasnya lengkap. Sangat direkomendasikan untuk kebutuhan pengiriman paket Anda!,JNT,Bangka Belitung
1,Pelayanan dak ramah aben. Paket 2 minggu belum sampai-sampai. Berdiri didepan komputer dak ade pelayanan nanyakan. Miris sekarang JNT.,JNT,Bangka Belitung
5,Letak dipinggir jalan raya berada diarea perkantoran gubernur.,JNT,Bangka Belitung
1,Bingung paket sudah di gudang gak di kirim2 ke alamatnya.,JNT,Bangka Belitung
1,Setiap paket hari sabtu minggu pasti di antar hari senin dengan alasan alamat kantor tidak di antar ambil sendiri ke kantor j&t nya . Tapi status pengiriman Paket menuju alamat tujuan. Berarti mau di antar kerumah dong . Bukan hanya alamat …,JNT,Bangka Belitung
1,"pelayanannya sangat sangat tidak baik , saya kirim pket ke alamat sya , masa sya yg ambil di lokasi . hrsnya saya sdh bayar ongkos pengiriman hrs di antr ke alamat tujuan , lain kali sya gak mau kirim paket dsni",JNT,Bangka Belitung
1,"Paket ga nyampe² rumah. Notipnya paket sudah di terima, pdhl belom. Ydh tunggu 2 hari, dari sabtu sampai senin, tpi ga ada di anter. Ini gimana?
Kurirnya juga ga ada konfirmasi, setidaknya chat dulu kan bisa, tpi ini ngga. Sampai sekarang paket belum sampai.",JNT,Bangka Belitung
3,Paket jnt sekarang slalu telat dalam pengiriman. Saya sebagai konsumen merasa kecewa memakai expedisi jnt,JNT,Bangka Belitung
1,"Pelayananan yg sangat2 buruk, saya mau ambil barang karna sudah 15 hari di gudang, sekali saya datang ke gudang gak boleh di ambil, harus nunggu dikirim ke wilayah yg di tujuan",JNT,Bangka Belitung
5,"jasa pengiriman yang sangat saya suka,gedung sederhana tpi kurir nya cepet dan selalu chat ketika ada paket yang datang.
daripada jasa pengiriman sebelah,gedung bagus tpi pengiriman gk bgtt haha",JNT,Bangka Belitung
1,Paket saya udah dua hari berturut-turut salah penyortiran terus,JNT,Bangka Belitung
5,"Kantor pusat JNT ini berada di lokasi utama yang strategis, ruas jalan raya menuju kantor Gubernur Kep. bangka Belitung. Gudangnya besar, crew kurir cykup banyak. Kios pelayanan bagus, ramah dan cepat. Temoat parkirnyapun lumayan luas untuk menampung motor naupun mobil.",JNT,Bangka Belitung
1,"Masa saya beli barang harga 27.650 blm sampai rumah dah di balikin sih mana gara"" ini saya GK bisa cod di tiktok sama di shopee tolong di pecat aja tu kurir yg tugas di lubuk pabrik nyusahin orang udh mau di pakek tu barang malah di batalin",JNT,Bangka Belitung
1,"Gak jelas banget,ditanya jam tutup jam brapa,jam 7 MLM. Pas mau ambil barang slsai mgrib udah tutup. Expedisi macam apa ini. Mana paketnya gak dianter_anter kerumah. Masa harus nunggu beberapa hari lagi,padahal paket udah ada disini... Gak jelas",JNT,Bangka Belitung
1,"Parah si admin  j&t di bagian depan judes banget jutek banget wajah kok bisa sih admin kayak gitu di pilih untuk bekerja kayak gak ada sopan"" Ya jadi males banget sama jnt pangkalpinang ini, org kayak gitu gak ush di kasih kerja lah banyak …",JNT,Bangka Belitung
