Rating,Reviews,Company,Province
1,Saya kirim paket dari tanggal 11 Desember 2024 sampai skrg paketnya gak ada. Status diterima tapi disuruh hubungi no J&T Tangerang tapi gak ada kepastian. Disuruh claim gak dibales sama sekali juga. Ini saya hubungin ke CS pusat gak bisa …,JNT,Banten
1,Proses lama bngt pengiriman apalagi order lewat tiktok diputer puter trus paket sya ga smpe smpe . Klo kurng jelas alamatnya bisa wa no customernya dong. Dh nunggu lama ga dtng dtng . Ada juga brng udh diselesaikan tpi brng ga smpe ke saya !,JNT,Banten
1,"Mohon maaf bgt, ini kurirnya males apa gimana ya? Hari sabtu di cancel dg alasan diluar jam kerja, sekarang Selasa barang belum sampai juga tapi diselesaikan oleh kurir dg keterangan sudah sampai ke cust. Kalau buru buru dikejar deadline ya …",JNT,Banten
1,wah ini emang parah bgt sii.. dua paket gue foto bukti pengiriman nya cuma kontak info pengaduan komplain. lu klo ga bisa kerja gausah buka cabang geblek …,JNT,Banten
1,"Ekspedisi kayak tai Status Tangerang -BALARAJA BOLAK BALIK
Paket udah 3 Minggu,Paket itu Mau di pakek Acara kok Malah mondar mandir doang, Kurirnya Males Ngater yaaa woi Lo di bayar makan Uang Butaaa ?",JNT,Banten
1,"Saya kirim dari surabaya ke tanggerang ,
Sudah 1 bulan lebih paket gg sampai dan tidak ada titik terang sampai saat ini . Bener bener kecewa saya padahal saya sudah langganan JNT .
TOLONG DONK KASIH KEJELASAN PAKET NYA ADA DIMANA HILANG ATAU KEMANA .",JNT,Banten
1,"halahh bru kali ini nnnggu paket sampe 13 hari haha, mana kurirnya, di chet telp. Ga respon respon kocak²
Ada apa siiiii??... …",JNT,Banten
1,"Jasa pengiriman yang paling parah di Indonesia, paket bolak balik di antara 2 tempat penyortiran …",JNT,Banten
1,. Tukang sortirnya kaga profesional. Gak tau daerah. . Minimal kalo cari karyawan yg bekas sales.. Biar hafal daerah.. Kalo gak tukeran job sama kurir... Semangat pak kurir,JNT,Banten
1,Kata gua mah cepetan deh lu tutup. Kaga becus banget jadi ekspedisi. Paket gua udah mau sebulan ga ada kejelasan tiap komplain ga ada solusi 🤮 …,JNT,Banten
1,Paket saya tidak sampai tujuan keterangan di terima tetapi tidak ada barang nyaa sangat tidak bertanggung jawab dan di hubungi tidak ada respon sama sekali kurir nya atas nama RIAN FIRDAUS,JNT,Banten
1,Kenapa yah JNT Express ini sering banget kurirnya males anter ketempat. Alasan gak ada mobil. Padahal mah barangnya tidak besar. Status bolak balik aja Tangerang - Balaraja. Jadinya saya ambil sendiri. …,JNT,Banten
1,Paket saya dinyatakan hilang di gateway tangerang.sudah hampir 3 minggu.telfon dan watshap jawaban lempar sana sini.benar2 tidak ada tanggung jawab.expedisi seperti maling.sy akan terus kejar sampai ada penggantian tanggung jawab,JNT,Banten
1,"Ga jelas
Nomor telpon pun ga ada yg pernah angkat .
Respon buruk sekali. …",JNT,Banten
1,"heh, lu kalo niat buka jasa yg bener lah paket tertahan mulu heran, intinya gajelas dah ni pengiriman",JNT,Banten
1,"Mending pake ekspedisi sebelah deh, beda 1000 doang tp quality ekspedisi sebelah lebih bagus,paket dikirim 20 sept nyampe sekarang tanggal 10 okt ga sampe2,keterangan paket udah dicabang tangerang, tapi status nya malah delivered,kocak. Ga lagi2 pake jnt, mending lebihin 1000 ke jne.",JNT,Banten
1,"Kalau emg gak mau antar paket tutup aja jnt nya.
Jgn buka lagi
Paket udah seminggu gak di antar2 alasan pindah alamat padahal gak pernah pindah dan  juga jasa kirim gak pernah ada masalah 😡😡😡 …",JNT,Banten
1,"ga pernah sekecewa ini sama pelayanan j&t, paket ga nyampe"" udah ngechat admin ga ada respon sama sekali!",JNT,Banten
1,Kurir nya penipu bukan paket saya maksa banget nyuruh buat terima... Yg Nerima istri saya jadi ilang duit 85rb... Padahal saya ngga ada pesen paket sama yg di kirim kurir nya... Dan bener aja pas di buka ternyata kosong ngga ada isi nya... …,JNT,Banten
1,"Gilaaa yaa ini jnt ,paketan w dsni udh lebih dr seminggu ga bergerak.. tiap HR w nelp nnya pketan w gmna ke cs jnt mana ada respon... mng jnt buang2 waktu w ,baju w segitu banyak nya ga juga di cari2 ,, ga mau tau yaa KLO smpe baju2 paketan …",JNT,Banten
