Rating,Reviews,Company,Province
1,Sangat buruk sekali saya mau retur paket karna di tipu tapi petugas yang laki sok sok an gamau retur barang alasan nya tunggu 3 hari sesuai SOP  padahal di shope nya tulisan nya udah boleh di kirim aneh tolong di perbaiki lagi petugasnya !,JNT,Bengkulu
2,"Pelayanan parah, tidak sesuai dengan antrian. Petugas sangat cuek. Tolong diperbaiki, padahal dulu sudah oke sekarang turun drastis",JNT,Bengkulu
1,pelayannya buruk..kurir lokasi timur indah sering minta uang lebih...paket sering tidak di antar,JNT,Bengkulu
1,"Pelayanan buruk sekali, tidak ramah.. Ada konsumen tidak langsung dilayani.... Sok sibuk, payah 👎👎👎👎👎👊 …",JNT,Bengkulu
1,"Belajar menghargai orang jika ingin dihargai, logika di pake sebelum bertanya ke penerima... Lokasi sudah dikirim alamat sudah di fhoto, bukannya di permudah malah di persulit",JNT,Bengkulu
1,"Waktu pengiriman sangat lambat...sudah 7 hari dari palembang ke bengkulu
sampai skrg blm sampai",JNT,Bengkulu
1,"Sumpah mas tolong diomngkan Samo kurir nyo, kalo ngantar paket dak usah Ndak marah2 . Cuma disuruh tunggu berapo menit ajo lah marah. Tolong dong omongkan kek kurir nyo, kalo bisa blnjo dilazada nyari tmpt pengiriman lain ajo",JNT,Bengkulu
1,"Tolong kurir yang sering ngantar paket ke arah prumdam diganti, kurir dak jelas hobi nyo marah2.
Capek nian kadang nengok nyo setiap ngantar pesanan disuruh tunggu sebentar ajo …",JNT,Bengkulu
1,Emang iya kalau kita membatalkan pesanan kurirnya minta bayar retur?? Kok pake biaya retur ya,JNT,Bengkulu
1,pesen tanggal 28 estimasi nya tanggal 4 ini tanggal 3 masi di sortir di Bengkulu kocakkk,JNT,Bengkulu
1,Kurir nya Idak jelas jnt ni..ngeras dak jelas,JNT,Bengkulu
1,Kenapa lg paket saya g di antar di sna ketrangan saya minta di jadwal ulang. Saya hub kurir yg tertera di pesanan saya katanya bukan dia yg pegang paket no lain yg pegang paket. Sebenarnya ini gimana sistemnya kok paket saya bermasalah trus,JNT,Bengkulu
1,"Paling kacau dan sekacau kacaunya, 2x mau minta tolong ambil di Drop Point, selalu gagal. Orang ngasih tau semenjak hari pertama supaya dijadikan notes/catatan biar nanti dipisahin, eh ini suruh tunggu paket di Bengkulu, waktu udah di …",JNT,Bengkulu
1,"Paket dari subang , penerima dibekasi. Malah dibawa kebengkulu . Tolol",JNT,Bengkulu
1,"Ga rekomendasi bgt pake Jnt apalagi di bengkulu, pasalnya ngirim barang estimasi sampe 2 sampe 7 hari
Ngirim tanggal 7 sampe sekarang belum ada di kirim …",JNT,Bengkulu
1,"Barang saya main dikirim ke Palembang aja, padahal sudah sampai bengkulu, tanpa konfirmasi ke saya terlebih dahulu. Setelah ditanyakan eeee malah menyalahkan alamat saya, padahal alamat itu sudah sering digunakan. Nunggu paketnya sudah 1 …",JNT,Bengkulu
1,"Paket saya udah 10 hari gak sampai2 kelubuk linggau padahal dari bengkulu, astaghfirullah, di wa gak di baca, dibaca gak dibls. Tlg donk tanggung jawab, mentang2 udah punya nama pelayanan makin down.",JNT,Bengkulu
1,"Status barang mulai diantar jam 8 pagi, sampai sore ditunggu belum juga datang. Setahu saya ekspedisi berbayar lbh cepat mengirimkan barang dibanding yang gratisan. Biasanya jam 10/11 paket sudah sampai di alamat. Parah kurirnya!!! Benahi lagi MENTAL kurirnya.",JNT,Bengkulu
1,"Kurir nya tidak mempunyai etika kerja yg baik dan tidak punya sopan dan santun
Namanya Dw Abayy, akan saya laporkan ke jnt pusat",JNT,Bengkulu
1,Harusnya yg wa ke penerimanya itu kurir yang mau ngirim bukan admin biar gak ditunda2 terus masa dari tgl 19 Desember digudang terus disimpah👎👎👎 …,JNT,Bengkulu
1,Sangat kecewa dengan kurir j&t makin lama makin tidak amanah.. Sudah 4 hri saya menunggu paket tidak dtang2 dan selama 4 hri di reschedule trus sma kurir nya..,JNT,Bengkulu
1,"Paket di pick up kurir tapi bisa²nya salah ketik resi paket, akhirnya paket ku gktau dimana
Katanya cuma 3hari bakal sampe bkl lagi ini ditanya malah udah sampai di jkt …",JNT,Bengkulu
1,"Sudah lewat dr estimasi tp blm d antr antr,kemaren "" sedang di antar ke alamat tujuan"" ngk d anter² malah "" pesanan gagal di antrkan,sudah rescedule dengan pemesan,"" dan sekarang malah "" sedang di transit Bengkulu"" tolong dong meskipun ngk seberapa harganya,tp kami butuh barang itu,malah udh lewat 2 hari di estimasi blm di anter anter",JNT,Bengkulu
1,Kalau bisa jgn gunakan ekspedisi ini yah diawal aj pelayanan bagus makin kesini makin parah masa pesan barang udh mau sebulan stts tertahan dihubungin ke toko penjual alasannya ngomong ke org toko tertahan salah drop gudang lucu g sih …,JNT,Bengkulu
1,Nama kurir rozak di tlp gak bisa alasan salah sambung bukan HP kantor giliran di tlp di jemput sampai ke gudang suruh balik giliran udah sampai rumah alasannya udah pergi lagi dan titik tidak sesuai ini COD pelayanan yg sangat buruk kapok pakai kurir di tlp aja gak bisa,JNT,Bengkulu
1,"Pelayanan J&T Cargo bagus dan responsif. Tapi pelayanan staf J&T Expressnya sangat membuat jengkel, terutama di pagi hari ini. Awalnya saya hendak melakukan pembayaran secara non tunai, namun kata stafnya tidak bisa pembayaran secara non …",JNT,Bengkulu
3,"Barang saya sudah dua hari ini statusnya tinggal di antar sama kurirnya .. sudah 2 x pula di re schedule oleh kurirnya .. tlng la profesional sedikit, seenaknya aja tanpa konfirmasi",JNT,Bengkulu
1,"mesan paket dr tgl 26 juni, harusnya nyampe tgl 2 juli. tp TELATTT BANGETTT karena salah sortir malah nyasar ke gorontalo, itu gmn ceritanya sih. giliran udh nyampe di gudang bengkulu nya, luamaaa pooolll dikirim. perasaan rumah saya dari …",JNT,Bengkulu
1,Kecewa sama ekspedisi ini barang lama sekali sampai dr JKT-BKL 9hr pake jasa pengiriman yg lain 3/4 hari paling lama sampe. Dan satu lagi barang pun main lempar saja dari fentilasi hasilnya pun barang jd pecah dan tidak ada prtanggung …,JNT,Bengkulu
1,Pelayanan buruk sekali sumpah,JNT,Bengkulu
2,Paket saya tgl 06 April sudah di loket tapi hingga saat ini tgl 13 paket belum diantar juga. Klo ada kendala di pengantaran setidaknya kasih kabar biar saya jemput ke loketnya,JNT,Bengkulu
1,Pelayanan J&T sangat buruk. Paket saya malah di return dengan alasan nomor saya tidak aktif dan di chat tdk bisa padahal saya sudah 2x datang kesana menanyakan perihal paket dan nomor saya aktif2 saja …,JNT,Bengkulu
