Rating,Reviews,Company,Province
1,"Wah payah banget!!

Petugas getok harga, belum mau kirim paket, udh dimintain 5rb, mana tarif nya …",JNT,DIY Yogyakarta
1,"Pelayanan yg sangat buruk,kalau sudah lelah kerja ga usah kerja!!!!
2 org petugas laki2 dan 1 perempuan layanan tgl 01 Januari 2024 skitar pkl 16.30 …",JNT,DIY Yogyakarta
1,"mhon kurir jnt diajarin sopan santun ya, buruk bgt pelayanan lelet, kurir arogan, dah bener pake jne aja ...busyet banget jnt ..apalgi tuh kurir jnt kasihan bangun jiwo ..dah kirim lamaa ..",JNT,DIY Yogyakarta
1,Gajelas banget masak udah bner jelas saya yg bersnagkutan pnya paketan gk bsa ambil gmna sih. Yang pnya pketan kami situ yg kek gt gmna si. Klo kyk gitu masak ya pketan ibuku di situ trus mana udh rusak packagingnya.,JNT,DIY Yogyakarta
1,Paket saya kenapa belum sampai? kurir sudah whatsapp dari siang sampai sore nggak dateng juga,JNT,DIY Yogyakarta
1,"Halaman didepan toko gelap sehingga tulisan sedang istirahat yang ditulis dengan kerdus dan tinta hitam tidak jelas terlihat, ketika kita masuk malah dijudesin sama pegawainya. Mbok yo ngasih tau baik baik.",JNT,DIY Yogyakarta
1,"Sering kirim dan ambil paket d sini,klo yg melayaninya mas-mas masih oke ramah,tapi klo yg melayaninya mba2 yg berhijab pake kacamata,badannya gemuk dia ga ramah sama sekali padahal kita mau kirim paket/ambil paket aja jutek bgt,tolong dong j&t karyawan/operator nya d tatar lg etitude nya secara ini kan pelayanan masyarakat",JNT,DIY Yogyakarta
3,"Liat review dari orang-orang, rata-rata bilang pelayanannya jutek, dan kurang ramah. Mereka ramah kok, ya nggak terlalu ramah banget tapi tetap melayani dengan baik. Kekurangan dari tempat ini adalah jam waktu buka yang nggk jelas, …",JNT,DIY Yogyakarta
1,"Kurir paling jelek se dunia.
Gudang kalian yg overload kenapa buyer yang dirugikan.",JNT,DIY Yogyakarta
1,"paket sy knp g nympe ya? alamat sdh bnr, dikasih keterangan rumah pager apa dsb juga.. pdhl di keterangan resi sdh smpe kok nihil ga ada sampe sy??? mas panji irwa nama kurirnya.. tolong ya mas panji 🙏🏻🙏🏻🙏🏻 …",JNT,DIY Yogyakarta
1,Barang lama disini.... pengiriman cepat... mampir sampai lokasi mandeg 2 hari.... SUPER PAYAH,JNT,DIY Yogyakarta
4,Pertama kali pakai J&T malah ngalamin paket belum diterima sama pembeli.  Coba komplain ke pusat jakarta gak bisa.  Komplain di pusat Jogja Jl.  Parangtritis malah bilangnya gak tahu! …,JNT,DIY Yogyakarta
1,"semoga paket saya di kirim , saya sudah transfer pertama , lalu pihak jnt bilang suruh transfer lagi untuk mendorong yg pertama .
semoga datang ya allah. jika tidak datang , wallahi  tidak akan saya ikhlas kan dunia sampai akhirat.
semoga saja datang",JNT,DIY Yogyakarta
1,"Kiriman paket hampir 3 minggu tidak kunjung datang, padahal paket makanan, takutnya basi, tidak amanah sekali, sama sekali tidak ada konfirmasi, sudah di hubungi cs center JNT namun blm ada kemajuan,,,jnt harus tanggung jawab kalau makanannya rusak, harganya tidak ternilai karena masakan dari ibu untuk anak rantaunya🥲 …",JNT,DIY Yogyakarta
1,Kurirnya ribet nggak simpel tdk kayak yg lain ra percayaan memeng nganter kalau balik lagi.. wong jelas dibayar kok suruh tf dulu.. aneh kurirnya.. nek ra percyaan kepada penerima paket pecat wae gimana itu,JNT,DIY Yogyakarta
1,"Lama gak dikirim dikirim padahal ini makanan rentan basi penjula sdhbkirim tgl 25/4/2024  kt penjual klau sdh lewat 3 hari hrs komplaim, sdh sampai jogja sabtu tgl 27/4- 2024 pukul 15.45 tpi malah ditahan ,  sd hari ini tgl 29/4/2024 blm sampai juga ke rumah saya di joga. Kalau basi JNT hrs tanggung jawab.",JNT,DIY Yogyakarta
1,Jnt pelayanan kayak telek paket sudah benar di kirim ke Ngaglik tp sampainya di Sinduadi nanti Sinduadi kirim LG ke gateway baru kirim LG ke ke Ngaglik sampe nya di Sinduadi lg pada bisa nga sih yg sortir tau daerah nga sie bikin lama paketan sampe aja...makin lama parah jnt kaya gini,JNT,DIY Yogyakarta
2,"Kurirnya kurang mengenekan kalau tidak mau ngirim paket cod gk usah mau ngirim ke alamt,, udah di kasih tau tf kok malah bilang kantor tidak mau bayar sapa juga yg blg kantor mau bayaaarrr... tolong dperhatikan lagi sopan dalam mengetik..",JNT,DIY Yogyakarta
1,"Tiap hari buka jam 12 siang , minggu tutup . Itu kenapa ngga diupdate google mapsnya . Apa tidak ada inspeksi dari pemiliknya ya kok JNT gede kaya gini, payah 👎 Tidak rekomendasi untuk penjual drop disini 👍 …",JNT,DIY Yogyakarta
1,"Di hub tidak bisa , ditelpon tdk di angkat. Nomor aktif. Sya mau tya pket sya knp di kembalikan ke penjual, pdhal blm di kirim ke rumah saya. Klw malas antar minimal hub penerima suruh ambil sndri di kantor. Jangn di kembalikan ke penjual. Kan kasian yg jualan.",JNT,DIY Yogyakarta
1,"apa yg sekarang saya rasakan, ga bisa diungkapkan lagi, udah sakit hati banget gara2 keleletan dan terlalu banyak drop point.. cuan saya menguap begitu saja hanya karena pengiriman tanjung pinang - jogja full darat, udah sampe jogja pun masih leletny minta ampun.. pengin maki2 tp ga ada guna..",JNT,DIY Yogyakarta
1,"Entah untuk yg keberapakalinya,selalu saja barang dari jakarta tujuan jogja dan ketika sudah sampai jogja harusnya mendekat ke J&T monjali (gudang terdekat dg alamat tujuan)Eh malah diangkut ke SOLO abis itu kirim ke jogja lagi..gilak itu cara manifestnya bagaimana,kok bisa sampai berkali kali kejadian seperti itu 😏😏 …",JNT,DIY Yogyakarta
