Rating,Reviews,Company,Province
1,J&t lambat saya mau ngembalin barang komplan di toko online mita barang di ambil tpi ga di ambil2 sama tim expidisi seharian nunggu sampe ke esok hari nya barang ga di ambil2.,JNT,DKI Jakarta
2,"Saya heran knp j&t jakarta sangat lambat ya? Justru kalau kirimnya dr jkrta ke jawateng 3 hari sampai, tapi ini dr jakarta ke jakarta malah sampai 5 hari. Itupun masih belum pasti...ya Allah....",JNT,DKI Jakarta
1,"Paket estimasi sampe 3 hari, sdh 6 hari paket msh blm sampe, mau di ambil langsung bilang nya ga bs,,
J&T lamaaaaaaaaaaaaa 😡 dan pelayanan nya 👎 …",JNT,DKI Jakarta
5,"Pelayanan baik, dateng ambil paket sendiri dilayani dengan baik oleh semua petugas padahal jam ambil paket jam 20.00 tapi gw datang jam 18.45, tetap dilayani dan paket langsung diberikan ke gw, tempat luas banget lokasi di jalan pahlawan …",JNT,DKI Jakarta
1,"1. Pengiriman lama banget, 2. kurir dihubungi gak ada respon, 3. Reschedule pengiriman infonya request customer, sementara saya dihubungi juga enggak 4. Reschedule ke-2 juga tanpa konfirmasi 5. J&T pusat nya juga dihubungi gak ada kepastian",JNT,DKI Jakarta
1,diliat aja. kurirnya keknya males nganter. berapa hari itu gadikirim,JNT,DKI Jakarta
1,Ini JNT KLENDER adalah terburuk jnt dijakarta dan menyebabkan nama besar JNT rusak dan turun akibat suka terlalu lama menahan paket digudang dan sdmnya yang low respon dan masa bodo. Mohon JNT PUSAT untuk menindak lanjuti para pimpinan dan …,JNT,DKI Jakarta
1,Pengiriman lelet paket selalu di tahan di gudang,JNT,DKI Jakarta
1,J&T klender parah... Udh 2 hari paket nginep di gudang klender.. mau ngambil sendiri ke gudangnya malah disuruh pulang.. balik lagi nnti jam 19.00 lah orang mau meringankan kerjaan kurir malah jadi nyusahin orang..,JNT,DKI Jakarta
4,"Bagi teman2 yg paketnya nyangkut di jnt klender, datang dan ambil sendiri aja disini. Jgn lupa bawa identitas dan nomor resinya. Semoga membantu",JNT,DKI Jakarta
1,"Kesel banget *jing paket gua 8 hari disini gak dikirm sama sekali J&T paling terburuk yang pernah gua tau disini, sumpah kesel banget, mana juga ngambil gak bisa langsung *** lahh",JNT,DKI Jakarta
1,paket 3 hari nyangkut di JNT klender ga dikirim2.. sedangkan paket dari ekspedisi lain udah sampai.. ditelp ga bisa kantor ga ada no telp.. kantor bodong.. ini no hp SPV Jnt Klender …,JNT,DKI Jakarta
1,"Jnt Klender gimanasih pake saya dri tanggal 31 Juli sampe tanggal 2 September enggak sampai"" mandek aja di jnt Klender gimana sih!!! Saya Dateng langsung ke jntnya malah disuruh besok"" teruss gimanasih dikira enggak cape bolak balik teruss!!!!",JNT,DKI Jakarta
1,"Ini jnt klender gimna ya, pket saya itu maknan , malah di tahan di jnt klender udah mau 4 hari, di jemput kesna udah mohon2 gak di bolehin karna udah malam, anjing yaa, lo pikir itu ngirim nya murah, mudah2an jnt tutup selama nya.",JNT,DKI Jakarta
1,"Saya dari admin gma
Produk saya tidak sampai ke kosumen sudah 1 minggu tidak datang apakah perusahaan jnt tidak bagus lagi kami pihak perusahaan kecewakan dengan expedisi jnt kenerja nya tkdak bagus",JNT,DKI Jakarta
1,"J&t klender gk ad tnggung jwab dlm pengiriman pket ke alamat tujuan....buat j&t pusat....bagus di hpus aj j&t klender bikin kecewa aj,nanti bikin rusak reputasi j&t lainnya yg bner tnggung jawab.",JNT,DKI Jakarta
5,"Pelayan bagus petugasnya ramah, cuma sekarang pindah ya sudah bukan diklender lagi tapi depan swalyan tip top pondok bambu",JNT,DKI Jakarta
1,"Brayyyyy, ini nunggu paket numpuk di drop point apa gimana? bekasi jakarta udah mau 4 hari ga sampe sampe 2 hari paket nganggur di drop point klender, yg dari surabaya bandung pake jnt aja udah sampe duluan..",JNT,DKI Jakarta
1,"Parah ampe skrg paket cma muter2 doang selama 5 hari dr klender ke malaka, malaka ke klender... Ini maksudnya apa coba?? Sumpah jelek banget bikin emosi",JNT,DKI Jakarta
1,Barang tidak sampai² padahal sudah lewat dari estimasi ko malah barang saya di kembalikan ke seller padahal saya belum terima,JNT,DKI Jakarta
5,"Terimakasih sudah buka H+1 Lebaran, Muter² pada tutup semua.

Semoga tidak ada kendala, aamiin.",JNT,DKI Jakarta
1,Paket di oper² ke JNT pondok bambu padahal zona pengiriman ke alamat rumah saya itu dari JNT kelender alhasil paket jadi rusak dan proses pengiriman nya jadi lamaaaaaaaa bgt …,JNT,DKI Jakarta
1,Windy parah banget paketnya dibanting depan customer,JNT,DKI Jakarta
1,"Jelek banget pengiriman di j&t sini, lelet. nyampe di j&t sini dari tanggal 28 April sampe tanggal 3 May belom jalan itu paket. Kurirnya pada ngapain ya?",JNT,DKI Jakarta
1,"Paket saya udah di klender tanggal 1 feb tau tau tanggal 3 masuk gudang. Maksudnya apa coba?
Sudah telp cs tanggal 4 dan tanggal 6 bilangnya bakal di hubungin j&t klender …",JNT,DKI Jakarta
