Rating,Reviews,Company,Province
1,"Buruk skali pelayanan yang di lapangan (telaga biru dungingi bagitu dpe lokasi), padahal cuman ada konfirmasi lewat chat kalo kpan mo diantar itu paket karna so lewat estimasi, bru cman dia sok kmri ey",JNT,Gorontalo
1,"Kita ini biasa pake jnt hanya kypa ini jnt skrg so pe malas mo ba dliv sedangkn estimasi tgl23 Oktober, sedangkan ini so tgl 23 jgn sampai mo taretur sedangkn paket ada yg COD dg ada leh so bayar, tolong dapat deliv akang tape paket karna itu penting",JNT,Gorontalo
1,"Udah beberapa kali ini ya pake J&T, status di shopee udh sampe dari 3-4 hari lalu di Gorontalo tapi statusnya sedang diantar terus dan gak sampe2",JNT,Gorontalo
3,Pelayanan nya kurang memuaskan semoga pihak jnt mau memperbaiki pelayanan pengiriman barang terkhusus untuk pelayanan di Provinsi Gorontalo ini,JNT,Gorontalo
5,"Kesini buat kirim paket kerudung ke Jkt. Biaya reguler 46rb /kg

Cepet sih pengiriman ke jkt cuma 4hari dr gorontalo. …",JNT,Gorontalo
3,"paket belum sampe, pas diliat lagi eeeh malah sdh diretur",JNT,Gorontalo
1,"di estimasi paket sdh di terima tgl 5 april tp smpe skrng tu paket nda datang”, ada wa tu kurir yg jaga b antar nda ada respon sama skali 👊🏻
minimal ngoni klo m b kase kerja kurir jgn yg rupa seleb ee, p slow respon kong susah skali m hubungi …",JNT,Gorontalo
1,"pelayanan buruk paket nanti mo ambe di kantor, kurir ada chat slow respon skli sampe"" paket mo ta pulang p dpe penjual",JNT,Gorontalo
1,"Nunggu paket lama, ehh pas di cek paketnya mau di kembalikan ama penjual, padahal pihak J&T tidak ad ngehubungi",JNT,Gorontalo
1,"depe kurir sama deng artis tahede, tida mo ba balas chat tida mo ba angka tlfn hu kalo memang tida niat krja tida usah jo uti bo beken darah tinggi",JNT,Gorontalo
2,"Admin tidak teratur dalam melayani, tidak memperhatikan antrian customers. Tidak ada skala prioritas, customers sudah panjang mengantri tapi tidak cepat dilayani kebutuhannya. Barang saya lacak sudah diantar ke penerima sejak jam 07.00, …",JNT,Gorontalo
1,"Pelayanan mengecewakan!!!. Paket sdh sampai d gorontalo tapi tidak diantar langsung ke alamat tujuan, kurirnya tdk ada respon kalau di chat, pas jemput dikantor paketnya sdh di return padahal paketnya belum pernah diantar ke alamat tujuan.
SUNGGUH SANGAT MENGECEWAKAN!!!👎👎👎👎 …",JNT,Gorontalo
1,Sangat mengecewakan untuk pesan dan melakukan pengiriman lewat expedisi j&t express cabang sumalata di mana paket saya sudah sampai ke kantornya dan tidak dapat infokan di mana bahwa untuk kurir ke kecamatan biau tidak ada dan di infokan …,JNT,Gorontalo
1,"Paket sudah sampai, tapi Ndak diantar, payah",JNT,Gorontalo
