Rating,Reviews,Company,Province
2,"Beberapa Minggu yang lalu beli barang di apk toktok bisa bisa nya katanya salah alamat makanya paket muter"",sedangkan alamat udah lengkap dan pake titik maps juga waktu di apk. …",JNT,Jambi
1,"Pengiriman Paling Ribet, Harus begini begitu, Ikut SOP la… ngirim bukan satu kali, bisa bisa nya di tolak pas ganti shift… coba tolong pihak JNT jangan kaku banget sama cust.",JNT,Jambi
1,"Saya mau kirim pesanan Tokopedia masa ditolak, padahal saya udah Print sendiri karena alasan kertas habis, trus saya bawa lagi tetap gabisa malah disuruh ke dasan cermen jauh sekali, sedangkan di JNE bisa padahal. …",JNT,Jambi
1,"Bener2 kurirnya gak bertanggungjawab, di pemberitahuan paket di antar ke alamat anda smpai 3 hari gak sampai2,, tolong dong di benerin kurirnya, klo gak niat nganter tolong konfirmasi, kan ada nomer penerima",JNT,Jambi
1,"Pantesan ratingnya jelek, paket ga diantar antar malah di return ke pengirim tanpa konfirmasi ato ngehubungi penerimanya. Kalo ga niat kerja gausah jadi kurir aja, cari kerjaan lain aja daripada ngerugiin.",JNT,Jambi
1,"selamat pagi pak/ibuk
saya mau komplen kepada jnt,,
masak paket saya blm di antar "" sama kurirnya,,alasanya libur enmg gk ada kurir …",JNT,Jambi
1,"Ditulisnya jam 8 malam tutup, ternyata pas sampai sana jam 7 sudah ditolak karena sudah tutup katanya. Trnyata dari jam 6 sudah tutup …",JNT,Jambi
5,"Pelayanan Cepat, kantor perlu dirapikan dinding di cat ulang biar fresh",JNT,Jambi
2,Pengantarannya lama bngett paket dibawa sana sini😩😩 perkiraan smpe 3 hari jadi nunggu 1 minggu😡 …,JNT,Jambi
1,Paket saya ga sampek2 woy udh dibayar lagi gila kapan dianternya cuy,JNT,Jambi
1,"pengiriman jelek banget mau kirim kebuleleng bali sudah 2hari g dikirim kirim, pegawenya niat kerja p kagak sebetulnya, pada makan gaji buta ya..",JNT,Jambi
1,Di google bilang tutup jam 8 sampe sana jam 7 masih ada CS Ndak mau di terima paket kalok memang tutup jam 7 jangan tulis jam 8 buang waktu orang,JNT,Jambi
2,kmarin sya mw retur barang tpi di tolak sma pegawainya ( counter) dengan alasan belum kebuka sya nggak tw apanya yng kebuka nd ada penejlasan,JNT,Jambi
1,"Paket saya udah di pesen seminggu yang lalu belum sampe"" harusnya tanggal 17 udah sampai",JNT,Jambi
1,"staff nya pada songgong mampus tdk ramah,apalagi tadi staff nya yg pke jilbab dan kacamata ga ber attitude bgt",JNT,Jambi
4,"Setahu saya JnT gak ada tukang parkir. Tapi, disini ada tukang parkir, jadi bagi kalian yang hendak kesini, siapsiapkan uang receh yes buat bayar parkir huhu",JNT,Jambi
1,"Staf stafnya songong gak sopan, kok bisa attitude kek gitu keterima, ekspedisi terlama di banding ekspedisi yg lain",JNT,Jambi
1,"barang udh lelah ditunggu 4 hari malah dibalikin, apa apaan",JNT,Jambi
5,"Pengiriman barang melalui J&T tidak diragukan lagi, barang selalu sampai dengan selamat dan tepat waktu, terlebih kurir yang mengantar barang ramah dan sangat bersahabat.",JNT,Jambi
5,Usaha toko kita Sangat terbantu dngn jnt. Agennya tersebar dan dekat dengan toko pengiriman cepat ngirim ngirim barang menjadi lebih mudah dan praktis,JNT,Jambi
1,"Paket 8 hari belum sampai,jangan pakai jnt lagi yaaaa",JNT,Jambi
1,"Paket sy sampe mataram tgl 28,katanya terima tgl 29 tapi udah tgl 1 belom sampe² pujut",JNT,Jambi
1,"Banyak info kurir malas ternyata benar, pelaporan dibuat sepihak oleh kurir2 pemalas. Audit nihh sistem kerja j&t mataram",JNT,Jambi
3,"Lambat pelayanan, conter depan mengurus semuanya , jadi kalo ada antrian 2 saja lama banget nunggunya",JNT,Jambi
1,Kota mataram ke Lobar paket sampe berhari-hari,JNT,Jambi
1,"Kinerja lambat, barang sudah 10 hari gak jalan juga, kurirnya tidur mungkin bukan kerja",JNT,Jambi
1,Pengiriman lambat sekali.... Muter² gk jelas... Sedangkan saya juga butuh barang tersebut... Mintak tolong dong perbaiki lagi,JNT,Jambi
5,Salah satu layanan ekspedisi dan pengiriman barang yg bisa menjadi pilihan dalam mengirim dan mengantar barang,JNT,Jambi
1,"sumpah kecewa banget sama kurir jnt atas nama lalu Muhammad Yani anjir gada etika nya bangettt  paket saya udh mau nyampe ke alamat rumah otomatis sy di cht dong sama kurirnya,trs abis itu sy respon iya benar itu paket saya tolong kirimkan …",JNT,Jambi
1,"Kurang baik pelayanan, bertanya tentang barang kiriman sudah sampai dimana, malahan sambil main HP .
Keren petugasnya",JNT,Jambi
1,Paket sudah sepuluh hari gak sampai juga. Kalau dilihat dari riwayat perjalanan sudah 4 hari ada di Mataram dan bolak balik liat statusnya dari pusat sortir ke lokasi transit...entah apa maksudnya. Padahal biasanya pake pengiriman jasa lain …,JNT,Jambi
5,"Pegawainya ramah, cepat pelayanan nya 👍👍 …",JNT,Jambi
1,"Paket di retur tanpa konfirmasi terlebih dahulu, di alamat sudah dicantumkan nomor penerima utk memudahkan kurir apabila ada kendala dsb, tapi ini gak ada konfirmasi apa2 tiba2 keterangan paket diretur karna buyer menolak tanda terima, …",JNT,Jambi
1,"Dilaporkan barang sdh dikrm ke alamat tujuan tp kenyataan sy blum Terima
Itu selalu terjadi pada kirimin yg sdh dibayar",JNT,Jambi
1,"Pelayanan buruk, org mau krm brg bkn malah dibantu cr solusi malah dibiarkan. Jd sy krm di tempat lain aja.",JNT,Jambi
1,"Bintang satu dah ,,pelayanan jelek ,, alamat udah tertera jelas bilangnya gak ada org d rumah padahal kakak saya udah saya pesen klok hari tsbt barang q bakalan dateng,,,klok bisa aq kasi rating -1 bintang aja dah,, terima kasih",JNT,Jambi
1,Gilaaak paketan dari lombok ke Bali doang seminggu 😆 …,JNT,Jambi
1,"Pengiriman paling lelet, paket w yg gk ada resi nya di simpen dalem gudang ampe berjamur gk dikirim"" ampe sekarang, busuk bet ni pengiriman. Najis, janji tanggal 10 maret udh diterima sama penerima ampe sekarang lewat tanggal 10 gk keliatan …",JNT,Jambi
5,"Sering kecewa sih sama J&T, barang sudah sampai drop point tapi ditahan berhari2, padahal sudah mengajukan diri buat ambil sendiri malah gak diterima wkwk. Padahal harusnya bersyukur bisa meringankan pekerjaan kurirnya biar gak anter capek2 …",JNT,Jambi
1,"Paket pertama salah sortiran, orang-orangnya kurang teliti,
Kemudian hari ini kata kurirnya sudah ke rumah, tapi gak ada orang, padahal saya di dalam aja, dan kurirnya gak ada yang ngehubungi gitu? Terpaksa harus ngambil …",JNT,Jambi
1,"Paket saya selalu datang terlambat, hari ini pun demikian, barang saya statusnya sudah di mataram 2 hari yg lalu, tpi sampai hari ini belum ada perubahan status untuk dibawa kurir ke rumah… tolong penyortiran lebih teliti lagi",JNT,Jambi
1,"Lama amat cok, petugas nya udah pada mati yahh, mau ke Sumbawa aja 3 hari di perjalanan terus, 🖕🖕🖕🖕 …",JNT,Jambi
1,"Pelayanan Staff (Counter) Gk Punya Attitude,, Gk Pernah Sekolah Kali ya ..",JNT,Jambi
1,"Parah banget dah ini koordinasinya antara kantor cabang dengan kurirnya, yang seharusnya paket sampai lebih cepat malah di balikin terus ke kantor cabang utama ☹️. …",JNT,Jambi
2,sangat kecewa sama pelayanannya,JNT,Jambi
1,"Paket sya dari dulu sampai sekarang blm ada yg sampai trus lagi sya pesen barang skrng dapet kurirnya juga dari j&t ga puas bnget di bukti paket sudah di terima di kantor aja katanya tapi sampai satu bulan full ga Dateng"" paket sya udh sya cek keluarga ga ada yg terima juga",JNT,Jambi
1,"Sudah sering bngt paketan saya salah sortir, orang²nya kurang teliti bngt dan terbaru hari ini paketan saya di kirim ke Bima padahal harusnya sampai di Praya hari ini, kan jadi molor waktunya nunggu lg harus balik lg ke mataram baru ke …",JNT,Jambi
1,"Paket saya tiba d jnt mataram tanggal 20, sampai tanggal 24 masih di gudang, Itu paket Tanaman Hias, kalau busuk gimana,.. ? rugi saya,. 4 hari di gudang ngapain aja.. paket sudah 10 hari yg biasanya 4 hari sampai..",JNT,Jambi
1,"Paket di retur sama kurir tanpa konfirmasi terlebih dahulu... Padahal dh sering nganter kelokasi,hari minggu memang toko saya tutup, tp kurir gak ada nelpon atau chat,main retur aja... Payah sih...",JNT,Jambi
1,"barang dateng sabtu,.. tp hari minggunya baru di wa disuruh ambil sendiri di kantor jnt nya karena COD.. padahal udah kasih keterangan pengiriman di jam kantor saja.. trus petugasnya juga ngotot saya harus ambil sendiri hari itu juga.. 😭😭 …",JNT,Jambi
5,"Saya saat itu belanja online dan dapat jasa Pengiriman gratis melalui J&T. Pelayanan bagus dan respon dari CS juga baik dan cepat.
Jadi jangan ragu untuk anda jika ingin mengirim barang, dokumen dan lain lain …",JNT,Jambi
1,Sumpah Kuril ni gak niat kerja paket saya di tolak gak mau di anter ke alamat saya.saya udah nugu berapa hari malah di tolak,JNT,Jambi
1,"Pelayanan sangat buruk, tidak ada senyum sapa dan salam.
Adanya cuman nada tinggi dan expresi yg sangat buruk ke cutomer.",JNT,Jambi
1,"Ada kontak yg bisa dihubungi,dibantu dong,,,",JNT,Jambi
1,"Kurirx gak jelas, masak saya sdh belanja barang include sama ongkirx, saya lagi yang d suruh ambil sendiri paket d kantorx",JNT,Jambi
1,Semua paket yg ke bima pasti stuck d Mataram. Walaupun penjualnya udah kirim same day percuma. Di mataram paketnya stuck 3 hari bingung. Selalu begitu. Padahal kalo pengiriman lain dari mataram ke bima 1 hari aja. Nggak pernah lebih. Aneh. Kalo bisa milih di shopee nggak mau deh pake jasa pengiriman ini.,JNT,Jambi
1,"Di keterangan paket sudah diterima, tapi manaaa ??? Sya belom pernah terima apa2 paket sya dikirim nyasar ketempat lain, tolonglah tanggung jawabnya itu barang pesanan org jauh2 dikirim, dibayar mahal
Taunya salah tempatnya ngirim, kecewa banget!!!",JNT,Jambi
5,Saya kasih bintang lima agar pengiriman nya tepat waktu sebenarnya sya sedikit kecewa pengiriman nya selalu lambat,JNT,Jambi
2,"Paket sudah hampir seminggu ga bergerak d satu tempat,pengiriman yang biasanya 6 hari jadi sangaaaat molor nyampenya
Tidak sesuai dengan yang dijanjikan,",JNT,Jambi
1,"Padahaln ya sy cuma mau cek resi lo cek resii apa sulitnya buat di ketik di komputer, baru jam 6 lebih 10 menit sumpah kecewa banget sma pelayanan nya pegawai nya juga ga bisa maaf atau basa basi, padahal komputer msh menyala tinggal di cek astaga kok gini skali pelayanan j&t ini, ingat ya kalo ga ada barang kita tu kamu ga di gaji",JNT,Jambi
1,"JNT mataram sangat lama sekali dalam pengiriman
saya kirim berkas dr surabaya k mataram sj 6 hari belum sampai sampai. setelah saya cek resi paket sy dari surabaya k mataram cuman 2 hari sudah sampai lho kok …",JNT,Jambi
1,"Lama banget sampainya.Barangnya mondok disana,danjok",JNT,Jambi
1,Cuk.... apanya yg Express !!! Pesan barang di hari yg sama dgn lokasi pengiriman yg sama dgn jasa lain (JNE) JNE udah sampe. Ini J&T Express belum sampe2 !!! Kasi no tlp di web ga bisa di hubungi !,JNT,Jambi
5,Pelayanan cepat.. bisa COD,JNT,Jambi
2,Paket hisa salah sortir semulahya paket tujuan lombok utara malah nyasar ke bima gmna kok bisa gtu barang sampe 2 harai ini malah lbh sminggu blm sampe lebih teliti laginlag dalam nyortirnya,JNT,Jambi
1,Udah jelas2 alamat nya bener tp knp nyasar ke tempat lain. Untung org yg terima barang baik kasih paket nya ke saya klo org nya main ambil buat sendiri gmn tuh paketan sya hilang bayar mahal2.,JNT,Jambi
1,Pelayanan sangat sangat buruk.. barang udh tiba d mataram 2 hri yg llu. Smpai dtik ini g da d krim.. barang d keep d mataram. Pdahal barng dri jkrta cm 3 hri pngirimn.. kantor j&t d tlpn tdk ada respon. Sngat mengecewakan dan sngat buruk,JNT,Jambi
4,Mohon dipercepat untuk pengiriman hr ini ya pak Krn saya butuh barang yg ada disana 😇 paket sudah sampai sejak tadi pagi di drop point Mataram tetapi sampai skrg blm di krm ke alamat penerima …,JNT,Jambi
4,"Alamatnya sudah pindah, ke dekatnya JNE cabang Mataram yang di karang sukun (granada). Pelayanannya bagus, pegawainya ramah, harganya termasuk murah juga.
Barang saya sudah sampai Jakarta, pengiriman total 3 hari",JNT,Jambi
1,"Asli parah ni kurir , barang saya malah di kasi ke orang lain tanpa ada konfirmasi ke saya , sumpah kecewa banget.",JNT,Jambi
1,"Cek resi barang sudah diterima,,tapi sy belum terima sama sekali barang sy,,,lalu sy minta tolong suami cek ke jnt,,katanya sudah diantar dan diterima nah ditanya siapa penerimanya,,jnt bilang gak tau,,,woiiiii yg bener aja dong,,itu obat anak sy yg saya beli mahal woiiiiiiiiiiiii",JNT,Jambi
4,"Respon jelek.. Paketan tidak nyampe tapi status sudah di terima

Edit: Sekarang pelayanannya lebih baik.. dari bintang 1 saya kasi bintang 4",JNT,Jambi
1,"Barang sy lebh dari 8 hari mana pesenan orang ini ,wajib pengirimanya kayak gini dari gmail ndk di tanggepi kalau mamng 8 harian tulis di diskripsi ini 3 hari katanya tapi apa tolong pesenan orang d percepat",JNT,Jambi
1,"Paketan dari pagi sdh di kantor jnt, eh dianternya kapan mungkin, coba di jasa online ada ekspedisi lain pilihannya pake yg lain aja. Suka gak tepat waktu.",JNT,Jambi
1,Pengiriman sudah lebih 12 hari dari tangerang belum sampai juga...cek resi online tidak jelas barang masih ada di jakarta....?kantor mataram di telpon tidak aktif nomornya....pelayanan ???,JNT,Jambi
1,CS pelayanan paling Jelek,JNT,Jambi
1,"Dh mw 2 mmggu lebih lo paketan sy dk xpek2,  pas kesana bilang paletan nyasar insyallah 3-4 hri nyampek v ne dh 5 haripun dk nyampek2. Bagaimna ne pesanan orang lagi.",JNT,Jambi
1,Paket dari shopee udah lewat 3 hari belum juga saya terima...hub cs via telpn nomernya tidak pernah aktif.,JNT,Jambi
3,Pelayanan cukup cepat dibandingkan jasa pelayanan pengiriman barang yg lain. Tapi satu pegawai adminnya jutek dan kurang ramah,JNT,Jambi
1,"Niat jadi kurir yg baik nggak sih? Nomer telpon nggak ada yg bisa di hubungi!! Paket saya belum saya terima, tapi di laporan kok sudah di terima?",JNT,Jambi
1,"Paket tidak diantar,status sudah di terima.tidak jelas buruk sekali",JNT,Jambi
1,"Kok lama bngt ya ?????
Barang saya di cabang matram lama bngt nyangkutnya
Sampai 4 hari dri matram GK di krim2 ke Ke tujuan gimn sih",JNT,Jambi
5,"Ngirim paket ke dari Jambi ke Bogor,
Paket lumayan besar dan berat jadi memilih ke JnT Cargo.
JnT Cargo berada di gedung yang sama dengan JnT Express, jadi sangat memudahkan …",JNT,Jambi
1,Paketnya yg saya sudah sampai di j&t express Muaro Jambi tidak di antar sama kurinya malah di suruh untuk di komplain pengembalian barang. Gimana ini kurirnya gak ada jelas. Mohon donk di perbaiki lagi sistem atau ganti kurir yg rajin …,JNT,Jambi
1,"Jasa kirim paling bobrok yang pernah ada, pengiriman dalam kota saja sampai seminggu, ngga ada sedikit pun kata maaf",JNT,Jambi
1,"Pelayanan buruk , paket ga jalan jalan sudah 3 hari ongkir mahal lagi",JNT,Jambi
1,"paket saya mana kok ga dikirim""? tlg jgn ditumpuk di gudang lah, org butuh.",JNT,Jambi
2,"Saya jadi gak bisa berangkat karna paket mau dtng udah bayar pula mahal pula paket ny lama bgt
Giliran COD cepet2 kesel bgt",JNT,Jambi
1,Tidak memuaskan. Paket belum diterima berani buat update status palsu sdh diterima. Sama saja dgn penggelapan barang org..,JNT,Jambi
1,"Jangan pakai J&T, sumpah. Nyesel gua pakai expedisi J&T. Sistem BOBROK, pelayanan BURUK. Tidak ada bagus-bagusnya.",JNT,Jambi
1,"Ud seminggu paket sy blm nyampe, dr jambi ke banda aceh, mana ongkirnya mahal",JNT,Jambi
1,"Jnt mau nya apa????
PAKET SDAH STOK DI JAMBI SELAMA 3 HARI.!!!!
sttus blom jg di bawa kurirr. Ini kelewatan sih, …",JNT,Jambi
1,Pesanan saya di tunda terus di gudang  jnt jambi sudah seminggu lebih,JNT,Jambi
1,"Di pemberitahuan depan mulai Rp 10000 perkilo,pas udah masuk mau kirim paket terjadi beda harga, dari mbak adminnya hanya untuk provinsi Jambi dan kalo memang untuk provinsi Jambi ya tolong dong untuk pemberitahuan nya di depan pintu masuk …",JNT,Jambi
1,Jangan ditahan trus paket tu di gudang hadehhh!!!,JNT,Jambi
1,"day 1 chat drespon status paket di update dgn kterangan penerima tdak bisa dihubungi..
day 2 alamat sdah sngat lengkap dri aplikasinya jg, n di day 1 sdah sy respon …",JNT,Jambi
1,"Kurir sint*ng,bisa-bisanya blg kejauhan anter paket saya. Jelas2 lokasi tdk jauh,dgn enteng blg besok baru diantarkan. Sungguh LUAR BIASA 👍🏻 salut dgn kinerja kurirnya,kalo anda malas lbh baik anda dirmh aja gausah kerja 🙂 …",JNT,Jambi
1,Pengiriman sangat lah buruk dan lambat sekali padahal dekat jambi palembang lama di kepulkan di gudang heran saya,JNT,Jambi
3,Tolong segerakan mengirim paket🙏 …,JNT,Jambi
1,"Paket saya dipesan tanggal 13 Januari 2024
18 Januari paket saya sampai di Jambi, tapi dari 18 - 25 Januari status paket saya masih diperjalanan mulu, Waktu tempuh Jambi - Sungai Penuh itu gak sampe …",JNT,Jambi
3,"Ya lumayan laa, walaupun paket ga d anter ke alamat tetep menghubungi costumer, ga kyk si sebelah, cmn sayangnya jauhan j&t pusat ini klo d ukur dri perjalanan. Selebihnya ok, kurirny lumayan baik semua",JNT,Jambi
1,"SUMPAHH SEKESELL ITUU UDAH ADA 3 KALI PAKET AKU SELALU SALAH SORTIR , UDAH DIJAMBI TIBA2 KE DENPASAR, PERNAH JUGA UDAH DI JAMBI TRSS TIBA2 KE PEKANBARU, SEKARANGG UDAH DI JAMBI TIBA2 KE BANGKO KNP S?",JNT,Jambi
1,"gilaaaa yaaaa ni ekspedisi ga jelasss sumpahhh bener” ga amah ya tuhannnn, paket aku aturanya sampai 4-5 hari ini malah nyasar ke palembang di bolak balikin anjirrrr, padahal kemarin udh di jambi tiba” di palembang lagiii, mauuu nya apaaa sih padahal tinggal di kirim ke bungooo lagiii woiiii ya allah",JNT,Jambi
1,"Paket saya 2 hari tidak di antar eh tiba2 di apk katanya pesanan selesai, panggilan atau Chat dari kurir tidak ada, bagaimana ini tindakan nya",JNT,Jambi
1,"padahal keterangan uda dikirim ke daerah saya, eh tiba-tiba malem tdi sama keterangannya ini gimana lah pihak j&t",JNT,Jambi
1,Paket ku kalian kemanakan binatang? Itu udh 7 hari kalian tahan di jambi gak kalian antar ke penerima. Memang rusak jnt jambi!! Itu paket bukan murah!! Kalau sampai hilang itu paket dan gak ada kejelasan dari kalian awas!! Betul2 gak beres sangat menyesal ngirim paket pakai jnt!! Kalau tau begini mending pakai expedisi lain!!,JNT,Jambi
