Rating,Reviews,Company,Province
2,"Adminnya ga bisa kali yaa ngmg kata sapaan
Pak / bu / kak , ini lgsg aja ngmg
""Besok lg ambil retur sebelum jam 4"" …",JNT,Jawa Barat
1,"Udah 5 hari paket saya stuck di sini..
Udh lapor ke CS j&t baru di kirim baru jalan lu, eh dateng"" Isinya salah.. Mana packagingnya udh di buka udah d ganti",JNT,Jawa Barat
1,"Paket udh 2 hari ketahan disini doang, makin aneh aja nih ekspedisi bukannya makin bagus malah makin kaga jelas",JNT,Jawa Barat
1,"Gila ganiat kerja apa ya karyawannya? Paket dari kemarin katanya dikirim ke penerima, ternyata salah sortir, trs katanya hari ini maksimal dikirim nyatanya ZONK!!! Dari siang ngapain? Pdhl kalo diliat dari maps jarak si penerima ke kantor …",JNT,Jawa Barat
1,"Ini paket gak gerak2 disitu2 bae padahal update nya siang, lu kurir2 kerja ngapain tong,, pengiriman lambat banget, nyesel pake pengirimannya..",JNT,Jawa Barat
1,Paket saya gak sampe ini.. D cek no resi malah ke Jawa Timur.. Pengiriman atas nama adi.. Padahal harus nya ke tanggerang atas nama lilis. Saya udh bayar lq.. Gk ada pertanggungjawaban nya.. D tlpn gk ada respon,JNT,Jawa Barat
1,"Paket gw di cabang ini gk gerak"" , biasa pakai spx, cuma nyoba doang pake j&t ternyata gila, ogah dua kali gw , wkwkwk lu kalau udh pada bosen kerja resign aja , biar org lain yg btuh kerja buat gantiin lu pada ..",JNT,Jawa Barat
1,"kecewa banget sama j&t paket ketahan 2 hari digudang ini, padahal pengirim sama penerima sama sama dari bekasi, payah, ga lagi lagi pake ekpedisi ini",JNT,Jawa Barat
1,"Setiap pemesanan kargo selalu muter muter,paket di bawa keliling luar kota,gak jelas,gua beli juga bukan barang murah padahal,shopee juga ngapain make jasa J&T kerja bisa kaga pengiriman nya lambat,mau mau nya kerja sama",JNT,Jawa Barat
1,"J&T Bekasi ga guna
Barang udah dua kali ilang,tapi ga ada pertanggung jawaban sama sekali
Nyesel gw naro barang di situ, cukup kali ini naro di situ...
Lebih baik naro  jauh tapi aman",JNT,Jawa Barat
1,"parah, kirim paket makanan tapi pihak bekasi salah nempel resi, harusnya ke cianjur malah sampe ke bogor, habis complain ke pusat baru dikirim dari bogor, terus dari pihak j&t bekasi ini katanya kalau makanannya basi mau di ganti, tapi …",JNT,Jawa Barat
1,"Pegawai nya pada ambil gaji buta bangke, 24 jam di sortir center ini tidak ada pergerakan sama sekali untuk update paketnya.",JNT,Jawa Barat
1,Supir j&t nya ga ganti rugi sudah membuat body mtr saya pecah sampai kena mika lampu ga ada pertanggung jawab supirnya,JNT,Jawa Barat
1,Parah ini... paket salah sortir lah. Kerja gak benar ni kariawanya.. LAMAAA. malas pake jnt,JNT,Jawa Barat
5,"Juara ini. Enak adem numpang repacking di sini, semoga gak keberatan ya.",JNT,Jawa Barat
1,"Parah banget kurirnya
Udah 2 kali salah kirim terus
Di hubungi ga bisa …",JNT,Jawa Barat
1,"Baru kali ini ngerasain jnt paket ga gerak di sortir center lebih dari 24 jam
Lu pada kerja apa maen slot nyong",JNT,Jawa Barat
1,Karyawan tidak kompeten. Paket saya tdk di antar kan sesuai alamat malah suruh ambil sendiri di gudang.,JNT,Jawa Barat
5,"Tempatnya bagus, banyak sekali barang yg tercecer di tempat jadi harus lebih hati2 lagi tolong langsung di simpen atau di taruh di dalam agar tidak tertukar. Untuk pelayanan di tempat memuaskan mungkin butuh tambahan kariyawan agar bisa …",JNT,Jawa Barat
1,"Haduhhh parah sih ni jasa pengiriman, paket saya dibikin muter² tapi tidak dikirim² buang² waktu saya aja, buat kalian kalo mau kirim pake jasa pengiriman ini coba deh dipikir² dlu",JNT,Jawa Barat
1,"Lama bgt paket tinggal di anter, masih aja di endepin di gudang. Ampun dah",JNT,Jawa Barat
1,Gimana sih paket nya saya blm sampe sllu begini kalo ake jnt itu kanapa ya???,JNT,Jawa Barat
5,"Pelayanan oke, hampir tertipu dengan pihak ketiga tapi CS JNT nya disini sangat kooperatif bantu terkait pelacakan barang, terimakasih🙏🏼 …",JNT,Jawa Barat
5,"Alhamdulillah.. kirim kemarin dari bekasi ke Jakarta sampai hari ini. Pengiriman reguler yang saya pilih tapi cepat sampai, mantap.",JNT,Jawa Barat
1,Paket gua dari tgl 15.11.14 nyangkut disini!!! Udah tgl 23 sekarang ga gerak²,JNT,Jawa Barat
