Rating,Reviews,Company,Province
1,Gila admin buruk semua .. padahal setiap hari saya kirim paket.. jika ada yg gagal imput tidak ada pemberitahuan .. bobrok jnt demak,JNT,Jawa Tengah
1,"Parah banget tulisannya tutup jam 21.00,
Terakhir pengiriman jam 20.00
Tapi cs counternya bilang tutup pelayanan jam 19.00 , sayangnya lupa nanya …",JNT,Jawa Tengah
1,"30 juli 2024 kesini drop paket jam 8 pagi. Baru di scan jam 17.29. Padahal tujuan magelang dan kabupaten semarang. Itu admin pada kenapa sih sebenernya? Diantar jam 8 pagi berharap segera di scan, malah scan sore. …",JNT,Jawa Tengah
1,Gajelas. Paket udah 4 hari masih di demak terus. Parah bgt j&t. Udah ga bisa dipercaya lagi ini,JNT,Jawa Tengah
1,Namanya aja layanan pesan antar tapi paket disuruh ambil ke kantor WTH 🤏 …,JNT,Jawa Tengah
1,"Di maps tutup jam 9, tp jam 5 sudah tidak menerima pengiriman paket",JNT,Jawa Tengah
1,"J&T pelayanan gak ada yg bagus, sangat buruk sekali, 2 kali, penerima barang pasti komplain, barangnya pasti pecah/sobek, parahhhhhhhh !!!!!!!! 👎👎👎👎 …",JNT,Jawa Tengah
1,"Di maps jelas tertulis tutup jam 9, baru jam setengah 7 katanya udah tutup. Pelayanannya sangat buruk",JNT,Jawa Tengah
1,"kurir nya kurang teliti, mungkin dlu prnh ngnter atas nama itu ya, trus saya pesan taunya namanya sama, sama tetangga saya, tapi disitu kan no telp nya beda, jangan di liat dri nama nya aja, harusnya di cek semua dri no telp nya jga",JNT,Jawa Tengah
1,"Pengiriman paket udh pake kode booking dr tokopedia ga di terima katanya penuh , malah disuruh ke JNT wonosalam . Gak jelas sama sekali alasannya overload pdhl masih sekota sewilayah . PETUGAS PENERIMA PAKET BLASS GAK RAMAH .",JNT,Jawa Tengah
1,Dahlah gatau lagi knp dengan si jnt demak ini.. udah 4x dikecewakan. Paket blm diterima udah di klik dikirim ke penerima.. giliran ditagih mana barangnya main lempar tanggung jawab.. mau ganti uang lah nanti di transfer lah.. kita itu butuh …,JNT,Jawa Tengah
1,Semakin payah dan mengecewakan Jnt.. paket dari Mojokerto ke Mranggen dari tgl 8 Agustus 2023 sampe tgl 15 Agustus 2023 blom sampe. Setelah dicek ternyata kurir jnt maen retur padahal barang blom dikirim ke alamat Mranggen..😏 …,JNT,Jawa Tengah
3,"Pelayanan dikantor lumayan fast respon... Tapi sayang pengambilan barang kenapa harus ditanyakan dikantor... Tingkatkan pelayanannya untuk pengiriman barangnya, 5 bintang akan menyusul... Tks",JNT,Jawa Tengah
5,"Tempat di samping nasi padang
Parkir luas dan nyaman, pokoknya mantaaap deh....",JNT,Jawa Tengah
1,"Kurir buruk,kebiasaan barang belum di terima,main klik pesanan sudah smpai aja,giliran di komplain via cs jnt ngamuk"" dia.",JNT,Jawa Tengah
1,"Admin nya jutek abiiisss...
Di google maps tulisan buka sampai 21.00.
Kesana bawa paket abis maghrib, masih dibuka, mau kirim paket bilangnya udah …",JNT,Jawa Tengah
1,"Selamat malam semoga ini di baca sama atasan mbaknya yang super ketusdan bisa di bilang menjengkelkan,mungkin pihak dari j&t bisa membantu.critanya saya kirim paket shoope melalui j&t demak,saya datang ke j&t hari sabtu sekitar jam 14.30 …",JNT,Jawa Tengah
3,In mana barang aku .. koc gc ad satu pun yg datang... Tpi koc lporan udh dhi trima gmna in pak kurir.😭😭😭 Barang pesann org gi...😭 Mintak bantuan y donk pak kurir. …,JNT,Jawa Tengah
1,"kurir e ndlogok kabehh, ga bisa baca alamat rumah
masak kirim paket salah rumah terus
padahal alamat patokan rumah sudah jelass",JNT,Jawa Tengah
1,"Kenapa paket gw dari kmren pagi msih di demak mulu, barang mau dipake juga, sampe detik ini status masih disitu aja, heran aja, klo udh j&t demak selalu ngaret.",JNT,Jawa Tengah
1,"Mbak yg di depan komputer .. yg agak gemuk gatau deh namanya siapa..
Senyum dikit Napa mbak.. sama customer jutek amat 😏
Kalau kerja di bidang jasa mah harus ramah kaliikkk mbak.. …",JNT,Jawa Tengah
1,"Kenapa kalau paket udah sampai DEMAK koq lama banget proses KurirNya...
Q cek diem d tempat sampai 1-2-3 hari... …",JNT,Jawa Tengah
1,"Gimana nih barang saya keterangannya diantar tp gk dateng"" mana itu parcel buat lebaran lg gilan aja klo gak nyampe ampe lebaran kapokkk pake jnt didemak payah bgt",JNT,Jawa Tengah
1,"Untuk rating 3.1 seharusnya manajemen berbenah, bagaimana buruknya layanan J&T demak, untuk jasa expedisi sekelas J&T seharusnya tau bagaimana hrs melayani, tapi ini pelayanan sangat buruk dan sangat buruk sekali !!! …",JNT,Jawa Tengah
1,Paket sudah di kantor J&T Demak Kota selama 3 hari masih belum juga diantar ke rumah pelanggan. Padahal jarak sampai ke rumahku tidak ada 2 kilo meter. Sudah ditemui langsung ke kantor J&T Demak Kota bilangnya besok diantar tapi buktinya …,JNT,Jawa Tengah
1,"pelayanan adminnya (mba2) buruk banget, setiap mau ambil paket yang COD ke j&t nya, selalu disuruh nunggu dirumah bilangnya paket sdh dibawa kurir, giliran saya chat kurirnya, ternyata kurirnya ga bawa paket saya. segitunya ga niat kerja. …",JNT,Jawa Tengah
3,"Untuk bulan2 kemaren saya acungin jempol lah buat jnt wilayah demak, tapi kenapa bulan ini kok berubah drastis, ada apa?! 2 hari lebih pesanan saya di gudang demak, tolong antar secepatnya soalnya titipan ortu juga. Yang lebih parah pembeli …",JNT,Jawa Tengah
1,"Untuk yang kedua kali barang selalu tidak sampai ,bahkan bikin wa fake akun mengatasnamakan saya... Kurir atas nama Samet Abdul S",JNT,Jawa Tengah
