Rating,Reviews,Company,Province
1,"Untuk kurir pickup harus bener2 kerja jangan males. Pickup sampai 1 minggu gak di ambil2,  Sampai yang penerima datang langsung kerumah .. Klo gak niat tutup saha",JNT,Jawa Timur
1,"karyawan tidak amanah banyak paket hilang dan tidak ada tanggung jawab.
pickup pake aplikasi tidak di pickup"" emang dasar pemalas semua karyawanya.
udah judes, ketus, gak sopan",JNT,Jawa Timur
1,Admin kurang tanggap jika ada resi yg salah tidak segera melakukan konfirmasi kepada yg bersangkutan …,JNT,Jawa Timur
1,"Pengeriman sangat mengecewakan
Kiriman dr tgl 3 sudah dilamongan, sampe skrg gag dkirim2
Alasan tertahan,dtunda,pembeli TDK dapat dihubungi, pembeli TDK dtempat. . …",JNT,Jawa Timur
1,"Layak sekali banyak yang menilai bintang 1. Ternyata memang bener sih. Kurir pick up barang posisi pintu terkunci malah digedor2 sampe anak bayi tidur kaget. Dan masalah administrasi juga ribet. Astagaaaa pdhl biasanya suka sama jnt sekarang ribet banget, perkara pick up barang aja sampe berhari2 urusannya",JNT,Jawa Timur
1,Sudah 2 kali kirim paket prosesnya telat terus gimana jnt jl. Pahlawan ini buat toko saya selalu kenak pinalti,JNT,Jawa Timur
1,"Pertama kali kesana kemaren tanggal 5 juli, saya niatnya mau ngembaliin paket, kata kakaknya disuruh taroh aja nanti diproses tapi sampe sekarang saya cek nomor resinya gaada entah ga diproses atau gimana, saya harap ada kontak dari pihak …",JNT,Jawa Timur
1,"Tolong paket saya kenapa d rescedul terus, padahal saya ngak ngerasa dihubungii, kerja yang bener yang jujur.",JNT,Jawa Timur
1,"Saya di kasih no WA dari admin JNT, tapi Nomer nya tidak merespon dan menolak panggila ‼️‼️‼️‼️ Sangat tidak ramah‼️‼️‼️",JNT,Jawa Timur
1,"Prosesnya lama , nyampek j&t jam 10 pagi jam 15.30 belum di proses parah",JNT,Jawa Timur
1,jne ini mengirim barang tapi malh di suruh bayar asurandi dan barang saya sampai sekarang tidak nyampek,JNT,Jawa Timur
1,Paketku ilang nulis resi gak sesuai alamat pacitan ditules paciran paket dorong teko wes ditules barang diterima pake 11 sg teko mok 5,JNT,Jawa Timur
1,"Paketan yg aku kirim sering hilang dsini dan tdk ada tgg jwb sama sekali... Ceritanya dulu pernah ada paketanku yg hilang, pas ADM mbaknya kerudung yg pendek,itu org waktu itu msh ada tgg jwb.. Habis itu ehhh hilang lagi tp ADM mbak² yg …",JNT,Jawa Timur
1,"Untuk pengiriman sangat buruk, cs menyanggupi kirim ke bengkulu tengah dalam waktu 3 hari sampai 4 hari barang belom sampai ke penerima, sampai penerima datang ke lokasi baru di proses",JNT,Jawa Timur
1,Proses pengiriman tertunda karena alasan tak jelas dan kurir sangat lambat untuk mengirimkan paket ke konsumen,JNT,Jawa Timur
1,Paket udah 5 hari dari tanggal estimasi ngak nyampe juga ekpedisi lelet. Kapok pakain jne,JNT,Jawa Timur
2,bk se x 2 x j&t buruk. knp d kirim k tetangga sdgkn rmh ada org. kl pun g ada org kn bs telp ada no hp sy. selalu meresahkan. ber x x ya mslh dg pngiriman kurir j&t yg very BAD. …,JNT,Jawa Timur
1,"Niat hati paket dateng hari2 jauh sebelum lebaran. Malah paket stuck ditransit sampek 3 hari, J&T beda ama dlu gercep, sekarang lelet +males nganter paketnya jd lama bgt. Saranku stop aja kalian yg pake j&t ganti yg lain aja. Nih ekspedisi lelet disegala hal sekarang",JNT,Jawa Timur
1,"Maksudnya apa ini ReSchedule baru kali ini saya ngalamin kek gitu, Jangan pake kurir jnt ges NYUSAHIN, Kalau yang lain mah cepet lah ini",JNT,Jawa Timur
1,"Paket saya udh seminggu lebih gakk di antar"" Juga. Padahal paketny udah di bayar. Kalau cod mah gak ppa gk di antar... Di shopee jg gk ad update an ny. Gmna ya ini",JNT,Jawa Timur
1,"Sudah dua hari paket saya resinya sdh diterima anggota keluarga,padahal kami belum ada menerima..alamat dan foto dibukti pengiriman bukan di alamat/rumah saya..",JNT,Jawa Timur
1,"Baru kali ini nemu jasa se parah ini barang bukannya di kirim mlh di retur.  Paket datang dari tgl 23 tiba di lamongan    sampai skrg gak ada tlpon atau pemberitahuan tiba"" Barang langsung di retur ngotak dikit lah .aku order paket ini udah …",JNT,Jawa Timur
1,"JnT mohon kurir-kurirnya dikondisikan. Setiap antar barang, barangnya selalu dilempar dari depan pagar. Padahal pagar terbuka, tidak ditutup ya malah terbuka lebar.",JNT,Jawa Timur
1,Gajelas. Bknnya dikirim ke penerima malah disuruh ambil dikantor. Mana bayar bukan make sopi yg gratis ongkir gajelasssssss gabut kerjanya bro,JNT,Jawa Timur
1,Kecewa banget soalnya barang ada yang hilang.....,JNT,Jawa Timur
1,"Baru kali ini nemu kurir yang gak ada sopannya sama sekali gedor rumah sampek terus menerus di jam 12 siang. Anak saya baru tidur sampek kebangun, tolong jaga etika bertamu buat kurir lainnya.",JNT,Jawa Timur
1,"Pengiriman jnt sekarang bener2 sangat buruk dan mengecewakan masak paket 3 hari sudah sampai Lamongan gak di kirim2 percobaan pertama sampai ketiga
Ada nomer kurir tapi ya gitu lah nomer kurirnya gak aktif apa gunanya no …",JNT,Jawa Timur
1,"dibantu untuk meningkatkan pelayanannya nggih mas, banyak paket dari kita yang tercancel otomatis, karena tidak ada yang pick up dari pihak j&t",JNT,Jawa Timur
1,Kurir tidak amanah masa udah di kasih tulisan di rumah paket atas nama ini taro di sini karna orang e kerja eh malah di bawah balik ke kantor di cht suruh bawah pulang saja nnti di ambil kerumah kurir nya btw kurirnya tetangganya sendiri …,JNT,Jawa Timur
1,"Lama banget, paket stuck di drop point lamongan 3hari, td pagi update status gagal kirim pelanggan tidak ada di tempat, sedangkan dirumah ada nenek",JNT,Jawa Timur
1,barang rusak parah ga mungkin hanya jatuh. kayanya habis dilempar atau ngga ditindih barang yang berat. ngga ada ganti rugi,JNT,Jawa Timur
1,jangan pakai J&T lagi!. 3 hari paket saya stuck nggak bergerak sama sekali,JNT,Jawa Timur
1,"Kami senin, 30 maret 2020 jam 16.00 wib kirim 9 paket shopee ke j&t sampai jam 23.11 kok blm ada konfirmasi, bgmn ini?",JNT,Jawa Timur
1,"Kerjanya ngapain aja bang?! Barang udah 3 hari gak gerak disitu gak ada kejelasan. Kalau gak amanah gak usah sok bikin jasa kirim. Sotoy!!!
Paket estimasi sampai tgl 25 okt sampai 28 okt blm sampai. Di hub Lamongan aja terus. Cukkk",JNT,Jawa Timur
5,Luar biasa ekspedisi ter top. Bisa bayar shopeepay.. Dapat cashback pula 🤑🤑 …,JNT,Jawa Timur
1,"sejauh ini, disini pelayanan admin nya paling buruk dibandingkan yang lain, mau ambil barang di drop point, dibilang suruh pulang ditunggu di rumah saja, karyawan kayak gitu kok masih di pekerjakan.",JNT,Jawa Timur
1,"Payah, 2 kali pengiriman nyasar kemana""...
Paket udah status di lamongan malah di kirim ke mantup, padahal tujuan ke karanggeneng.. malah sekarang di kirim ke jakarta lagi... …",JNT,Jawa Timur
1,Paket sdh dr tgl 21  pagi uda di lamongan tp sampai skrg tgl 23 paket gak bergerak...burukkk ini jnt drop points jnt lamongan......,JNT,Jawa Timur
1,"Paket bjn-lmg 6 hari gak bergerak
Emang kalo kantor udah gede pelayanan nya makin buruk …",JNT,Jawa Timur
2,"pernah retur barang, adminnya 2 uda jutek ngomongnya alot banget lagi haha
""mbak mau retur barang"" tapi balik melotot doang gaada yg ngomong apa2 sampe pada akhirnya cuma ngomong ""ditaruh sini aja, resinya uda ditulis ya""
sedih sih",JNT,Jawa Timur
1,"Kurir nggak amanah,,paket Free Ongkir kok masih di tagih biaya ongkir,,masih untung yg terima adik gue, kalau gue yg nerima lu bakalan gue viralin👎🏾 …",JNT,Jawa Timur
1,"Kirim paket celana dari JEMBER KE TUBAN, melalui J&T lamongan. Saya jual celana akan tetapi pembeli menerima skincare. seharusnya resi tertera kode JBR-TBN tapi di cetakan jadi LMG-TBN seperti di tukar paket dan dicetak kembali celana diambil",JNT,Jawa Timur
1,Ambil paket retur di persulit sampai 1 bulan di oper2 ke banyak orang .....Paket returan saya ambil di kantor kata adminya gak tau di mana...saya usut sampai 1 bulan lebih Baru di berikan ...pecat aja tuh admin songongnya,JNT,Jawa Timur
5,"Sip sih,tapi ada sedikit pengalaman kurang menyenangkan dengan kurirnya.
Pas ada pengiriman cod, saya tidak di rumah dan lupa menutipkan uang sama orang rumah. …",JNT,Jawa Timur
1,"paket stuck disitu trus belom nyampe2 pdahal keterngannya di lmongan udah 4hari lebih stuck di situ trus belom di anter2, parahhh",JNT,Jawa Timur
1,Kurir gak tanggung jwb paket ditunggu drmh berhari2 ga ada konfirmasi ga ada chat ga ada telp.. tiba2 paket diretur aja ketahuannya saat lacak paket mba admin nya jg kurang sopan .. 3 paket mbak mas gmn tanggung jwb nya tiba2 paket diretur …,JNT,Jawa Timur
1,Apa memang betul jnt tidak bisa mengirim paket yang berisikan hp? Karena saya ditolak lantaran isi paket yang akan saya kirim berisi hp,JNT,Jawa Timur
1,"Kurir nya kek tai gak ada apa"" kok tiba"" tertunda di reschedul trs cok iya kalo paket isinya barang nggak apa"" serah lu, ini paket isi binatang lu lama""in sampe mati anjeng emang cok",JNT,Jawa Timur
1,Parah ini j&t status uda di lamongan masa balik lagi ke surabaya dana parah nya besok nya ke malang.mla muter2 gak karuan,JNT,Jawa Timur
1,"Pelayaannya gak ramah sama sekali, entah itu kurir atau cs nya, pada songong",JNT,Jawa Timur
1,Pelayanannya sangat buruk . Tiba tiba kurir tanya via WA paketan sudah di terima atau belum . Kenyataannya paket belum dikirim sama sekali . Dan dikonfirmasi lagi paket masih di gudang dan nomer resi hilang sudah nunggu 24 jam lebih paket …,JNT,Jawa Timur
1,"D telp g dangkat"" Beberapa hari paketan ad d lamongan g diantar"" Ke tempat tujuan, pelayanan buruk",JNT,Jawa Timur
1,Padahal paket sudah sampai disini tapi katanya belum sampai. Pas puter balik pulang baru status resinya berubah dan tiba tiba paketnya sudah dibawa kurir otw ke alamatnya. Kita sebagai custumer yg sudah sering pakai jasa JNT pasti sudah …,JNT,Jawa Timur
1,"halo mb admin j&t kalo jadi admin jgn sinis² ya (dua²nya masyaAllah hmm sabar), kalo sekiranya udh tutup mbok ya rolling doornya tuh ditutup separo biar org tau. di google noh baca buka sd jam 17.00 tapi masih jam 16.45 kok mau kirim paket …",JNT,Jawa Timur
