Rating,Reviews,Company,Province
1,Terakhir kali deh langganan sama jnt  siantan paket 2 hari gak di antar2 kalau gak becus kerja jangan kerja. Karyawan seenaknya aja gak mau antar barang,JNT,Kalimantan Barat
1,"J&T pelayanan sangat sangat buruk,  hati hati buat yang mesen pake pengiriman ini pelayanan nya jelek,  brg udh sampe di kota di anggurin, tadak dikirim kirim.  Bagus pake pelayanan JNE pengalaman udh sangat sangat lama dan gaj …",JNT,Kalimantan Barat
1,barang sering hilang tidak tepat sasaran...alasan hilang padahal barang sudah jelas2 UD di gudang,JNT,Kalimantan Barat
1,"Sangat kecewa.Alamat sdh jelas malah dibalikin.Cuma gara2 salah no WA.Harusnya datangi ke alamat yg tertulis.
Sy coba kirim ulang nih.Kalau g nyampe jg sy kapok pake jnt.",JNT,Kalimantan Barat
1,"tempat penipuan, gatau sang penjual kerja sama dengan org jnt buat nipu customer yg belanja online, gatau emg ini franchise jnt yg kualitas nya jelek banget, yg jelas udh nipu saya dan sudah saya laporkan ke polres setempat🙏🏻 …",JNT,Kalimantan Barat
1,"Beri lah alasan yang masuk akal,,,
1.paket yang beralamat di Pontianak Utara,kenapa harus pindah ke kubu raya,kalau emang pindah,kenapa kantor jnt yg di kubu raya alamat nya tidak ada. …",JNT,Kalimantan Barat
3,"Saya kasih bintang 3 aja dulu, untuk antar paket lumayan cepat soalnya alamat saya ndak jauh dari gudangnya juga, cuman ya admin yg khusus ambil barang itu kadang selalu masam mukanya, bolak balek ambek barang sampai kadang lupa nama.
Pokok eh bagian pelayanan ditingkatkan lagi ya.",JNT,Kalimantan Barat
1,"Dari tgl 11 ditungguin paket , sampe nda pergi kemana2 .
Biar ada org dirumah, tadi pas cek lagi dikasi keterangan pengantaran gagal karne nda ada pelanggan, seamu hati ja ngasi keterangan gitu. …",JNT,Kalimantan Barat
2,"Barang sudah sampai di gudang selama 5 hari.. tapi gx ad pengantaran atau pun , informasi, saya konfirmasi ke kurir, tidak ad jawaban,,.. ngantri ke kantor selama 2 jam.. tapi barang malah gx ad dengan alasan barang ketumpuk belom di bongkar... Tolong lah perbaiki lagi sistem kurir nya..",JNT,Kalimantan Barat
1,Paket tgl 6 sudah di drop point coba hubungi customer service katanya tgl 9 baru tiba di cabang siantan tapi sampe hari ini tgl 12 belum juga diantar ke rumah customer. Paket saya yg lain j&t juga dgn kondisi tgl 5 sudah di drop point tgl 7 …,JNT,Kalimantan Barat
1,"Paket saya sudah 4 hari gak di antar antar, dari pontianak kubu raya pontianak kuburaya, mohon informasikan jikalau ada masalah karena nomor hp sudah tertara jelas, giliran kita mau ambil sendiri admin nya juga banyak tingkah dan malas",JNT,Kalimantan Barat
1,"Pelayanan slow respon, tidak bisa memberi solusi terkait terkendalanya pengantaran barang.
Barang sy sudah 10 hr tertahan tetapi belum jg diurus, mau diambil ke gudang gak …",JNT,Kalimantan Barat
1,"Paket ku gak sampe².. udah 6 hari di gudanggggg... Udah 2 kali nyusul ke kantor.. pertama bilang nya besokkk aja kak sbelum jm 5 sore.. ok..
Trus dateng lagi malah bilanggg ga adaaa... Kalo ga ada bilang ga ada.. males cari di gudang bilanggg.. kalo males carii, suruhhh kurirrr nya anterrrrrrrr krumahhhh..",JNT,Kalimantan Barat
1,"Paketan udah seminggu gak di antar2, datang ke gudang buat di ambil sendiri, katanya gak bisa di ambil dengan alasan kurir resign. Aneh
Padahal data udh jelas, penerima siapa …",JNT,Kalimantan Barat
1,"Sangat kecewa paket sudah sampai..udah seminggu , , tapi gak di antar2..pergi k j&t nya langsung pagi. Mala disuru siang balik lg..dan pelayanan di tanya mala cuek..",JNT,Kalimantan Barat
1,"info duel dgan karyawan jntsiantan plis
barang belom jalan uda retur",JNT,Kalimantan Barat
1,"Paket sudah seminggu lebih sampai di J&T siantan tapi ngak diantar ke rumah.
Inisiatif pergi sendiri ngambil langsung ke J&T siantan, udah ngantri lama eh barangnya ngak bisa diambil dengan alasan belum disortir.",JNT,Kalimantan Barat
1,"Kenapa ya saya udah 2 kali datang alasannya selalu disuruh tunggu padahal ini niatnya mau ambil ditempat sesuai SOP bisa lo ambil sendiri kalo mau cepat, udah terbukti loh pelayanan kalian itu jelek dari ratings yang akhir-akhir ini. Terlalu kalian tutup jak J&T Siantan ni ndak becus kerja masuk blacklist kau sama banyak orang",JNT,Kalimantan Barat
1,"Sekarang sudah pindah ke dekat SPBU sana ga jauh dari mixue.dari arah Siantan mixue sebelah kiri JNT sebelah kanan.tenang...masih tetap saja jelek!!!!paket udh sampai berhari-hari ga diantarkan, ambil kesana juga ga di kasih dengan alasan …",JNT,Kalimantan Barat
1,"Pelayanannya sangat buruk saling lempar tanggung jawab
Udah beberapa hari paket nyampek kota dan tidak diantwr dianggurin aja
Kalo dak mau anter ya bilang aja jangan saling lempar tanggung jawab
Hati hati buat yg pakai pengiriman J&T",JNT,Kalimantan Barat
1,"sistem ga jelas
pelayanan buruk
pengiriman lama tidak sesuai estimasi yang diberitakan …",JNT,Kalimantan Barat
1,Parahh jnt siantan.lagian kenapa brg sy bisa di drop kesana.berhari2 gk dikirim tp keterangan sudah reschedule ama costumer.padahal di parit mayor biasa didrop ke yg panglima aim.,JNT,Kalimantan Barat
1,Barang saya udah 2 minggu lebih belum ada di kirim2 sama sekali. Kurir nya kemana? Pemalas semua. Kecewa sekali sama jnt sini.,JNT,Kalimantan Barat
1,"Tolong antar barang saya atas nama Ratna udah 8 hari gak sampai sampai, masak gak ada pergerakan, kalau ngantar paket ke rumah orang terkadang ada yang gedor², sedangkan pengantaran barang sangat lama",JNT,Kalimantan Barat
1,"Pelayanan jelek, pemalas semua. Barang  ga dikirim” udah seminggu di siantan. Udah inisiatif pergi sendiri untuk ambil, dibilang nya ribet mau bongkar karung. Dan sampe sekarang barang belum di antar. KALO MALAS GAK USAH KERJA! TUTUP AJA SEKALIAN",JNT,Kalimantan Barat
1,"Paket dari 3 minggu yang lalu belum di antar juga,,diambil ke gudangnya langsung bilang kurirnya ga ada,,harus konfirm dulu ke kurir,,lah gimana coba kurirnya ga ada",JNT,Kalimantan Barat
1,"Jnt skrang makin parah ya jelas""udh dikasi tau mau retur barang udah ada no resinya malah dibuat no resi baru 🙃
EMG parah banget sihh …",JNT,Kalimantan Barat
1,"JNT PALING BURUK, PAKET SAMPAI DI GUDANG TIDAK DI ANTAR ANTAR , sudah kesana jemput paket 2 juga masih tidak dapat paket saya , alasan tidak bisa bongkar dan alasan kedua katanya sudah di bawa kulir tapi paket sampai hari ini belum di …",JNT,Kalimantan Barat
1,Bikin kesal j&t siantan ni paket udah 2 minggu mendarat tp tak diantar² kite dtg mo ambil sendiri dikasi alasan harus persetujuan kurir sdgkan kurirnye tak ade,JNT,Kalimantan Barat
1,Tlong y kurir yg atas nama robiansyah kerja di jnt Siantan di pecat aja.pelayanan ny bener2 GK ad sopan santun ny sama skli SM orang.omongan kasar GK jujur.tolong pihak jnt di pecat aja kurir sprti itu.bru skrng ad Kuring yg seperti …,JNT,Kalimantan Barat
1,Kenapa y jnt Siantan makin lama makin buruk pelayanannya. Kita belanja online biar dipermudah ini malah dipersulit. Dongkol juga jadinya kesel udah nunggu lama2 tu paket tau2 dikembalikan hahaha blgnya penerima tdk ditempat. Kampretla,JNT,Kalimantan Barat
1,"Makin jelek ini jnt express
Barang sudah sampai di kota berhari2, masih gak mau di antar2. Di biarkan di gudang sampai berhari2, makan gaji buta",JNT,Kalimantan Barat
1,"Paket dari kemarin tgl 17 jan 2020 bukan nya langsung di antar, padahal datang ke drop point siantan jam13:55, lalu yang katanya akan di kirim ke alamat rumah jam17:47, lalu dpt kabar jam22:43 paket gagal dikirim dan kembali ke drop point …",JNT,Kalimantan Barat
1,"Tolonglah cepat di hantar barang atas nama Sonia Ginia, kami mau pulkam besok, kalau kami pulkam GK ada nerimanya kalu ada apa"" sama barang kami emang kalian mau ganti rugi? …",JNT,Kalimantan Barat
2,Pengiriman nya bagus tapi sayang nya kurir nya lelet padahal rumah saya dengan gudang semoga kedepan nya di tingkat kan lagi,JNT,Kalimantan Barat
1,"Barang nya mulai diambil kurir jam 9 dan waktu 1 hari pun ga diantarnya lalu re schedule tanpa pemberitahuan juga dan kurir nya bodo amat sama pesan yang masuk dan tidak mengangkat telpon
Gimana si kerjanya?",JNT,Kalimantan Barat
1,"BAGUS J&T DI SIANTAN TUTUP JAK TAK GUNA,BARANG UDAH SAMPAI SIANTAN DARI TGL 10 APRIL GAK DIANTAR SAMPAI SEKARANG TGL 13 APRIL MALAM GAK ADA JUGA..GAK TAU BESOK DIANTAR APA NGGAK..RUMAH SAYA JARAK SEKITAR 15-20 MENIT AJA KE SIANTAN..LIAT …",JNT,Kalimantan Barat
1,Bagus ga usah buka klo sistemnya masih berantakan...udh 2 minggu brg di kantor ga diantar mulu alasannya udh diambil kurir lahh....barang ga ketemu lahh😡 …,JNT,Kalimantan Barat
1,"Seperti nya sya bukan org pertama yg komplain barang di tracking info nya sudah di terima, padahal barang nya belum nyampai. 👎👎👎👎
Ini terakhir kali nya sya pakai JNT , mendingan pakai JNE aja, mahal tapi pasti. …",JNT,Kalimantan Barat
1,barang di biarkan di gudang sekali di ambil blg ga bisa orang gudang ga ada jadi tugas admin apa? jauh2 berujan ngambil gak bisa pelayanan buruk.,JNT,Kalimantan Barat
1,"Sampai 2 hari barang gak di kirim, ketika mw di ambil overload lah ketika datang lagi suruh nunggu lah, tutup lah bosan dah alasannya gitu tak bisa cepat. Kecewa kurir banyak tapi sistem dan pelayanan tak can. Klo bisa laporkan biar tutup sekali JNT ni.",JNT,Kalimantan Barat
1,"Ketika cek resi tertulis barang sudah diterima, padahal barang belum saya terima dan waktu penerimaan pada pukul 22:53 WIB juga sedikit tidak masuk akal.
Tolong untuk J&T Siantan para kurirnya dievaluasi kembali, jangan sampai kinerja kurir yang buruk merusak reputasi kalian sebagai expedisi.",JNT,Kalimantan Barat
1,"Lama di Diam kan di kantor JNT , padahal barang udh sampe kdg sampe 2 hari di biarin di kantor ,klo mau cpt mesti ambil sendiri . Sangat2 buruk pelayanan, kalah jauh sama JNE yg tiap pagi pasti langsung di antar krmh . lebih suka JNE 👍🏻 …",JNT,Kalimantan Barat
1,"Gak ada bagus nya dari kemarin brang belum nympai² smpai beberpa telat nye.
Barng udah nympai di gudang mau di ambil eh admin nya bilng gak ada. Trus di suruh nunggu satu hari lagi gak recomen sekli pelayanan nya buriq",JNT,Kalimantan Barat
1,Kurir J&T siantan bintang 1 alasan libur mulu,JNT,Kalimantan Barat
1,"Sumpahh pelayanan j&t express Siantan jelekkk bangeettttt,kurirnyaaa pemalasss barang udah datang berhari harii belum diantar juga,ujung ujungnya di shopeee di reschedule tanpa pemberitahuan padahal sudah tertera no wa tapi tidak …",JNT,Kalimantan Barat
1,"udah 4 hari tapi barang belom sya terima, parahnya statusnya telah di trima oleh sya sendiri padahl jelas2 sya tidak pernah nerima brgnya, nomor kantor juga ssah di hbgi jadi bkin customer bgung mau tya kejelasan paketnya kemana. kalo ada …",JNT,Kalimantan Barat
1,"kurir nya kurang bagus, masa' paket saya mau di titipkan sama pak RT, padahal saya udah kasi tau alamat saya lewat wa.. saya tanya udah di titip belom malah ndk di balas.. mohon di tingkatkan lagi pelayanan nya ya.. kalo gini terus saya ndak bakal pake J&T lagi",JNT,Kalimantan Barat
1,"Makin parah ni jnt siantan, barang makanan ud smpe masi gk mau di antar berhari hari. Makanan nya keburu basi,asli malassss.. klo gk niat kerja jgn kerja. Org lain masi btuh pekerjaan",JNT,Kalimantan Barat
1,"Tolong dong, paket belum saya terima sama sekali namun pas cek resi tertulis sudah diterima sama saya .. Ini sudah lebih 1 minggu paket gak dianter anter .. Barang didalam paket butuh cepet ..",JNT,Kalimantan Barat
1,"paket dari tanggal 5 smpai tnggal 13 ngga dateng"" di tulisan drop point terus tapi ngga ada pergerakan jasa pengiriman anehh",JNT,Kalimantan Barat
1,"Tolong kasi pelatihan ke kurirnya,,,kenapa barang belum diantar tiba2 diresi barang sudah diterima???
Dipaket itu udah jelas ada alamat dan no hp,apa susahnya hub konsumen. Jangan barang datang tapi ditahan-tahan. Makin gx bermutu bgt pelayanannya.",JNT,Kalimantan Barat
1,"Pengiriman nya jelek,
Barang saya 3 kali di cancel alasan nya karna besar,
Padahal kemaren2 aman aja",JNT,Kalimantan Barat
1,"Sangat Tidak puas sma kurir j&t cab siantan sering klo antar paket drmh ga ada org, paketan di taroh aja disamping rmh klo pketanya kecil dilempar ke kamar yg jendelanya kebuka ga sopan sma sekali bukan hanya sekali begitu tp berkali2 parah banget,beda sma JNE klo ga ada org pasti hubungin no hp penerima",JNT,Kalimantan Barat
1,"Bintang 0
Saya pesan ditokopedia statusnya barang sudah diterima padahal barangnya sama sekali belum saya terima,parahnya diterima dengan nama saya sendiri padahal di …",JNT,Kalimantan Barat
1,"Sekitar bulan Juli 2018 sy pernah belanja online, 2 hari barang sy melekat di J&T Siamtan ini, tp msh bs sy terim krn di tracking aplikasi olshopnya emang msh di Siantan, kali ini sy bnr2 dongkol, krn gak pernah merasa nerima tp di tracking aplikasi olshopnya sy udah nerima. Kalo gak niat kerja jgn bikin org dongkol Boss, rawan.",JNT,Kalimantan Barat
1,"Paket saye pusing nanti,udah di Siantan npe lari ke desa kapur,hbis itu lari ke tanjung hulu.padhal ud dket di tanjung hilir...malah skrg mw dkirim ke Siantan lagi....gmn siiiih krywannya",JNT,Kalimantan Barat
1,"Kecewa banget sm pelayanan j&t..makin lelet..sy cek resi,,statusnya udah dibawa kurir tp gak diantar"" juga udah 2hari itu paket😤 …",JNT,Kalimantan Barat
1,"Dari kurir Ampe , Leader sampe SPV ny kalo d tanya paket pasti no respon.. Paket dari Pontianak ke Pontianak aj bisa 3 sampe 4 hari baru sampe k rmh.. di luar Nurul . Gak habis Fikri. Agak Herman sihh",JNT,Kalimantan Barat
1,Sakit jiwa kurir jnt mainnn retur brg org...sya blm menerima apapun..seenaknya ajaa amain retur brg,JNT,Kalimantan Barat
1,"Kenapa si jnt selalu kayak gini???
Status udah di trima atas nama saya sendiri pula.padahal saya gak ad trima paket apapun. …",JNT,Kalimantan Barat
1,Barang saya belum di antar ni.  Tapi status udh di terima.... Uy usah gtu lah.  Nanti saya malas pake jasa situ lagi... Kurir kok gak benar.  Udh langganan juga ... Huuu.. hari ini saya kecewa banget..,JNT,Kalimantan Barat
1,"Hmmmm masa kurir ngantarkan paket nda ad permisi2nye. Main letak di kursi teras padahal dirumah sy ad org dan pagar ditutup. Eh ditulis pula penerimanye name yg tertera dipaket itu, padahal itu paket kawan sy nitip kirim ke rumah sy dan posisi die lg nda dirumah sy. Geram pula sayeeeeeee dengan kurir j&t ni",JNT,Kalimantan Barat
1,Tolong untuk paket saya segera di krim sudah 5 hari di gudang untuk apa wee??.. Status nya malah diterima tp gak di kirim².. Kapoookk pake j&t klo gini,JNT,Kalimantan Barat
2,"Udah berapa kali pesan barang pakai Shopee kirim pake J&T, laporan barang udah sampai dan sudah di terima oleh saya sendiri pula tapi barangnya tak ada, dah berhari2 baru diantar, jangan manipulasi laporan gt lah.",JNT,Kalimantan Barat
1,"Karyawan nya pada  Makan gaji buta, paket udah sampe tapi gak di kirim2 kalo kayak gini bisa pada kabur cost olshop yg pake jasa kalian.
Mau sampai kpn tu brng di simpan di gudang, tungguin jamuran baru di anter 😡 …",JNT,Kalimantan Barat
1,Knp jnt skrg kyk gni ya.. area batulayang aja d msukan k mmpawah pdhl masuk siantan.. hbs tu dr pinyuh d kirim lagi k siantan asli kecewa dg jnt dag kyk dlu,JNT,Kalimantan Barat
1,"Ambil returan ajah di lempar kekurir ,udah chat kurir ,itu dilempar lagi ke admin,jadi sapa yang bisa tanggung jawab",JNT,Kalimantan Barat
1,Cepat lah antar para pengguna pengen menggunakan barang lebaran ni malah di persulit banyak alasan kasian yang nunggu lama amanah lah sikit.,JNT,Kalimantan Barat
1,"Paket saya belum saya terima tapi tulisannya salah kirim, terus kurir juga tidak menghubungi sy terlebih dahulu. Dn skg paket saya malah ke pnk gate awy.  Saya sngt kecewa sekali dngn layanan jnt siantan.  Malas sekali kurir nya. Bnr2 tidak …",JNT,Kalimantan Barat
1,"Tolong y brg saya diantar, distatus pengiriman brg sudah dikirim ke alamat penerima..
Tp sampai skrg sy blm menerima brg sy
Tolong lebih diperhatikan lagi ya",JNT,Kalimantan Barat
1,"Barang saya nyasar ke SINGKAWANG trus saya cek di shopee dan di google bahwa barang sudah sampai di J&T SIANTAN status nya pagi tadi nyampe tapi di cek sorenya bilang barang masih di SINGKAWAN sudah 2hari bilangnya gitu, sbnarnya malas …",JNT,Kalimantan Barat
1,"tolong tanggung jawabnya paketan gk nyampai² minta resi jg ndak di kasih²,,admin di WA susah saling lempar tanggung jwb",JNT,Kalimantan Barat
1,Barang saya udah 3 hari nggak di kirim ke rumah padahal udah sampai di kantornya tolong di antarkan secepatnya,JNT,Kalimantan Barat
1,Makin lama j&t Makin buruk masa paket saya udh 4 hari masih belom dikirim tetep di kota si penjual parah bnget dah,JNT,Kalimantan Barat
1,"Pelayanan BURUK adalah JNT SIANTAN, padahal ngirim paket deket banget masih satu kota tapi 4 hari belum sampai",JNT,Kalimantan Barat
1,"Parah ni j&t,di tracking barang uda di siantan dri hari senin,smpai hari rabu blm diantar antar ke tanray 2,cek tracking lewat shopee status ny tidak ada orang dirumah padahal drmh ad org trus,apa guna ny no hp dicantumkan kalau tidak ditelpon pas gak ad org drmh",JNT,Kalimantan Barat
1,"Ya allah,, barang saya dari tgl 21 sampai sekarng belm muncul2 lagi, ini gmna sih, status nya sedang dikirim mulu, jangan di pendam gtu dong, klau udh ada itu segera di kirim, ini mendam sampai 4 hari. Saya tunggu hari ini dan besok, kalau …",JNT,Kalimantan Barat
1,"Dokumen yang dikirim dengan  J&T Singkawang tanggal 22 Agustus 2018 hingga tgl 26 Agustus 2018 belum saya terima, namun secara system sudah terdelivery dan bahkan diterima atas nama saya sendiri pada tanggal 24 Agustus 2018. Saat saya datangi lokasi terakhir berdasarkan tracking, dokumen tidak tahu kemana.",JNT,Kalimantan Barat
1,"Barang saya atas nama ALIVA mana.?!!
Status di aplikasi j&t sudah diterima tapi barangnya gak ada.!! …",JNT,Kalimantan Barat
1,Kurir lama ... Kurang gercep...sehrnya tgl 10 barng udh ada 3 hr yg lalu tlp mau di antr smp skrng blm di antr jg di tlp bilang sm ank baru pd hal jark kantor sm tujuan g smp 20 menit bah,JNT,Kalimantan Barat
1,Paketan saya tiga2 nya gak nyampek ke rumah udh mau 2 Minggu yg satunya dikirim lagi ke alamat penjual haduh,JNT,Kalimantan Barat
1,Cuman minta keterangan kurir barang posisi dimana aja susahnya. Klo gak mau antar biar saya ambil sendiri gpp,JNT,Kalimantan Barat
1,"Kecewa ak dengn j&t in.
Paket ak tak di antar"" udh barape hari di gudang",JNT,Kalimantan Barat
1,paket ndk di antar antar di biarkan behari harii. orang lagi perlu tu barang jadi ndk bisa di pakai,JNT,Kalimantan Barat
1,Halo kak. Ini paket saya kok belum bergerak ya dari tanggal 18 hingga sekarang. Padahal sudah didaerah saya. sampe kesal ya saya tunggunya. Dikira pemilik paket gak membutuhkan tu paket apa?,JNT,Kalimantan Barat
1,"dari pada nyusahin org ng mau antar barang lebih baik tidok dirumh jak bung,,,,,pelayanan kyk tai",JNT,Kalimantan Barat
1,Paket pengiriman kn kadang almt udh lngkap..ad no hp ny lg..knpa kdg bisa salah krm..knpa gk tw almt org y gx tlpn aj..ini pnya saya paket gk smpy udh 3 hri padahal jrk tmph ptk ambawang gk tr lalu jauh..,JNT,Kalimantan Barat
1,Bener2 parah J&T cab Siantan ini.. Saya kirim brang shopee status pengiriman uda di terima.. Tp kenyataannya paket blum saya terima.. Alamat jelas2 sudah lengkap. . Itu paket di curi x sama kurir nya.. 😡😡😡 …,JNT,Kalimantan Barat
1,Jnt pontianak utara paraaahhhh!  Tgl 1 brg tu dah smpai di drop point ini dh tgl6 belom jg dikirim.. Mau diapekan barang kite tu...  Kite beli online artix biar cepat dan simple tp kok jd ribet!!!,JNT,Kalimantan Barat
1,"paling males pake exp ini..barang ga dianter""..kurirnya jg uda siang masi santai dikantor..karyawannya malas bangett..telp hp jg gonta ganti..",JNT,Kalimantan Barat
1,"Hasil tracking paket saya di J&T sudah saya terima, tetapi saya tidak pernah menerima paket tsb.. Apakah ini cara mencari keuntungan dari J&T agar paket pelanggan dapat dilelang karena tidak dikirim ke penerima..?",JNT,Kalimantan Barat
1,Barang udah 16 hari ga di antar2..  bnr2 parah sih ekspedisi cabang ini !!!!,JNT,Kalimantan Barat
1,Terllu lama nympeknyaa brang dah disiantan mau 3 hari tp gk dikirim ketmpe customer sumpah kecewa. Kurirnya pemalas.,JNT,Kalimantan Barat
1,"Sangat mengecewakan barang belom sampe tp tulisannya barang udah diterima, Yang bener dong kalo kerja jangan makan gaji but a, kita udah bayar ongkir tapi barang gak dikirim.",JNT,Kalimantan Barat
1,Parah ekspedisi yg satu ini..paket blm diterima udah diupdate terima..awas aja kalau sampai salah kirim..alamat yg ku kasi udah jelas,JNT,Kalimantan Barat
1,"Knp pesanan sya udh 5 hri belum dtang juga krumh, JNE jk 2 hri stengah udah ympai di rumah ini ko J&t smpai lama gni ympai brang y, sya kcewa sma J&t cukup skli sya mesan barang lewat J&t bgusan lewat JNE cepat, cri kryawan t jngn bnyak …",JNT,Kalimantan Barat
1,Brg blm diterima tp status J&T sudah diterima. Parah ni ekspedisi.. Udh brp kali sprti itu.. Pengirimannya lambat..,JNT,Kalimantan Barat
1,"Kok pesanan sya diantr muter2 muluh...
Barang gk sampai2, pengantar lelet
Dri pada muter2 tu barang antarkn kan bisa di telpon nomor yg tertera di pesanan",JNT,Kalimantan Barat
1,Tolong paket saya di kirim. Yg atas nama tony.  Jungkat. Shopee.  Udh 1 minggu blom dampai juga gmna siii  saya bayar ongkir pakai duit bukan pakai daun.,JNT,Kalimantan Barat
1,"sya dan istri sya sudah berlagganan bertahun"" dsni, tpi makin lama kurirnya smkin kurang ajarr, kurir j&t ini stu persatu mengambil nomor wa istri sya yg sudah prnah antr brag k, rmh sya, kmi sgat serig skli memakai j&t ini, dan kurirnya …",JNT,Kalimantan Barat
1,Jnt  mantap  tepet cepat jujur yakin lanjut kinerja mu kurir is the best sya yakin perusahaan yang maju pesat sya pelanggan terbaik mu,JNT,Kalimantan Barat
1,"Kurirny mungkin kerje makan gaji butak semue, barang udah smpai tp tak diantar2. Dibekap trs dalam gudang. Ditlpn gak diangkat.",JNT,Kalimantan Barat
1,"J&T tidak sebagus dulu ..
Paket sudah sampai dari semalam tapi tidak di antar2 ,kayaknya sengaja di lama2 kan ..
Kecewa Sekali ..",JNT,Kalimantan Barat
1,2 kali dapat paketan 2 kali juga paketan gk nyampe ke tangan pake expedisi ini padahal di resi track barang udh di terima gimana sih,JNT,Kalimantan Barat
2,parahh di aplikasi j&t barang sudah sampai dan diterima oleh saya ttapi barang belum ada saya terima dari sejak sore update itu sampai malam jam 8 ini skrg belum ada kacauu...,JNT,Kalimantan Barat
