Rating,Reviews,Company,Province
1,"Paket dikirim dari semarang sejak tanggal 27 desember 2024.
Udah 5 hari paket stuck di banjarbaru dari tanggal 2 januari 2025 s/d hari ini tanggal 7 januari 2025 tidak juga diantar ke alamat penerima 👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻 …",JNT,Kalimantan Selatan
1,"Hari jumat tgl 22 November 2024 sekitar pkl 13.00 hari ini saya mau return barang ke toko orange, kata mba nya harus ada bukti chat saya sama sellernya dulu , dan karna saya gak punya chat sama sellernya tanpa di beri arahan dan penjelasan …",JNT,Kalimantan Selatan
1,"buat mba"" admin jangan judes"" dong, tau kok klo mba nya lagi cape, dan semua orang pun cape, tapi bukannya kerja di bidang seperti itu harus ramah ya sama semua orang walaupun secape apa kita?? toh jg masih pagi udh prengat prengutt, lebih …",JNT,Kalimantan Selatan
1,Kurir yang sering anter paket ke wilayah rumah saya SAMA SEKALI GA RAMAH!! JUTEK!! NGOMONGNYA NGEGAS!! Padahal saya sudah nanya dengan nada paling baik untik memastikan nama yang tertera di paket siapa. Muka udah jelek ditambah ga pernah …,JNT,Kalimantan Selatan
1,"Pertama : tidak ada evaluasi program kinerja, tidak ada kemajuan dari segi pelayanan dan komunikasi.
Kedua : tidak ada inisiatif dari pegawai nya sehingga memakan waktu terlalu lama …",JNT,Kalimantan Selatan
1,"paket sering banget salah sortir udah sampe bjb dikirim ke bjm terus ke mtp, ini lagi paket udh sampe bjb dikirim ke tanah bumbu, org lg perlu cepat jd ketunda2 gini + mba admin j&t nya kurg ramah prengat prengut yg hari nya berat gak cuman kalian mba orang lain jg kok😭🫵🏻 …",JNT,Kalimantan Selatan
1,"Buka pagi tp mengambil barang ny ngga bisa pagi, jam 10 baru bisa alasan ny ngga bisa mencarikan lagi di sortir ,barang siapa yg mempermudah urusan orang lain urusan ny akan di permudah dan apabila mempersulit urusan orang lain maka hidup nya akan di persulit",JNT,Kalimantan Selatan
1,Hallo jnt Banjarbaru gimana ini keadaan paket saya dri tnggl 12 gk kalian kirim² sedangkan sekarang sudah tnggl 16 lohhh! itu paket penting buat saya tolong dong tanggung jawabnya dikirim sekarang jga,JNT,Kalimantan Selatan
1,"tolong bgt ya biasakan untuk nganter paket itu di chat dlu penerimanya, sering bgt ngalamin paket udh sampai di taro di teras rumah, itu nanti kalau paketnya hilang terus siapa yang mau tanggung jawab? …",JNT,Kalimantan Selatan
1,"Paket sdh sampai transit hub bjb dikirim lagi, besok nya sampai hub dikirim lagi. tolong lebih teliti lagi, sdh berapa kali salah sortir",JNT,Kalimantan Selatan
1,"Jam 10:49 tgl 24 nov 24, Pertama kali ketempat ini, tidak ramah, kurang baik, si cewe yg berjilbab itu, ditempat lain sangat baik, sll diterima, ini dtolak, aneh juga ya, ditempat lain dterima, dsini malah dtolak",JNT,Kalimantan Selatan
1,Paket saja gk sampai” di apk nya stuk d jnt bnjarbaru trnsit center dari tngl 30 kecwa bnget sii pket saya udh sya tf tingal byar ongkir aj,JNT,Kalimantan Selatan
1,"mba nya agak jutek, dan tidak ramah. padahal saya udah jauh dr tempat kerja mau ngambil paket. di jawabnya ga santun, dan tidak mngatakan maaf. kalau untuk ngambil paket harus di atas jam 10",JNT,Kalimantan Selatan
