Rating,Reviews,Company,Province
1,"Alamat penerima di Bagendang, tp Tidak ada pengiriman ke Bagendang.. malah dpt WA di suruh ngambil ke gudang jalan Tjilik riwut. Jarak nya hampir 30 KM dri Bagendang- Sampit..
Apa² an coba jnt niii😏 …",JNT,Kalimantan Tengah
1,"Paket tiba di Gudang Penyortiran Sampit 3 Oktober 24, sampai habis masa estimasi (11 Okotober) tidak juga diantar ke alamat tujuan, 18 Oktober paket dinyatakan hilang. 2 minggu menunggu pencairan ganti rugi, ketentuan J&T sangat mengecewakan; paket senilai 1,5 jt cuma diganti dg Rp. 307.500 👎👎👎 …",JNT,Kalimantan Tengah
1,"J&T PALING BURUK SE INDONESIA
KETERANGAN SDH DI ANTAR KURIR TAPI GAGAL TERUS SELAMA 3 HARI
UJUNG""NYA PAKET DI KEMBALIKAN KE PENJUAL …",JNT,Kalimantan Tengah
1,"Hallo kalian niat kerja gak, paket saya hrs nya sudah ada di jnt pangkalan bun, tapi blm juga smpe sni.. Estimasi terakhir hari ini... Saya udh laporkan dngn pihak jnt pusat",JNT,Kalimantan Tengah
1,"Paket sampai gudang 23 desember, sampai sekarang tgl 28 belum diantar, ngendap jadi abu digudang, mau ambil digudang antriannya bukan main banyaknya, berbenahlah management kalian ini j&t, jangan jadi ekspedisi sampah yang gak ada tanggung …",JNT,Kalimantan Tengah
1,sumpah gedeg banget sama JNT sekrang kerjanya lelet smua. sy pickup paket sm sekali gk diambil2 ke alamat sya kok diambil ngrespon wa aja tidak. sumpah jnt sampit ni lama2 makin nyebelin,JNT,Kalimantan Tengah
1,"Berilah pelayanan terbaik ditengah persaingan expedisi, Paket sdh 4 hari sampai, belum aja ada tanda2 diantar kerumah...",JNT,Kalimantan Tengah
1,"Gak ada solusi  masih, paket lama sampai tertahan terus, antri lama di gudang, paket biasanya  cuma berapa hari, ini 1 minggu lebih. Gak bisa di antar gak ada lagi yang ngehubungin malah kita yang ngehubungin mereka.",JNT,Kalimantan Tengah
1,Baru kali ini ngalami pelayanan ekspedisi J&T khususnya Cab Sampit Kalteng sungguh sangat² mengecewakan dmana paketnya baru sampai alamat 2 minggu. Paket dkirim dr jkt tgl 16 mei 2024 dan baru sampai alamat tgl 31 mei 2024. status paketnya …,JNT,Kalimantan Tengah
1,"yg bener aja,paket udah tiba konfirmasi dan hubungi aja tidak ada.. mau nunggu berapa lama. diantar aja gakda tu brang",JNT,Kalimantan Tengah
1,"Kapok saya pakai jasa J&T express sampit..
Tidak bakalan lagi saya pakai jasa kalian, pelayanan sangat buruk, paket sampai 4 hari di gudang tidak diantar2.. gila parah J&T express sampit...
Bagi warga sampit, lebih baik pakai expedisi lain aja...",JNT,Kalimantan Tengah
1,paket dari tanggal 11 sampai 13 belum ada kabar kurir ditelpon biasa di wa ga balas ga diangkat juga heran ada kurir jnt kek gitu padahal sudah kurir sedang diantar kan oleh M.DONY AZIZ tolong pelayanan diperbaiki lagi,JNT,Kalimantan Tengah
2,"Antrean panjang, admin nya ga bisa tegas sampe ada yg menyerobot antrian ga peduli, admin nya ditegur dikasih saran malah banyak alasan",JNT,Kalimantan Tengah
1,"Pelayanan Jnt Kalsel ke Pangkalanbun sangat jelek sekali. Gga akan pake jasa JNT lagi kedepannya. Paket mengendap di palangkaraya dan gudang sampit. Pengiriman 2 minggu blm sampai juga, msh di sampit. Kecewa berat!!",JNT,Kalimantan Tengah
