Rating,Reviews,Company,Province
1,"pelayanan kurirnya buruk sekali apalagi yg bernama Roni. masa paket saya dititipin terus drumah orang lain. atau d jalan ketemu orang yg dekat rumah sama saya.
GA USAH KERJA JADI KURIR KALAU GA AMANAH",JNT,Kalimantan Timur
1,"biar bintang yang bicara kualitasnya payah, nghubungi call center samarinda di whatsapp cuman di read dan kasih informasi bohong, pantes aja ratingnya jelek",JNT,Kalimantan Timur
1,"biasakan sesuai dengan permintaan costumer admin jnt yang terkasih, sebelum pengiriman sudah di minta untuk double cover/ di wrap paketnya, tapi ternyata tidak di wrap, alhasil kardus rusak total, terimakasih jnt pm noor, kalian terbaik 👍🏻 …",JNT,Kalimantan Timur
1,"Padahal sudah minta di bubble warp tapi gk di kasih, malah di balas ""iya tapi saya ngk menjamin brang aman"" seenggaknya saya minta bubble warp agar meminamalisir kerusakan barang kocakkkk",JNT,Kalimantan Timur
1,"Jam 8 sy di JNT sudah buka tp blm melayani penerimaan barang alasan admin blm ada baru buka jam 10 pagi wkwk.
Pelayanan tdk profesional. …",JNT,Kalimantan Timur
1,Kalau di cek resi barang kami 3 hari tertahan di Samarinda belum di kirim ke muara Jawa Handil ada apa yaa apakah salah alamat atau apa kalau yang lain tidak seperti ini tertahan sampai 3 hari,JNT,Kalimantan Timur
1,Keterangan tutup jam 9 malam ini saya di tolak buat ambil barang... Gak kooperatif bgt karyawannya. Alasan udah datang barang dan udah close. Kita sebagai konsumen gak mau tau hal itu. Peraturan ya tetap di jalankan lah.!!!,JNT,Kalimantan Timur
1,"Saya kira tahun ini sudah ada perbaikan pelayanan dari j&t ternyata masih sama saja. Paket saja bisa-bisanya stuck, mangkrak 12 hari di Samarinda. Dan sampai saat ini belum sampai ke alamat tujuan. Total 18 hari mangkrak... luar biasa...",JNT,Kalimantan Timur
1,"ada yang aneh? iya emg aneh bgt, paket udh dekat rumah malah diajak jalan2 ke pky, balik lagi ke jkt, ngulang ke bpn lagi, gak teliti banget org gudangnya, padahal kerja juga dibayar.",JNT,Kalimantan Timur
1,"J&T samarinda, terkusus buat kurir nya jgn males cari alamat. Bisa2 nya tertulis alamat tidak ditemukan. Pdhl pakai ekspedisi yg lain aman2 aja ...
Klo di kembalikan itu paket harga nya mahal trus kurir nya males nyari alamat. …",JNT,Kalimantan Timur
1,"paket saya udh semingguan di pusat sortir, harusnya besoknya udh bisa di antar tpi ini ttp g berubah statusnya, gimana ini???",JNT,Kalimantan Timur
1,"mana ni pket ga datang "" sampe sekarang katanya pling lambat datang jam 16:00 sampe ku tunggu 2 hari gaada muncul",JNT,Kalimantan Timur
1,"Hadeehh bikin emosi aja ini, paket sudah dibawa kurir tapi gak ada smpe kerumah,ujung2nya smpe hari teturn 3hari, disuruh ambil ke kantornya, terus gunanya kita bayar ongkir apa yah??? Tolong dong pihak jnt",JNT,Kalimantan Timur
1,Pelayanan buruk. Barangnya bth sekarang dari pagi sampai sore tidak ada pengiriman. Di datangin bilangnya tunggu kurir yg kirim. Dikasih kemudahan SMA customer ambil di tmpt malah kgk mau,JNT,Kalimantan Timur
1,Kata2 kurir nya baru aja tidak mengenakan . Saya. Kecewa berat saya sama kurrir itu,JNT,Kalimantan Timur
1,"Antaran dari Samarinda ke Samarinda 3 hari, nd entos juga ini, niat kerja g si pegawai nya.",JNT,Kalimantan Timur
1,"Sudah jam 8 gak buka, dibilang adminnya jam 9 baru datang, tidak ramah",JNT,Kalimantan Timur
1,"proses pengiriman nya lama sekali ke alamat tujuan, paket saya sampe samarinda tgl 16juli di jam 00.34.. dan seharusnya estimasi tanggal 17juli hari ini sudah di terima, sampe detik ini juga belom ada tanda"" dikirim ke alamat tujuan. dengan alasan paket masih di gudang pusat..",JNT,Kalimantan Timur
1,Paket udh gak datang datang mau lomba tapi jersey nya belum datang yang bener dong kerjanya,JNT,Kalimantan Timur
1,Kiriman dr bpp aj sampai seminggu baru sampai gk sesuai  namanya Express,JNT,Kalimantan Timur
1,Paket gak dianatar nmor kurik gak bisa dihubungi kecewa sekali,JNT,Kalimantan Timur
1,"Asli jelek banget J&T, admin cs sangat-sangat slow respon dan tidak memberikan jalan keluar terbaik. Paket ada missroute dan berkali-kali hanya bolak-balik transit ke drop point. Kurir juga sangat tidak profesional, melebihi estimasi waktu pengiriman. Sangat buruk!!!!",JNT,Kalimantan Timur
3,"Sudah brp hari paketku terdiam di pusat sortir gada juga pergerakan dianter anter ke alamat tujuan, tolong aja sya butuh cepat. Sdh lewat dari tgl penerimaan paket ini !!!!",JNT,Kalimantan Timur
1,"Pernh pesan brg trs dropny kesinintrnyta dan susah banget sampe"" barang yg mau di pake itu udh lwt dr hri H ny dn gjd di pake …",JNT,Kalimantan Timur
1,"Tgl 1 feb 24 barang sampai smd tapi gak bergerak dan gak ada di antar. Chat cs katanya masuk brg investigasi,pdhl jls² tertera MINYAK URUT. Trs ngechat lagi katanya brg ilang,minta nota pembelian Krn mau diganti . Sdgkn itu beli di pasar …",JNT,Kalimantan Timur
