Rating,Reviews,Company,Province
1,"BUSUK !!!
stiap mesen barang selalu kesebuku ngirim brg nyasar disebuku 4 hari smpai rmh box hancur makanannya gda yg bisa dimakan !! …",JNT,Kalimantan Utara
1,"Saya kecewa pelayanan J&T sub sebuku
Tidak ada pemberitahuan dr kurir, bahwa paket sdh sampai, dan tiba2 sudah di return secara sepihak",JNT,Kalimantan Utara
1,apaan pelayanan j&t nya belum jam ttup sdh diblg ttup tapi melayani orang lain bisa...agak lain J&T malinau kota...ganti aja pekerjanya!!!,JNT,Kalimantan Utara
1,2024 ga tambah bagus pelayanannya malah tambah buruk. Malinau-mansalong paling cuma setengah jam aja. Paket ditahan di malinau sampe 2-3hari. Mau diambil di kantor jnt malinau katanya ga bisa. Disuruh nunggu dibawa ke mansalong. Dimansalong kena bayar lagi 3rb karena agen. Pindah ke ekpedisi sebelah aja lah. 👎🏻👎🏻👎🏻 …,JNT,Kalimantan Utara
1,"J&T sekarang memang banyak yg asal²an kerjanya, tinggal tahan paket dengan alasan melewati jam kerja,sudah janjian sama penerima(padahal tidak ada chatt) dll, INTINYA PAKET HANYA DITAHAN TIDAK DIANTAR JARAK MASA TAHANAN COD HABIS Paket …",JNT,Kalimantan Utara
1,Paket sampe di gudang jnt udh 3 hari ga dianter2 kurir udh minta serlok juga ttep ga dianter... Akhrny Terpaksa ambil sndri di gudang....service Jnt malinau buruk bget,JNT,Kalimantan Utara
2,"Saya mohon kinerja kurir dan pihak J&T di perbaiki lagi,kalau barang sudah dtng di kantor harap hubungi pemilik barang tersebut jgn di tahan2  lgi di kantor, beberapa minggu lalu paket saya di tahan 10 hari tanpa informasi,skrng harusnya paket di antar di tunda sama kurirnya,mau sampai kapan seperti ini.",JNT,Kalimantan Utara
1,pelayanan terburuk jnt malinau karna setiap kurir nya tidak mempunyai nomor WA aktif dan dan staff kantor nya tidak bisa di hubungi padahal jasa kirim tapi bisa si hubungi,JNT,Kalimantan Utara
1,"Q mw krm pket mknn jd mkir2 ke malinau,komennya di jn3 jnt dllnya sm2 mengeluh lembatnya kurir😭 …",JNT,Kalimantan Utara
1,"Paket 3 hari gagal antar alasan yg tertera karna ""di luar jam kerja"". Padahal masih jam 12 siang, terus tiba2 ada keterangan akan di kembalikan ke penjual. Lah kalian mikir nggak sih itu paket gagal kirim karna kalian malas kirim kenapa di …",JNT,Kalimantan Utara
