Rating,Reviews,Company,Province
1,"Sudah 2x kejadian antar paket shopee ke lokasi diinfo dari staffnya bisa ditinggal, tapi selalu lupa di input di sistem kalau sudah diserahlan ke jasa kirim. Jadi harus balik lagi ke kantornya untuk konfirmasi",JNT,Kepulauan Riau
4,"Kesini mengembalikan barang beli online karena yang dikirim barangnya  salah. Nakal Penjual di Shopee.
Pengalaman mengembalikan di J&T ini lancar, datang bawa barang/ndak sempat …",JNT,Kepulauan Riau
1,"BRG saya tiba"" dikembalikan ke penjual, alasan nya di blg pelanggan tidak bs di hub padahal saya sdg hub ABG kurir nya terlebih dahulu",JNT,Kepulauan Riau
1,"paket saya gak diantar""
sudah dari melebihi tanggal pengantaran nya",JNT,Kepulauan Riau
1,Paket sampai alamat tujuan sudah dalam kondisi hancur lebur.. Tidak ada pertanggung jawaban. Padahal barang sudah ada indikasi mudah pecah tapi masih saja bisa hancur lebur. Parah sih.. 👎👎 …,JNT,Kepulauan Riau
1,"pelayanan ga banget, pegawai cewenya judes bgt gilaa tidak ramah bintang 1 👎🏻 …",JNT,Kepulauan Riau
1,"Pengalaman saya sangat buruk di J&T batam centre ini. Sy sdh bayar ongkir untuk J&T malah di suruh bayar lagi, kalo ngga di bayar ga di antar barangnyaa.. pegawai nya jg nyolott mcm 🐷 …",JNT,Kepulauan Riau
1,Pihak J&t tolong dong masa paket udh dibatam 3 hari gg diantar2 sama kurirnya. Saya bukan COD lo itu paket sudah dibayar. Kita juga punya kesibukan dan kita juga order sesuatu karena butuh dan mau digunakan.nomornya sudah ditelepon gg diangkat2 kurirnya atas nama firman.,JNT,Kepulauan Riau
1,Pengiriman kaya taik kurir nya sombong kurir ga ada guna buat apa d pekerjakan kurir sombong masih jadi babu aja sombong apalagi kurir yang namanya TOHOM MARTUA A itu org sombong dikira kita ga mampu bayar cod an barang,JNT,Kepulauan Riau
4,min ada no wa yang bisa di hubungi?,JNT,Kepulauan Riau
1,"Nmr yg trcantum ekor 4752 mnjawab sy bukan j&t katanya lngsng ke kntor saja miriss cara melayaninya jelas2 bidang jasa tp tdk belajar cara menata kalimat....
Lnjutkan...",JNT,Kepulauan Riau
1,"Pelayanan ga banget, ga bisa minta tolong. Parah banget 👎👎👎 …",JNT,Kepulauan Riau
1,"Boleh nggak, atas nm kurir pak tohom jgn mrh2,, emngx kenapa kalau aku COD, lagian aku jg dah blng tnggu bentar krn ada pasien, aku in di lantai 4,tdk  bs naik lift, wajib pkai tangga",JNT,Kepulauan Riau
1,Resi d aplikasi udh d antar ke alamt tujuan tp gk sampek2 etdah,JNT,Kepulauan Riau
1,"Tolong staf nya di ajarkan tata krama sopan santun, jgn kyk babi bacotan nya",JNT,Kepulauan Riau
1,"Paket hancur lebur, pengiriman lambat",JNT,Kepulauan Riau
1,"Sama aj ,grasak grusuk",JNT,Kepulauan Riau
1,Udah seminggu lebih baru di kirim ke jkt gayeway,JNT,Kepulauan Riau
1,Paket nya belum sampai kok lama kali peroses ny,JNT,Kepulauan Riau
1,Sangat mengecewakan...pelayanan buruk dan tidak jelas..masa kirim baju...per baju harus ada task nya..padahal bukan baju baru...pegawainya gak ada effort.,JNT,Kepulauan Riau
3,klu jemput 1 paket bisa ? daerah citra batam. hubungi nya kemana ya ?,JNT,Kepulauan Riau
5,Pelayanan baik,JNT,Kepulauan Riau
5,Suka sekali gampang nyari alamat😍 …,JNT,Kepulauan Riau
1,Menggunakan no telp org lain,JNT,Kepulauan Riau
5,Pelayanan yang baik,JNT,Kepulauan Riau
1,Lelet,JNT,Kepulauan Riau
5,Kunjungi di sini. & kirim barang Anda,JNT,Kepulauan Riau
5,Staf sangat ramah dan membantu.,JNT,Kepulauan Riau
5,No review found,JNT,Kepulauan Riau
1,No review found,JNT,Kepulauan Riau
1,No review found,JNT,Kepulauan Riau
5,No review found,JNT,Kepulauan Riau
5,No review found,JNT,Kepulauan Riau
2,No review found,JNT,Kepulauan Riau
5,No review found,JNT,Kepulauan Riau
5,No review found,JNT,Kepulauan Riau
5,No review found,JNT,Kepulauan Riau
1,No review found,JNT,Kepulauan Riau
4,No review found,JNT,Kepulauan Riau
1,No review found,JNT,Kepulauan Riau
1,No review found,JNT,Kepulauan Riau
5,No review found,JNT,Kepulauan Riau
4,No review found,JNT,Kepulauan Riau
5,No review found,JNT,Kepulauan Riau
5,No review found,JNT,Kepulauan Riau
5,No review found,JNT,Kepulauan Riau
