Rating,Reviews,Company,Province
1,"Paket sudah macet 3 hari di bandar Lampung, dah sampai Lampung loh ini, tinggal distribusikan ke kota. La kok tiba-tiba paket saya ada di Aceh. Yasalam
Sudah 6 hari ini sejak paket dikirim oleh pengirim belum juga sampai. Sudah lebih dari 2 kali loh paket saya lama di J&t. Mengecewakan",JNT,Lampung
1,"Parah banget sih skrg jnt, antar lampung 2hr bru smpe..
Sblumnya 1hr sampe kalah sma jne.. jne 1hr smpe..
Mana jne murah 12rb jnt udh mahal, kinerja buruk..
Bukannya diperbaiki jd lebh baik, malah makin lambat hadeeeh..",JNT,Lampung
1,pening dari kapan mau di anter ga di anter anter untuk kurir andi priatna anter paket saya. kalo di wa ya di respon udh bayr ongkir ttp aja gw yg hrus efort ke kantor nya tlong di perhatiian lagi!,JNT,Lampung
1,Pesanan udh mau 2minggu lebih rak sudut sangkar burung masih aja status ya di tempat ini.. gimana sih ?? Kapan mau sampai magelangnya ?? Tahun Depan kah ???? Kl cod udh pasti aku cancelkan ini mana udh bayar pula !!!!!,JNT,Lampung
1,"Paket dah kek nunggu kiamat gak sampek² kek mana ni jnt gak jelas malah stack di bandar Lampung dah 2 hari mending tutup aja tu jnt dari pada org capek nunggu barang tapi gak Sampek""",JNT,Lampung
1,"Saya Sebagai Pengirim, Layanan Parah Banget SOP Nya Gimana Itu Paket Dibuka Diacak Acak, Ke Pembeli Malah Mempengaruhi Untuk Retur, Padahal Pembeli Udah Mau Nerima Dengan Kondisi Paket Sudah Terbuka, Masa Bilang Pengiriman Baju Harus Pake …",JNT,Lampung
1,Ekspedisi gimana sih ini nggak ada guna kirim barang dari tgl 16 Nov sampe tgl 26 Nov masa belom sampe padahal satu kecamatan. Kalian itu digaji woy kerja yg bener sebagai customer kecewa banget sih pelayanan buruk,JNT,Lampung
1,Paket dikirim dari tgl 7 desember. Hari ini 21 desember masih di gudang transit ini. Jigur cuk! Jangan lagi pake jnt wes rugi tutup aja yee bang,JNT,Lampung
1,"Oh pantes pas liat review sama ulasan di sini ternyata emang jelek dan busuk pelayanannya. Paket saya dr tanggal 12 nov sampe skrng ga ada kejelasan di mana. Pdhl estimasi shope bilang max tanggal 16 nov, lah skrng udah tanggal 19 nov paket ga sampe sampe, bubarin aja J&t lampung, karyawannya SDM rendah semua",JNT,Lampung
1,Ayolah bos tolong dikirim paket saya! Sudah 2 hari paket di drop point tp gak sampe2 atau minimal kasih info ke penerima. Gesit geh!,JNT,Lampung
