Rating,Reviews,Company,Province
1,"Ampir jam 10 blm di buka sama sx, pelayanannya pun juga lambat sx, ambil paket di kantor tunggu paket di keluarkan saja 1 jaman lebih.. kalo bisa di tambahkan lagi karyawannya biar pelayanannya ngak lambat",JNT,Maluku Utara
1,"Saya kira cuman saya akang yang bilang ini j &t tr bae, tapi ternyata banyak orang, barang sampe di kurir tidak ada pemberitahuan, menunggu buka dari jam 10 abistu saya balik selesai Jumat, masih tetap admin tidak ada setelah itu saya balik lagi jam 4,sudah tutup sungguh luar biasa j&t.",JNT,Maluku Utara
1,"Memang ee karja kong cuman mau enak tu bagini kasian tong p paket so mo satu Minggu ni tra perna antar,serta tong mo ambel kasana Depe embel"" Lebe banya, mo telfon Kasan model Deng putri malu kong tra pernah anka laki"" lagi kong, tolong lah klw kerja tu yang profesional sadiki anda tu di gaji, npa ngo nda mau antar Tako bensin abis?",JNT,Maluku Utara
1,Bukan j&t nya yg parah Tapi kurirnya bukan ngantar barang tapi ngajak bantahan sama pelanggan waduhhhh😔😔😔 …,JNT,Maluku Utara
1,"J&T Cabang ternate paling buruk sudah
Kita p paket dari paling lama di ternate padahal ke weda dekat
Kita pengriman dari sumtra ke jakarta kirim hari itu datangpun hari tapi dari ternate ke weda ni paling lama di ternate😡 …",JNT,Maluku Utara
1,"Tidak profesional.
Pelayanan buruk …",JNT,Maluku Utara
1,"kerja ga becus,dtg kntor bknny siap""antr paket org kita loh bayar ongkir smpe ratusan ribu mlh disrh ambil sndiri🤣🤣mkn tu gaji buta bgst …",JNT,Maluku Utara
1,"kt pe paket so smpe 1minggu di ternate, mar kurir blm antar2, pi cek di kantor jnt drg blg so pa kurir so bwa, aneh2, kt mo pake kt p barang kong dong kase putar2",JNT,Maluku Utara
1,"Pengantaran paket lama, pelayanan kurang baik sudah jam 11 kantor belum buka",JNT,Maluku Utara
1,Paket udah 5 hari ga di antar malah di suruh ambil sendiri,JNT,Maluku Utara
1,"Sebenarnya kalau boleh jjur , pelayanan nyaa buruk bgtttt,pokonyaa paling burukk drii yg terburukkk,ini fakta yahh,masa paket sya,dri 1 sampai 3 hikang smuaaa",JNT,Maluku Utara
1,"Pelayanan buruk! Di tunggu² tapi gk dtang² alasan katanya nomor saya gk jelas, ga sempat buat antar, nga bertanggung jawab bgt mending tutup!",JNT,Maluku Utara
1,"Paket ditangan kurir berhari"" ga nyampe"" kerumah, diajak keliling pulau berapa puteran emang lama sekali payah",JNT,Maluku Utara
1,"sama dengan yang lainnya bintang 1 memang pelayanan j&t di ternate ini payah, mulai dari kurir, hingga admin.. padahal kita bayar itu bayar sdh dengan ongkir nya tapi kita mangalah ambil sendiri di kantor tapi apa? biar barang mereka bilang tidak tau dimana, kok bisa pelayanan bgitu? baru ini sy ketemu ekspedisi seperti itu.",JNT,Maluku Utara
1,"jnt paling parah se indonesia. pelayanan sangat buruk. tolong dong di tinjau ulang ini jnt pusat
di dalam ruangan kecil, orang2 menunggu ber jam jam.",JNT,Maluku Utara
1,"Kalo belanja online jangan di lewatin sini.
Paket saya di balikin 5 hari berturut-turut
Alasannya nomer telepon tidak sesuai....tai",JNT,Maluku Utara
1,"paket so tra antar2, bru pas mo pi ambe paket baku tunggu sampe. da pe karyawan me muka busu satu2",JNT,Maluku Utara
1,Kurir nama MH Nurul shakila k spa tu tolong k org hubungi smpe mcm itu ngni tr angka so 2 hari ni we,JNT,Maluku Utara
1,"parah bgt, hrus tunggu pelanggan kesal baru diantar, masa paket dioper2 mulu, pdahal tmpat di btn, rumah saya jg sekitar situ, susahnya apa? udh bnyak nomor kurir ngechat sy bilng mau antar paket, tp tdk diantar2 trus malah tunggu pelanggan emosi bru diantar, pdahal dlu tdk sperti ini, parah",JNT,Maluku Utara
1,Pelayanan tidak bagus kurir ga jelas paket non cod ga di antar di chat di bilangnya paket cod,JNT,Maluku Utara
1,"Kita so dua kali pengalaman tara baik dengan J&T di Ternate ini. So bilang mo diantar tapi itu barang tara muncul2 sampai pastiu tunggunya. Alasan kurir banyak yang katanya Tara tahu alamat, so dikasi tanda alamat yang jelas masih tara diantarkan. Memang parah ini pelayanan nya!!!",JNT,Maluku Utara
