Rating,Reviews,Company,Province
1,"Kurir sg profesional, tunggu² sg ada kabar apapa sondor tlvn mw antar k, kaget paket di kemblikan mksdx???
Bt Su thang hati par jg marah krna pikir iya kamong orderan bnya bulan² bgini jdi maklumi jua, tpi ini su tllu keterlaluan",JNT,Maluku
1,Estimasi paket tanggal 11-14 tapi tanggal 12 knp udah di kembalikan ke penjual? Mohon maaf bang knp kurir tidak mau tanya kepada orang di sekitar rumah padhal alamat sudah jelas!,JNT,Maluku
1,"Kurir bilang mau antar paket dari siang pada hal su mau malam ini zg antar2 baru hape kasi mati,kalau pegawai kayak bgt mending di ganti saja",JNT,Maluku
1,"Kurir seng ramah
Baru antar paket agak lama
Dos² spatu Rusak
Pernah pesan payung patah",JNT,Maluku
1,"Paket sdh 3 hari blm diantar k tujuan kurirnya di hub tdk mau dijawab, maksudnya apa",JNT,Maluku
3,Koreksi untuk Kurir agar Profesional dan Semangat dalam Etos kerja masih Malas,JNT,Maluku
1,Memang ee manyasal pilih j&t ni.. paket sampe skrng z muncul' bru alsan ktng su pindah alamat lah ini lah itu lah.    Klu tar da niat karja z usah buka jasa pengiriman barang.....,JNT,Maluku
1,Psnan sya di krim dri lksi kota Bandung smpai di Ambon J&T pesanan sya sdang trtahan saya mau pakai skarang Broo😡 …,JNT,Maluku
1,"Kurir tallo parlnte ,pi kasi stop kurir julyan paty tuh paket dari jam 1 smpe su mo jam7 bilang mo antar smpe skrang balom",JNT,Maluku
1,Kurir katanya di rumahkan Paket belum di antar2 pas di cek di kantor udh di return.. 🤦 …,JNT,Maluku
1,"bt pung brg blm kuat' par smpe di rmh lai
estimasi 14-16 desember ini su 18 desember tuhangala",JNT,Maluku
1,"Kurir niat karja k seng, barang su 1 minggu labe tapi tar antar - antar, tinggal setiap hari dapa notif barang akan di antar tapi sampe malam seng di antar, ktong wa kurir baca sa seng pernah balas, masa kurir antar barang tapi seng panggel …",JNT,Maluku
1,Kurir cuma baharap wa zg telfon biasa,JNT,Maluku
1,"Tolong jua antar paket Katong ada perlu dengan akang barang tu ,barang su Sampe tapi zg antar ke alamat padahal poka paleng dekat sudah ni tolong e jangan karja lah makan gaji buta mar pamalas minta ampun..!",JNT,Maluku
1,"Kecewa dng JNT ini, paket su sampe 3 paket mar dorang tra antar"" akan.",JNT,Maluku
1,"Kaya loco saja masa barang su sampe dari tagal 28 sampe su tgl 4 ni tar muncul muncul
Cek nama kurir Frans latumahina nomor samua tapampang datang cht tar balas
Makang uang tu lah mati suda",JNT,Maluku
1,Barang sudah sampai Ambon kenapa dikembalikan asal kurir Ambon hubungi Katong ka biar Katong ambil di Ambon,JNT,Maluku
5,"Mengirim barang di jasah kirim J&T Passo/ baguala ini sangat cepat prosesnya, dari mulai masuk daftar dan di tanya alamat nya dan ditimbang barangnya sampai ke proses pembayar nya tidak kurang dari tiga menit! …",JNT,Maluku
2,Loh ko sama barang sttusdiantar dr kmrn smpe skrg tidak smpe2,JNT,Maluku
1,JNT yang diwayame sakarang pindah dimana eee,JNT,Maluku
1,"Status pengiriman barang sudah sampai tapi tidak diantar dan diditerima sama saya ataupun orang rumah .dicek bukti penerimaan malah potoin pisang"" alamat penerima dinania ini malah foto dibatu merah ,plis kerja yang bener bos!1!1! Bayar …",JNT,Maluku
