Rating,Reviews,Company,Province
2,"Beberapa Minggu yang lalu beli barang di apk toktok bisa bisa nya katanya salah alamat makanya paket muter"",sedangkan alamat udah lengkap dan pake titik maps juga waktu di apk. …",JNT,NTB
1,"Pengiriman Paling Ribet, Harus begini begitu, Ikut SOP la… ngirim bukan satu kali, bisa bisa nya di tolak pas ganti shift… coba tolong pihak JNT jangan kaku banget sama cust.",JNT,NTB
1,"Saya mau kirim pesanan Tokopedia masa ditolak, padahal saya udah Print sendiri karena alasan kertas habis, trus saya bawa lagi tetap gabisa malah disuruh ke dasan cermen jauh sekali, sedangkan di JNE bisa padahal. …",JNT,NTB
1,"Bener2 kurirnya gak bertanggungjawab, di pemberitahuan paket di antar ke alamat anda smpai 3 hari gak sampai2,, tolong dong di benerin kurirnya, klo gak niat nganter tolong konfirmasi, kan ada nomer penerima",JNT,NTB
1,"Pantesan ratingnya jelek, paket ga diantar antar malah di return ke pengirim tanpa konfirmasi ato ngehubungi penerimanya. Kalo ga niat kerja gausah jadi kurir aja, cari kerjaan lain aja daripada ngerugiin.",JNT,NTB
1,"selamat pagi pak/ibuk
saya mau komplen kepada jnt,,
masak paket saya blm di antar "" sama kurirnya,,alasanya libur enmg gk ada kurir …",JNT,NTB
1,"Ditulisnya jam 8 malam tutup, ternyata pas sampai sana jam 7 sudah ditolak karena sudah tutup katanya. Trnyata dari jam 6 sudah tutup …",JNT,NTB
5,"Pelayanan Cepat, kantor perlu dirapikan dinding di cat ulang biar fresh",JNT,NTB
2,Pengantarannya lama bngett paket dibawa sana sini😩😩 perkiraan smpe 3 hari jadi nunggu 1 minggu😡 …,JNT,NTB
1,Paket saya ga sampek2 woy udh dibayar lagi gila kapan dianternya cuy,JNT,NTB
1,"pengiriman jelek banget mau kirim kebuleleng bali sudah 2hari g dikirim kirim, pegawenya niat kerja p kagak sebetulnya, pada makan gaji buta ya..",JNT,NTB
1,Di google bilang tutup jam 8 sampe sana jam 7 masih ada CS Ndak mau di terima paket kalok memang tutup jam 7 jangan tulis jam 8 buang waktu orang,JNT,NTB
2,kmarin sya mw retur barang tpi di tolak sma pegawainya ( counter) dengan alasan belum kebuka sya nggak tw apanya yng kebuka nd ada penejlasan,JNT,NTB
1,"Paket saya udah di pesen seminggu yang lalu belum sampe"" harusnya tanggal 17 udah sampai",JNT,NTB
1,"staff nya pada songgong mampus tdk ramah,apalagi tadi staff nya yg pke jilbab dan kacamata ga ber attitude bgt",JNT,NTB
