Rating,Reviews,Company,Province
1,Saya tidak tau apa pemilik J&T Maulafa Kupang baca tdk review2 pelanggan disini. Apa pemiliknya tdk malu ya 99% kasih bintang 1 dan komplen bejubel. Apa memang pemiliknya tdk tahu kinerja karyawannya? Atau tdk pernah baca review disini?? …,JNT,NTT
1,"Kurir paling kurang ajar .
Kurir putar balek mati.
Boleh tunggu barang baru takuju ada pemberitahuan klo barang sudah di kembalikan ke toko.
Kurir tllu biadap",JNT,NTT
1,Biaya pengiriman itu untuk antar paket sampe rumah. Klo tau model begini lebih baik pindah tempat pengiriman. Parah,JNT,NTT
1,"Kurir Maulafa (kurir pengganti) area kayu putih tdk kooperatif. Minta antar jam 4 sonde di gubris, sudah di WA kasitahu kalau antar pagi org di rumah semua ada keluar kerja. Di telp sonde angkat, WA juga sonde balas. Kurir model begini berhentikan saja karena pelayanan tdk memuaskan pelanggan.",JNT,NTT
1,"Jam operasional jam 7.00-18.00, kemarin jam 5 lebih sudah tutup, sementara sekarang jam 9.28 masih di tutup padahal banyak yang antri di luar pegawai ada di dalam. Kasihan owner yang buka franchise tapi pegawainya malas malasan, saya kirim memang bukti pelayanan yang terlalu sangat kurang.",JNT,NTT
3,Pelayanan kurang gercep. Barang sudah sampai. Tapi kurirnya tahan berhari-hari baru di antar,JNT,NTT
1,"Parah Cok, padahal itu isi makanan, sudah 3hari tidak dikirim. Parah banget. Pantas rating jelek sekali. Pengantaran lemot",JNT,NTT
1,"Sangat-sangat buruk, barang sudah terlambat 2 minggu tapi terkirim ke alamat yang tidak jelas kemana. Status sudah terkerim tapi saya tidak terima paket nya",JNT,NTT
1,"Pelayanan sangat buruk!, kurir tidak pernah konfirmasi untuk pengiriman. Lebih banyak sendiri mengambil barang di kantor dari pada di antar kurir.",JNT,NTT
1,"Kurir sonde konfirmasi pengiriman kapan,apalagi kalo cod.",JNT,NTT
1,"Memang benar,, kurir j&t cabang Maulafa kota Kupang-NTT mesti di ganti semua kurirnya,,,pada malas ngantar paket.sudah beberapa paket saya dikembalikan oleh mereka secara sepihak tanpa memberikan konfirmasi.",JNT,NTT
1,Sangat buruk kurirnya.. malas antar barang..,JNT,NTT
