Rating,Reviews,Company,Province
1,"ga datang datang paket sy, kerenn, alasannya
kontak pembeli salah😂😂😂, nge wa aja gak, tlpn juga ga, heran sama kurir nya …",JNT,Papua 
1,"3 hari paket tdk diantar tanpa konfirmasi, alasanx sakit.
Apa hanya ada 1 kurir?
Giliran di komplain kurirnya bilang “jadi bos sj disini”, “buat perusahaan sj sendiri”
Kurir SAKIT.",JNT,Papua 
1,"Pilih pengiriman cepat dari banten-jayapura 3-4 hari sampai ongkir mahal 160 ribu dengan berat 1 kilo ternyata sampainya lama sampe 10 hari,begini kurir tidak ramah di tanya kapan dikirim paketnya sekarang apa nanti,dan jawaban kurirnya …",JNT,Papua 
1,"Pelayanannya Lama,Mau krim barang aja hrus tggu admin pengiriman nya cari paket utk yg ambil barang dl",JNT,Papua 
1,"Pelayanan terlalu lama, barang tdk di antar ke tmpat tujuan, alasannya kurir tdk ada. Kami sebagai konsumen merasa sangat dirugikan. Konsumen datang ambil barang sndri malah antri berjam jam,, …",JNT,Papua 
3,Tolong donggg paketnya diantarr . Saya Sebagai penjual dari luar pulau kirim ke Papua tapi paket lama bgtt nggak diantar2,JNT,Papua 
1,Barang hampir 2 minggu kurir janji2 daja mau antar tdk pernah sampe JNT dik v,JNT,Papua 
1,"Pelayanan terlalu lama barang tercecer paket lambat di antar, gulung tikar aja",JNT,Papua 
1,Pelayanan ekspedisi JNT di Jayapura kayak Tai barang tidak segera di antar malah harus kita sebagai konsumen yg antri di sana,JNT,Papua 
4,"Paket a/n : Adi
Saya ambil besok siang saja.
Terima kasih.",JNT,Papua 
1,"Keterangan di Tokopedia barang sudah di kantor jnt, tapi tidak segera diantarkan",JNT,Papua 
1,Percuma pakai ekpedisi j&t sudah bayar ongkir mahal2 kejayapura tapi disuruh ambil sendiri paketnya dan kalo tidak diambil barang diretur,JNT,Papua 
1,"Mengecewakan, sudah ada no resi dan janji antar dari hari rabu di tunggu sampai kamis dan datangi kantor di APO, brgnya tidak di temukan.",JNT,Papua 
1,"Paket di tahun lama di jnt tidak di antar sampai kami harus ribut di tempat baru di kash barangnya, asu kan namanya",JNT,Papua 
1,"pelayanan terjelek, paket sdh tiba dari lama tpi blm diantar smpe sekarang",JNT,Papua 
1,"Pelayanan sangat buruk. Barang tidak di antar ke alamat penerima tapi di tracking barang sudah terdelivery. Di ajukan retur paket tidak ada respon sama sekali, nomor yg di hubungi tidak ada jawaban padahal sudah kirim pesan tapi tidak ada balasan sampai sekarang sudah mau satu bulan",JNT,Papua 
1,"Setiap dapet orderan yg tujuannya Jayapura pasti alasan kantor/toko udh tutup, alamat gak lengkap. Pdhl alamat udh lengkap ada ancer ancernya. Yg beli juga nunggu dirumah. Ini kurirnya sbnernya kerja apa enggak? Gak cuma sekali dua kali …",JNT,Papua 
1,"Ga bisa tunggu d antar, harus d ambil k kantornya, itu pun harus sabar mengantri. Mungkin perlu tambah orang yang kerja",JNT,Papua 
5,"Pelayanannya mantap....
Ramah, 3s di terapkan dengan baik
Semoga dapat dipertahankan.
Good lock",JNT,Papua 
1,"Tolong dong untuk kurir/management di perbaiki,masa paket sy di lacak sdh 4 hri di jayapura blm di antar²,kendala nya apa pak ? …",JNT,Papua 
1,"Kepada yth, kenapa paket saya tidak diantar juga ya? Sudah 3hari gak sampai di alamat tujuan. Padahal jarak antara kantor J&T dan perumahan jaya asri entrop sangat dekat. Tolong dibantu antar kan ya",JNT,Papua 
1,"Paket sy sdh lama tiba di j&t jayapura , sampai sekrang blum tiba di alamat tujuan, emang apa sih gunanya kurir j&t jayapura ini.! Sy sangat kecewa dengan kinerja j&t jayapura!",JNT,Papua 
1,"Jika kaoian penjual onli. Apa lagi fr luar jayapura jgn pernak menggunakan jasa kirim j&t tujuan papua.
Krn pelayanan sangat buruk. …",JNT,Papua 
1,"Kenapa sa punya paket belum di kirim juga ke Wamena. Padahal keterangannya barang mau dikirimkan, masa ia 2 hari belum juga dikirim"". Bisa begini tutup semua jnt disana. Sangat …",JNT,Papua 
1,"Dari jawa ke jayapura cepat sekali, tp dari jayapuranya sendiri sudah hampir semingguan lama sekali ga diantar antar, berapa banyak pengiriman si sampe harus ambil sendiri di jnt",JNT,Papua 
1,"Ini barangnya tidak di antar2 kah baru tidak ad konfirmasi ambilnya di jnt mana, kalau suruh orang ambil sendiri, ko chat biar tu orang tau ambilnya di jnt mana, kita ini orang baru di Jayapura ba bingung pesan barang pke ekspedisi ini, jnt Jayapura ini buruk skli pelayanannya",JNT,Papua 
1,"Minta Tolong dikasih nomor pihak J&T Sekelas J&T masak gak ada nomor yang bisa dihubungi, Paket sudah di Kantor Tpi Belum di kirim2, Sudah 3 hari ini",JNT,Papua 
1,"Paket sudah tiba di Kantor, dan dibiarkan sampai sudah 1 minggu disana tanpa ada pengantaran, sudah hubungi kurir dan sudah komplain melalui JNT pusat tidak ada tanggapan, Pihak JNT kurang responsif dalam menanggapi keluhan customer. …",JNT,Papua 
1,"Pelayanan bdok belum jam 5 sj sdh tutup, tdk usah buka kantor satu kali sdh, kurir juga baloco tdk jelas..",JNT,Papua 
1,"Paket su sampe dari tgl 20 desember di jayapura sampai tgl 1januari 2024 belom diantar juga,status pesanan barang tertahan krn kantor tutup..woii tipu sekali!!! mana ada antar ko??! tutup jam 10mlm ! Kau yg malas tdk mau antar!! Su komplain percuma tdk ada solusi,tetep saja blm diantar,merugikan sekali!",JNT,Papua 
1,"Kok paket saya sampe satu minggu in tdk di antar,, padahal tanggalnya suda lewat tolong di respon paketnya 🙏 …",JNT,Papua 
3,"Paket g langsung di antarkan ke tujuan, dibuat Bermalam Beberapa hari, jadi harus Di jemput barangnya",JNT,Papua 
1,"Sekarang pelayanan j&t sangat buruk, barang sudah tiba berhari2 bahkan berminggu2 tapi tidak di antarkan ke alamat tujuan untuk daerah ekspo waena",JNT,Papua 
1,"Barang 1 minggu dalam kota tra di antar2, kalau kurir trada tutup sudah bikin susah saja",JNT,Papua 
1,"Gimana paket saya sampai tgl 1 Januari, sampai tgl 14 belum dikirim juga ke Sentani, sa sangat kecewa pelayanan sangat malas. Sudah hubungi tapi tak di respon sampai sekarang paket sa dibiarkan saja.",JNT,Papua 
1,"Kenapa pesanan tidak segera dikirim, sudah 3 hari paket keluar gudang Papua kok lelet banget sih kurir kurirnya",JNT,Papua 
1,Lambat semua karyawan 2 minggu baru di antar apa lagi mbak pegang computer chek barang aja lambat padahal ada 3 orang lambat semua,JNT,Papua 
1,"Sangat buruk. Paket saya jelas "" non cod alias lunas, kog sampe d Jayapura system bilang paket cod. Tidak pernah di antar atau dihubungi tau "" barang di kirim kembali. Saya rugi, sekali. Sejak tgl 16Agustus tiba Jayapura sampe sekarang …",JNT,Papua 
