Rating,Reviews,Company,Province
1,"ngg banget ini j&t.. yg mau pake ekspedisi, masih banyak jauh lebih effort untuk antar mengantar paket kamu.. mending pake ekspedisi lain, supaya mereka bisa leyeh2 , kayaknya pegawai nya pada capek banget kerja.. susah ngantar paket kita dgn ikhlas.. mari kita doakan supaya mereka bisa leyeh2 ngg capek kerja lagi.",JNT,Papua Barat Daya
1,"J&T Sorong Pelayanan sangat buruk. Kurirnya pemalas antar paket, di chat tidak balas2, tidak menghargai orang. maunya kita yg ambil sendiri paketnya. Memalukan",JNT,Papua Barat Daya
1,sy sudah di telpon untuk konfirmasi alamat sama kurir. kenapa di pemberitahuan bahwa kontak saya salah? apa yang kalian lakukan? paket saya belum tiba hingga saat ini. Di call dan Chat tidak di balas. JnT sorong sepertinya lurang …,JNT,Papua Barat Daya
1,"Tolong jnt, kalo kurir sakit atau ad kendala bisa kah ganti kurir lain untuk antar brg COD, tong tnggu brg smpe mo 1 bulan, su bgitu kam telfon suruh konfirmasi deng brg tu, tong su komunikasi deng kurir, tpi kurir bnyak alasan, kurir sdh …",JNT,Papua Barat Daya
5,Pengalaman saya dari Awal gunakan jasa J&T sangat senang karena pengiriman cepat bahkan dalam penemuan alamat sangat cepat. Terima kasih J&T tetap berkembang dan jaya selalu,JNT,Papua Barat Daya
1,Pelayanan kurang baik paket tidak dikirim katanya tidak ada rute kesana dikasih pilihan suruh jastip bayar lagi atau ambil sendiri..payahhhhhhh sudah bayar mahal-mahal,JNT,Papua Barat Daya
1,"J&T sorong paraaahh...Paket sudah sampai dari tgl 14 september belum di antar sampai skrg, kurir di tanya byk alasan, pelayanan tara bagus skali 👎👎👎👎👎 …",JNT,Papua Barat Daya
1,Kurir yg bernama fahmi setiawan  baso perlu di ganti sangat malas untuk mengantarkan paket,JNT,Papua Barat Daya
5,"Pelayanan bagus, kurir ramah. Pesanan sya sllu datang tepat waktu. Kalau terlambat paling sehari aja mungkin saat itu kurirnya lagi bnyak paket atau sedang off. …",JNT,Papua Barat Daya
5,"UNTUK WARGA KOTA/KAB SORONG YANG TERHORMAT!
saat ini barang yg masuk melalui expedisi J&T Express perharinya ratusan paket yg masuk min 20 koli perhari, terbanyak dari TIKTOK dan SHOPEE. impact dari …",JNT,Papua Barat Daya
