Rating,Reviews,Company,Province
1,"Ekspedisi parah, datang mau ambil paket disambut dengan muka jutek dan sibuk main HP, dibiarin nungguin paket diambil digudang sampai lama, klo gak ditanya gak dicek. Padahal saya yg datang ambil sendiri, barang sudah sampai di Manokwari …",JNT,Papua Barat
1,"Kurir ini  selalu putar"" saya dia bilang ketemu di Kodam,setelah saya di Kodam dan ketemu dengan kurir ini..stelah itu dia dengan alasan lupa paketnya jdi pengiriman batal 2 kali...",JNT,Papua Barat
1,"Sangat"" buruk tidak becus kerja, paket sy sudh sampai tapi udh 4 hari sy g bisa ambil paket sy kalau kaya gini merugikan orang, mending tutup saja sudah & sy sudh ngumpulin semua bukti dan akan melaporkan ini k J&T pusat culup sy sabar ini bukan kali pertama nemu pekerja g becus kaya gini trmasuk kurir juga yg g niat antar paket",JNT,Papua Barat
1,Kurinya banyak putar putar kalau gak niat kerja gk usah masa paket kita di kembalikan. Dan sifat kurirnya tdk sopan di tanya banyak marah dan tdk pernah bals dengan cepat tp kalau kita bls lama dia marah marah,JNT,Papua Barat
1,"Barang sdh dtg dr 2 hari yg lalu tp tdk di antarkan, pelayanan terparah dari j&t👎👎👎
Alasan tra bs antar krn sdh di luar ktr. …",JNT,Papua Barat
1,"Sangat menyesal pake j&t,cukup ini saja",JNT,Papua Barat
1,"Hilangkan saja J&T yg di papua, kalo misal tidak ada yg bisa antar di tempat2 tertentu, tidak usah jual jasa. Barang su sampai, alasan ""tidak ada pengantaran ke sana"",,, bikin sa pu  kredibilitas akun jadi rusak saja.",JNT,Papua Barat
1,Pelayanan buruk Skali kah klo tra niat buka jasa antar barang tu tutup saja sudah Jan cuman maunya makan gaji buta saja,JNT,Papua Barat
1,"Wkwk gila sih ekspedisi paling payah d mkw. Kalau bkn karena skrg tdk bsa memilih ekspedisi d platform olshop, gak ad yg mau pkai jnt. Kurirnya sok ngartis, dichat gak bales tp gak mau nganter juga. Tp gliran udh batas penyimpanan, baru dah …",JNT,Papua Barat
1,"Pelayanan sangat buruk, konsumen harus datang ke gudang, barulah barang dicari. Para karyawan seakan tidak niat kerja, pakai layanan/jasa antar lain saja",JNT,Papua Barat
1,"Masah kita yg pesan kita juga yg ambil, trs di mana kurirnya kalau tdk mau antar tidak usah pakai kurir",JNT,Papua Barat
1,"Karyawannya pemalas semua
Gk niat kerja
Masa sya ambil paket lamanyaaa …",JNT,Papua Barat
1,"KALAU G NIAT BUKA CABANG MENDING G USAH SOK JALANIN, TUTUP MENDING!!! DI TRACKING PAKET SAYA TIBA DARI TGL 31 MEI n 6 JUNI, SAMPAI SEKARANG KOK TDK ADA PETUNJUK ATAU KABAR!! MODEL KAM INI YANG RUSAK ORG PU NAMA PERUSAHAAN",JNT,Papua Barat
1,Orang orang J&T ini memang tidak niat kerja. Paket dari tanggal 29 Maret tiba di mkw tapi tidak juga diantar sampai hari ini. Kalo malas kerja mending bubar sudah.,JNT,Papua Barat
1,Kenapa lemot banget ya jnt mkw ini barang sampai satu minggu kemudian baru diantar kadang lama sekali ga ngerti lagi gmn,JNT,Papua Barat
1,"Jangan selalu seperti ini, iya saya butuh kalian tapi saya juga bayar, sudah banyak komplain tapi sama sekali tidak ada perubahan.",JNT,Papua Barat
1,"Tolong jasa pengiriman ini J&T ini di tutup karena meresahkan banyak pelagang jasa ekspedisi, dari nanti kami bertindak lebih anarkis,,.. dengan si jago merah ,Mohon di tanggapi dengan serius...
Dalam satu bulan ini kita ksh waktu!!!",JNT,Papua Barat
1,"Kecewa dengan layanan J&T Cabang Wosi Manokwari. Tadi ke kantor J&T katanya barangnya sudah dikirm kembali.. Padahal status di aplikasi Trace & Track J&T masih ""On Hold"" ...",JNT,Papua Barat
1,Pelayanan amat sangat buruk sekali..... Sdh mahal lama sekali diantar... Terpaksa ambil sendiri... Tra jelas skali,JNT,Papua Barat
1,"Paket datang tgl 2 sampai tgl 6 gak d kirim kirim,cm sttsnya  sj d perbarui slalu d tarih d gudang bgtu melulu🤦‍♂️🤦‍♂️ …",JNT,Papua Barat
1,Paket saya sdh tiba di mkw tgl 7 sept tapi sampai hari ini tdk di antar. Tdk tau kurirnya bikin apa sampe pamalas antar. Sy sdh hubungi salah satu kurir tp tidak di respon dgn maksud kalo mmg tdk mau di antar biar sy yg ambil jd kurir tdk …,JNT,Papua Barat
1,"Kerja tidak profesional, pengiriman tidak sesuai estimasi di Aplikasi, bahkan molor sampai lebih dr seminggu barang belum dikirim. Mending tutup saja kalau nggak mampu, dr pada buat kecewa pelanggan.",JNT,Papua Barat
1,"Jasa pengiriman sangat buruk, saya sudah berulang kali kirim paket di J&T stiap sdh sampai di Gudang Logistik mkw saat mau diambil alasan nya masih baru datang jadi belum di sortir, kemudian sy disuruh dtang besok pagi nya, waktu besok pagi …",JNT,Papua Barat
1,"CS tolonglah profesional untuk, setidaknya pelayanan diperbaiki, user janganlah di cuekin sambil main hp di meja CS, kalau memang harus menunggu sedikit lama info atau estimasi jangan dibiarkan aja user.",JNT,Papua Barat
1,Mending pilih jasa layanan lain aja. Pelayanan sangat tidak bagus,JNT,Papua Barat
1,"Kerja sangat tidak profesional sekali, pengiriman tidak sesuai estimasi di Aplikasi, bahkan molor sampai lebih dari seminggu barang belum dikirim. Kalo bisa di tutup saja kantor J&T Manokwari",JNT,Papua Barat
1,Sangat mengecewakan. Biaya pengiriman ke wasior tapi hanya sampai ke manokwari. Karyawan j&t manokwaripun macam buta tidak bisa lihat nomor hp kita untuk dihubungi dan dikabari bahwa barang kita ada di mereka. Eh malah dikirim balik ke …,JNT,Papua Barat
1,J&T di manokwari pelayanan sangat jelek barang saya di kembalikan lagi ke surabaya. Sampai”  toko tempat saya pesan barang tidak mau kembalikan uang saya,JNT,Papua Barat
1,"Semua komentar ngeri, tolonglah JnT perbaiki kinerja, 😂, lau lau se, nnti kantor dapa bakar baru …",JNT,Papua Barat
4,segini dulu. nnti kalau paketku dah sampai bisa naik bintangnya,JNT,Papua Barat
